date,state,city,cases,deaths
2020-03-17,AC,Rio Branco/AC,3,0
2020-03-18,AC,Rio Branco/AC,3,0
2020-03-19,AC,Rio Branco/AC,4,0
2020-03-20,AC,Rio Branco/AC,7,0
2020-03-21,AC,Rio Branco/AC,11,0
2020-03-22,AC,Rio Branco/AC,11,0
2020-03-23,AC,Rio Branco/AC,17,0
2020-03-24,AC,Rio Branco/AC,21,0
2020-03-25,AC,Rio Branco/AC,23,0
2020-03-26,AC,Rio Branco/AC,23,0
2020-03-27,AC,Rio Branco/AC,25,0
2020-03-28,AC,Rio Branco/AC,25,0
2020-03-29,AC,Rio Branco/AC,31,0
2020-03-30,AC,Rio Branco/AC,34,0
2020-03-31,AC,Rio Branco/AC,34,0
2020-04-01,AC,Rio Branco/AC,34,0
2020-04-02,AC,Rio Branco/AC,36,0
2020-04-03,AC,Rio Branco/AC,36,0
2020-04-04,AC,Rio Branco/AC,36,0
2020-04-05,AC,Rio Branco/AC,38,0
2020-04-06,AC,Rio Branco/AC,39,1
2020-04-07,AC,Rio Branco/AC,39,2
2020-04-08,AC,Rio Branco/AC,45,2
2020-04-09,AC,Rio Branco/AC,48,2
2020-04-10,AC,Rio Branco/AC,55,2
2020-04-11,AC,Rio Branco/AC,57,2
2020-04-12,AC,Rio Branco/AC,60,2
2020-04-13,AC,Rio Branco/AC,68,3
2020-04-14,AC,Rio Branco/AC,74,3
2020-04-15,AC,Rio Branco/AC,76,3
2020-04-16,AC,Rio Branco/AC,86,4
2020-04-17,AC,Rio Branco/AC,105,4
2020-04-18,AC,Rio Branco/AC,112,5
2020-04-19,AC,Rio Branco/AC,123,5
2020-04-20,AC,Rio Branco/AC,136,7
2020-04-21,AC,Rio Branco/AC,154,7
2020-04-22,AC,Rio Branco/AC,172,7
2020-04-23,AC,Rio Branco/AC,185,9
2020-04-24,AC,Rio Branco/AC,191,10
2020-04-25,AC,Rio Branco/AC,215,10
2020-04-26,AC,Rio Branco/AC,235,10
2020-04-27,AC,Rio Branco/AC,256,13
2020-04-28,AC,Rio Branco/AC,272,15
2020-04-29,AC,Rio Branco/AC,300,17
2020-04-30,AC,Rio Branco/AC,344,18
2020-05-01,AC,Rio Branco/AC,408,18
2020-05-02,AC,Rio Branco/AC,474,20
2020-05-03,AC,Rio Branco/AC,567,22
2020-05-04,AC,Rio Branco/AC,635,24
2020-05-05,AC,Rio Branco/AC,696,25
2020-05-06,AC,Rio Branco/AC,808,31
2020-05-07,AC,Rio Branco/AC,875,31
2020-05-08,AC,Rio Branco/AC,994,33
2020-05-09,AC,Rio Branco/AC,1124,35
2020-05-10,AC,Rio Branco/AC,1192,36
2020-05-11,AC,Rio Branco/AC,1192,39
2020-05-12,AC,Rio Branco/AC,1263,46
2020-05-13,AC,Rio Branco/AC,1307,46
2020-05-14,AC,Rio Branco/AC,1311,49
2020-05-15,AC,Rio Branco/AC,1317,51
2020-05-16,AC,Rio Branco/AC,1323,53
2020-05-17,AC,Rio Branco/AC,1437,56
2020-05-18,AC,Rio Branco/AC,1644,61
2020-05-19,AC,Rio Branco/AC,1801,64
2020-05-20,AC,Rio Branco/AC,1801,64
2020-05-21,AC,Rio Branco/AC,2106,67
2020-05-22,AC,Rio Branco/AC,2174,69
2020-05-23,AC,Rio Branco/AC,2596,75
2020-05-24,AC,Rio Branco/AC,2841,80
2020-05-25,AC,Rio Branco/AC,3135,85
2020-05-26,AC,Rio Branco/AC,3354,92
2020-05-27,AC,Rio Branco/AC,3619,98
2020-05-28,AC,Rio Branco/AC,3760,105
2020-05-29,AC,Rio Branco/AC,3895,110
2020-05-30,AC,Rio Branco/AC,4020,114
2020-05-31,AC,Rio Branco/AC,4104,116
2020-06-01,AC,Rio Branco/AC,4189,127
2020-06-02,AC,Rio Branco/AC,4237,129
2020-06-03,AC,Rio Branco/AC,4289,131
2020-06-04,AC,Rio Branco/AC,4289,131
2020-06-05,AC,Rio Branco/AC,4448,140
2020-06-06,AC,Rio Branco/AC,4486,147
2020-06-07,AC,Rio Branco/AC,4545,151
2020-06-08,AC,Rio Branco/AC,4629,151
2020-06-09,AC,Rio Branco/AC,4703,160
2020-06-10,AC,Rio Branco/AC,4717,171
2020-06-11,AC,Rio Branco/AC,4948,179
2020-06-12,AC,Rio Branco/AC,5033,185
2020-06-13,AC,Rio Branco/AC,5162,186
2020-06-14,AC,Rio Branco/AC,5191,188
2020-06-15,AC,Rio Branco/AC,5292,192
2020-06-16,AC,Rio Branco/AC,5457,196
2020-06-17,AC,Rio Branco/AC,5589,203
2020-06-18,AC,Rio Branco/AC,5648,205
2020-06-19,AC,Rio Branco/AC,5799,208
2020-06-20,AC,Rio Branco/AC,5905,212
2020-06-21,AC,Rio Branco/AC,5985,214
2020-06-22,AC,Rio Branco/AC,6052,217
2020-06-23,AC,Rio Branco/AC,6176,230
2020-06-24,AC,Rio Branco/AC,6232,232
2020-06-25,AC,Rio Branco/AC,6380,236
2020-06-26,AC,Rio Branco/AC,6498,243
2020-06-27,AC,Rio Branco/AC,6647,249
2020-06-28,AC,Rio Branco/AC,6740,250
2020-06-29,AC,Rio Branco/AC,6772,256
2020-06-30,AC,Rio Branco/AC,6853,259
2020-07-01,AC,Rio Branco/AC,7002,263
2020-07-02,AC,Rio Branco/AC,7155,268
2020-07-03,AC,Rio Branco/AC,7199,271
2020-07-04,AC,Rio Branco/AC,7343,272
2020-07-05,AC,Rio Branco/AC,7428,272
2020-07-06,AC,Rio Branco/AC,7476,275
2020-07-07,AC,Rio Branco/AC,7550,277
2020-07-08,AC,Rio Branco/AC,7679,278
2020-07-09,AC,Rio Branco/AC,7765,282
2020-07-10,AC,Rio Branco/AC,7894,285
2020-07-11,AC,Rio Branco/AC,7959,286
2020-07-12,AC,Rio Branco/AC,8009,291
2020-07-13,AC,Rio Branco/AC,8060,294
