date,state,cases,deaths
2020-03-17,AC,3,0
2020-03-18,AC,3,0
2020-03-19,AC,4,0
2020-03-20,AC,7,0
2020-03-21,AC,11,0
2020-03-22,AC,11,0
2020-03-23,AC,17,0
2020-03-24,AC,21,0
2020-03-25,AC,23,0
2020-03-26,AC,24,0
2020-03-27,AC,25,0
2020-03-28,AC,25,0
2020-03-29,AC,34,0
2020-03-30,AC,42,0
2020-03-31,AC,42,0
2020-04-01,AC,43,0
2020-04-02,AC,45,0
2020-04-03,AC,46,0
2020-04-04,AC,46,0
2020-04-05,AC,48,0
2020-04-06,AC,50,1
2020-04-07,AC,50,2
2020-04-08,AC,58,2
2020-04-09,AC,62,2
2020-04-10,AC,70,2
2020-04-11,AC,72,2
2020-04-12,AC,77,2
2020-04-13,AC,90,3
2020-04-14,AC,99,3
2020-04-15,AC,101,4
2020-04-16,AC,115,5
2020-04-17,AC,135,5
2020-04-18,AC,142,6
2020-04-19,AC,163,6
2020-04-20,AC,176,8
2020-04-21,AC,195,8
2020-04-22,AC,214,8
2020-04-23,AC,227,10
2020-04-24,AC,234,11
2020-04-25,AC,258,11
2020-04-26,AC,279,11
2020-04-27,AC,301,14
2020-04-28,AC,317,16
2020-04-29,AC,354,18
2020-04-30,AC,404,19
2020-05-01,AC,487,19
2020-05-02,AC,553,22
2020-05-03,AC,658,25
2020-05-04,AC,733,28
2020-05-05,AC,817,29
2020-05-06,AC,943,35
2020-05-07,AC,1014,36
2020-05-08,AC,1177,38
2020-05-09,AC,1335,40
2020-05-10,AC,1447,41
2020-05-11,AC,1460,45
2020-05-12,AC,1590,51
2020-05-13,AC,1694,52
2020-05-14,AC,1740,55
2020-05-15,AC,1785,57
2020-05-16,AC,1867,59
2020-05-17,AC,1997,62
2020-05-18,AC,2234,67
2020-05-19,AC,2482,73
2020-05-20,AC,2817,76
2020-05-21,AC,3103,78
2020-05-22,AC,3343,80
2020-05-23,AC,3867,87
2020-05-24,AC,4160,92
2020-05-25,AC,4501,97
2020-05-26,AC,4781,105
2020-05-27,AC,5251,113
2020-05-28,AC,5600,122
2020-05-29,AC,5841,135
2020-05-30,AC,6072,142
2020-05-31,AC,6219,148
2020-06-01,AC,6326,161
2020-06-02,AC,6465,165
2020-06-03,AC,6679,171
2020-06-04,AC,7021,181
2020-06-05,AC,7284,190
2020-06-06,AC,7525,201
2020-06-07,AC,7983,207
2020-06-08,AC,8128,211
2020-06-09,AC,8457,223
2020-06-10,AC,8746,237
2020-06-11,AC,9091,245
2020-06-12,AC,9295,254
2020-06-13,AC,9534,256
2020-06-14,AC,9642,259
2020-06-15,AC,9771,265
2020-06-16,AC,10003,271
2020-06-17,AC,10339,281
2020-06-18,AC,10664,287
2020-06-19,AC,10987,292
2020-06-20,AC,11263,297
2020-06-21,AC,11381,300
2020-06-22,AC,11539,305
2020-06-23,AC,11810,321
2020-06-24,AC,12022,326
2020-06-25,AC,12304,335
2020-06-26,AC,12644,343
2020-06-27,AC,12913,351
2020-06-28,AC,13058,353
2020-06-29,AC,13146,361
2020-06-30,AC,13253,365
2020-07-01,AC,13715,370
2020-07-02,AC,14048,378
2020-07-03,AC,14112,387
2020-07-04,AC,14487,391
2020-07-05,AC,14622,391
2020-07-06,AC,14688,394
2020-07-07,AC,14941,399
2020-07-08,AC,15167,404
2020-07-09,AC,15465,411
2020-07-10,AC,15768,417
2020-07-11,AC,16080,419
2020-07-12,AC,16190,426
2020-07-13,AC,16260,430
2020-07-14,AC,16479,436
2020-07-15,AC,16672,446
2020-07-16,AC,16865,447
2020-07-17,AC,16965,452
2020-07-18,AC,17202,457
2020-07-19,AC,17295,460
2020-07-20,AC,17462,465
2020-07-21,AC,17700,469
2020-07-22,AC,17979,470
2020-07-23,AC,18157,474
2020-07-24,AC,18393,480
2020-07-25,AC,18657,483
2020-07-26,AC,18745,486
2020-07-27,AC,18783,493
2020-07-28,AC,19132,500
2020-07-29,AC,19366,510
2020-07-30,AC,19573,521
2020-07-31,AC,19625,531
2020-08-01,AC,19930,535
2020-08-02,AC,19966,537
2020-08-03,AC,20339,539
2020-08-04,AC,20710,545
2020-08-05,AC,21033,547
2020-08-06,AC,21263,552
2020-08-07,AC,21376,556
2020-08-08,AC,21498,559
2020-08-09,AC,21587,561
2020-08-10,AC,21619,562
2020-08-11,AC,21757,565
2020-08-12,AC,21993,569
2020-08-13,AC,22242,574
2020-08-14,AC,22435,576
2020-08-15,AC,22516,576
2020-08-16,AC,22548,576
2020-08-17,AC,22605,582
2020-08-18,AC,22933,590
2020-08-19,AC,23146,591
2020-08-20,AC,23322,595
2020-08-21,AC,23337,598
2020-08-22,AC,23665,598
2020-08-23,AC,23719,600
2020-08-24,AC,23729,604
2020-08-25,AC,23936,607
2020-08-26,AC,24119,607
2020-08-27,AC,24269,607
2020-08-28,AC,24462,608
2020-08-29,AC,24601,608
2020-08-30,AC,24638,609
2020-08-31,AC,24647,612
2020-09-01,AC,24840,616
2020-09-02,AC,25027,618
2020-09-03,AC,25135,622
2020-09-04,AC,25249,623
2020-09-05,AC,25408,624
2020-09-06,AC,25443,624
2020-09-07,AC,25469,624
2020-09-08,AC,25494,630
2020-09-09,AC,25668,631
2020-09-10,AC,25877,635
2020-09-11,AC,26004,636
2020-09-12,AC,26148,637
2020-09-13,AC,26166,640
2020-09-14,AC,26176,640
2020-09-15,AC,26287,642
2020-09-16,AC,26463,643
2020-09-17,AC,26716,646
2020-09-18,AC,26942,647
2020-09-19,AC,27061,648
2020-09-20,AC,27079,649
2020-09-21,AC,27106,649
2020-09-22,AC,27246,651
2020-09-23,AC,27397,652
2020-09-24,AC,27556,653
2020-09-25,AC,27710,654
2020-09-26,AC,27859,656
2020-09-27,AC,27874,657
2020-09-28,AC,27885,657
2020-09-29,AC,28030,657
2020-09-30,AC,28222,659
2020-10-01,AC,28409,661
2020-10-02,AC,28555,664
2020-10-03,AC,28662,667
2020-10-04,AC,28672,667
2020-10-05,AC,28687,667
2020-10-06,AC,28805,668
2020-10-07,AC,28818,668
2020-10-08,AC,28834,669
2020-10-09,AC,29017,674
2020-10-10,AC,29031,674
2020-10-11,AC,29050,674
2020-10-12,AC,29063,675
2020-10-13,AC,29272,675
2020-10-14,AC,29301,676
2020-10-15,AC,29406,677
2020-10-16,AC,29598,679
2020-10-17,AC,29693,679
2020-10-18,AC,29718,679
2020-10-19,AC,29765,679
2020-10-20,AC,29865,682
2020-10-21,AC,29925,682
2020-10-22,AC,30028,685
2020-10-23,AC,30121,686
