date,state,cases,deaths
2020-03-26,AC,1,0
2020-03-29,AC,3,0
2020-03-30,AC,8,0
2020-03-31,AC,8,0
2020-04-01,AC,9,0
2020-04-02,AC,9,0
2020-04-03,AC,10,0
2020-04-04,AC,10,0
2020-04-05,AC,10,0
2020-04-06,AC,11,0
2020-04-07,AC,11,0
2020-04-08,AC,13,0
2020-04-09,AC,14,0
2020-04-10,AC,15,0
2020-04-11,AC,15,0
2020-04-12,AC,17,0
2020-04-13,AC,22,0
2020-04-14,AC,25,0
2020-04-15,AC,25,1
2020-04-16,AC,29,1
2020-04-17,AC,30,1
2020-04-18,AC,30,1
2020-04-19,AC,40,1
2020-04-20,AC,40,1
2020-04-21,AC,41,1
2020-04-22,AC,42,1
2020-04-23,AC,42,1
2020-04-24,AC,43,1
2020-04-25,AC,43,1
2020-04-26,AC,44,1
2020-04-27,AC,45,1
2020-04-28,AC,45,1
2020-04-29,AC,54,1
2020-04-30,AC,60,1
2020-05-01,AC,79,1
2020-05-02,AC,79,2
2020-05-03,AC,91,3
2020-05-04,AC,98,4
2020-05-05,AC,121,4
2020-05-06,AC,135,4
2020-05-07,AC,139,5
2020-05-08,AC,183,5
2020-05-09,AC,211,5
2020-05-10,AC,255,5
2020-05-11,AC,268,6
2020-05-12,AC,327,5
2020-05-13,AC,387,6
2020-05-14,AC,429,6
2020-05-15,AC,468,6
2020-05-16,AC,544,6
2020-05-17,AC,560,6
2020-05-18,AC,590,6
2020-05-19,AC,681,9
2020-05-20,AC,1016,12
2020-05-21,AC,997,11
2020-05-22,AC,1169,11
2020-05-23,AC,1271,12
2020-05-24,AC,1319,12
2020-05-25,AC,1366,12
2020-05-26,AC,1427,13
2020-05-27,AC,1632,15
2020-05-28,AC,1840,17
2020-05-29,AC,1946,25
2020-05-30,AC,2052,28
2020-05-31,AC,2115,32
2020-06-01,AC,2137,34
2020-06-02,AC,2228,36
2020-06-03,AC,2390,40
2020-06-04,AC,2732,50
2020-06-05,AC,2836,50
2020-06-06,AC,3039,54
2020-06-07,AC,3438,56
2020-06-08,AC,3499,60
2020-06-09,AC,3754,63
2020-06-10,AC,4029,66
2020-06-11,AC,4143,66
2020-06-12,AC,4262,69
2020-06-13,AC,4372,70
2020-06-14,AC,4451,71
2020-06-15,AC,4479,73
2020-06-16,AC,4546,75
2020-06-17,AC,4750,78
2020-06-18,AC,5016,82
2020-06-19,AC,5188,84
2020-06-20,AC,5358,85
2020-06-21,AC,5396,86
2020-06-22,AC,5487,88
2020-06-23,AC,5634,91
2020-06-24,AC,5790,94
2020-06-25,AC,5924,99
2020-06-26,AC,6146,100
2020-06-27,AC,6266,102
2020-06-28,AC,6318,103
2020-06-29,AC,6374,105
2020-06-30,AC,6400,106
2020-07-01,AC,6713,107
2020-07-02,AC,6893,110
2020-07-03,AC,6913,116
2020-07-04,AC,7144,119
2020-07-05,AC,7194,119
2020-07-06,AC,7212,119
2020-07-07,AC,7391,122
2020-07-08,AC,7488,126
2020-07-09,AC,7700,129
2020-07-10,AC,7874,132
2020-07-11,AC,8121,133
2020-07-12,AC,8181,135
2020-07-13,AC,8200,136
2020-07-14,AC,8366,138
2020-07-15,AC,8499,143
2020-07-16,AC,8641,144
2020-07-17,AC,8691,146
2020-07-18,AC,8850,149
2020-07-19,AC,8922,151
2020-07-20,AC,9024,153
2020-07-21,AC,9181,154
2020-07-22,AC,9401,155
2020-07-23,AC,9560,157
2020-07-24,AC,9773,162
2020-07-25,AC,9963,165
2020-07-26,AC,9991,167
2020-07-27,AC,10007,168
2020-07-28,AC,10324,170
2020-07-29,AC,10534,175
