date,state,city,cases,deaths
2020-03-08,AL,Maceió/AL,1,0
2020-03-09,AL,Maceió/AL,1,0
2020-03-10,AL,Maceió/AL,1,0
2020-03-11,AL,Maceió/AL,1,0
2020-03-12,AL,Maceió/AL,1,0
2020-03-13,AL,Maceió/AL,1,0
2020-03-14,AL,Maceió/AL,1,0
2020-03-15,AL,Maceió/AL,1,0
2020-03-16,AL,Maceió/AL,1,0
2020-03-17,AL,Maceió/AL,1,0
2020-03-18,AL,Maceió/AL,1,0
2020-03-19,AL,Maceió/AL,4,0
2020-03-20,AL,Maceió/AL,6,0
2020-03-21,AL,Maceió/AL,7,0
2020-03-22,AL,Maceió/AL,7,0
2020-03-23,AL,Maceió/AL,8,0
2020-03-24,AL,Maceió/AL,10,0
2020-03-25,AL,Maceió/AL,10,0
2020-03-26,AL,Maceió/AL,10,0
2020-03-27,AL,Maceió/AL,11,0
2020-03-28,AL,Maceió/AL,13,0
2020-03-29,AL,Maceió/AL,12,0
2020-03-30,AL,Maceió/AL,12,0
2020-03-31,AL,Maceió/AL,13,1
2020-04-01,AL,Maceió/AL,13,1
2020-04-02,AL,Maceió/AL,13,1
2020-04-03,AL,Maceió/AL,17,2
2020-04-04,AL,Maceió/AL,17,2
2020-04-05,AL,Maceió/AL,20,2
2020-04-06,AL,Maceió/AL,22,2
2020-04-07,AL,Maceió/AL,24,2
2020-04-08,AL,Maceió/AL,27,2
2020-04-09,AL,Maceió/AL,27,3
2020-04-10,AL,Maceió/AL,34,3
2020-04-11,AL,Maceió/AL,37,3
2020-04-12,AL,Maceió/AL,37,3
2020-04-13,AL,Maceió/AL,47,4
2020-04-14,AL,Maceió/AL,59,4
2020-04-15,AL,Maceió/AL,67,3
2020-04-16,AL,Maceió/AL,70,3
2020-04-17,AL,Maceió/AL,90,5
2020-04-18,AL,Maceió/AL,107,6
2020-04-19,AL,Maceió/AL,131,9
2020-04-20,AL,Maceió/AL,140,12
2020-04-21,AL,Maceió/AL,176,13
2020-04-22,AL,Maceió/AL,205,14
2020-04-23,AL,Maceió/AL,280,14
2020-04-24,AL,Maceió/AL,355,18
2020-04-25,AL,Maceió/AL,427,18
2020-04-26,AL,Maceió/AL,472,20
2020-04-27,AL,Maceió/AL,535,22
2020-04-28,AL,Maceió/AL,645,24
2020-04-29,AL,Maceió/AL,791,26
2020-04-30,AL,Maceió/AL,853,32
2020-05-01,AL,Maceió/AL,1008,38
2020-05-02,AL,Maceió/AL,1124,41
2020-05-03,AL,Maceió/AL,1179,43
2020-05-04,AL,Maceió/AL,1260,46
2020-05-05,AL,Maceió/AL,1296,50
2020-05-06,AL,Maceió/AL,1358,56
2020-05-07,AL,Maceió/AL,1473,61
2020-05-08,AL,Maceió/AL,1581,71
2020-05-09,AL,Maceió/AL,1675,73
2020-05-10,AL,Maceió/AL,1725,78
2020-05-11,AL,Maceió/AL,1779,85
2020-05-12,AL,Maceió/AL,1939,93
2020-05-13,AL,Maceió/AL,2064,104
2020-05-14,AL,Maceió/AL,2170,112
2020-05-15,AL,Maceió/AL,2310,119
2020-05-16,AL,Maceió/AL,2524,131
2020-05-17,AL,Maceió/AL,2593,135
2020-05-18,AL,Maceió/AL,2746,144
2020-05-19,AL,Maceió/AL,2897,154
2020-05-20,AL,Maceió/AL,2905,162
2020-05-21,AL,Maceió/AL,3156,169
2020-05-22,AL,Maceió/AL,3277,184
2020-05-23,AL,Maceió/AL,3433,193
2020-05-24,AL,Maceió/AL,3585,199
2020-05-25,AL,Maceió/AL,3848,213
2020-05-26,AL,Maceió/AL,4064,223
2020-05-27,AL,Maceió/AL,4358,230
2020-05-28,AL,Maceió/AL,4589,237
2020-05-29,AL,Maceió/AL,4833,248
2020-05-30,AL,Maceió/AL,5107,262
2020-05-31,AL,Maceió/AL,5891,275
2020-06-01,AL,Maceió/AL,6097,288
2020-06-02,AL,Maceió/AL,6325,301
2020-06-03,AL,Maceió/AL,6760,317
2020-06-04,AL,Maceió/AL,7112,335
2020-06-05,AL,Maceió/AL,7513,354
2020-06-06,AL,Maceió/AL,7840,369
2020-06-07,AL,Maceió/AL,8134,377
2020-06-08,AL,Maceió/AL,8372,391
2020-06-09,AL,Maceió/AL,8698,406
2020-06-10,AL,Maceió/AL,9044,419
2020-06-11,AL,Maceió/AL,9373,426
2020-06-12,AL,Maceió/AL,9780,433
2020-06-13,AL,Maceió/AL,10111,443
2020-06-14,AL,Maceió/AL,10615,454
2020-06-15,AL,Maceió/AL,10984,467
2020-06-16,AL,Maceió/AL,11294,483
2020-06-17,AL,Maceió/AL,11613,490
2020-06-18,AL,Maceió/AL,11728,500
2020-06-19,AL,Maceió/AL,12074,509
2020-06-20,AL,Maceió/AL,12213,522
2020-06-21,AL,Maceió/AL,12637,534
2020-06-22,AL,Maceió/AL,12978,547
2020-06-23,AL,Maceió/AL,13371,547
2020-06-24,AL,Maceió/AL,13906,556
2020-06-25,AL,Maceió/AL,14101,563
2020-06-26,AL,Maceió/AL,14237,569
2020-06-27,AL,Maceió/AL,14472,578
2020-06-28,AL,Maceió/AL,14830,587
2020-06-29,AL,Maceió/AL,15038,594
2020-06-30,AL,Maceió/AL,15404,600
2020-07-01,AL,Maceió/AL,15703,607
2020-07-02,AL,Maceió/AL,15833,611
2020-07-03,AL,Maceió/AL,15991,616
2020-07-04,AL,Maceió/AL,16190,620
2020-07-05,AL,Maceió/AL,16501,625
2020-07-06,AL,Maceió/AL,16755,627
2020-07-07,AL,Maceió/AL,17135,631
2020-07-08,AL,Maceió/AL,17460,634
2020-07-09,AL,Maceió/AL,17529,636
2020-07-10,AL,Maceió/AL,17712,639
2020-07-11,AL,Maceió/AL,17947,644
2020-07-12,AL,Maceió/AL,18231,646
2020-07-13,AL,Maceió/AL,18774,648
2020-07-14,AL,Maceió/AL,19081,651
2020-07-15,AL,Maceió/AL,19287,655
2020-07-16,AL,Maceió/AL,19382,660
