date,state,cases,deaths
2020-03-08,AL,1,0
2020-03-09,AL,1,0
2020-03-10,AL,1,0
2020-03-11,AL,1,0
2020-03-12,AL,1,0
2020-03-13,AL,1,0
2020-03-14,AL,1,0
2020-03-15,AL,1,0
2020-03-16,AL,1,0
2020-03-17,AL,1,0
2020-03-18,AL,1,0
2020-03-19,AL,4,0
2020-03-20,AL,6,0
2020-03-21,AL,7,0
2020-03-22,AL,7,0
2020-03-23,AL,8,0
2020-03-24,AL,10,0
2020-03-25,AL,11,0
2020-03-26,AL,11,0
2020-03-27,AL,12,0
2020-03-28,AL,14,0
2020-03-29,AL,17,0
2020-03-30,AL,17,0
2020-03-31,AL,18,1
2020-04-01,AL,18,1
2020-04-02,AL,18,1
2020-04-03,AL,23,2
2020-04-04,AL,23,2
2020-04-05,AL,28,2
2020-04-06,AL,31,2
2020-04-07,AL,34,2
2020-04-08,AL,37,3
2020-04-09,AL,37,3
2020-04-10,AL,45,3
2020-04-11,AL,48,3
2020-04-12,AL,48,3
2020-04-13,AL,58,4
2020-04-14,AL,72,4
2020-04-15,AL,83,5
2020-04-16,AL,89,5
2020-04-17,AL,110,7
2020-04-18,AL,132,10
2020-04-19,AL,159,15
2020-04-20,AL,171,18
2020-04-21,AL,210,19
2020-04-22,AL,243,20
2020-04-23,AL,324,22
2020-04-24,AL,413,27
2020-04-25,AL,501,29
2020-04-26,AL,560,32
2020-04-27,AL,643,34
2020-04-28,AL,777,36
2020-04-29,AL,957,41
2020-04-30,AL,1045,47
2020-05-01,AL,1226,53
2020-05-02,AL,1372,58
2020-05-03,AL,1441,64
2020-05-04,AL,1538,72
2020-05-05,AL,1606,80
2020-05-06,AL,1703,89
2020-05-07,AL,1867,98
2020-05-08,AL,2033,108
2020-05-09,AL,2172,114
2020-05-10,AL,2258,126
2020-05-11,AL,2343,138
2020-05-12,AL,2580,150
2020-05-13,AL,2761,164
2020-05-14,AL,2972,177
2020-05-15,AL,3212,187
2020-05-16,AL,3593,199
2020-05-17,AL,3816,210
2020-05-18,AL,4031,221
2020-05-19,AL,4319,235
2020-05-20,AL,4437,251
2020-05-21,AL,4916,262
2020-05-22,AL,5302,280
2020-05-23,AL,5630,301
2020-05-24,AL,6214,316
2020-05-25,AL,6682,337
2020-05-26,AL,7058,354
2020-05-27,AL,7580,368
2020-05-28,AL,8056,385
2020-05-29,AL,8619,406
2020-05-30,AL,9223,424
2020-05-31,AL,10288,443
2020-06-01,AL,10837,461
2020-06-02,AL,11559,482
2020-06-03,AL,12407,506
2020-06-04,AL,13097,531
2020-06-05,AL,13939,557
2020-06-06,AL,14818,582
2020-06-07,AL,15707,601
2020-06-08,AL,16340,622
2020-06-09,AL,17193,640
2020-06-10,AL,18176,660
2020-06-11,AL,19200,681
2020-06-12,AL,20031,701
2020-06-13,AL,20887,723
2020-06-14,AL,22199,744
2020-06-15,AL,22962,768
2020-06-16,AL,23632,793
2020-06-17,AL,24867,811
2020-06-18,AL,25633,831
2020-06-19,AL,26906,848
2020-06-20,AL,27698,866
2020-06-21,AL,28657,884
2020-06-22,AL,29395,903
2020-06-23,AL,30248,920
2020-06-24,AL,31230,938
2020-06-25,AL,32065,958
