date,state,cases,deaths
2020-03-25,AL,1,0
2020-03-26,AL,1,0
2020-03-27,AL,1,0
2020-03-28,AL,1,0
2020-03-29,AL,5,0
2020-03-30,AL,5,0
2020-03-31,AL,5,0
2020-04-01,AL,5,0
2020-04-02,AL,5,0
2020-04-03,AL,6,0
2020-04-04,AL,6,0
2020-04-05,AL,8,0
2020-04-06,AL,9,0
2020-04-07,AL,10,0
2020-04-08,AL,10,1
2020-04-09,AL,10,0
2020-04-10,AL,11,0
2020-04-11,AL,11,0
2020-04-12,AL,11,0
2020-04-13,AL,11,0
2020-04-14,AL,13,0
2020-04-15,AL,16,2
2020-04-16,AL,19,2
2020-04-17,AL,20,2
2020-04-18,AL,25,4
2020-04-19,AL,28,6
2020-04-20,AL,31,6
2020-04-21,AL,34,6
2020-04-22,AL,38,6
2020-04-23,AL,44,8
2020-04-24,AL,58,9
2020-04-25,AL,74,11
2020-04-26,AL,88,12
2020-04-27,AL,108,12
2020-04-28,AL,132,12
2020-04-29,AL,166,15
2020-04-30,AL,192,15
2020-05-01,AL,218,15
2020-05-02,AL,248,17
2020-05-03,AL,262,21
2020-05-04,AL,278,26
2020-05-05,AL,310,30
2020-05-06,AL,345,33
2020-05-07,AL,394,37
2020-05-08,AL,452,37
2020-05-09,AL,497,41
2020-05-10,AL,533,48
2020-05-11,AL,564,53
2020-05-12,AL,641,57
2020-05-13,AL,697,60
2020-05-14,AL,802,65
2020-05-15,AL,902,68
2020-05-16,AL,1069,68
2020-05-17,AL,1223,75
2020-05-18,AL,1285,77
2020-05-19,AL,1422,81
2020-05-20,AL,1532,89
2020-05-21,AL,1760,93
2020-05-22,AL,2025,96
2020-05-23,AL,2197,108
2020-05-24,AL,2629,117
2020-05-25,AL,2834,124
2020-05-26,AL,2994,131
2020-05-27,AL,3222,138
2020-05-28,AL,3467,148
2020-05-29,AL,3786,158
2020-05-30,AL,4116,162
2020-05-31,AL,4397,168
2020-06-01,AL,4740,173
2020-06-02,AL,5234,181
2020-06-03,AL,5647,189
2020-06-04,AL,5985,196
2020-06-05,AL,6426,203
2020-06-06,AL,6978,213
2020-06-07,AL,7573,224
2020-06-08,AL,7968,231
2020-06-09,AL,8495,234
2020-06-10,AL,9132,241
2020-06-11,AL,9827,255
2020-06-12,AL,10251,268
2020-06-13,AL,10776,280
2020-06-14,AL,11584,290
2020-06-15,AL,11978,301
2020-06-16,AL,12338,310
2020-06-17,AL,13254,321
2020-06-18,AL,13905,331
2020-06-19,AL,14832,339
2020-06-20,AL,15485,344
2020-06-21,AL,16020,350
2020-06-22,AL,16417,356
2020-06-23,AL,16877,373
2020-06-24,AL,17324,382
2020-06-25,AL,17964,395
2020-06-26,AL,18627,406
2020-06-27,AL,19049,415
2020-06-28,AL,19482,425
2020-06-29,AL,20079,438
2020-06-30,AL,20558,452
2020-07-01,AL,21116,465
2020-07-02,AL,21495,480
2020-07-03,AL,22413,497
2020-07-04,AL,23065,514
2020-07-05,AL,23434,528
2020-07-06,AL,23814,545
2020-07-07,AL,24389,561
2020-07-08,AL,24862,579
2020-07-09,AL,25662,594
2020-07-10,AL,26247,607
2020-07-11,AL,26686,620
2020-07-12,AL,27099,635
2020-07-13,AL,27522,649
2020-07-14,AL,27924,663
2020-07-15,AL,28577,676
2020-07-16,AL,29352,688
2020-07-17,AL,29720,702
2020-07-18,AL,29868,714
2020-07-19,AL,30170,726
2020-07-20,AL,30253,738
2020-07-21,AL,30786,750
2020-07-22,AL,31434,757
2020-07-23,AL,31984,767
2020-07-24,AL,32830,776
2020-07-25,AL,33603,787
