date,state,city,cases,deaths
2020-03-13,AM,Manaus/AM,2,0
2020-03-14,AM,Manaus/AM,2,0
2020-03-15,AM,Manaus/AM,2,0
2020-03-16,AM,Manaus/AM,2,0
2020-03-17,AM,Manaus/AM,2,0
2020-03-18,AM,Manaus/AM,2,0
2020-03-19,AM,Manaus/AM,3,0
2020-03-20,AM,Manaus/AM,7,0
2020-03-21,AM,Manaus/AM,11,0
2020-03-22,AM,Manaus/AM,25,0
2020-03-23,AM,Manaus/AM,31,0
2020-03-24,AM,Manaus/AM,45,0
2020-03-25,AM,Manaus/AM,52,0
2020-03-26,AM,Manaus/AM,63,0
2020-03-27,AM,Manaus/AM,75,0
2020-03-28,AM,Manaus/AM,105,0
2020-03-29,AM,Manaus/AM,131,0
2020-03-30,AM,Manaus/AM,140,1
2020-03-31,AM,Manaus/AM,159,2
2020-04-01,AM,Manaus/AM,179,2
2020-04-02,AM,Manaus/AM,205,2
2020-04-03,AM,Manaus/AM,232,5
2020-04-04,AM,Manaus/AM,283,9
2020-04-05,AM,Manaus/AM,379,11
2020-04-06,AM,Manaus/AM,473,15
2020-04-07,AM,Manaus/AM,560,19
2020-04-08,AM,Manaus/AM,712,25
2020-04-09,AM,Manaus/AM,800,33
2020-04-10,AM,Manaus/AM,863,42
2020-04-11,AM,Manaus/AM,932,45
2020-04-12,AM,Manaus/AM,1053,51
2020-04-13,AM,Manaus/AM,1106,60
2020-04-14,AM,Manaus/AM,1295,81
2020-04-15,AM,Manaus/AM,1350,92
2020-04-16,AM,Manaus/AM,1459,107
2020-04-17,AM,Manaus/AM,1531,127
2020-04-18,AM,Manaus/AM,1593,134
2020-04-19,AM,Manaus/AM,1664,155
2020-04-20,AM,Manaus/AM,1772,156
2020-04-21,AM,Manaus/AM,1809,163
2020-04-22,AM,Manaus/AM,1958,172
2020-04-23,AM,Manaus/AM,2286,193
2020-04-24,AM,Manaus/AM,2481,207
2020-04-25,AM,Manaus/AM,2678,233
2020-04-26,AM,Manaus/AM,2722,246
2020-04-27,AM,Manaus/AM,2738,256
2020-04-28,AM,Manaus/AM,2899,274
2020-04-29,AM,Manaus/AM,3091,288
