date,state,cases,deaths
2020-03-13,AM,2,0
2020-03-14,AM,2,0
2020-03-15,AM,2,0
2020-03-16,AM,2,0
2020-03-17,AM,2,0
2020-03-18,AM,2,0
2020-03-19,AM,3,0
2020-03-20,AM,7,0
2020-03-21,AM,11,0
2020-03-22,AM,26,0
2020-03-23,AM,32,0
2020-03-24,AM,47,1
2020-03-25,AM,54,1
2020-03-26,AM,67,1
2020-03-27,AM,81,1
2020-03-28,AM,111,1
2020-03-29,AM,140,1
2020-03-30,AM,151,2
2020-03-31,AM,175,3
2020-04-01,AM,200,3
2020-04-02,AM,229,3
2020-04-03,AM,260,7
2020-04-04,AM,311,12
2020-04-05,AM,417,15
2020-04-06,AM,532,19
2020-04-07,AM,636,23
2020-04-08,AM,804,30
2020-04-09,AM,899,40
2020-04-10,AM,981,50
2020-04-11,AM,1050,53
2020-04-12,AM,1206,62
2020-04-13,AM,1275,71
2020-04-14,AM,1484,90
2020-04-15,AM,1554,106
2020-04-16,AM,1719,124
2020-04-17,AM,1809,145
2020-04-18,AM,1897,161
2020-04-19,AM,2044,182
2020-04-20,AM,2160,185
2020-04-21,AM,2270,193
2020-04-22,AM,2479,207
2020-04-23,AM,2888,234
2020-04-24,AM,3194,255
2020-04-25,AM,3635,287
2020-04-26,AM,3833,304
2020-04-27,AM,3928,320
2020-04-28,AM,4337,351
2020-04-29,AM,4801,380
2020-04-30,AM,5254,425
2020-05-01,AM,5723,476
2020-05-02,AM,6062,501
2020-05-03,AM,6683,548
2020-05-04,AM,7313,585
2020-05-05,AM,8109,649
2020-05-06,AM,9243,751
2020-05-07,AM,10099,806
2020-05-08,AM,10727,874
2020-05-09,AM,11925,962
2020-05-10,AM,12599,1004
2020-05-11,AM,12919,1035
2020-05-12,AM,14168,1098
2020-05-13,AM,15816,1160
2020-05-14,AM,17181,1235
2020-05-15,AM,18392,1331
2020-05-16,AM,19677,1375
2020-05-17,AM,20328,1413
2020-05-18,AM,20913,1433
2020-05-19,AM,22132,1491
2020-05-20,AM,23704,1561
2020-05-21,AM,25367,1620
2020-05-22,AM,27038,1669
2020-05-23,AM,28802,1744
2020-05-24,AM,29867,1758
2020-05-25,AM,30282,1781
2020-05-26,AM,31949,1852
2020-05-27,AM,33508,1891
2020-05-28,AM,36146,1964
2020-05-29,AM,38909,2011
2020-05-30,AM,40560,2047
2020-05-31,AM,41378,2052
2020-06-01,AM,41774,2071
2020-06-02,AM,43195,2102
2020-06-03,AM,44347,2138
2020-06-04,AM,46473,2183
2020-06-05,AM,47666,2199
2020-06-06,AM,48785,2232
2020-06-07,AM,49269,2250
2020-06-08,AM,49817,2271
2020-06-09,AM,51234,2315
2020-06-10,AM,52849,2363
2020-06-11,AM,53989,2400
2020-06-12,AM,55111,2429
2020-06-13,AM,56026,2465
2020-06-14,AM,56506,2492
2020-06-15,AM,56777,2512
2020-06-16,AM,58018,2550
2020-06-17,AM,59547,2579
2020-06-18,AM,60736,2605
2020-06-19,AM,61683,2624
2020-06-20,AM,62902,2650
2020-06-21,AM,63410,2657
2020-06-22,AM,63731,2671
2020-06-23,AM,65073,2686
2020-06-24,AM,66764,2710
2020-06-25,AM,67267,2731
2020-06-26,AM,68220,2739
2020-06-27,AM,69022,2772
2020-06-28,AM,69649,2784
2020-06-29,AM,69893,2792
2020-06-30,AM,70823,2823
2020-07-01,AM,72284,2843
2020-07-02,AM,73530,2862
2020-07-03,AM,74537,2887
2020-07-04,AM,75945,2918
2020-07-05,AM,76014,2929
2020-07-06,AM,76427,2938
2020-07-07,AM,79167,2952
2020-07-08,AM,80082,2967
2020-07-09,AM,81318,2985
2020-07-10,AM,82507,3008
2020-07-11,AM,83230,3023
2020-07-12,AM,83526,3039
2020-07-13,AM,84412,3048
2020-07-14,AM,85800,3064
2020-07-15,AM,86944,3080
2020-07-16,AM,88025,3095
2020-07-17,AM,88822,3118
2020-07-18,AM,90534,3129
2020-07-19,AM,90913,3149
2020-07-20,AM,91389,3146
2020-07-21,AM,92164,3169
2020-07-22,AM,92721,3183
2020-07-23,AM,94219,3193
2020-07-24,AM,95424,3199
2020-07-25,AM,96094,3210
2020-07-26,AM,96463,3217
2020-07-27,AM,97079,3224
2020-07-28,AM,98118,3236
2020-07-29,AM,99093,3246
2020-07-30,AM,100140,3252
2020-07-31,AM,100940,3268
2020-08-01,AM,101777,3278
2020-08-02,AM,102124,3283
2020-08-03,AM,102386,3288
2020-08-04,AM,103269,3299
2020-08-05,AM,104250,3317
2020-08-06,AM,105054,3335
2020-08-07,AM,105857,3345
2020-08-08,AM,106428,3364
2020-08-09,AM,106950,3359
2020-08-10,AM,107197,3384
2020-08-11,AM,108105,3405
2020-08-12,AM,108920,3417
2020-08-13,AM,109802,3435
2020-08-14,AM,110777,3455
2020-08-15,AM,111241,3463
2020-08-16,AM,111912,3483
2020-08-17,AM,112263,3505
2020-08-18,AM,112881,3524
2020-08-19,AM,113592,3537
2020-08-20,AM,114335,3551
2020-08-21,AM,114792,3556
2020-08-22,AM,115369,3557
2020-08-23,AM,115615,3563
