date,state,cases,deaths
2020-03-22,AM,1,0
2020-03-23,AM,1,0
2020-03-24,AM,2,1
2020-03-25,AM,2,1
2020-03-26,AM,4,1
2020-03-27,AM,6,1
2020-03-28,AM,6,1
2020-03-29,AM,9,1
2020-03-30,AM,11,1
2020-03-31,AM,16,1
2020-04-01,AM,21,1
2020-04-02,AM,24,1
2020-04-03,AM,28,2
2020-04-04,AM,28,3
2020-04-05,AM,38,4
2020-04-06,AM,59,4
2020-04-07,AM,76,4
2020-04-08,AM,92,5
2020-04-09,AM,99,7
2020-04-10,AM,118,8
2020-04-11,AM,118,8
2020-04-12,AM,153,11
2020-04-13,AM,169,11
2020-04-14,AM,189,9
2020-04-15,AM,204,14
2020-04-16,AM,260,17
2020-04-17,AM,278,18
2020-04-18,AM,304,27
2020-04-19,AM,380,27
2020-04-20,AM,388,29
2020-04-21,AM,461,30
2020-04-22,AM,521,35
2020-04-23,AM,602,41
2020-04-24,AM,713,48
2020-04-25,AM,957,54
2020-04-26,AM,1111,58
2020-04-27,AM,1190,64
2020-04-28,AM,1438,77
2020-04-29,AM,1710,92
2020-04-30,AM,1981,113
2020-05-01,AM,2232,119
2020-05-02,AM,2404,133
2020-05-03,AM,2611,152
2020-05-04,AM,2969,167
2020-05-05,AM,3305,190
2020-05-06,AM,3769,219
2020-05-07,AM,4202,243
2020-05-08,AM,4693,270
2020-05-09,AM,5182,302
2020-05-10,AM,5401,324
2020-05-11,AM,5655,344
2020-05-12,AM,6291,372
2020-05-13,AM,7186,403
2020-05-14,AM,7771,426
2020-05-15,AM,8679,443
2020-05-16,AM,9380,455
2020-05-17,AM,9921,464
2020-05-18,AM,10253,482
2020-05-19,AM,11081,492
2020-05-20,AM,12061,504
2020-05-21,AM,13050,526
2020-05-22,AM,14071,542
2020-05-23,AM,15178,568
2020-05-24,AM,15986,576
2020-05-25,AM,16303,591
2020-05-26,AM,17547,604
2020-05-27,AM,18708,619
2020-05-28,AM,20377,650
2020-05-29,AM,21417,662
2020-05-30,AM,22421,681
2020-05-31,AM,23085,686
2020-06-01,AM,23407,700
2020-06-02,AM,24214,712
2020-06-03,AM,25304,731
2020-06-04,AM,26511,766
2020-06-05,AM,27244,767
2020-06-06,AM,28000,770
2020-06-07,AM,28432,784
2020-06-08,AM,28869,796
2020-06-09,AM,29629,814
2020-06-10,AM,30690,829
2020-06-11,AM,31485,840
2020-06-12,AM,32476,853
2020-06-13,AM,33132,869
2020-06-14,AM,33405,878
2020-06-15,AM,33639,892
2020-06-16,AM,34406,905
2020-06-17,AM,35458,919
2020-06-18,AM,36582,927
2020-06-19,AM,37102,939
2020-06-20,AM,37924,944
2020-06-21,AM,38307,946
2020-06-22,AM,38578,952
2020-06-23,AM,39363,959
2020-06-24,AM,40611,975
2020-06-25,AM,40784,988
2020-06-26,AM,41437,992
2020-06-27,AM,42180,1004
2020-06-28,AM,42527,1014
2020-06-29,AM,42761,1021
2020-06-30,AM,43654,1033
2020-07-01,AM,44464,1039
2020-07-02,AM,45402,1052
2020-07-03,AM,46088,1061
2020-07-04,AM,47166,1075
2020-07-05,AM,47160,1084
2020-07-06,AM,47556,1091
2020-07-07,AM,50011,1099
2020-07-08,AM,50686,1107
2020-07-09,AM,51482,1115
2020-07-10,AM,52338,1124
2020-07-11,AM,53033,1132
2020-07-12,AM,53309,1134
2020-07-13,AM,53772,1139
2020-07-14,AM,54747,1150
2020-07-15,AM,55676,1158
2020-07-16,AM,56719,1167
2020-07-17,AM,57472,1171
2020-07-18,AM,58440,1180
2020-07-19,AM,58686,1186
2020-07-20,AM,59130,1189
2020-07-21,AM,59721,1205
2020-07-22,AM,60225,1209
2020-07-23,AM,61119,1216
2020-07-24,AM,61860,1221
2020-07-25,AM,62509,1225
2020-07-26,AM,62866,1230
2020-07-27,AM,62978,1236
2020-07-28,AM,63667,1241
2020-07-29,AM,64267,1245
2020-07-30,AM,64871,1249
2020-07-31,AM,65348,1255
2020-08-01,AM,65790,1262
2020-08-02,AM,66094,1264
2020-08-03,AM,66334,1267
2020-08-04,AM,66870,1272
2020-08-05,AM,67579,1281
2020-08-06,AM,68107,1295
2020-08-07,AM,68639,1302
2020-08-08,AM,69161,1314
2020-08-09,AM,69371,1308
2020-08-10,AM,69560,1314
2020-08-11,AM,70110,1318
2020-08-12,AM,70573,1321
2020-08-13,AM,71058,1328
2020-08-14,AM,71740,1332
2020-08-15,AM,72197,1339
2020-08-16,AM,72492,1343
2020-08-17,AM,72700,1346
2020-08-18,AM,73115,1348
2020-08-19,AM,73542,1356
2020-08-20,AM,73969,1363
2020-08-21,AM,74332,1367
2020-08-22,AM,74596,1367
