date,state,city,cases,deaths
2020-03-20,AP,Macapá/AP,1,0
2020-03-21,AP,Macapá/AP,1,0
2020-03-22,AP,Macapá/AP,1,0
2020-03-23,AP,Macapá/AP,1,0
2020-03-24,AP,Macapá/AP,1,0
2020-03-25,AP,Macapá/AP,2,0
2020-03-26,AP,Macapá/AP,2,0
2020-03-27,AP,Macapá/AP,3,0
2020-03-28,AP,Macapá/AP,4,0
2020-03-29,AP,Macapá/AP,8,0
2020-03-30,AP,Macapá/AP,8,0
2020-03-31,AP,Macapá/AP,10,0
2020-04-01,AP,Macapá/AP,11,0
2020-04-02,AP,Macapá/AP,12,0
2020-04-03,AP,Macapá/AP,19,0
2020-04-04,AP,Macapá/AP,28,1
2020-04-05,AP,Macapá/AP,29,1
2020-04-06,AP,Macapá/AP,35,1
2020-04-07,AP,Macapá/AP,47,1
2020-04-08,AP,Macapá/AP,95,1
2020-04-09,AP,Macapá/AP,97,1
2020-04-10,AP,Macapá/AP,146,1
2020-04-11,AP,Macapá/AP,171,3
2020-04-12,AP,Macapá/AP,204,3
2020-04-13,AP,Macapá/AP,211,4
2020-04-14,AP,Macapá/AP,261,5
2020-04-15,AP,Macapá/AP,290,5
2020-04-16,AP,Macapá/AP,303,8
2020-04-17,AP,Macapá/AP,312,8
2020-04-18,AP,Macapá/AP,328,8
2020-04-19,AP,Macapá/AP,341,9
2020-04-20,AP,Macapá/AP,358,11
2020-04-21,AP,Macapá/AP,386,11
2020-04-22,AP,Macapá/AP,405,12
2020-04-23,AP,Macapá/AP,451,14
2020-04-24,AP,Macapá/AP,513,16
2020-04-25,AP,Macapá/AP,542,16
2020-04-26,AP,Macapá/AP,636,18
2020-04-27,AP,Macapá/AP,656,19
2020-04-28,AP,Macapá/AP,708,21
2020-04-29,AP,Macapá/AP,789,24
2020-04-30,AP,Macapá/AP,827,26
2020-05-01,AP,Macapá/AP,857,27
2020-05-02,AP,Macapá/AP,892,29
2020-05-03,AP,Macapá/AP,1099,30
2020-05-04,AP,Macapá/AP,1263,34
2020-05-05,AP,Macapá/AP,1388,37
2020-05-06,AP,Macapá/AP,1451,37
2020-05-07,AP,Macapá/AP,1559,38
2020-05-08,AP,Macapá/AP,1616,42
2020-05-09,AP,Macapá/AP,1707,43
2020-05-10,AP,Macapá/AP,1790,43
2020-05-11,AP,Macapá/AP,1832,44
2020-05-12,AP,Macapá/AP,1966,53
2020-05-13,AP,Macapá/AP,1990,57
2020-05-14,AP,Macapá/AP,2353,62
2020-05-15,AP,Macapá/AP,2513,63
2020-05-16,AP,Macapá/AP,2639,66
2020-05-17,AP,Macapá/AP,2674,72
2020-05-18,AP,Macapá/AP,2692,75
2020-05-19,AP,Macapá/AP,2890,78
2020-05-20,AP,Macapá/AP,2912,82
2020-05-21,AP,Macapá/AP,3257,87
2020-05-22,AP,Macapá/AP,3336,91
2020-05-23,AP,Macapá/AP,3516,94
2020-05-24,AP,Macapá/AP,3577,95
2020-05-25,AP,Macapá/AP,3615,98
2020-05-26,AP,Macapá/AP,3674,101
2020-05-27,AP,Macapá/AP,3968,108
2020-05-28,AP,Macapá/AP,4294,119
2020-05-29,AP,Macapá/AP,4346,123
2020-05-30,AP,Macapá/AP,4992,127
2020-05-31,AP,Macapá/AP,5035,130
2020-06-01,AP,Macapá/AP,5079,136
2020-06-02,AP,Macapá/AP,5244,140
2020-06-03,AP,Macapá/AP,5337,149
2020-06-04,AP,Macapá/AP,5465,155
2020-06-05,AP,Macapá/AP,5550,159
2020-06-06,AP,Macapá/AP,5568,161
2020-06-07,AP,Macapá/AP,5579,162
2020-06-08,AP,Macapá/AP,5583,167
2020-06-09,AP,Macapá/AP,5750,170
2020-06-10,AP,Macapá/AP,6084,173
2020-06-11,AP,Macapá/AP,6314,177
2020-06-12,AP,Macapá/AP,6499,185
2020-06-13,AP,Macapá/AP,6901,192
2020-06-14,AP,Macapá/AP,6912,195
2020-06-15,AP,Macapá/AP,6948,198
2020-06-16,AP,Macapá/AP,7593,203
2020-06-17,AP,Macapá/AP,7962,204
2020-06-18,AP,Macapá/AP,8111,208
2020-06-19,AP,Macapá/AP,8290,213
2020-06-20,AP,Macapá/AP,9378,216
2020-06-21,AP,Macapá/AP,9416,218
2020-06-22,AP,Macapá/AP,11920,227
2020-06-23,AP,Macapá/AP,12841,232
2020-06-24,AP,Macapá/AP,12861,236
2020-06-25,AP,Macapá/AP,12880,242
2020-06-26,AP,Macapá/AP,12885,245
2020-06-27,AP,Macapá/AP,12914,248
2020-06-28,AP,Macapá/AP,12924,248
2020-06-29,AP,Macapá/AP,12952,254
2020-06-30,AP,Macapá/AP,12995,256
2020-07-01,AP,Macapá/AP,13045,258
2020-07-02,AP,Macapá/AP,13089,263
2020-07-03,AP,Macapá/AP,13269,269
2020-07-04,AP,Macapá/AP,13280,271
2020-07-05,AP,Macapá/AP,13280,272
2020-07-06,AP,Macapá/AP,13308,276
2020-07-07,AP,Macapá/AP,13355,281
2020-07-08,AP,Macapá/AP,13398,285
2020-07-09,AP,Macapá/AP,13444,289
2020-07-10,AP,Macapá/AP,13501,292
2020-07-11,AP,Macapá/AP,13552,295
2020-07-12,AP,Macapá/AP,13601,296
2020-07-13,AP,Macapá/AP,13672,299
2020-07-14,AP,Macapá/AP,13749,303
2020-07-15,AP,Macapá/AP,14087,308
2020-07-16,AP,Macapá/AP,14334,312
2020-07-17,AP,Macapá/AP,14542,318
2020-07-18,AP,Macapá/AP,14592,322
2020-07-19,AP,Macapá/AP,14614,324
2020-07-20,AP,Macapá/AP,14894,331
2020-07-21,AP,Macapá/AP,15009,347
2020-07-22,AP,Macapá/AP,15104,356
2020-07-23,AP,Macapá/AP,15155,359
2020-07-24,AP,Macapá/AP,15214,362
