date,state,cases,deaths
2020-03-20,AP,1,0
2020-03-21,AP,1,0
2020-03-22,AP,1,0
2020-03-23,AP,1,0
2020-03-24,AP,1,0
2020-03-25,AP,2,0
2020-03-26,AP,2,0
2020-03-27,AP,3,0
2020-03-28,AP,4,0
2020-03-29,AP,8,0
2020-03-30,AP,8,0
2020-03-31,AP,10,0
2020-04-01,AP,11,0
2020-04-02,AP,12,0
2020-04-03,AP,19,0
2020-04-04,AP,29,1
2020-04-05,AP,32,2
2020-04-06,AP,39,2
2020-04-07,AP,51,2
2020-04-08,AP,107,2
2020-04-09,AP,128,2
2020-04-10,AP,166,2
2020-04-11,AP,193,5
2020-04-12,AP,237,5
2020-04-13,AP,244,6
2020-04-14,AP,308,7
2020-04-15,AP,342,7
2020-04-16,AP,362,10
2020-04-17,AP,375,10
2020-04-18,AP,400,10
2020-04-19,AP,416,11
2020-04-20,AP,435,13
2020-04-21,AP,466,13
2020-04-22,AP,492,14
2020-04-23,AP,555,16
2020-04-24,AP,648,18
2020-04-25,AP,689,20
2020-04-26,AP,821,23
2020-04-27,AP,842,26
2020-04-28,AP,918,28
2020-04-29,AP,1016,31
2020-04-30,AP,1080,34
2020-05-01,AP,1121,37
2020-05-02,AP,1187,40
2020-05-03,AP,1482,43
2020-05-04,AP,1733,49
2020-05-05,AP,1931,55
2020-05-06,AP,2046,56
2020-05-07,AP,2199,61
2020-05-08,AP,2322,66
2020-05-09,AP,2493,69
2020-05-10,AP,2613,72
2020-05-11,AP,2671,73
2020-05-12,AP,2910,86
2020-05-13,AP,3005,94
2020-05-14,AP,3428,101
2020-05-15,AP,3630,103
2020-05-16,AP,3834,108
2020-05-17,AP,3952,119
2020-05-18,AP,4023,127
2020-05-19,AP,4310,136
2020-05-20,AP,4549,142
2020-05-21,AP,5188,151
2020-05-22,AP,5655,157
2020-05-23,AP,6091,162
2020-05-24,AP,6353,163
2020-05-25,AP,6584,168
2020-05-26,AP,6967,173
2020-05-27,AP,7619,183
2020-05-28,AP,8152,198
2020-05-29,AP,8469,207
2020-05-30,AP,9313,215
2020-05-31,AP,9602,222
2020-06-01,AP,9890,228
2020-06-02,AP,10511,237
2020-06-03,AP,11107,247
2020-06-04,AP,11551,254
2020-06-05,AP,12327,260
2020-06-06,AP,12773,269
2020-06-07,AP,13045,272
2020-06-08,AP,13294,278
2020-06-09,AP,13771,285
2020-06-10,AP,14623,289
2020-06-11,AP,15166,303
2020-06-12,AP,15683,312
2020-06-13,AP,16322,319
2020-06-14,AP,16512,324
2020-06-15,AP,16813,329
2020-06-16,AP,18024,337
2020-06-17,AP,18618,338
2020-06-18,AP,19387,342
2020-06-19,AP,19922,348
2020-06-20,AP,21574,353
2020-06-21,AP,21840,359
2020-06-22,AP,24862,372
2020-06-23,AP,26437,380
2020-06-24,AP,26919,387
2020-06-25,AP,27415,394
2020-06-26,AP,27662,401
2020-06-27,AP,27901,406
2020-06-28,AP,27985,407
2020-06-29,AP,28253,413
2020-06-30,AP,28492,417
2020-07-01,AP,28927,420
2020-07-02,AP,29153,427
2020-07-03,AP,29574,438
2020-07-04,AP,29809,441
2020-07-05,AP,29883,442
2020-07-06,AP,30004,449
2020-07-07,AP,30294,455
2020-07-08,AP,30524,462
2020-07-09,AP,30763,467
2020-07-10,AP,31080,470
2020-07-11,AP,31279,473
2020-07-12,AP,31364,474
2020-07-13,AP,31552,478
2020-07-14,AP,31885,483
2020-07-15,AP,32408,488
2020-07-16,AP,33004,493
2020-07-17,AP,33436,499
2020-07-18,AP,33585,505
2020-07-19,AP,33705,507
2020-07-20,AP,34145,515
2020-07-21,AP,34405,533
2020-07-22,AP,34660,544
2020-07-23,AP,34838,548
2020-07-24,AP,35026,552
2020-07-25,AP,35162,554
2020-07-26,AP,35220,554
2020-07-27,AP,35364,556
2020-07-28,AP,35697,558
2020-07-29,AP,35973,559
2020-07-30,AP,36272,561
2020-07-31,AP,36468,565
2020-08-01,AP,36595,568
2020-08-02,AP,36639,571
2020-08-03,AP,36804,576
2020-08-04,AP,36999,581
2020-08-05,AP,37318,588
2020-08-06,AP,37735,594
2020-08-07,AP,37964,599
2020-08-08,AP,38139,601
2020-08-09,AP,38208,602
2020-08-10,AP,38399,603
2020-08-11,AP,38636,604
2020-08-12,AP,38801,606
2020-08-13,AP,39015,609
2020-08-14,AP,39244,612
2020-08-15,AP,39431,613
2020-08-16,AP,39518,613
2020-08-17,AP,39703,617
2020-08-18,AP,39957,619
2020-08-19,AP,40211,622
2020-08-20,AP,40603,626
2020-08-21,AP,40875,627
2020-08-22,AP,41031,630
2020-08-23,AP,41120,631
2020-08-24,AP,41254,637
2020-08-25,AP,41553,642
2020-08-26,AP,41981,647
2020-08-27,AP,42285,652
2020-08-28,AP,42625,657
2020-08-29,AP,42771,659
2020-08-30,AP,42892,660
2020-08-31,AP,43193,661
2020-09-01,AP,43514,663
2020-09-02,AP,43800,668
2020-09-03,AP,44064,669
2020-09-04,AP,44454,670
2020-09-05,AP,44682,671
2020-09-06,AP,44770,672
2020-09-07,AP,44863,673
2020-09-08,AP,44999,675
2020-09-09,AP,45251,675
2020-09-10,AP,45529,676
2020-09-11,AP,45665,677
2020-09-12,AP,45789,678
2020-09-13,AP,45853,678
2020-09-14,AP,45955,680
2020-09-15,AP,46117,682
2020-09-16,AP,46266,685
2020-09-17,AP,46372,688
2020-09-18,AP,46601,690
2020-09-19,AP,46738,691
2020-09-20,AP,46863,691
2020-09-21,AP,46946,693
2020-09-22,AP,47135,695
2020-09-23,AP,47364,697
2020-09-24,AP,47516,698
2020-09-25,AP,47657,699
2020-09-26,AP,47745,702
2020-09-27,AP,47795,702
2020-09-28,AP,47935,704
2020-09-29,AP,48054,705
2020-09-30,AP,48254,709
2020-10-01,AP,48385,712
2020-10-02,AP,48529,713
2020-10-03,AP,48602,715
2020-10-04,AP,48628,716
2020-10-05,AP,48701,718
2020-10-06,AP,48814,721
2020-10-07,AP,48963,722
2020-10-08,AP,49085,724
