date,state,cases,deaths
2020-04-04,AP,1,0
2020-04-05,AP,3,1
2020-04-06,AP,4,1
2020-04-07,AP,4,1
2020-04-08,AP,12,1
2020-04-09,AP,31,1
2020-04-10,AP,20,1
2020-04-11,AP,22,2
2020-04-12,AP,33,2
2020-04-13,AP,33,2
2020-04-14,AP,47,2
2020-04-15,AP,52,2
2020-04-16,AP,59,2
2020-04-17,AP,63,2
2020-04-18,AP,72,2
2020-04-19,AP,75,2
2020-04-20,AP,77,2
2020-04-21,AP,80,2
2020-04-22,AP,87,2
2020-04-23,AP,104,2
2020-04-24,AP,135,2
2020-04-25,AP,147,4
2020-04-26,AP,185,5
2020-04-27,AP,186,7
2020-04-28,AP,210,7
2020-04-29,AP,227,7
2020-04-30,AP,253,8
2020-05-01,AP,264,10
2020-05-02,AP,295,11
2020-05-03,AP,383,13
2020-05-04,AP,470,15
2020-05-05,AP,543,18
2020-05-06,AP,595,19
2020-05-07,AP,640,23
2020-05-08,AP,706,24
2020-05-09,AP,786,26
2020-05-10,AP,823,29
2020-05-11,AP,839,29
2020-05-12,AP,944,33
2020-05-13,AP,1015,37
2020-05-14,AP,1075,39
2020-05-15,AP,1117,40
2020-05-16,AP,1195,42
2020-05-17,AP,1278,47
2020-05-18,AP,1331,52
2020-05-19,AP,1420,58
2020-05-20,AP,1637,60
2020-05-21,AP,1931,64
2020-05-22,AP,2319,66
2020-05-23,AP,2575,68
2020-05-24,AP,2776,68
2020-05-25,AP,2969,70
2020-05-26,AP,3293,72
2020-05-27,AP,3651,75
2020-05-28,AP,3858,79
2020-05-29,AP,4123,84
2020-05-30,AP,4321,88
2020-05-31,AP,4567,92
2020-06-01,AP,4811,92
2020-06-02,AP,5267,97
2020-06-03,AP,5770,98
2020-06-04,AP,6086,99
2020-06-05,AP,6777,101
2020-06-06,AP,7205,108
2020-06-07,AP,7466,110
2020-06-08,AP,7711,111
2020-06-09,AP,8021,115
2020-06-10,AP,8539,116
2020-06-11,AP,8852,126
2020-06-12,AP,9184,127
2020-06-13,AP,9421,127
2020-06-14,AP,9600,129
2020-06-15,AP,9865,131
2020-06-16,AP,10431,134
2020-06-17,AP,10656,134
2020-06-18,AP,11276,134
2020-06-19,AP,11632,135
2020-06-20,AP,12196,137
2020-06-21,AP,12424,141
2020-06-22,AP,12942,145
2020-06-23,AP,13596,148
2020-06-24,AP,14058,151
2020-06-25,AP,14535,152
2020-06-26,AP,14777,156
2020-06-27,AP,14987,158
2020-06-28,AP,15061,159
2020-06-29,AP,15301,159
2020-06-30,AP,15497,161
2020-07-01,AP,15882,162
2020-07-02,AP,16064,164
2020-07-03,AP,16305,169
2020-07-04,AP,16529,170
2020-07-05,AP,16603,170
2020-07-06,AP,16696,173
2020-07-07,AP,16939,174
2020-07-08,AP,17126,177
2020-07-09,AP,17319,178
2020-07-10,AP,17579,178
2020-07-11,AP,17727,178
2020-07-12,AP,17763,178
2020-07-13,AP,17880,179
2020-07-14,AP,18136,180
2020-07-15,AP,18321,180
2020-07-16,AP,18670,181
2020-07-17,AP,18894,181
2020-07-18,AP,18993,183
2020-07-19,AP,19091,183
2020-07-20,AP,19251,184
2020-07-21,AP,19396,186
2020-07-22,AP,19556,188
2020-07-23,AP,19683,189
2020-07-24,AP,19812,190
2020-07-25,AP,19891,191
2020-07-26,AP,19928,191
2020-07-27,AP,20030,192
2020-07-28,AP,20316,192
2020-07-29,AP,20556,192
2020-07-30,AP,20820,192
2020-07-31,AP,20972,193
2020-08-01,AP,21069,194
2020-08-02,AP,21098,196
2020-08-03,AP,21213,198
2020-08-04,AP,21359,198
2020-08-05,AP,21622,199
2020-08-06,AP,21980,199
2020-08-07,AP,22159,200
2020-08-08,AP,22281,200
2020-08-09,AP,22310,200
2020-08-10,AP,22482,200
2020-08-11,AP,22672,200
2020-08-12,AP,22805,200
2020-08-13,AP,22971,200
2020-08-14,AP,23122,200
2020-08-15,AP,23272,200
2020-08-16,AP,23330,200
2020-08-17,AP,23474,201
2020-08-18,AP,23660,202
2020-08-19,AP,23846,204
2020-08-20,AP,24143,205
2020-08-21,AP,24300,205
2020-08-22,AP,24379,205
2020-08-23,AP,24429,205
2020-08-24,AP,24538,206
2020-08-25,AP,24757,207
2020-08-26,AP,25057,209
2020-08-27,AP,25270,210
2020-08-28,AP,25525,212
2020-08-29,AP,25637,213
2020-08-30,AP,25726,213
2020-08-31,AP,25955,213
2020-09-01,AP,26218,213
2020-09-02,AP,26459,215
2020-09-03,AP,26674,215
2020-09-04,AP,26971,215
2020-09-05,AP,27079,215
2020-09-06,AP,27124,216
2020-09-07,AP,27201,216
2020-09-08,AP,27286,216
2020-09-09,AP,27501,216
2020-09-10,AP,27681,216
2020-09-11,AP,27782,216
2020-09-12,AP,27875,216
2020-09-13,AP,27919,216
2020-09-14,AP,28007,216
2020-09-15,AP,28126,216
2020-09-16,AP,28223,216
2020-09-17,AP,28279,217
2020-09-18,AP,28456,218
2020-09-19,AP,28559,218
2020-09-20,AP,28666,218
2020-09-21,AP,28730,218
2020-09-22,AP,28891,218
2020-09-23,AP,29083,219
