date,state,city,cases,deaths
2020-03-13,BA,Salvador/BA,3,0
2020-03-14,BA,Salvador/BA,3,0
2020-03-15,BA,Salvador/BA,4,0
2020-03-16,BA,Salvador/BA,4,0
2020-03-17,BA,Salvador/BA,5,0
2020-03-18,BA,Salvador/BA,17,0
2020-03-19,BA,Salvador/BA,18,0
2020-03-20,BA,Salvador/BA,18,0
2020-03-21,BA,Salvador/BA,23,0
2020-03-22,BA,Salvador/BA,33,0
2020-03-23,BA,Salvador/BA,37,0
2020-03-24,BA,Salvador/BA,45,0
2020-03-25,BA,Salvador/BA,54,0
2020-03-26,BA,Salvador/BA,60,0
2020-03-27,BA,Salvador/BA,78,0
2020-03-28,BA,Salvador/BA,81,0
2020-03-29,BA,Salvador/BA,103,1
2020-03-30,BA,Salvador/BA,117,2
2020-03-31,BA,Salvador/BA,132,2
2020-04-01,BA,Salvador/BA,153,2
2020-04-02,BA,Salvador/BA,167,3
2020-04-03,BA,Salvador/BA,183,5
2020-04-04,BA,Salvador/BA,215,5
2020-04-05,BA,Salvador/BA,244,7
2020-04-06,BA,Salvador/BA,263,8
2020-04-07,BA,Salvador/BA,269,10
2020-04-08,BA,Salvador/BA,292,11
2020-04-09,BA,Salvador/BA,314,11
2020-04-10,BA,Salvador/BA,343,11
2020-04-11,BA,Salvador/BA,355,11
2020-04-12,BA,Salvador/BA,364,11
2020-04-13,BA,Salvador/BA,390,11
2020-04-14,BA,Salvador/BA,428,13
2020-04-15,BA,Salvador/BA,522,15
2020-04-16,BA,Salvador/BA,572,18
2020-04-17,BA,Salvador/BA,643,18
2020-04-18,BA,Salvador/BA,760,19
2020-04-19,BA,Salvador/BA,764,22
2020-04-20,BA,Salvador/BA,824,23
2020-04-21,BA,Salvador/BA,927,23
2020-04-22,BA,Salvador/BA,1039,27
2020-04-23,BA,Salvador/BA,1137,34
2020-04-24,BA,Salvador/BA,1223,37
2020-04-25,BA,Salvador/BA,1308,38
2020-04-26,BA,Salvador/BA,1362,39
2020-04-27,BA,Salvador/BA,1435,48
2020-04-28,BA,Salvador/BA,1583,56
2020-04-29,BA,Salvador/BA,1645,62
2020-04-30,BA,Salvador/BA,1790,67
2020-05-01,BA,Salvador/BA,2001,76
2020-05-02,BA,Salvador/BA,2106,78
2020-05-03,BA,Salvador/BA,2253,80
2020-05-04,BA,Salvador/BA,2377,91
2020-05-05,BA,Salvador/BA,2606,95
2020-05-06,BA,Salvador/BA,2754,98
2020-05-07,BA,Salvador/BA,2884,101
2020-05-08,BA,Salvador/BA,3136,118
2020-05-09,BA,Salvador/BA,3349,127
2020-05-10,BA,Salvador/BA,3677,128
2020-05-11,BA,Salvador/BA,3891,138
2020-05-12,BA,Salvador/BA,4120,145
2020-05-13,BA,Salvador/BA,4362,148
2020-05-14,BA,Salvador/BA,4632,167
2020-05-15,BA,Salvador/BA,4843,181
2020-05-16,BA,Salvador/BA,5280,184
2020-05-17,BA,Salvador/BA,5330,189
2020-05-18,BA,Salvador/BA,5339,202
2020-05-19,BA,Salvador/BA,5331,215
2020-05-20,BA,Salvador/BA,5331,241
2020-05-21,BA,Salvador/BA,6880,248
2020-05-22,BA,Salvador/BA,7118,257
2020-05-23,BA,Salvador/BA,8026,264
2020-05-24,BA,Salvador/BA,8613,303
2020-05-25,BA,Salvador/BA,8860,314
2020-05-26,BA,Salvador/BA,9094,328
2020-05-27,BA,Salvador/BA,9389,357
2020-05-28,BA,Salvador/BA,9874,390
2020-05-29,BA,Salvador/BA,10353,421
2020-05-30,BA,Salvador/BA,10724,443
2020-05-31,BA,Salvador/BA,11087,453
2020-06-01,BA,Salvador/BA,11431,474
2020-06-02,BA,Salvador/BA,12850,493
2020-06-03,BA,Salvador/BA,13278,511
