date,state,cases,deaths
2020-03-06,BA,1,0
2020-03-07,BA,2,0
2020-03-08,BA,2,0
2020-03-09,BA,2,0
2020-03-10,BA,2,0
2020-03-11,BA,3,0
2020-03-12,BA,3,0
2020-03-13,BA,4,0
2020-03-14,BA,4,0
2020-03-15,BA,5,0
2020-03-16,BA,6,0
2020-03-17,BA,9,0
2020-03-18,BA,10,0
2020-03-19,BA,13,0
2020-03-20,BA,16,0
2020-03-21,BA,18,0
2020-03-22,BA,22,0
2020-03-23,BA,26,0
2020-03-24,BA,34,0
2020-03-25,BA,37,0
2020-03-26,BA,48,0
2020-03-27,BA,45,0
2020-03-28,BA,46,0
2020-03-29,BA,53,0
2020-03-30,BA,59,0
2020-03-31,BA,85,0
2020-04-01,BA,93,0
2020-04-02,BA,100,0
2020-04-03,BA,107,1
2020-04-04,BA,121,2
2020-04-05,BA,157,2
2020-04-06,BA,174,2
2020-04-07,BA,193,4
2020-04-08,BA,223,7
2020-04-09,BA,254,8
2020-04-10,BA,273,8
2020-04-11,BA,285,10
2020-04-12,BA,310,10
2020-04-13,BA,333,11
2020-04-14,BA,348,13
2020-04-15,BA,362,13
2020-04-16,BA,395,16
2020-04-17,BA,421,18
2020-04-18,BA,440,21
2020-04-19,BA,485,23
2020-04-20,BA,553,24
2020-04-21,BA,577,25
2020-04-22,BA,606,26
2020-04-23,BA,708,28
2020-04-24,BA,756,30
2020-04-25,BA,808,34
2020-04-26,BA,886,35
2020-04-27,BA,921,35
2020-04-28,BA,981,37
2020-04-29,BA,1031,38
2020-04-30,BA,1077,39
2020-05-01,BA,1139,41
2020-05-02,BA,1209,45
2020-05-03,BA,1313,48
2020-05-04,BA,1357,50
2020-05-05,BA,1434,51
2020-05-06,BA,1547,62
2020-05-07,BA,1644,64
2020-05-08,BA,1683,65
2020-05-09,BA,1826,69
2020-05-10,BA,1882,74
2020-05-11,BA,1917,76
2020-05-12,BA,2085,80
2020-05-13,BA,2187,88
2020-05-14,BA,2324,95
2020-05-15,BA,3287,100
2020-05-16,BA,3036,102
2020-05-17,BA,3114,106
2020-05-18,BA,3543,110
2020-05-19,BA,5683,111
2020-05-20,BA,5867,121
2020-05-21,BA,5062,128
2020-05-22,BA,5440,142
2020-05-23,BA,4975,149
2020-05-24,BA,5287,157
2020-05-25,BA,5345,163
2020-05-26,BA,5473,167
2020-05-27,BA,5681,174
2020-05-28,BA,6089,180
2020-05-29,BA,6564,188
2020-05-30,BA,6902,195
2020-05-31,BA,7305,214
2020-06-01,BA,7467,227
2020-06-02,BA,8580,243
2020-06-03,BA,9173,251
2020-06-04,BA,9718,255
2020-06-05,BA,11246,261
2020-06-06,BA,11705,267
2020-06-07,BA,12249,279
2020-06-08,BA,12484,288
2020-06-09,BA,13305,297
2020-06-10,BA,14534,301
2020-06-11,BA,15185,306
2020-06-12,BA,15638,319
2020-06-13,BA,16101,341
2020-06-14,BA,16542,363
2020-06-15,BA,17096,393
2020-06-16,BA,18045,406
2020-06-17,BA,19034,422
2020-06-18,BA,19650,436
2020-06-19,BA,21768,451
2020-06-20,BA,22258,466
2020-06-21,BA,22869,487
2020-06-22,BA,23448,522
2020-06-23,BA,24737,538
2020-06-24,BA,26183,550
2020-06-25,BA,27478,572
2020-06-26,BA,28756,596
2020-06-27,BA,34103,632
2020-06-28,BA,36163,655
2020-06-29,BA,36868,671
2020-06-30,BA,39802,690
2020-07-01,BA,41872,713
2020-07-02,BA,43512,738
2020-07-03,BA,45501,767
2020-07-04,BA,47455,794
2020-07-05,BA,48581,830
2020-07-06,BA,49584,857
2020-07-07,BA,52089,877
2020-07-08,BA,54659,911
2020-07-09,BA,56848,950
2020-07-10,BA,59108,992
2020-07-11,BA,61500,1021
2020-07-12,BA,62729,1059
2020-07-13,BA,63681,1094
2020-07-14,BA,66095,1125
2020-07-15,BA,68445,1155
2020-07-16,BA,70962,1179
2020-07-17,BA,72713,1217
2020-07-18,BA,73923,1265
