date,state,cases,deaths
2020-03-16,CE,9,0
2020-03-17,CE,10,0
2020-03-18,CE,19,0
2020-03-19,CE,24,0
2020-03-20,CE,68,0
2020-03-21,CE,84,0
2020-03-22,CE,125,0
2020-03-23,CE,164,0
2020-03-24,CE,185,0
2020-03-25,CE,211,0
2020-03-26,CE,237,3
2020-03-27,CE,282,3
2020-03-28,CE,322,4
2020-03-29,CE,359,5
2020-03-30,CE,382,5
2020-03-31,CE,401,7
2020-04-01,CE,445,9
2020-04-02,CE,565,21
2020-04-03,CE,658,22
2020-04-04,CE,745,23
2020-04-05,CE,963,35
2020-04-06,CE,1046,36
2020-04-07,CE,1189,40
2020-04-08,CE,1394,57
2020-04-09,CE,1445,57
2020-04-10,CE,1558,67
2020-04-11,CE,1668,74
2020-04-12,CE,1747,76
2020-04-13,CE,1936,101
2020-04-14,CE,2072,111
2020-04-15,CE,2292,124
2020-04-16,CE,2412,135
2020-04-17,CE,2747,155
2020-04-18,CE,3062,180
2020-04-19,CE,3308,189
2020-04-20,CE,3487,206
2020-04-21,CE,3716,221
2020-04-22,CE,4116,239
2020-04-23,CE,4702,271
2020-04-24,CE,5121,293
2020-04-25,CE,5667,326
2020-04-26,CE,6260,376
2020-04-27,CE,6783,397
2020-04-28,CE,6985,417
2020-04-29,CE,7411,450
2020-04-30,CE,7861,492
2020-05-01,CE,8000,539
2020-05-02,CE,8309,638
2020-05-03,CE,8379,677
2020-05-04,CE,11040,712
2020-05-05,CE,11470,795
2020-05-06,CE,12310,849
2020-05-07,CE,13888,903
2020-05-08,CE,15134,997
2020-05-09,CE,15879,1062
2020-05-10,CE,16692,1114
2020-05-11,CE,17599,1189
2020-05-12,CE,18412,1280
2020-05-13,CE,19156,1389
2020-05-14,CE,21077,1413
2020-05-15,CE,23059,1566
2020-05-16,CE,23795,1614
2020-05-17,CE,24255,1641
2020-05-18,CE,26363,1748
2020-05-19,CE,28112,1856
2020-05-20,CE,30560,1900
2020-05-21,CE,31413,2161
2020-05-22,CE,34573,2251
2020-05-23,CE,35122,2308
2020-05-24,CE,35595,2324
2020-05-25,CE,36185,2493
2020-05-26,CE,37021,2603
2020-05-27,CE,37275,2671
2020-05-28,CE,37821,2733
2020-05-29,CE,38395,2859
2020-05-30,CE,47822,2956
2020-05-31,CE,48489,3010
2020-06-01,CE,50504,3188
2020-06-02,CE,54683,3504
2020-06-03,CE,56056,3605
2020-06-04,CE,59795,3813
2020-06-05,CE,62176,3907
2020-06-06,CE,63575,3965
2020-06-07,CE,64271,3982
2020-06-08,CE,66218,4192
2020-06-09,CE,69023,4359
2020-06-10,CE,71947,4519
2020-06-11,CE,74692,4708
2020-06-12,CE,75784,4812
2020-06-13,CE,76429,4829
2020-06-14,CE,76833,4885
2020-06-15,CE,79853,5041
2020-06-16,CE,82169,5192
2020-06-17,CE,85606,5307
2020-06-18,CE,88132,5393
2020-06-19,CE,90441,5497
2020-06-20,CE,92397,5520
2020-06-21,CE,92866,5523
2020-06-22,CE,94708,5618
2020-06-23,CE,98055,5728
2020-06-24,CE,99578,5815
2020-06-25,CE,103118,5895
2020-06-26,CE,105270,5962
2020-06-27,CE,107064,5987
2020-06-28,CE,107593,5995
2020-06-29,CE,108225,6076
2020-06-30,CE,110483,6146
2020-07-01,CE,114038,6203
2020-07-02,CE,116519,6307
2020-07-03,CE,118311,6373
2020-07-04,CE,121464,6441
2020-07-05,CE,121986,6441
2020-07-06,CE,123394,6504
2020-07-07,CE,126142,6563
2020-07-08,CE,129598,6678
2020-07-09,CE,131324,6774
2020-07-10,CE,134610,6842
2020-07-11,CE,136001,6867
2020-07-12,CE,136790,6869
2020-07-13,CE,137234,6975
2020-07-14,CE,139437,6977
2020-07-15,CE,141832,7081
2020-07-16,CE,144058,7139
2020-07-17,CE,146064,7166
2020-07-18,CE,146972,7178
2020-07-19,CE,147378,7179
2020-07-20,CE,147818,7256
2020-07-21,CE,151072,7305
2020-07-22,CE,154381,7329
2020-07-23,CE,156265,7411
2020-07-24,CE,159953,7456
2020-07-25,CE,161844,7480
2020-07-26,CE,162086,7494
2020-07-27,CE,162429,7509
2020-07-28,CE,165703,7616
2020-07-29,CE,169138,7648
2020-07-30,CE,171565,7664
2020-07-31,CE,174662,7692
2020-08-01,CE,176371,7704
2020-08-02,CE,176773,7710
2020-08-03,CE,176972,7761
2020-08-04,CE,179976,7821
2020-08-05,CE,182453,7873
2020-08-06,CE,184100,7921
2020-08-07,CE,186563,7946
2020-08-08,CE,188289,7954
2020-08-09,CE,188638,7979
2020-08-10,CE,189023,7994
2020-08-11,CE,191540,8043
2020-08-12,CE,192652,8076
2020-08-13,CE,195298,8113
2020-08-14,CE,196667,8127
2020-08-15,CE,197381,8129
2020-08-16,CE,197691,8133
2020-08-17,CE,198252,8172
2020-08-18,CE,199828,8202
2020-08-19,CE,201201,8241
2020-08-20,CE,202422,8245
2020-08-21,CE,202999,8268
2020-08-22,CE,204931,8288
2020-08-23,CE,205441,8289
2020-08-24,CE,205875,8335
2020-08-25,CE,207631,8346
2020-08-26,CE,209363,8362
2020-08-27,CE,211053,8374
2020-08-28,CE,213238,8380
2020-08-29,CE,214094,8382
2020-08-30,CE,214457,8384
2020-08-31,CE,214953,8409
2020-09-01,CE,217295,8459
2020-09-02,CE,218414,8481
2020-09-03,CE,220040,8532
2020-09-04,CE,222105,8563
2020-09-05,CE,222179,8565
2020-09-06,CE,222412,8566
2020-09-07,CE,222473,8567
2020-09-08,CE,222884,8588
2020-09-09,CE,223863,8634
2020-09-10,CE,224847,8657
2020-09-11,CE,226021,8683
2020-09-12,CE,227075,8685
2020-09-13,CE,227449,8686
2020-09-14,CE,227799,8698
2020-09-15,CE,229250,8749
2020-09-16,CE,230406,8764
2020-09-17,CE,231510,8781
2020-09-18,CE,232950,8795
2020-09-19,CE,233600,8801
2020-09-20,CE,233891,8815
2020-09-21,CE,234120,8834
2020-09-22,CE,235222,8850
2020-09-23,CE,236591,8876
2020-09-24,CE,237147,8891
2020-09-25,CE,237857,8905
2020-09-26,CE,238582,8918
2020-09-27,CE,239062,8921
2020-09-28,CE,239465,8948
2020-09-29,CE,240139,8957
2020-09-30,CE,241159,8994
2020-10-01,CE,242021,9047
2020-10-02,CE,242490,9047
2020-10-03,CE,242820,9051
2020-10-04,CE,243091,9054
2020-10-05,CE,254588,9067
2020-10-06,CE,256032,9090
2020-10-07,CE,257409,9104
2020-10-08,CE,258356,9124
2020-10-09,CE,258742,9129
2020-10-10,CE,259767,9133
2020-10-11,CE,260154,9134
2020-10-12,CE,260336,9135
2020-10-13,CE,260642,9140
2020-10-14,CE,261504,9184
2020-10-15,CE,262831,9199
2020-10-16,CE,264172,9202
2020-10-17,CE,264245,9207
2020-10-18,CE,265102,9210
2020-10-19,CE,265875,9217
2020-10-20,CE,266316,9227
2020-10-21,CE,267721,9243
2020-10-22,CE,268345,9243
2020-10-23,CE,269255,9245
2020-10-24,CE,270070,9248
2020-10-25,CE,270378,9259
2020-10-26,CE,270867,9293
2020-10-27,CE,271565,9323
2020-10-28,CE,272290,9326
2020-10-29,CE,273194,9335
2020-10-30,CE,273743,9344
2020-10-31,CE,274185,9353
2020-11-01,CE,274341,9360
2020-11-02,CE,274673,9362
2020-11-03,CE,275025,9365
2020-11-04,CE,276012,9385
2020-11-05,CE,277072,9392
2020-11-06,CE,277252,9393
2020-11-07,CE,278053,9395
2020-11-08,CE,278350,9402
2020-11-09,CE,278986,9407
2020-11-10,CE,279322,9416
2020-11-11,CE,279989,9418
2020-11-12,CE,282471,9430
2020-11-13,CE,283463,9435
2020-11-14,CE,284208,9439
2020-11-15,CE,285666,9439
2020-11-16,CE,286674,9443
2020-11-17,CE,287629,9448
2020-11-18,CE,288494,9466
2020-11-19,CE,289550,9473
2020-11-20,CE,290484,9487
2020-11-21,CE,291312,9487
2020-11-22,CE,291617,9485
2020-11-23,CE,293249,9514
2020-11-24,CE,294116,9522
2020-11-25,CE,295275,9532
2020-11-26,CE,297793,9565
2020-11-27,CE,298312,9598
2020-11-28,CE,299590,9607
2020-11-29,CE,300134,9607
2020-11-30,CE,301251,9628
2020-12-01,CE,301606,9638
2020-12-02,CE,301802,9640
2020-12-03,CE,303168,9657
2020-12-04,CE,303868,9683
2020-12-05,CE,304443,9693
2020-12-06,CE,304640,9704
2020-12-07,CE,308273,9737
2020-12-08,CE,309168,9738
2020-12-09,CE,312068,9762
2020-12-10,CE,313761,9772
2020-12-11,CE,314674,9774
2020-12-12,CE,314674,9774
2020-12-13,CE,315936,9786
2020-12-14,CE,316681,9802
2020-12-15,CE,319989,9857
2020-12-16,CE,320685,9875
2020-12-17,CE,321891,9897
2020-12-18,CE,322861,9909
2020-12-19,CE,323506,9912
2020-12-20,CE,323941,9916
2020-12-21,CE,324894,9927
2020-12-22,CE,325884,9939
2020-12-23,CE,326519,9947
2020-12-24,CE,327140,9952
2020-12-25,CE,327832,9952
2020-12-26,CE,327865,9952
2020-12-27,CE,327982,9952
2020-12-28,CE,329896,9960
2020-12-29,CE,330986,9971
2020-12-30,CE,332907,9986
2020-12-31,CE,335992,9993
2021-01-01,CE,336504,10004
2021-01-02,CE,336574,10015
2021-01-03,CE,336763,10024
2021-01-04,CE,336975,10025
2021-01-05,CE,339043,10053
2021-01-06,CE,340312,10062
2021-01-07,CE,342201,10106
2021-01-08,CE,343887,10137
2021-01-09,CE,344677,10150
2021-01-10,CE,345002,10159
2021-01-11,CE,345235,10162
2021-01-12,CE,347518,10175
2021-01-13,CE,348912,10204
2021-01-14,CE,350571,10209
