date,state,cases,deaths
2020-03-16,CE,1,0
2020-03-17,CE,1,0
2020-03-18,CE,2,0
2020-03-19,CE,7,0
2020-03-20,CE,5,0
2020-03-21,CE,8,0
2020-03-22,CE,9,0
2020-03-23,CE,13,0
2020-03-24,CE,15,0
2020-03-25,CE,15,0
2020-03-26,CE,13,0
2020-03-27,CE,14,0
2020-03-28,CE,18,0
2020-03-29,CE,21,0
2020-03-30,CE,29,0
2020-03-31,CE,30,1
2020-04-01,CE,32,3
2020-04-02,CE,39,21
2020-04-03,CE,58,5
2020-04-04,CE,64,5
2020-04-05,CE,94,9
2020-04-06,CE,117,9
2020-04-07,CE,136,10
2020-04-08,CE,156,12
2020-04-09,CE,162,12
2020-04-10,CE,192,14
2020-04-11,CE,211,16
2020-04-12,CE,218,17
2020-04-13,CE,250,23
2020-04-14,CE,278,25
2020-04-15,CE,346,31
2020-04-16,CE,371,40
2020-04-17,CE,447,36
2020-04-18,CE,500,39
2020-04-19,CE,620,41
2020-04-20,CE,647,42
2020-04-21,CE,698,45
2020-04-22,CE,813,50
2020-04-23,CE,911,59
2020-04-24,CE,1058,65
2020-04-25,CE,1126,67
2020-04-26,CE,1269,81
2020-04-27,CE,1457,81
2020-04-28,CE,1504,88
2020-04-29,CE,1699,101
2020-04-30,CE,1891,111
2020-05-01,CE,1918,126
2020-05-02,CE,1956,140
2020-05-03,CE,1962,149
2020-05-04,CE,2842,159
2020-05-05,CE,2961,187
2020-05-06,CE,3249,198
2020-05-07,CE,4219,209
2020-05-08,CE,4658,236
2020-05-09,CE,4884,253
2020-05-10,CE,5136,274
2020-05-11,CE,5664,296
2020-05-12,CE,5928,330
2020-05-13,CE,6119,367
2020-05-14,CE,7300,374
2020-05-15,CE,8369,429
2020-05-16,CE,8633,451
2020-05-17,CE,8884,467
2020-05-18,CE,10194,495
2020-05-19,CE,11328,549
2020-05-20,CE,12550,567
2020-05-21,CE,12769,658
2020-05-22,CE,15303,703
2020-05-23,CE,15570,734
2020-05-24,CE,15800,745
2020-05-25,CE,16039,806
2020-05-26,CE,16232,834
