date,state,cases,deaths
2020-03-07,DF,1,0
2020-03-08,DF,1,0
2020-03-09,DF,1,0
2020-03-10,DF,1,0
2020-03-11,DF,2,0
2020-03-12,DF,2,0
2020-03-13,DF,2,0
2020-03-14,DF,8,0
2020-03-15,DF,14,0
2020-03-16,DF,19,0
2020-03-17,DF,22,0
2020-03-18,DF,34,0
2020-03-19,DF,42,0
2020-03-20,DF,87,0
2020-03-21,DF,108,0
2020-03-22,DF,117,0
2020-03-23,DF,138,0
2020-03-24,DF,161,0
2020-03-25,DF,195,0
2020-03-26,DF,201,0
2020-03-27,DF,241,0
2020-03-28,DF,260,0
2020-03-29,DF,298,1
2020-03-30,DF,312,2
2020-03-31,DF,333,3
2020-04-01,DF,370,4
2020-04-02,DF,400,5
2020-04-03,DF,419,6
2020-04-04,DF,456,7
2020-04-05,DF,468,7
2020-04-06,DF,485,10
2020-04-07,DF,503,12
2020-04-08,DF,509,12
2020-04-09,DF,527,13
2020-04-10,DF,556,14
2020-04-11,DF,592,14
2020-04-12,DF,618,14
2020-04-13,DF,641,15
2020-04-14,DF,651,17
2020-04-15,DF,688,17
2020-04-16,DF,727,20
2020-04-17,DF,756,24
2020-04-18,DF,796,24
2020-04-19,DF,860,24
2020-04-20,DF,875,24
2020-04-21,DF,913,24
2020-04-22,DF,959,25
2020-04-23,DF,968,26
2020-04-24,DF,1012,26
2020-04-25,DF,1020,27
2020-04-26,DF,1125,27
2020-04-27,DF,1189,28
2020-04-28,DF,1230,28
2020-04-29,DF,1313,28
2020-04-30,DF,1423,30
2020-05-01,DF,1546,31
2020-05-02,DF,1605,32
2020-05-03,DF,1720,33
2020-05-04,DF,1793,33
2020-05-05,DF,1837,34
2020-05-06,DF,2046,35
2020-05-07,DF,2258,35
2020-05-08,DF,2442,37
2020-05-09,DF,2576,39
2020-05-10,DF,2682,42
2020-05-11,DF,2799,44
2020-05-12,DF,2979,46
2020-05-13,DF,3192,48
2020-05-14,DF,3416,51
2020-05-15,DF,3787,55
2020-05-16,DF,4140,56
2020-05-17,DF,4368,59
2020-05-18,DF,4619,66
2020-05-19,DF,4853,72
2020-05-20,DF,5271,78
2020-05-21,DF,5542,84
2020-05-22,DF,5948,90
2020-05-23,DF,6251,95
2020-05-24,DF,6638,104
2020-05-25,DF,6930,114
2020-05-26,DF,7210,124
2020-05-27,DF,7761,133
2020-05-28,DF,8300,142
2020-05-29,DF,8722,154
2020-05-30,DF,9474,162
2020-05-31,DF,9780,170
2020-06-01,DF,10510,173
2020-06-02,DF,11256,177
2020-06-03,DF,12020,191
2020-06-04,DF,12923,196
2020-06-05,DF,14208,202
2020-06-06,DF,15850,208
2020-06-07,DF,16623,214
2020-06-08,DF,16948,226
2020-06-09,DF,18090,236
2020-06-10,DF,19433,256
2020-06-11,DF,20507,274
2020-06-12,DF,21396,282
2020-06-13,DF,21959,293
2020-06-14,DF,22871,304
2020-06-15,DF,23684,319
2020-06-16,DF,25380,348
2020-06-17,DF,27140,365
2020-06-18,DF,28521,379
2020-06-19,DF,30902,396
2020-06-20,DF,32238,405
2020-06-21,DF,33227,423
2020-06-22,DF,34148,449
2020-06-23,DF,35368,475
2020-06-24,DF,37254,495
2020-06-25,DF,38871,509
2020-06-26,DF,41326,532
2020-06-27,DF,42766,537
2020-06-28,DF,44905,548
2020-06-29,DF,47071,559
2020-06-30,DF,49218,587
2020-07-01,DF,50676,620
2020-07-02,DF,52281,631
2020-07-03,DF,53996,643
2020-07-04,DF,55760,671
2020-07-05,DF,57854,699
2020-07-06,DF,60383,726
2020-07-07,DF,62694,767
2020-07-08,DF,64314,801
2020-07-09,DF,65677,823
2020-07-10,DF,67297,856
2020-07-11,DF,68406,871
2020-07-12,DF,70712,902
2020-07-13,DF,72284,930
2020-07-14,DF,73654,960
2020-07-15,DF,75379,1001
2020-07-16,DF,77621,1037
2020-07-17,DF,79400,1060
2020-07-18,DF,81163,1075
2020-07-19,DF,82412,1085
2020-07-20,DF,84287,1112
2020-07-21,DF,86076,1158
2020-07-22,DF,87801,1176
2020-07-23,DF,90023,1218
2020-07-24,DF,92414,1244
2020-07-25,DF,94187,1275
2020-07-26,DF,96332,1308
2020-07-27,DF,98480,1339
2020-07-28,DF,100726,1391
2020-07-29,DF,102342,1419
2020-07-30,DF,104442,1444
2020-07-31,DF,106292,1469
2020-08-01,DF,107922,1490
2020-08-02,DF,110028,1523
2020-08-03,DF,112044,1546
2020-08-04,DF,113924,1572
2020-08-05,DF,115966,1605
2020-08-06,DF,118000,1651
2020-08-07,DF,119903,1682
2020-08-08,DF,121824,1712
2020-08-09,DF,123057,1731
2020-08-10,DF,126069,1762
2020-08-11,DF,127484,1815
2020-08-12,DF,129184,1870
2020-08-13,DF,131170,1905
2020-08-14,DF,133166,1935
2020-08-15,DF,135014,1958
2020-08-16,DF,136467,1976
2020-08-17,DF,138735,2042
2020-08-18,DF,140170,2097
2020-08-19,DF,141762,2148
2020-08-20,DF,143759,2200
2020-08-21,DF,145452,2242
2020-08-22,DF,147127,2257
2020-08-23,DF,148998,2274
2020-08-24,DF,150519,2316
2020-08-25,DF,153690,2344
2020-08-26,DF,155253,2399
2020-08-27,DF,156863,2425
2020-08-28,DF,158180,2440
2020-08-29,DF,159526,2450
2020-08-30,DF,160796,2469
2020-08-31,DF,162042,2521
2020-09-01,DF,163498,2573
2020-09-02,DF,164649,2609
2020-09-03,DF,165903,2641
2020-09-04,DF,167200,2681
2020-09-05,DF,168605,2700
2020-09-06,DF,169617,2710
2020-09-07,DF,170806,2720
2020-09-08,DF,171739,2763
2020-09-09,DF,172708,2813
2020-09-10,DF,173631,2843
2020-09-11,DF,174549,2867
2020-09-12,DF,175646,2883
2020-09-13,DF,176837,2899
2020-09-14,DF,177921,2930
2020-09-15,DF,178747,2970
2020-09-16,DF,179823,3000
2020-09-17,DF,180844,3022
2020-09-18,DF,181919,3037
2020-09-19,DF,183096,3048
2020-09-20,DF,183749,3062
2020-09-21,DF,184555,3097
2020-09-22,DF,185349,3131
2020-09-23,DF,186054,3148
2020-09-24,DF,186945,3164
2020-09-25,DF,187895,3175
2020-09-26,DF,188608,3183
2020-09-27,DF,189513,3188
2020-09-28,DF,190505,3203
2020-09-29,DF,191317,3224
2020-09-30,DF,192245,3255
2020-10-01,DF,193127,3276
2020-10-02,DF,194042,3291
2020-10-03,DF,194783,3309
2020-10-04,DF,195413,3325
2020-10-05,DF,195967,3346
2020-10-06,DF,196787,3364
2020-10-07,DF,197369,3378
2020-10-08,DF,198192,3391
2020-10-09,DF,198807,3398
2020-10-10,DF,199569,3412
2020-10-11,DF,200035,3424
2020-10-12,DF,200412,3439
2020-10-13,DF,201230,3466
2020-10-14,DF,202058,3488
