date,state,city,cases,deaths
2020-03-19,ES,Vitória/ES,5,0
2020-03-20,ES,Vitória/ES,6,0
2020-03-21,ES,Vitória/ES,11,0
2020-03-22,ES,Vitória/ES,11,0
2020-03-23,ES,Vitória/ES,14,0
2020-03-24,ES,Vitória/ES,15,0
2020-03-25,ES,Vitória/ES,15,0
2020-03-26,ES,Vitória/ES,17,0
2020-03-27,ES,Vitória/ES,18,0
2020-03-28,ES,Vitória/ES,20,0
2020-03-29,ES,Vitória/ES,21,0
2020-03-30,ES,Vitória/ES,26,0
2020-03-31,ES,Vitória/ES,28,0
2020-04-01,ES,Vitória/ES,34,0
2020-04-02,ES,Vitória/ES,36,0
2020-04-03,ES,Vitória/ES,39,2
2020-04-04,ES,Vitória/ES,43,2
2020-04-05,ES,Vitória/ES,62,2
2020-04-06,ES,Vitória/ES,64,2
2020-04-07,ES,Vitória/ES,65,2
2020-04-08,ES,Vitória/ES,77,2
2020-04-09,ES,Vitória/ES,81,2
2020-04-10,ES,Vitória/ES,96,2
2020-04-11,ES,Vitória/ES,101,2
2020-04-12,ES,Vitória/ES,111,4
2020-04-13,ES,Vitória/ES,119,6
2020-04-14,ES,Vitória/ES,135,6
2020-04-15,ES,Vitória/ES,175,6
2020-04-16,ES,Vitória/ES,208,8
2020-04-17,ES,Vitória/ES,209,8
2020-04-18,ES,Vitória/ES,244,9
2020-04-19,ES,Vitória/ES,259,9
2020-04-20,ES,Vitória/ES,265,9
2020-04-21,ES,Vitória/ES,290,9
2020-04-22,ES,Vitória/ES,291,9
2020-04-23,ES,Vitória/ES,312,10
2020-04-24,ES,Vitória/ES,346,10
2020-04-25,ES,Vitória/ES,356,11
2020-04-26,ES,Vitória/ES,382,11
2020-04-27,ES,Vitória/ES,419,12
2020-04-28,ES,Vitória/ES,452,13
2020-04-29,ES,Vitória/ES,526,15
2020-04-30,ES,Vitória/ES,554,16
2020-05-01,ES,Vitória/ES,588,18
2020-05-02,ES,Vitória/ES,621,18
2020-05-03,ES,Vitória/ES,628,20
2020-05-04,ES,Vitória/ES,652,23
2020-05-05,ES,Vitória/ES,699,24
2020-05-06,ES,Vitória/ES,726,27
2020-05-07,ES,Vitória/ES,781,30
2020-05-08,ES,Vitória/ES,815,31
2020-05-09,ES,Vitória/ES,835,32
2020-05-10,ES,Vitória/ES,860,33
2020-05-11,ES,Vitória/ES,902,39
2020-05-12,ES,Vitória/ES,944,44
2020-05-13,ES,Vitória/ES,982,47
2020-05-14,ES,Vitória/ES,1036,49
2020-05-15,ES,Vitória/ES,1088,51
2020-05-16,ES,Vitória/ES,1209,55
2020-05-17,ES,Vitória/ES,1249,56
2020-05-18,ES,Vitória/ES,1351,58
2020-05-19,ES,Vitória/ES,1475,61
2020-05-20,ES,Vitória/ES,1613,68
2020-05-21,ES,Vitória/ES,1664,68
2020-05-22,ES,Vitória/ES,1748,72
2020-05-23,ES,Vitória/ES,1828,74
2020-05-24,ES,Vitória/ES,1836,76
2020-05-25,ES,Vitória/ES,1896,78
2020-05-26,ES,Vitória/ES,1964,79
2020-05-27,ES,Vitória/ES,2127,82
2020-05-28,ES,Vitória/ES,2208,88
2020-05-29,ES,Vitória/ES,2318,90
2020-05-30,ES,Vitória/ES,2416,92
2020-05-31,ES,Vitória/ES,2453,96
2020-06-01,ES,Vitória/ES,2518,100
2020-06-02,ES,Vitória/ES,2673,103
2020-06-03,ES,Vitória/ES,2864,109
2020-06-04,ES,Vitória/ES,2987,113
2020-06-05,ES,Vitória/ES,3175,119
2020-06-06,ES,Vitória/ES,3385,122
2020-06-07,ES,Vitória/ES,3508,126
2020-06-08,ES,Vitória/ES,3633,133
2020-06-09,ES,Vitória/ES,3857,138
2020-06-10,ES,Vitória/ES,4074,147
2020-06-11,ES,Vitória/ES,4312,155
2020-06-12,ES,Vitória/ES,4509,160
2020-06-13,ES,Vitória/ES,4597,165
2020-06-14,ES,Vitória/ES,4734,168
2020-06-15,ES,Vitória/ES,4869,173
2020-06-16,ES,Vitória/ES,5092,181
2020-06-17,ES,Vitória/ES,5291,188
2020-06-18,ES,Vitória/ES,5462,193
2020-06-19,ES,Vitória/ES,5643,200
2020-06-20,ES,Vitória/ES,5763,204
2020-06-21,ES,Vitória/ES,5913,206
