date,state,cases,deaths
2020-03-06,ES,1,0
2020-03-07,ES,1,0
2020-03-08,ES,1,0
2020-03-09,ES,1,0
2020-03-10,ES,1,0
2020-03-11,ES,1,0
2020-03-12,ES,1,0
2020-03-13,ES,1,0
2020-03-14,ES,1,0
2020-03-15,ES,1,0
2020-03-16,ES,1,0
2020-03-17,ES,1,0
2020-03-18,ES,9,0
2020-03-19,ES,13,0
2020-03-20,ES,16,0
2020-03-21,ES,26,0
2020-03-22,ES,26,0
2020-03-23,ES,33,0
2020-03-24,ES,40,0
2020-03-25,ES,40,0
2020-03-26,ES,48,0
2020-03-27,ES,54,0
2020-03-28,ES,61,0
2020-03-29,ES,72,0
2020-03-30,ES,85,0
2020-03-31,ES,97,0
2020-04-01,ES,120,0
2020-04-02,ES,139,2
2020-04-03,ES,153,5
2020-04-04,ES,166,6
2020-04-05,ES,194,6
2020-04-06,ES,209,6
2020-04-07,ES,227,6
2020-04-08,ES,273,6
2020-04-09,ES,300,7
2020-04-10,ES,349,8
2020-04-11,ES,383,9
2020-04-12,ES,430,14
2020-04-13,ES,463,17
2020-04-14,ES,557,18
2020-04-15,ES,734,21
2020-04-16,ES,935,28
2020-04-17,ES,952,28
2020-04-18,ES,1099,30
2020-04-19,ES,1195,34
2020-04-20,ES,1212,34
2020-04-21,ES,1313,34
2020-04-22,ES,1351,37
2020-04-23,ES,1453,43
2020-04-24,ES,1665,47
2020-04-25,ES,1711,52
2020-04-26,ES,1819,57
2020-04-27,ES,1944,63
2020-04-28,ES,2164,77
2020-04-29,ES,2538,84
2020-04-30,ES,2688,93
2020-05-01,ES,2913,101
2020-05-02,ES,3104,104
2020-05-03,ES,3208,115
2020-05-04,ES,3351,123
2020-05-05,ES,3540,133
2020-05-06,ES,3714,146
2020-05-07,ES,3988,157
2020-05-08,ES,4242,165
2020-05-09,ES,4412,172
2020-05-10,ES,4599,181
2020-05-11,ES,4819,196
2020-05-12,ES,5087,212
2020-05-13,ES,5401,233
2020-05-14,ES,5813,249
2020-05-15,ES,6198,260
2020-05-16,ES,6595,271
2020-05-17,ES,6744,285
2020-05-18,ES,7157,302
2020-05-19,ES,7693,325
2020-05-20,ES,8495,346
2020-05-21,ES,8878,363
2020-05-22,ES,9520,397
2020-05-23,ES,9918,417
2020-05-24,ES,10007,447
2020-05-25,ES,10365,465
2020-05-26,ES,10889,487
2020-05-27,ES,11484,511
2020-05-28,ES,12203,538
2020-05-29,ES,12903,560
2020-05-30,ES,13437,583
2020-05-31,ES,13690,604
2020-06-01,ES,14285,628
2020-06-02,ES,15151,664
2020-06-03,ES,16121,698
2020-06-04,ES,16894,737
2020-06-05,ES,18109,780
2020-06-06,ES,18950,806
2020-06-07,ES,19619,832
2020-06-08,ES,20659,871
2020-06-09,ES,21964,904
2020-06-10,ES,23391,937
2020-06-11,ES,24428,966
2020-06-12,ES,25502,999
2020-06-13,ES,26011,1028
2020-06-14,ES,26469,1055
2020-06-15,ES,27652,1087
2020-06-16,ES,29030,1132
2020-06-17,ES,30507,1179
2020-06-18,ES,31772,1223
2020-06-19,ES,33232,1267
2020-06-20,ES,34238,1297
2020-06-21,ES,34866,1328
2020-06-22,ES,36147,1387
2020-06-23,ES,36827,1425
2020-06-24,ES,38483,1463
2020-06-25,ES,40406,1490
2020-06-26,ES,41652,1507
2020-06-27,ES,41652,1507
2020-06-28,ES,43683,1568
2020-06-29,ES,45097,1621
2020-06-30,ES,46893,1648
2020-07-01,ES,48821,1693
2020-07-02,ES,50242,1728
2020-07-03,ES,51689,1758
2020-07-04,ES,52824,1781
2020-07-05,ES,53393,1804
2020-07-06,ES,54547,1838
2020-07-07,ES,56703,1880
2020-07-08,ES,58841,1912
2020-07-09,ES,60009,1930
2020-07-10,ES,61361,1967
2020-07-11,ES,62393,1995
2020-07-12,ES,62873,2010
2020-07-13,ES,63881,2040
2020-07-14,ES,65213,2082
2020-07-15,ES,66352,2097
2020-07-16,ES,68118,2136
2020-07-17,ES,69463,2174
2020-07-18,ES,70131,2202
2020-07-19,ES,70609,2222
2020-07-20,ES,71703,2256
2020-07-21,ES,72605,2280
2020-07-22,ES,73755,2308
2020-07-23,ES,74610,2341
2020-07-24,ES,75854,2373
2020-07-25,ES,76598,2386
2020-07-26,ES,77201,2411
2020-07-27,ES,78180,2437
2020-07-28,ES,79468,2463
2020-07-29,ES,80647,2490
2020-07-30,ES,81886,2514
2020-07-31,ES,83292,2545
2020-08-01,ES,83814,2566
2020-08-02,ES,84255,2578
2020-08-03,ES,85215,2601
2020-08-04,ES,86209,2628
2020-08-05,ES,87243,2646
2020-08-06,ES,88543,2667
2020-08-07,ES,89923,2698
2020-08-08,ES,91146,2720
2020-08-09,ES,91791,2735
2020-08-10,ES,93069,2764
2020-08-11,ES,94478,2783
2020-08-12,ES,95753,2805
2020-08-13,ES,96949,2823
2020-08-14,ES,98106,2849
2020-08-15,ES,98765,2864
2020-08-16,ES,99580,2875
2020-08-17,ES,100859,2908
2020-08-18,ES,101874,2938
2020-08-19,ES,103090,2963
2020-08-20,ES,104169,2980
2020-08-21,ES,104988,3002
2020-08-22,ES,105633,3016
2020-08-23,ES,105892,3026
2020-08-24,ES,106494,3045
2020-08-25,ES,107191,3068
2020-08-26,ES,107909,3086
2020-08-27,ES,108662,3105
2020-08-28,ES,109493,3117
2020-08-29,ES,110025,3129
2020-08-30,ES,110351,3135
2020-08-31,ES,111263,3158
2020-09-01,ES,112072,3184
2020-09-02,ES,112827,3204
2020-09-03,ES,113759,3221
2020-09-04,ES,114700,3235
2020-09-05,ES,115172,3242
2020-09-06,ES,115505,3256
2020-09-07,ES,115793,3268
2020-09-08,ES,116578,3286
2020-09-09,ES,117270,3298
2020-09-10,ES,118138,3314
2020-09-11,ES,118814,3332
2020-09-12,ES,119354,3338
2020-09-13,ES,119548,3346
2020-09-14,ES,120252,3359
2020-09-15,ES,120974,3376
2020-09-16,ES,121710,3388
2020-09-17,ES,122471,3399
2020-09-18,ES,123273,3404
2020-09-19,ES,123720,3408
2020-09-20,ES,124291,3422
2020-09-21,ES,125185,3432
2020-09-22,ES,125871,3444
2020-09-23,ES,126606,3452
2020-09-24,ES,127368,3459
2020-09-25,ES,128265,3485
2020-09-26,ES,128722,3492
2020-09-27,ES,129192,3504
2020-09-28,ES,129796,3524
2020-09-29,ES,130714,3538
2020-09-30,ES,131490,3545
2020-10-01,ES,132350,3551
2020-10-02,ES,133025,3565
2020-10-03,ES,133744,3572
2020-10-04,ES,134296,3580
2020-10-05,ES,135001,3594
2020-10-06,ES,135850,3604
2020-10-07,ES,136590,3617
2020-10-08,ES,137330,3628
2020-10-09,ES,138099,3640
2020-10-10,ES,138462,3646
2020-10-11,ES,138933,3650
2020-10-12,ES,139755,3659
2020-10-13,ES,140701,3680
2020-10-14,ES,141548,3689
2020-10-15,ES,142419,3694
2020-10-16,ES,143093,3704
2020-10-17,ES,143954,3709
2020-10-18,ES,144415,3713
2020-10-19,ES,145415,3728
2020-10-20,ES,146233,3740
2020-10-21,ES,147395,3755
2020-10-22,ES,148055,3767
2020-10-23,ES,149149,3773
2020-10-24,ES,149654,3780
2020-10-25,ES,150317,3787
2020-10-26,ES,151276,3799
2020-10-27,ES,152216,3817
2020-10-28,ES,153004,3826
2020-10-29,ES,154131,3841
2020-10-30,ES,154736,3847
2020-10-31,ES,155721,3855
2020-11-01,ES,156018,3862
2020-11-02,ES,156681,3864
2020-11-03,ES,157750,3876
2020-11-04,ES,158768,3884
2020-11-05,ES,159813,3896
2020-11-06,ES,160890,3910
2020-11-07,ES,161208,3919
2020-11-08,ES,162428,3926
2020-11-09,ES,163072,3938
2020-11-10,ES,164659,3953
2020-11-11,ES,165688,3969
2020-11-12,ES,166999,3982
2020-11-13,ES,168358,3993
2020-11-14,ES,168839,3998
2020-11-15,ES,169928,4009
2020-11-16,ES,171237,4030
2020-11-17,ES,172924,4037
2020-11-18,ES,174238,4058
2020-11-19,ES,175300,4082
2020-11-20,ES,176903,4101
2020-11-21,ES,177486,4114
2020-11-22,ES,178159,4128
2020-11-23,ES,179517,4149
2020-11-24,ES,181306,4172
2020-11-25,ES,182855,4186
2020-11-26,ES,184801,4207
2020-11-27,ES,186574,4224
2020-11-28,ES,188342,4245
2020-11-29,ES,188929,4252
2020-11-30,ES,190001,4279
2020-12-01,ES,191973,4296
2020-12-02,ES,193825,4324
2020-12-03,ES,195437,4349
2020-12-04,ES,197104,4374
2020-12-05,ES,198947,4385
2020-12-06,ES,200257,4397
2020-12-07,ES,202147,4431
2020-12-08,ES,204565,4455
2020-12-09,ES,206984,4485
2020-12-10,ES,208508,4514
2020-12-11,ES,210584,4544
2020-12-12,ES,212304,4560
2020-12-13,ES,213124,4571
2020-12-14,ES,215538,4609
2020-12-15,ES,217938,4630
2020-12-16,ES,220927,4663
2020-12-17,ES,223219,4696
2020-12-18,ES,225358,4727
2020-12-19,ES,227245,4747
2020-12-20,ES,228741,4760
2020-12-21,ES,230420,4796
2020-12-22,ES,232760,4839
2020-12-23,ES,234494,4866
2020-12-24,ES,236238,4898
2020-12-25,ES,236978,4915
2020-12-26,ES,238426,4928
2020-12-27,ES,239036,4941
2020-12-28,ES,242553,4996
2020-12-29,ES,244251,5031
2020-12-30,ES,246927,5066
2020-12-31,ES,248251,5081
2021-01-01,ES,249271,5093
2021-01-02,ES,250244,5115
2021-01-03,ES,251649,5124
2021-01-04,ES,253115,5176
2021-01-05,ES,255611,5202
2021-01-06,ES,257295,5231
2021-01-07,ES,258941,5265
2021-01-08,ES,260970,5287
2021-01-09,ES,262157,5307
2021-01-10,ES,263504,5321
2021-01-11,ES,265556,5354
2021-01-12,ES,267451,5384
2021-01-13,ES,269223,5419
2021-01-14,ES,271041,5450
2021-01-15,ES,273031,5474
2021-01-16,ES,274509,5493
2021-01-17,ES,275504,5506
2021-01-18,ES,277357,5536
2021-01-19,ES,279039,5565
2021-01-20,ES,280426,5590
2021-01-21,ES,282044,5615
2021-01-22,ES,283996,5634
2021-01-23,ES,284854,5658
2021-01-24,ES,285654,5668
2021-01-25,ES,287205,5716
2021-01-26,ES,288360,5747
2021-01-27,ES,289606,5777
2021-01-28,ES,289606,5777
