date,state,cases,deaths
2020-03-06,ES,1,0
2020-03-07,ES,1,0
2020-03-08,ES,1,0
2020-03-09,ES,1,0
2020-03-10,ES,1,0
2020-03-11,ES,1,0
2020-03-12,ES,1,0
2020-03-13,ES,1,0
2020-03-14,ES,1,0
2020-03-15,ES,1,0
2020-03-16,ES,1,0
2020-03-17,ES,1,0
2020-03-18,ES,9,0
2020-03-19,ES,8,0
2020-03-20,ES,10,0
2020-03-21,ES,15,0
2020-03-22,ES,15,0
2020-03-23,ES,19,0
2020-03-24,ES,25,0
2020-03-25,ES,25,0
2020-03-26,ES,31,0
2020-03-27,ES,36,0
2020-03-28,ES,41,0
2020-03-29,ES,51,0
2020-03-30,ES,59,0
2020-03-31,ES,69,0
2020-04-01,ES,86,0
2020-04-02,ES,103,2
2020-04-03,ES,114,3
2020-04-04,ES,123,4
2020-04-05,ES,132,4
2020-04-06,ES,145,4
2020-04-07,ES,162,4
2020-04-08,ES,196,4
2020-04-09,ES,219,5
2020-04-10,ES,253,6
2020-04-11,ES,282,7
2020-04-12,ES,319,10
2020-04-13,ES,344,11
2020-04-14,ES,422,12
2020-04-15,ES,559,15
2020-04-16,ES,727,20
2020-04-17,ES,743,20
2020-04-18,ES,855,21
2020-04-19,ES,936,25
2020-04-20,ES,947,25
2020-04-21,ES,1023,25
2020-04-22,ES,1060,28
2020-04-23,ES,1141,33
2020-04-24,ES,1319,37
2020-04-25,ES,1355,41
2020-04-26,ES,1437,46
2020-04-27,ES,1525,51
2020-04-28,ES,1712,64
2020-04-29,ES,2012,69
2020-04-30,ES,2134,77
2020-05-01,ES,2325,83
2020-05-02,ES,2483,86
2020-05-03,ES,2580,95
2020-05-04,ES,2699,100
2020-05-05,ES,2841,109
2020-05-06,ES,2988,119
2020-05-07,ES,3207,127
2020-05-08,ES,3427,134
2020-05-09,ES,3577,140
2020-05-10,ES,3739,148
2020-05-11,ES,3917,157
2020-05-12,ES,4143,168
2020-05-13,ES,4419,186
2020-05-14,ES,4777,200
2020-05-15,ES,5110,209
2020-05-16,ES,5386,216
2020-05-17,ES,5495,229
2020-05-18,ES,5806,244
2020-05-19,ES,6218,264
2020-05-20,ES,6882,278
2020-05-21,ES,7214,295
2020-05-22,ES,7772,325
2020-05-23,ES,8090,343
2020-05-24,ES,8171,371
2020-05-25,ES,8469,387
2020-05-26,ES,8925,408
2020-05-27,ES,9357,429
2020-05-28,ES,9995,450
2020-05-29,ES,10585,470
2020-05-30,ES,11021,491
2020-05-31,ES,11237,508
2020-06-01,ES,11767,528
2020-06-02,ES,12478,561
2020-06-03,ES,13257,589
2020-06-04,ES,13907,624
2020-06-05,ES,14934,661
2020-06-06,ES,15565,684
2020-06-07,ES,16111,706
2020-06-08,ES,17026,738
2020-06-09,ES,18107,766
2020-06-10,ES,19317,790
2020-06-11,ES,20116,811
2020-06-12,ES,20993,839
2020-06-13,ES,21414,863
2020-06-14,ES,21735,887
2020-06-15,ES,22783,914
2020-06-16,ES,23938,951
2020-06-17,ES,25216,991
2020-06-18,ES,26310,1030
2020-06-19,ES,27589,1067
2020-06-20,ES,28475,1093
2020-06-21,ES,28953,1122
2020-06-22,ES,30113,1172
2020-06-23,ES,30695,1204
2020-06-24,ES,32217,1236
2020-06-25,ES,33910,1258
2020-06-26,ES,34976,1274
2020-06-27,ES,34976,1274
2020-06-28,ES,36703,1327
2020-06-29,ES,37975,1367
2020-06-30,ES,39567,1396
2020-07-01,ES,41239,1432
2020-07-02,ES,42541,1462
2020-07-03,ES,43832,1489
2020-07-04,ES,44967,1512
2020-07-05,ES,45293,1532
2020-07-06,ES,46374,1561
2020-07-07,ES,48334,1595
2020-07-08,ES,50213,1628
2020-07-09,ES,51203,1643
2020-07-10,ES,52473,1677
2020-07-11,ES,53420,1701
2020-07-12,ES,53844,1713
2020-07-13,ES,54802,1739
2020-07-14,ES,56011,1776
2020-07-15,ES,56983,1789
2020-07-16,ES,58523,1821
2020-07-17,ES,59721,1856
2020-07-18,ES,60333,1881
2020-07-19,ES,60742,1901
2020-07-20,ES,61797,1936
2020-07-21,ES,62648,1960
2020-07-22,ES,63702,1982
2020-07-23,ES,64507,2012
2020-07-24,ES,65623,2040
2020-07-25,ES,66231,2050
2020-07-26,ES,66785,2071
2020-07-27,ES,67689,2095
2020-07-28,ES,68747,2122
2020-07-29,ES,69808,2145
2020-07-30,ES,70823,2166
2020-07-31,ES,72040,2193
2020-08-01,ES,72514,2211
2020-08-02,ES,72907,2222
2020-08-03,ES,73773,2245
2020-08-04,ES,74684,2270
2020-08-05,ES,75644,2284
2020-08-06,ES,76876,2301
2020-08-07,ES,78176,2327
2020-08-08,ES,79049,2346
2020-08-09,ES,79634,2359
2020-08-10,ES,80819,2384
2020-08-11,ES,82102,2401
2020-08-12,ES,83279,2422
2020-08-13,ES,84368,2438
2020-08-14,ES,85433,2465
2020-08-15,ES,86016,2481
2020-08-16,ES,86775,2493
2020-08-17,ES,87962,2524
2020-08-18,ES,88909,2549
2020-08-19,ES,90030,2574
2020-08-20,ES,91039,2590
2020-08-21,ES,91819,2610
2020-08-22,ES,92277,2622
2020-08-23,ES,92497,2631
2020-08-24,ES,93062,2648
2020-08-25,ES,93701,2670
2020-08-26,ES,94354,2687
2020-08-27,ES,95041,2703
2020-08-28,ES,95824,2711
2020-08-29,ES,96281,2722
2020-08-30,ES,96611,2728
2020-08-31,ES,97499,2753
2020-09-01,ES,98256,2777
2020-09-02,ES,98960,2795
2020-09-03,ES,99815,2812
2020-09-04,ES,100685,2826
2020-09-05,ES,101096,2831
2020-09-06,ES,101429,2845
2020-09-07,ES,101679,2857
2020-09-08,ES,102411,2873
2020-09-09,ES,103034,2884
2020-09-10,ES,103864,2899
2020-09-11,ES,104485,2919
2020-09-12,ES,104954,2925
2020-09-13,ES,105134,2932
2020-09-14,ES,105781,2944
2020-09-15,ES,106464,2959
2020-09-16,ES,107103,2970
2020-09-17,ES,107807,2982
2020-09-18,ES,108562,2987
2020-09-19,ES,108947,2987
2020-09-20,ES,109470,3000
2020-09-21,ES,110275,3009
2020-09-22,ES,110893,3023
2020-09-23,ES,111501,3032
2020-09-24,ES,112167,3038
2020-09-25,ES,112952,3064
2020-09-26,ES,113241,3071
2020-09-27,ES,113593,3083
2020-09-28,ES,114096,3102
2020-09-29,ES,114849,3113
2020-09-30,ES,115450,3121
2020-10-01,ES,116176,3127
2020-10-02,ES,116777,3141
2020-10-03,ES,117229,3149
2020-10-04,ES,117587,3157
2020-10-05,ES,118175,3171
2020-10-06,ES,119024,3181
2020-10-07,ES,119465,3194
2020-10-08,ES,120117,3205
2020-10-09,ES,120764,3216
2020-10-10,ES,121051,3215
2020-10-11,ES,121522,3219
2020-10-12,ES,122344,3228
2020-10-13,ES,123290,3249
2020-10-14,ES,123613,3260
2020-10-15,ES,124365,3265
2020-10-16,ES,124924,3273
2020-10-17,ES,125627,3277
2020-10-18,ES,126088,3281
2020-10-19,ES,126833,3293
2020-10-20,ES,127545,3304
2020-10-21,ES,128524,3316
2020-10-22,ES,129119,3328
2020-10-23,ES,130058,3336
2020-10-24,ES,130507,3342
2020-10-25,ES,131083,3349
2020-10-26,ES,131936,3359
2020-10-27,ES,132778,3375
2020-10-28,ES,133467,3383
2020-10-29,ES,134384,3396
2020-10-30,ES,134904,3400
2020-10-31,ES,135889,3408
2020-11-01,ES,136017,3411
2020-11-02,ES,136576,3412
2020-11-03,ES,137479,3423
2020-11-04,ES,138371,3431
2020-11-05,ES,139235,3441
2020-11-06,ES,140074,3452
2020-11-07,ES,140338,3458
2020-11-08,ES,141162,3465
2020-11-09,ES,141765,3475
2020-11-10,ES,143168,3489
2020-11-11,ES,144197,3505
2020-11-12,ES,145126,3510
2020-11-13,ES,146485,3521
2020-11-14,ES,146707,3524
2020-11-15,ES,147593,3535
2020-11-16,ES,148777,3553
2020-11-17,ES,150231,3557
2020-11-18,ES,151363,3572
2020-11-19,ES,152294,3590
2020-11-20,ES,153798,3608
2020-11-21,ES,154358,3618
2020-11-22,ES,154998,3631
2020-11-23,ES,156256,3649
2020-11-24,ES,157901,3671
2020-11-25,ES,159220,3682
2020-11-26,ES,160957,3702
2020-11-27,ES,162634,3714
2020-11-28,ES,164259,3735
2020-11-29,ES,164812,3740
2020-11-30,ES,165839,3762
2020-12-01,ES,167679,3781
2020-12-02,ES,169344,3802
2020-12-03,ES,170910,3824
2020-12-04,ES,172433,3850
2020-12-05,ES,174144,3860
2020-12-06,ES,175330,3871
2020-12-07,ES,177088,3905
2020-12-08,ES,179365,3925
2020-12-09,ES,181643,3953
2020-12-10,ES,183049,3981
2020-12-11,ES,185008,4008
2020-12-12,ES,186343,4019
2020-12-13,ES,187146,4029
2020-12-14,ES,189310,4058
2020-12-15,ES,191582,4077
2020-12-16,ES,194386,4107
2020-12-17,ES,196511,4139
2020-12-18,ES,198467,4166
2020-12-19,ES,200170,4181
2020-12-20,ES,201461,4192
2020-12-21,ES,202975,4223
2020-12-22,ES,205113,4263
2020-12-23,ES,206749,4288
2020-12-24,ES,208354,4317
2020-12-25,ES,209030,4334
2020-12-26,ES,210300,4343
2020-12-27,ES,210910,4356
2020-12-28,ES,214142,4406
2020-12-29,ES,215686,4440
2020-12-30,ES,218256,4474
2020-12-31,ES,219387,4486
2021-01-01,ES,220357,4496
2021-01-02,ES,221247,4517
2021-01-03,ES,222504,4526
2021-01-04,ES,223875,4575
2021-01-05,ES,225991,4598
2021-01-06,ES,227568,4625
2021-01-07,ES,229129,4654
2021-01-08,ES,231050,4677
2021-01-09,ES,232134,4696
2021-01-10,ES,233130,4710
2021-01-11,ES,235066,4741
2021-01-12,ES,236776,4768
2021-01-13,ES,238454,4800
2021-01-14,ES,240159,4830
2021-01-15,ES,241989,4851
2021-01-16,ES,243378,4869
2021-01-17,ES,244301,4882
2021-01-18,ES,246154,4912
2021-01-19,ES,247836,4941
2021-01-20,ES,248908,4963
2021-01-21,ES,250391,4987
2021-01-22,ES,252343,5006
2021-01-23,ES,253201,5030
2021-01-24,ES,254001,5040
2021-01-25,ES,255144,5077
2021-01-26,ES,256240,5107
2021-01-27,ES,257436,5135
2021-01-28,ES,257436,5135
