date,state,city,cases,deaths
2020-03-12,GO,Goiânia/GO,2,0
2020-03-13,GO,Goiânia/GO,2,0
2020-03-14,GO,Goiânia/GO,3,0
2020-03-15,GO,Goiânia/GO,3,0
2020-03-16,GO,Goiânia/GO,5,0
2020-03-17,GO,Goiânia/GO,5,0
2020-03-18,GO,Goiânia/GO,5,0
2020-03-19,GO,Goiânia/GO,7,0
2020-03-20,GO,Goiânia/GO,9,0
2020-03-21,GO,Goiânia/GO,9,0
2020-03-22,GO,Goiânia/GO,11,0
2020-03-23,GO,Goiânia/GO,12,0
2020-03-24,GO,Goiânia/GO,15,0
2020-03-25,GO,Goiânia/GO,15,0
2020-03-26,GO,Goiânia/GO,21,0
2020-03-27,GO,Goiânia/GO,26,0
2020-03-28,GO,Goiânia/GO,33,0
2020-03-29,GO,Goiânia/GO,33,0
2020-03-30,GO,Goiânia/GO,35,0
2020-03-31,GO,Goiânia/GO,39,0
2020-04-01,GO,Goiânia/GO,42,0
2020-04-02,GO,Goiânia/GO,43,0
2020-04-03,GO,Goiânia/GO,50,1
2020-04-04,GO,Goiânia/GO,65,1
2020-04-05,GO,Goiânia/GO,73,2
2020-04-06,GO,Goiânia/GO,73,4
2020-04-07,GO,Goiânia/GO,76,4
2020-04-08,GO,Goiânia/GO,85,4
2020-04-09,GO,Goiânia/GO,102,4
2020-04-10,GO,Goiânia/GO,109,5
2020-04-11,GO,Goiânia/GO,114,5
2020-04-12,GO,Goiânia/GO,126,7
2020-04-13,GO,Goiânia/GO,130,7
2020-04-14,GO,Goiânia/GO,160,7
2020-04-15,GO,Goiânia/GO,176,7
2020-04-16,GO,Goiânia/GO,182,8
2020-04-17,GO,Goiânia/GO,188,8
2020-04-18,GO,Goiânia/GO,226,10
2020-04-19,GO,Goiânia/GO,231,10
2020-04-20,GO,Goiânia/GO,230,10
2020-04-21,GO,Goiânia/GO,240,10
2020-04-22,GO,Goiânia/GO,255,10
2020-04-23,GO,Goiânia/GO,257,11
2020-04-24,GO,Goiânia/GO,267,11
2020-04-25,GO,Goiânia/GO,273,11
2020-04-26,GO,Goiânia/GO,333,11
2020-04-27,GO,Goiânia/GO,364,12
2020-04-28,GO,Goiânia/GO,392,12
2020-04-29,GO,Goiânia/GO,404,12
2020-04-30,GO,Goiânia/GO,453,12
2020-05-01,GO,Goiânia/GO,457,12
2020-05-02,GO,Goiânia/GO,467,12
2020-05-03,GO,Goiânia/GO,487,12
2020-05-04,GO,Goiânia/GO,496,12
2020-05-05,GO,Goiânia/GO,545,14
2020-05-06,GO,Goiânia/GO,545,14
2020-05-07,GO,Goiânia/GO,547,21
2020-05-08,GO,Goiânia/GO,550,23
2020-05-09,GO,Goiânia/GO,550,23
2020-05-10,GO,Goiânia/GO,550,23
2020-05-11,GO,Goiânia/GO,578,23
2020-05-12,GO,Goiânia/GO,585,24
2020-05-13,GO,Goiânia/GO,665,27
2020-05-14,GO,Goiânia/GO,758,31
2020-05-15,GO,Goiânia/GO,873,30
2020-05-16,GO,Goiânia/GO,890,30
2020-05-17,GO,Goiânia/GO,921,30
2020-05-18,GO,Goiânia/GO,935,30
2020-05-19,GO,Goiânia/GO,964,30
2020-05-20,GO,Goiânia/GO,1028,34
2020-05-21,GO,Goiânia/GO,1049,36
2020-05-22,GO,Goiânia/GO,1163,41
2020-05-23,GO,Goiânia/GO,1184,41
2020-05-24,GO,Goiânia/GO,1206,41
2020-05-25,GO,Goiânia/GO,1200,41
2020-05-26,GO,Goiânia/GO,1307,44
2020-05-27,GO,Goiânia/GO,1393,44
2020-05-28,GO,Goiânia/GO,1473,49
2020-05-29,GO,Goiânia/GO,1556,49
2020-05-30,GO,Goiânia/GO,1581,52
2020-05-31,GO,Goiânia/GO,1661,52
2020-06-01,GO,Goiânia/GO,1730,53
2020-06-02,GO,Goiânia/GO,1809,65
2020-06-03,GO,Goiânia/GO,1847,67
2020-06-04,GO,Goiânia/GO,2028,71
2020-06-05,GO,Goiânia/GO,2291,72
2020-06-06,GO,Goiânia/GO,2329,75
2020-06-07,GO,Goiânia/GO,2345,75
2020-06-08,GO,Goiânia/GO,2428,75
2020-06-09,GO,Goiânia/GO,2616,81
2020-06-10,GO,Goiânia/GO,2775,82
2020-06-11,GO,Goiânia/GO,2818,82
2020-06-12,GO,Goiânia/GO,2842,87
2020-06-13,GO,Goiânia/GO,2851,89
2020-06-14,GO,Goiânia/GO,2856,89
2020-06-15,GO,Goiânia/GO,3220,92
2020-06-16,GO,Goiânia/GO,3849,95
2020-06-17,GO,Goiânia/GO,4150,94
2020-06-18,GO,Goiânia/GO,4442,99
2020-06-19,GO,Goiânia/GO,4679,108
2020-06-20,GO,Goiânia/GO,4717,110
2020-06-21,GO,Goiânia/GO,4774,112
2020-06-22,GO,Goiânia/GO,5159,122
2020-06-23,GO,Goiânia/GO,5359,130
2020-06-24,GO,Goiânia/GO,5728,137
2020-06-25,GO,Goiânia/GO,5958,138
2020-06-26,GO,Goiânia/GO,6111,150
2020-06-27,GO,Goiânia/GO,6122,153
2020-06-28,GO,Goiânia/GO,6126,153
2020-06-29,GO,Goiânia/GO,6655,161
2020-06-30,GO,Goiânia/GO,6956,167
2020-07-01,GO,Goiânia/GO,7065,169
2020-07-02,GO,Goiânia/GO,7119,186
2020-07-03,GO,Goiânia/GO,7474,195
2020-07-04,GO,Goiânia/GO,7825,198
2020-07-05,GO,Goiânia/GO,7825,198
2020-07-06,GO,Goiânia/GO,8290,202
2020-07-07,GO,Goiânia/GO,8640,232
2020-07-08,GO,Goiânia/GO,8906,240
2020-07-09,GO,Goiânia/GO,9058,252
2020-07-10,GO,Goiânia/GO,9194,264
2020-07-11,GO,Goiânia/GO,9188,266
2020-07-12,GO,Goiânia/GO,9361,266
2020-07-13,GO,Goiânia/GO,9229,271
2020-07-14,GO,Goiânia/GO,9422,273
2020-07-15,GO,Goiânia/GO,9634,281
2020-07-16,GO,Goiânia/GO,9763,297
2020-07-17,GO,Goiânia/GO,9804,306
2020-07-18,GO,Goiânia/GO,9793,309
2020-07-19,GO,Goiânia/GO,9790,311
2020-07-20,GO,Goiânia/GO,9884,325
2020-07-21,GO,Goiânia/GO,11080,336
2020-07-22,GO,Goiânia/GO,11902,354
2020-07-23,GO,Goiânia/GO,12605,383
2020-07-24,GO,Goiânia/GO,13352,399
2020-07-25,GO,Goiânia/GO,13516,409
2020-07-26,GO,Goiânia/GO,13520,413
2020-07-27,GO,Goiânia/GO,14435,417
2020-07-28,GO,Goiânia/GO,15200,430
2020-07-29,GO,Goiânia/GO,15874,437
2020-07-30,GO,Goiânia/GO,16624,449
2020-07-31,GO,Goiânia/GO,17285,486
2020-08-01,GO,Goiânia/GO,17321,487
2020-08-02,GO,Goiânia/GO,17326,487
2020-08-03,GO,Goiânia/GO,17358,488
2020-08-04,GO,Goiânia/GO,18366,510
2020-08-05,GO,Goiânia/GO,19405,533
2020-08-06,GO,Goiânia/GO,20608,537
2020-08-07,GO,Goiânia/GO,21201,541
2020-08-08,GO,Goiânia/GO,21334,544
2020-08-09,GO,Goiânia/GO,21387,544
2020-08-10,GO,Goiânia/GO,21974,556
2020-08-11,GO,Goiânia/GO,22764,575
2020-08-12,GO,Goiânia/GO,23693,589
2020-08-13,GO,Goiânia/GO,24550,610
2020-08-14,GO,Goiânia/GO,25241,628
2020-08-15,GO,Goiânia/GO,25412,633
2020-08-16,GO,Goiânia/GO,25664,633
2020-08-17,GO,Goiânia/GO,26216,645
2020-08-18,GO,Goiânia/GO,27362,676
2020-08-19,GO,Goiânia/GO,27879,690
2020-08-20,GO,Goiânia/GO,28219,752
2020-08-21,GO,Goiânia/GO,28788,780
2020-08-22,GO,Goiânia/GO,28979,793
2020-08-23,GO,Goiânia/GO,29412,795
2020-08-24,GO,Goiânia/GO,30114,804
2020-08-25,GO,Goiânia/GO,30676,820
2020-08-26,GO,Goiânia/GO,31674,854
2020-08-27,GO,Goiânia/GO,31836,871
2020-08-28,GO,Goiânia/GO,32231,885
2020-08-29,GO,Goiânia/GO,32386,893
2020-08-30,GO,Goiânia/GO,32514,893
2020-08-31,GO,Goiânia/GO,32923,908
2020-09-01,GO,Goiânia/GO,33455,927
2020-09-02,GO,Goiânia/GO,34301,943
2020-09-03,GO,Goiânia/GO,34998,960
2020-09-04,GO,Goiânia/GO,35493,979
2020-09-05,GO,Goiânia/GO,36182,982
2020-09-06,GO,Goiânia/GO,36282,983
2020-09-07,GO,Goiânia/GO,36387,985
2020-09-08,GO,Goiânia/GO,36746,986
2020-09-09,GO,Goiânia/GO,37439,1028
2020-09-10,GO,Goiânia/GO,38388,1057
2020-09-11,GO,Goiânia/GO,39565,1068
2020-09-12,GO,Goiânia/GO,39608,1071
2020-09-13,GO,Goiânia/GO,39797,1074
2020-09-14,GO,Goiânia/GO,41698,1098
2020-09-15,GO,Goiânia/GO,42978,1116
2020-09-16,GO,Goiânia/GO,44324,1135
2020-09-17,GO,Goiânia/GO,45662,1168
2020-09-18,GO,Goiânia/GO,47280,1189
2020-09-19,GO,Goiânia/GO,47556,1196
2020-09-20,GO,Goiânia/GO,47699,1206
2020-09-21,GO,Goiânia/GO,47887,1220
2020-09-22,GO,Goiânia/GO,49167,1227
2020-09-23,GO,Goiânia/GO,50253,1249
2020-09-24,GO,Goiânia/GO,51010,1288
2020-09-25,GO,Goiânia/GO,51440,1309
2020-09-26,GO,Goiânia/GO,51564,1317
2020-09-27,GO,Goiânia/GO,51792,1323
2020-09-28,GO,Goiânia/GO,53081,1340
2020-09-29,GO,Goiânia/GO,53726,1367
2020-09-30,GO,Goiânia/GO,54488,1382
2020-10-01,GO,Goiânia/GO,55020,1406
2020-10-02,GO,Goiânia/GO,55500,1417
2020-10-03,GO,Goiânia/GO,55500,1417
2020-10-04,GO,Goiânia/GO,55576,1420
2020-10-05,GO,Goiânia/GO,55955,1436
2020-10-06,GO,Goiânia/GO,57149,1450
2020-10-07,GO,Goiânia/GO,57816,1495
2020-10-08,GO,Goiânia/GO,58208,1514
2020-10-09,GO,Goiânia/GO,58481,1526
2020-10-10,GO,Goiânia/GO,58645,1537
2020-10-11,GO,Goiânia/GO,58796,1538
2020-10-12,GO,Goiânia/GO,58864,1539
2020-10-13,GO,Goiânia/GO,59168,1552
2020-10-14,GO,Goiânia/GO,59472,1561
2020-10-15,GO,Goiânia/GO,59764,1567
2020-10-16,GO,Goiânia/GO,59845,1580
2020-10-17,GO,Goiânia/GO,59845,1580
2020-10-18,GO,Goiânia/GO,59845,1580
2020-10-19,GO,Goiânia/GO,61001,1587
2020-10-20,GO,Goiânia/GO,61175,1591
2020-10-21,GO,Goiânia/GO,61550,1601
2020-10-22,GO,Goiânia/GO,62535,1605
2020-10-23,GO,Goiânia/GO,62835,1614
2020-10-24,GO,Goiânia/GO,63057,1616
2020-10-25,GO,Goiânia/GO,63222,1618
2020-10-26,GO,Goiânia/GO,63486,1633
2020-10-27,GO,Goiânia/GO,64290,1634
2020-10-28,GO,Goiânia/GO,64622,1635
2020-10-29,GO,Goiânia/GO,64962,1675
2020-10-30,GO,Goiânia/GO,65133,1681
2020-10-31,GO,Goiânia/GO,65355,1681
2020-11-01,GO,Goiânia/GO,65583,1683
2020-11-02,GO,Goiânia/GO,65755,1683
2020-11-03,GO,Goiânia/GO,66039,1696
2020-11-04,GO,Goiânia/GO,66213,1709
2020-11-05,GO,Goiânia/GO,66519,1731
2020-11-06,GO,Goiânia/GO,66708,1730
2020-11-07,GO,Goiânia/GO,66876,1730
2020-11-08,GO,Goiânia/GO,66922,1730
2020-11-09,GO,Goiânia/GO,67225,1730
2020-11-10,GO,Goiânia/GO,67789,1730
2020-11-11,GO,Goiânia/GO,67955,1734
2020-11-12,GO,Goiânia/GO,68180,1753
2020-11-13,GO,Goiânia/GO,68444,1794
2020-11-14,GO,Goiânia/GO,68545,1795
2020-11-15,GO,Goiânia/GO,68631,1799
2020-11-16,GO,Goiânia/GO,69040,1811
2020-11-17,GO,Goiânia/GO,69193,1824
2020-11-18,GO,Goiânia/GO,69449,1839
2020-11-19,GO,Goiânia/GO,69833,1875
2020-11-20,GO,Goiânia/GO,70105,1883
2020-11-21,GO,Goiânia/GO,70272,1891
2020-11-22,GO,Goiânia/GO,70312,1891
