date,state,cases,deaths
2020-03-12,GO,3,0
2020-03-13,GO,3,0
2020-03-14,GO,4,0
2020-03-15,GO,4,0
2020-03-16,GO,9,0
2020-03-17,GO,10,0
2020-03-18,GO,12,0
2020-03-19,GO,15,0
2020-03-20,GO,18,0
2020-03-21,GO,20,0
2020-03-22,GO,21,0
2020-03-23,GO,23,0
2020-03-24,GO,29,0
2020-03-25,GO,35,0
2020-03-26,GO,39,1
2020-03-27,GO,49,1
2020-03-28,GO,56,1
2020-03-29,GO,58,1
2020-03-30,GO,61,1
2020-03-31,GO,65,1
2020-04-01,GO,73,1
2020-04-02,GO,73,1
2020-04-03,GO,88,2
2020-04-04,GO,103,2
2020-04-05,GO,115,3
2020-04-06,GO,119,5
2020-04-07,GO,133,5
2020-04-08,GO,159,7
2020-04-09,GO,179,7
2020-04-10,GO,191,8
2020-04-11,GO,209,10
2020-04-12,GO,229,14
2020-04-13,GO,233,15
2020-04-14,GO,284,15
2020-04-15,GO,304,15
2020-04-16,GO,318,16
2020-04-17,GO,335,16
2020-04-18,GO,378,18
2020-04-19,GO,393,18
2020-04-20,GO,403,19
2020-04-21,GO,421,19
2020-04-22,GO,438,21
2020-04-23,GO,453,23
2020-04-24,GO,486,24
2020-04-25,GO,506,25
2020-04-26,GO,573,25
2020-04-27,GO,616,26
2020-04-28,GO,661,27
2020-04-29,GO,705,27
2020-04-30,GO,781,29
2020-05-01,GO,808,29
2020-05-02,GO,825,30
2020-05-03,GO,850,30
2020-05-04,GO,861,30
2020-05-05,GO,922,38
2020-05-06,GO,1024,45
2020-05-07,GO,1027,44
2020-05-08,GO,1053,49
2020-05-09,GO,1069,49
2020-05-10,GO,1093,49
2020-05-11,GO,1100,49
2020-05-12,GO,1115,52
2020-05-13,GO,1225,61
2020-05-14,GO,1460,67
2020-05-15,GO,1605,67
2020-05-16,GO,1652,69
2020-05-17,GO,1692,70
2020-05-18,GO,1781,73
2020-05-19,GO,1880,73
2020-05-20,GO,2049,78
2020-05-21,GO,2155,85
2020-05-22,GO,2344,95
2020-05-23,GO,2435,95
2020-05-24,GO,2488,95
2020-05-25,GO,2515,96
2020-05-26,GO,2706,104
2020-05-27,GO,2906,108
2020-05-28,GO,3101,115
2020-05-29,GO,3521,119
2020-05-30,GO,3609,124
2020-05-31,GO,3726,124
2020-06-01,GO,4017,127
2020-06-02,GO,4486,155
2020-06-03,GO,4701,159
2020-06-04,GO,5102,164
2020-06-05,GO,5605,167
2020-06-06,GO,5770,172
2020-06-07,GO,5857,173
2020-06-08,GO,6302,173
2020-06-09,GO,6936,184
2020-06-10,GO,7380,189
2020-06-11,GO,7774,194
2020-06-12,GO,7926,206
2020-06-13,GO,7941,211
2020-06-14,GO,7960,216
2020-06-15,GO,10441,238
2020-06-16,GO,11836,249
2020-06-17,GO,12776,255
2020-06-18,GO,13665,275
2020-06-19,GO,14540,289
2020-06-20,GO,15450,295
2020-06-21,GO,15904,306
2020-06-22,GO,17085,324
2020-06-23,GO,18014,355
2020-06-24,GO,19280,375
2020-06-25,GO,20377,384
2020-06-26,GO,21441,425
2020-06-27,GO,21865,434
2020-06-28,GO,22165,436
2020-06-29,GO,23379,467
2020-06-30,GO,24910,491
2020-07-01,GO,26145,521
2020-07-02,GO,26318,572
2020-07-03,GO,27502,602
2020-07-04,GO,28526,621
2020-07-05,GO,28526,621
2020-07-06,GO,30187,654
2020-07-07,GO,32001,726
2020-07-08,GO,33367,748
2020-07-09,GO,34627,795
2020-07-10,GO,35706,835
2020-07-11,GO,36273,847
2020-07-12,GO,36556,851
2020-07-13,GO,37333,880
2020-07-14,GO,38299,910
2020-07-15,GO,39474,959
2020-07-16,GO,40544,1018
2020-07-17,GO,40718,1051
2020-07-18,GO,40795,1086
2020-07-19,GO,40782,1106
2020-07-20,GO,41433,1145
2020-07-21,GO,45254,1178
2020-07-22,GO,48682,1237
2020-07-23,GO,51423,1295
2020-07-24,GO,54154,1353
2020-07-25,GO,55567,1380
2020-07-26,GO,56250,1395
2020-07-27,GO,59043,1457
2020-07-28,GO,61613,1501
2020-07-29,GO,64250,1554
2020-07-30,GO,66899,1606
2020-07-31,GO,69249,1677
2020-08-01,GO,69820,1691
2020-08-02,GO,70176,1701
2020-08-03,GO,70252,1716
2020-08-04,GO,75010,1817
2020-08-05,GO,78403,1888
2020-08-06,GO,81719,1924
2020-08-07,GO,84175,1974
2020-08-08,GO,84963,2017
2020-08-09,GO,85154,2020
2020-08-10,GO,88573,2072
2020-08-11,GO,91849,2122
2020-08-12,GO,95177,2182
2020-08-13,GO,98422,2238
2020-08-14,GO,100897,2286
2020-08-15,GO,101290,2314
2020-08-16,GO,101919,2330
2020-08-17,GO,104588,2378
2020-08-18,GO,107910,2464
2020-08-19,GO,110704,2516
2020-08-20,GO,111985,2625
2020-08-21,GO,114705,2688
2020-08-22,GO,116058,2735
2020-08-23,GO,116664,2743
2020-08-24,GO,120223,2804
2020-08-25,GO,123306,2862
2020-08-26,GO,126420,2933
2020-08-27,GO,128241,2987
2020-08-28,GO,130208,3044
2020-08-29,GO,130541,3066
2020-08-30,GO,130977,3089
2020-08-31,GO,133796,3159
2020-09-01,GO,136741,3242
2020-09-02,GO,140192,3323
2020-09-03,GO,143793,3385
2020-09-04,GO,146441,3440
2020-09-05,GO,147485,3450
2020-09-06,GO,147717,3466
2020-09-07,GO,147933,3481
2020-09-08,GO,150865,3484
2020-09-09,GO,154755,3605
2020-09-10,GO,158548,3701
2020-09-11,GO,162204,3761
2020-09-12,GO,162936,3793
2020-09-13,GO,163535,3805
2020-09-14,GO,168026,3877
2020-09-15,GO,171120,3927
2020-09-16,GO,174796,3971
2020-09-17,GO,178413,4057
2020-09-18,GO,182554,4120
2020-09-19,GO,183481,4142
2020-09-20,GO,184021,4158
2020-09-21,GO,186596,4216
2020-09-22,GO,190362,4250
2020-09-23,GO,193827,4307
2020-09-24,GO,196862,4390
2020-09-25,GO,199325,4474
2020-09-26,GO,199717,4505
2020-09-27,GO,200144,4522
2020-09-28,GO,204932,4582
2020-09-29,GO,207859,4651
2020-09-30,GO,211240,4705
2020-10-01,GO,213580,4771
2020-10-02,GO,215764,4832
2020-10-03,GO,215938,4832
2020-10-04,GO,216582,4867
2020-10-05,GO,219323,4927
2020-10-06,GO,222589,4989
2020-10-07,GO,225054,5065
2020-10-08,GO,226656,5118
2020-10-09,GO,228426,5160
2020-10-10,GO,228714,5189
2020-10-11,GO,228974,5199
2020-10-12,GO,229149,5209
2020-10-13,GO,231182,5252
2020-10-14,GO,233318,5289
2020-10-15,GO,235228,5333
2020-10-16,GO,236726,5374
2020-10-17,GO,236814,5374
2020-10-18,GO,236814,5374
2020-10-19,GO,239808,5432
2020-10-20,GO,240724,5466
2020-10-21,GO,242134,5491
2020-10-22,GO,244712,5527
2020-10-23,GO,246521,5563
2020-10-24,GO,247143,5567
2020-10-25,GO,247507,5578
2020-10-26,GO,249341,5618
2020-10-27,GO,251717,5648
2020-10-28,GO,253510,5654
2020-10-29,GO,255088,5732
2020-10-30,GO,255362,5753
2020-10-31,GO,255646,5755
2020-11-01,GO,255959,5762
2020-11-02,GO,256256,5762
2020-11-03,GO,257422,5790
2020-11-04,GO,258331,5825
2020-11-05,GO,260133,5869
2020-11-06,GO,261093,5874
2020-11-07,GO,261347,5874
2020-11-08,GO,261452,5874
2020-11-09,GO,262722,5874
2020-11-10,GO,264271,5874
2020-11-11,GO,265131,5900
2020-11-12,GO,266553,5936
2020-11-13,GO,267319,6029
2020-11-14,GO,267540,6030
2020-11-15,GO,267772,6035
2020-11-16,GO,268997,6060
2020-11-17,GO,269805,6092
2020-11-18,GO,270918,6130
2020-11-19,GO,272094,6201
2020-11-20,GO,272956,6224
2020-11-21,GO,273234,6244
2020-11-22,GO,273308,6245
2020-11-23,GO,274139,6263
2020-11-24,GO,275529,6281
2020-11-25,GO,276135,6300
2020-11-26,GO,276943,6305
2020-11-27,GO,278738,6339
2020-11-28,GO,278880,6348
2020-11-29,GO,278960,6349
2020-11-30,GO,279892,6373
2020-12-01,GO,281635,6386
2020-12-02,GO,283442,6401
2020-12-03,GO,284568,6420
2020-12-04,GO,285824,6438
2020-12-05,GO,285971,6455
2020-12-06,GO,286044,6460
2020-12-07,GO,287245,6480
2020-12-08,GO,288822,6504
2020-12-09,GO,290107,6520
2020-12-10,GO,292282,6531
2020-12-11,GO,293418,6549
2020-12-12,GO,293418,6549
2020-12-13,GO,293418,6549
2020-12-14,GO,294282,6573
2020-12-15,GO,296190,6586
2020-12-16,GO,298211,6631
2020-12-17,GO,299447,6651
2020-12-18,GO,300229,6659
2020-12-19,GO,300284,6663
2020-12-20,GO,300284,6663
2020-12-21,GO,301502,6668
2020-12-22,GO,302698,6685
2020-12-23,GO,303903,6740
2020-12-24,GO,304175,6744
2020-12-25,GO,304272,6748
2020-12-26,GO,304442,6752
2020-12-27,GO,304505,6753
2020-12-28,GO,306395,6776
2020-12-29,GO,307686,6789
2020-12-30,GO,308840,6805
2020-12-31,GO,309110,6805
2021-01-01,GO,309191,6805
2021-01-02,GO,309320,6805
2021-01-03,GO,309454,6805
2021-01-04,GO,311067,6857
2021-01-05,GO,312124,6898
2021-01-06,GO,313755,6901
2021-01-07,GO,315563,6933
2021-01-08,GO,316852,6946
2021-01-09,GO,317166,6964
2021-01-10,GO,317477,6965
2021-01-11,GO,319768,6965
2021-01-12,GO,321948,7007
2021-01-13,GO,324064,7020
2021-01-14,GO,326130,7065
2021-01-15,GO,327821,7077
2021-01-16,GO,328062,7102
2021-01-17,GO,328197,7102
2021-01-18,GO,330106,7107
2021-01-19,GO,332391,7107
2021-01-20,GO,334271,7194
2021-01-21,GO,335649,7226
2021-01-22,GO,337857,7261
2021-01-23,GO,338076,7282
2021-01-24,GO,338155,7286
2021-01-25,GO,340899,7295
2021-01-26,GO,342816,7318
2021-01-27,GO,345682,7344
2021-01-28,GO,347159,7427
