date,state,cases,deaths
2020-03-12,GO,1,0
2020-03-13,GO,1,0
2020-03-14,GO,1,0
2020-03-15,GO,1,0
2020-03-16,GO,4,0
2020-03-17,GO,5,0
2020-03-18,GO,7,0
2020-03-19,GO,8,0
2020-03-20,GO,9,0
2020-03-21,GO,11,0
2020-03-22,GO,10,0
2020-03-23,GO,11,0
2020-03-24,GO,14,0
2020-03-25,GO,20,0
2020-03-26,GO,18,1
2020-03-27,GO,23,1
2020-03-28,GO,23,1
2020-03-29,GO,25,1
2020-03-30,GO,26,1
2020-03-31,GO,26,1
2020-04-01,GO,31,1
2020-04-02,GO,30,1
2020-04-03,GO,38,1
2020-04-04,GO,38,1
2020-04-05,GO,42,1
2020-04-06,GO,46,1
2020-04-07,GO,57,1
2020-04-08,GO,74,3
2020-04-09,GO,77,3
2020-04-10,GO,82,3
2020-04-11,GO,95,5
2020-04-12,GO,103,7
2020-04-13,GO,103,8
2020-04-14,GO,124,8
2020-04-15,GO,128,8
2020-04-16,GO,136,8
2020-04-17,GO,147,8
2020-04-18,GO,152,8
2020-04-19,GO,162,8
2020-04-20,GO,173,9
2020-04-21,GO,181,9
2020-04-22,GO,183,11
2020-04-23,GO,196,12
2020-04-24,GO,219,13
2020-04-25,GO,233,14
2020-04-26,GO,240,14
2020-04-27,GO,252,14
2020-04-28,GO,269,15
2020-04-29,GO,301,15
2020-04-30,GO,328,17
2020-05-01,GO,351,17
2020-05-02,GO,358,18
2020-05-03,GO,363,18
2020-05-04,GO,365,18
2020-05-05,GO,377,24
2020-05-06,GO,479,31
2020-05-07,GO,480,23
2020-05-08,GO,503,26
2020-05-09,GO,519,26
2020-05-10,GO,543,26
2020-05-11,GO,522,26
2020-05-12,GO,530,28
2020-05-13,GO,560,34
2020-05-14,GO,702,36
2020-05-15,GO,732,37
2020-05-16,GO,762,39
2020-05-17,GO,771,40
2020-05-18,GO,846,43
2020-05-19,GO,916,43
2020-05-20,GO,1021,44
2020-05-21,GO,1106,49
2020-05-22,GO,1181,54
2020-05-23,GO,1251,54
2020-05-24,GO,1282,54
2020-05-25,GO,1315,55
2020-05-26,GO,1399,60
2020-05-27,GO,1513,64
2020-05-28,GO,1628,66
2020-05-29,GO,1965,70
2020-05-30,GO,2028,72
2020-05-31,GO,2065,72
2020-06-01,GO,2287,74
2020-06-02,GO,2677,90
2020-06-03,GO,2854,92
2020-06-04,GO,3074,93
2020-06-05,GO,3314,95
2020-06-06,GO,3441,97
2020-06-07,GO,3512,98
2020-06-08,GO,3874,98
2020-06-09,GO,4320,103
2020-06-10,GO,4605,107
2020-06-11,GO,4956,112
2020-06-12,GO,5084,119
2020-06-13,GO,5090,122
2020-06-14,GO,5104,127
2020-06-15,GO,7221,146
2020-06-16,GO,7987,154
2020-06-17,GO,8626,161
2020-06-18,GO,9223,176
2020-06-19,GO,9861,181
2020-06-20,GO,10733,185
2020-06-21,GO,11130,194
2020-06-22,GO,11926,202
2020-06-23,GO,12655,225
2020-06-24,GO,13552,238
2020-06-25,GO,14419,246
2020-06-26,GO,15330,275
2020-06-27,GO,15743,281
2020-06-28,GO,16039,283
2020-06-29,GO,16724,306
2020-06-30,GO,17954,324
2020-07-01,GO,19080,352
2020-07-02,GO,19199,386
2020-07-03,GO,20028,407
2020-07-04,GO,20701,423
2020-07-05,GO,20701,423
2020-07-06,GO,21897,452
2020-07-07,GO,23361,494
2020-07-08,GO,24461,508
2020-07-09,GO,25569,543
2020-07-10,GO,26512,571
2020-07-11,GO,27085,581
2020-07-12,GO,27195,585
2020-07-13,GO,28104,609
2020-07-14,GO,28877,637
2020-07-15,GO,29840,678
2020-07-16,GO,30781,721
2020-07-17,GO,30914,745
2020-07-18,GO,31002,777
2020-07-19,GO,30992,795
2020-07-20,GO,31549,820
2020-07-21,GO,34174,842
2020-07-22,GO,36780,883
2020-07-23,GO,38818,912
2020-07-24,GO,40802,954
2020-07-25,GO,42051,971
2020-07-26,GO,42730,982
2020-07-27,GO,44608,1040
2020-07-28,GO,46413,1071
2020-07-29,GO,48376,1117
2020-07-30,GO,50275,1157
2020-07-31,GO,51964,1191
2020-08-01,GO,52499,1204
2020-08-02,GO,52850,1214
2020-08-03,GO,52894,1228
2020-08-04,GO,56644,1307
2020-08-05,GO,58998,1355
2020-08-06,GO,61111,1387
2020-08-07,GO,62974,1433
2020-08-08,GO,63629,1473
2020-08-09,GO,63767,1476
2020-08-10,GO,66599,1516
2020-08-11,GO,69085,1547
2020-08-12,GO,71484,1593
2020-08-13,GO,73872,1628
2020-08-14,GO,75656,1658
2020-08-15,GO,75878,1681
2020-08-16,GO,76255,1697
2020-08-17,GO,78372,1733
2020-08-18,GO,80548,1788
2020-08-19,GO,82825,1826
2020-08-20,GO,83766,1873
2020-08-21,GO,85917,1908
2020-08-22,GO,87079,1942
2020-08-23,GO,87252,1948
2020-08-24,GO,90109,2000
2020-08-25,GO,92630,2042
2020-08-26,GO,94746,2079
2020-08-27,GO,96405,2116
2020-08-28,GO,97977,2159
2020-08-29,GO,98155,2173
2020-08-30,GO,98463,2196
2020-08-31,GO,100873,2251
2020-09-01,GO,103286,2315
2020-09-02,GO,105891,2380
2020-09-03,GO,108795,2425
2020-09-04,GO,110948,2461
2020-09-05,GO,111303,2468
2020-09-06,GO,111435,2483
2020-09-07,GO,111546,2496
2020-09-08,GO,114119,2498
2020-09-09,GO,117316,2577
2020-09-10,GO,120160,2644
2020-09-11,GO,122639,2693
2020-09-12,GO,123328,2722
2020-09-13,GO,123738,2731
2020-09-14,GO,126328,2779
2020-09-15,GO,128142,2811
2020-09-16,GO,130472,2836
2020-09-17,GO,132751,2889
2020-09-18,GO,135274,2931
2020-09-19,GO,135925,2946
2020-09-20,GO,136322,2952
2020-09-21,GO,138709,2996
2020-09-22,GO,141195,3023
2020-09-23,GO,143574,3058
2020-09-24,GO,145852,3102
2020-09-25,GO,147885,3165
2020-09-26,GO,148153,3188
2020-09-27,GO,148352,3199
2020-09-28,GO,151851,3242
2020-09-29,GO,154133,3284
2020-09-30,GO,156752,3323
2020-10-01,GO,158560,3365
2020-10-02,GO,160264,3415
2020-10-03,GO,160438,3415
2020-10-04,GO,161006,3447
2020-10-05,GO,163368,3491
2020-10-06,GO,165440,3539
2020-10-07,GO,167238,3570
2020-10-08,GO,168448,3604
2020-10-09,GO,169945,3634
2020-10-10,GO,170069,3652
2020-10-11,GO,170178,3661
2020-10-12,GO,170285,3670
2020-10-13,GO,172014,3700
2020-10-14,GO,173846,3728
2020-10-15,GO,175464,3766
2020-10-16,GO,176881,3794
