date,state,city,cases,deaths
2020-03-20,MA,São Luís/MA,1,0
2020-03-21,MA,São Luís/MA,2,0
2020-03-22,MA,São Luís/MA,2,0
2020-03-23,MA,São Luís/MA,8,0
2020-03-24,MA,São Luís/MA,8,0
2020-03-25,MA,São Luís/MA,8,0
2020-03-26,MA,São Luís/MA,10,0
2020-03-27,MA,São Luís/MA,13,0
2020-03-28,MA,São Luís/MA,15,0
2020-03-29,MA,São Luís/MA,21,1
2020-03-30,MA,São Luís/MA,30,1
2020-03-31,MA,São Luís/MA,51,1
2020-04-01,MA,São Luís/MA,68,1
2020-04-02,MA,São Luís/MA,78,1
2020-04-03,MA,São Luís/MA,82,1
2020-04-04,MA,São Luís/MA,86,2
2020-04-05,MA,São Luís/MA,121,2
2020-04-06,MA,São Luís/MA,152,4
2020-04-07,MA,São Luís/MA,203,11
2020-04-08,MA,São Luís/MA,228,11
2020-04-09,MA,São Luís/MA,247,14
2020-04-10,MA,São Luís/MA,288,19
2020-04-11,MA,São Luís/MA,333,22
2020-04-12,MA,São Luís/MA,369,25
2020-04-13,MA,São Luís/MA,392,30
2020-04-14,MA,São Luís/MA,533,32
2020-04-15,MA,São Luís/MA,582,34
2020-04-16,MA,São Luís/MA,664,35
2020-04-17,MA,São Luís/MA,862,38
2020-04-18,MA,São Luís/MA,990,40
2020-04-19,MA,São Luís/MA,1075,43
2020-04-20,MA,São Luís/MA,1132,47
2020-04-21,MA,São Luís/MA,1300,51
2020-04-22,MA,São Luís/MA,1417,61
2020-04-23,MA,São Luís/MA,1567,71
2020-04-24,MA,São Luís/MA,1668,81
2020-04-25,MA,São Luís/MA,1754,87
2020-04-26,MA,São Luís/MA,1894,98
2020-04-27,MA,São Luís/MA,1977,116
2020-04-28,MA,São Luís/MA,2149,136
2020-04-29,MA,São Luís/MA,2432,149
2020-04-30,MA,São Luís/MA,2671,165
2020-05-01,MA,São Luís/MA,2808,178
2020-05-02,MA,São Luís/MA,2899,186
2020-05-03,MA,São Luís/MA,2963,197
2020-05-04,MA,São Luís/MA,3088,213
2020-05-05,MA,São Luís/MA,3368,227
2020-05-06,MA,São Luís/MA,3531,238
2020-05-07,MA,São Luís/MA,3745,255
2020-05-08,MA,São Luís/MA,4008,271
2020-05-09,MA,São Luís/MA,4274,289
2020-05-10,MA,São Luís/MA,4616,303
2020-05-11,MA,São Luís/MA,4780,324
2020-05-12,MA,São Luís/MA,4917,332
2020-05-13,MA,São Luís/MA,5040,346
2020-05-14,MA,São Luís/MA,5375,363
2020-05-15,MA,São Luís/MA,5597,379
2020-05-16,MA,São Luís/MA,5830,394
2020-05-17,MA,São Luís/MA,5995,402
2020-05-18,MA,São Luís/MA,6248,414
2020-05-19,MA,São Luís/MA,6479,434
2020-05-20,MA,São Luís/MA,6639,448
2020-05-21,MA,São Luís/MA,6685,463
2020-05-22,MA,São Luís/MA,7114,475
2020-05-23,MA,São Luís/MA,7486,484
2020-05-24,MA,São Luís/MA,7917,490
2020-05-25,MA,São Luís/MA,8068,497
2020-05-26,MA,São Luís/MA,8353,509
2020-05-27,MA,São Luís/MA,8463,517
2020-05-28,MA,São Luís/MA,8700,519
2020-05-29,MA,São Luís/MA,8882,521
2020-05-30,MA,São Luís/MA,9141,524
2020-05-31,MA,São Luís/MA,9255,526
2020-06-01,MA,São Luís/MA,9447,528
2020-06-02,MA,São Luís/MA,9590,535
2020-06-03,MA,São Luís/MA,9917,538
2020-06-04,MA,São Luís/MA,9935,544
2020-06-05,MA,São Luís/MA,10070,549
2020-06-06,MA,São Luís/MA,10494,557
2020-06-07,MA,São Luís/MA,10613,568
2020-06-08,MA,São Luís/MA,10755,577
2020-06-09,MA,São Luís/MA,11029,586
2020-06-10,MA,São Luís/MA,11285,588
2020-06-11,MA,São Luís/MA,11597,599
2020-06-12,MA,São Luís/MA,11700,608
2020-06-13,MA,São Luís/MA,11832,621
2020-06-14,MA,São Luís/MA,11963,629
2020-06-15,MA,São Luís/MA,12040,642
2020-06-16,MA,São Luís/MA,12095,654
2020-06-17,MA,São Luís/MA,12276,667
2020-06-18,MA,São Luís/MA,12384,680
2020-06-19,MA,São Luís/MA,12409,693
2020-06-20,MA,São Luís/MA,12523,705
2020-06-21,MA,São Luís/MA,12546,715
2020-06-22,MA,São Luís/MA,12567,724
2020-06-23,MA,São Luís/MA,12577,734
2020-06-24,MA,São Luís/MA,12635,745
2020-06-25,MA,São Luís/MA,12693,756
2020-06-26,MA,São Luís/MA,12755,771
2020-06-27,MA,São Luís/MA,12816,788
2020-06-28,MA,São Luís/MA,12871,803
2020-06-29,MA,São Luís/MA,12938,813
2020-06-30,MA,São Luís/MA,13050,825
2020-07-01,MA,São Luís/MA,13144,834
2020-07-02,MA,São Luís/MA,13245,842
2020-07-03,MA,São Luís/MA,13320,849
2020-07-04,MA,São Luís/MA,13471,862
2020-07-05,MA,São Luís/MA,13597,876
2020-07-06,MA,São Luís/MA,13706,891
2020-07-07,MA,São Luís/MA,13839,903
2020-07-08,MA,São Luís/MA,13951,918
2020-07-09,MA,São Luís/MA,14052,927
2020-07-10,MA,São Luís/MA,14159,940
2020-07-11,MA,São Luís/MA,14261,950
2020-07-12,MA,São Luís/MA,14336,964
2020-07-13,MA,São Luís/MA,14437,980
2020-07-14,MA,São Luís/MA,14512,996
2020-07-15,MA,São Luís/MA,14633,1010
2020-07-16,MA,São Luís/MA,14734,1026
2020-07-17,MA,São Luís/MA,14809,1036
2020-07-18,MA,São Luís/MA,14898,1047
2020-07-19,MA,São Luís/MA,14993,1059
2020-07-20,MA,São Luís/MA,15098,1071
2020-07-21,MA,São Luís/MA,15174,1084
2020-07-22,MA,São Luís/MA,15279,1086
2020-07-23,MA,São Luís/MA,15390,1095
2020-07-24,MA,São Luís/MA,15493,1103
2020-07-25,MA,São Luís/MA,15570,1110
2020-07-26,MA,São Luís/MA,15651,1118
2020-07-27,MA,São Luís/MA,15758,1128
2020-07-28,MA,São Luís/MA,15869,1134
2020-07-29,MA,São Luís/MA,15953,1135
2020-07-30,MA,São Luís/MA,16055,1138
2020-07-31,MA,São Luís/MA,16160,1143
2020-08-01,MA,São Luís/MA,16263,1145
2020-08-02,MA,São Luís/MA,16366,1148
2020-08-03,MA,São Luís/MA,16474,1152
2020-08-04,MA,São Luís/MA,16584,1153
2020-08-05,MA,São Luís/MA,16673,1156
2020-08-06,MA,São Luís/MA,16778,1156
2020-08-07,MA,São Luís/MA,16867,1157
2020-08-08,MA,São Luís/MA,16964,1157
2020-08-09,MA,São Luís/MA,17059,1160
2020-08-10,MA,São Luís/MA,17170,1162
2020-08-11,MA,São Luís/MA,17277,1164
2020-08-12,MA,São Luís/MA,17322,1168
2020-08-13,MA,São Luís/MA,17383,1170
2020-08-14,MA,São Luís/MA,17426,1172
2020-08-15,MA,São Luís/MA,17504,1176
2020-08-16,MA,São Luís/MA,17585,1177
2020-08-17,MA,São Luís/MA,17658,1183
2020-08-18,MA,São Luís/MA,17729,1187
2020-08-19,MA,São Luís/MA,17789,1190
2020-08-20,MA,São Luís/MA,17865,1191
2020-08-21,MA,São Luís/MA,17931,1193
2020-08-22,MA,São Luís/MA,18015,1194
2020-08-23,MA,São Luís/MA,18105,1196
2020-08-24,MA,São Luís/MA,18176,1198
2020-08-25,MA,São Luís/MA,18254,1200
2020-08-26,MA,São Luís/MA,18350,1202
2020-08-27,MA,São Luís/MA,18432,1202
2020-08-28,MA,São Luís/MA,18526,1203
2020-08-29,MA,São Luís/MA,18614,1204
2020-08-30,MA,São Luís/MA,18707,1204
2020-08-31,MA,São Luís/MA,18796,1205
2020-09-01,MA,São Luís/MA,18897,1206
2020-09-02,MA,São Luís/MA,18979,1207
2020-09-03,MA,São Luís/MA,19061,1209
2020-09-04,MA,São Luís/MA,19126,1210
2020-09-05,MA,São Luís/MA,19206,1211
2020-09-06,MA,São Luís/MA,19239,1213
2020-09-07,MA,São Luís/MA,19292,1215
2020-09-08,MA,São Luís/MA,19327,1217
2020-09-09,MA,São Luís/MA,19386,1218
2020-09-10,MA,São Luís/MA,19442,1219
2020-09-11,MA,São Luís/MA,19466,1220
2020-09-12,MA,São Luís/MA,19557,1220
2020-09-13,MA,São Luís/MA,19618,1221
2020-09-14,MA,São Luís/MA,19689,1222
2020-09-15,MA,São Luís/MA,19702,1224
2020-09-16,MA,São Luís/MA,19776,1225
2020-09-17,MA,São Luís/MA,19814,1226
2020-09-18,MA,São Luís/MA,19907,1227
2020-09-19,MA,São Luís/MA,20008,1228
2020-09-20,MA,São Luís/MA,20107,1229
2020-09-21,MA,São Luís/MA,20214,1229
2020-09-22,MA,São Luís/MA,20308,1231
2020-09-23,MA,São Luís/MA,20392,1231
2020-09-24,MA,São Luís/MA,20486,1232
2020-09-25,MA,São Luís/MA,20583,1234
2020-09-26,MA,São Luís/MA,20694,1236
2020-09-27,MA,São Luís/MA,20794,1236
2020-09-28,MA,São Luís/MA,20898,1237
