date,state,cases,deaths
2020-03-20,MA,1,0
2020-03-21,MA,2,0
2020-03-22,MA,2,0
2020-03-23,MA,8,0
2020-03-24,MA,8,0
2020-03-25,MA,8,0
2020-03-26,MA,10,0
2020-03-27,MA,13,0
2020-03-28,MA,15,0
2020-03-29,MA,21,1
2020-03-30,MA,30,1
2020-03-31,MA,51,1
2020-04-01,MA,70,1
2020-04-02,MA,80,1
2020-04-03,MA,87,1
2020-04-04,MA,95,2
2020-04-05,MA,132,2
2020-04-06,MA,171,4
2020-04-07,MA,229,11
2020-04-08,MA,272,12
2020-04-09,MA,293,16
2020-04-10,MA,344,21
2020-04-11,MA,398,24
2020-04-12,MA,445,27
2020-04-13,MA,478,32
2020-04-14,MA,630,34
2020-04-15,MA,695,37
2020-04-16,MA,797,40
2020-04-17,MA,1040,44
2020-04-18,MA,1205,48
2020-04-19,MA,1320,54
2020-04-20,MA,1410,60
2020-04-21,MA,1604,66
2020-04-22,MA,1757,76
2020-04-23,MA,1951,88
2020-04-24,MA,2105,100
2020-04-25,MA,2223,112
2020-04-26,MA,2410,125
2020-04-27,MA,2528,145
2020-04-28,MA,2804,166
2020-04-29,MA,3190,184
2020-04-30,MA,3506,204
2020-05-01,MA,3805,224
2020-05-02,MA,4040,237
2020-05-03,MA,4227,249
2020-05-04,MA,4530,271
2020-05-05,MA,5028,291
2020-05-06,MA,5389,305
2020-05-07,MA,5909,330
2020-05-08,MA,6765,355
2020-05-09,MA,7599,379
2020-05-10,MA,8144,399
2020-05-11,MA,8526,423
2020-05-12,MA,9112,444
2020-05-13,MA,9801,470
2020-05-14,MA,10739,496
2020-05-15,MA,11592,524
2020-05-16,MA,12492,549
2020-05-17,MA,13238,576
2020-05-18,MA,14198,604
2020-05-19,MA,15114,634
2020-05-20,MA,16058,663
2020-05-21,MA,17212,693
2020-05-22,MA,18767,722
2020-05-23,MA,21191,754
2020-05-24,MA,22786,784
2020-05-25,MA,24278,817
2020-05-26,MA,26145,853
2020-05-27,MA,27979,887
2020-05-28,MA,30482,911
2020-05-29,MA,32620,932
2020-05-30,MA,34639,955
2020-05-31,MA,35297,976
2020-06-01,MA,36625,997
2020-06-02,MA,38174,1028
2020-06-03,MA,40629,1062
2020-06-04,MA,43313,1095
2020-06-05,MA,45470,1132
2020-06-06,MA,47593,1170
2020-06-07,MA,48537,1208
2020-06-08,MA,49371,1247
2020-06-09,MA,52069,1285
2020-06-10,MA,53508,1322
2020-06-11,MA,55680,1360
2020-06-12,MA,57605,1399
2020-06-13,MA,58859,1436
2020-06-14,MA,59850,1467
2020-06-15,MA,60592,1499
2020-06-16,MA,62711,1537
2020-06-17,MA,64735,1570
2020-06-18,MA,66091,1607
2020-06-19,MA,68500,1645
2020-06-20,MA,69673,1684
2020-06-21,MA,70059,1721
2020-06-22,MA,70689,1760
2020-06-23,MA,72021,1797
2020-06-24,MA,73314,1836
2020-06-25,MA,74925,1871
2020-06-26,MA,76698,1906
2020-06-27,MA,78115,1943
2020-06-28,MA,78512,1982
2020-06-29,MA,78969,2012
2020-06-30,MA,80451,2048
2020-07-01,MA,83256,2081
2020-07-02,MA,86025,2119
