date,state,cases,deaths
2020-04-01,MA,2,0
2020-04-02,MA,2,0
2020-04-03,MA,5,0
2020-04-04,MA,9,0
2020-04-05,MA,11,0
2020-04-06,MA,19,0
2020-04-07,MA,26,0
2020-04-08,MA,44,1
2020-04-09,MA,46,2
2020-04-10,MA,56,2
2020-04-11,MA,65,2
2020-04-12,MA,76,2
2020-04-13,MA,86,2
2020-04-14,MA,97,2
2020-04-15,MA,113,3
2020-04-16,MA,133,5
2020-04-17,MA,178,6
2020-04-18,MA,215,8
2020-04-19,MA,245,11
2020-04-20,MA,278,13
2020-04-21,MA,304,15
2020-04-22,MA,340,15
2020-04-23,MA,384,17
2020-04-24,MA,437,19
2020-04-25,MA,469,25
2020-04-26,MA,516,27
2020-04-27,MA,551,29
2020-04-28,MA,655,30
2020-04-29,MA,758,35
2020-04-30,MA,835,39
2020-05-01,MA,997,46
2020-05-02,MA,1141,51
2020-05-03,MA,1264,52
2020-05-04,MA,1442,58
2020-05-05,MA,1660,64
2020-05-06,MA,1858,67
2020-05-07,MA,2164,75
2020-05-08,MA,2757,84
2020-05-09,MA,3325,90
2020-05-10,MA,3528,96
2020-05-11,MA,3746,99
2020-05-12,MA,4195,112
2020-05-13,MA,4761,124
2020-05-14,MA,5364,133
2020-05-15,MA,5995,145
2020-05-16,MA,6662,155
2020-05-17,MA,7243,174
2020-05-18,MA,7950,190
2020-05-19,MA,8635,200
2020-05-20,MA,9419,215
2020-05-21,MA,10527,230
2020-05-22,MA,11653,247
2020-05-23,MA,13705,270
2020-05-24,MA,14869,294
2020-05-25,MA,16210,320
2020-05-26,MA,17792,344
2020-05-27,MA,19516,370
2020-05-28,MA,21782,392
2020-05-29,MA,23738,411
2020-05-30,MA,25498,431
2020-05-31,MA,26042,450
2020-06-01,MA,27178,469
2020-06-02,MA,28584,493
2020-06-03,MA,30712,524
2020-06-04,MA,33378,551
2020-06-05,MA,35400,583
2020-06-06,MA,37099,613
2020-06-07,MA,37924,640
2020-06-08,MA,38616,670
2020-06-09,MA,41040,699
2020-06-10,MA,42223,734
2020-06-11,MA,44083,761
2020-06-12,MA,45905,791
2020-06-13,MA,47027,815
2020-06-14,MA,47887,838
2020-06-15,MA,48552,857
2020-06-16,MA,50616,883
2020-06-17,MA,52459,903
2020-06-18,MA,53707,927
2020-06-19,MA,56091,952
2020-06-20,MA,57150,979
2020-06-21,MA,57513,1006
2020-06-22,MA,58122,1036
2020-06-23,MA,59444,1063
2020-06-24,MA,60679,1091
2020-06-25,MA,62232,1115
2020-06-26,MA,63943,1135
2020-06-27,MA,65299,1155
2020-06-28,MA,65641,1179
2020-06-29,MA,66031,1199
2020-06-30,MA,67401,1223
2020-07-01,MA,70112,1247
2020-07-02,MA,72780,1277
2020-07-03,MA,74894,1304
2020-07-04,MA,75586,1323
2020-07-05,MA,76117,1343
2020-07-06,MA,76545,1359
2020-07-07,MA,78249,1383
2020-07-08,MA,78988,1406
2020-07-09,MA,81271,1430
2020-07-10,MA,82559,1452
