date,state,city,cases,deaths
2020-03-16,MG,Belo Horizonte/MG,1,0
2020-03-17,MG,Belo Horizonte/MG,5,0
2020-03-18,MG,Belo Horizonte/MG,10,0
2020-03-19,MG,Belo Horizonte/MG,18,0
2020-03-20,MG,Belo Horizonte/MG,20,0
2020-03-21,MG,Belo Horizonte/MG,30,0
2020-03-22,MG,Belo Horizonte/MG,30,0
2020-03-23,MG,Belo Horizonte/MG,60,0
2020-03-24,MG,Belo Horizonte/MG,87,0
2020-03-25,MG,Belo Horizonte/MG,90,0
2020-03-26,MG,Belo Horizonte/MG,96,0
2020-03-27,MG,Belo Horizonte/MG,118,0
2020-03-28,MG,Belo Horizonte/MG,129,0
2020-03-29,MG,Belo Horizonte/MG,143,0
2020-03-30,MG,Belo Horizonte/MG,163,1
2020-03-31,MG,Belo Horizonte/MG,163,2
2020-04-01,MG,Belo Horizonte/MG,188,2
2020-04-02,MG,Belo Horizonte/MG,210,3
2020-04-03,MG,Belo Horizonte/MG,225,3
2020-04-04,MG,Belo Horizonte/MG,237,3
2020-04-05,MG,Belo Horizonte/MG,262,3
2020-04-06,MG,Belo Horizonte/MG,264,4
2020-04-07,MG,Belo Horizonte/MG,275,5
2020-04-08,MG,Belo Horizonte/MG,299,6
2020-04-09,MG,Belo Horizonte/MG,310,6
2020-04-10,MG,Belo Horizonte/MG,330,6
2020-04-11,MG,Belo Horizonte/MG,338,6
2020-04-12,MG,Belo Horizonte/MG,355,6
2020-04-13,MG,Belo Horizonte/MG,357,6
2020-04-14,MG,Belo Horizonte/MG,373,6
2020-04-15,MG,Belo Horizonte/MG,380,6
2020-04-16,MG,Belo Horizonte/MG,390,7
2020-04-17,MG,Belo Horizonte/MG,406,8
2020-04-18,MG,Belo Horizonte/MG,420,8
2020-04-19,MG,Belo Horizonte/MG,448,8
2020-04-20,MG,Belo Horizonte/MG,460,8
2020-04-21,MG,Belo Horizonte/MG,467,8
2020-04-22,MG,Belo Horizonte/MG,487,9
2020-04-23,MG,Belo Horizonte/MG,491,9
2020-04-24,MG,Belo Horizonte/MG,519,11
2020-04-25,MG,Belo Horizonte/MG,528,11
2020-04-26,MG,Belo Horizonte/MG,544,11
2020-04-27,MG,Belo Horizonte/MG,559,11
2020-04-28,MG,Belo Horizonte/MG,569,14
2020-04-29,MG,Belo Horizonte/MG,577,16
