date,state,cases,deaths
2020-03-08,MG,1,0
2020-03-09,MG,1,0
2020-03-10,MG,1,0
2020-03-11,MG,1,0
2020-03-12,MG,2,0
2020-03-13,MG,2,0
2020-03-14,MG,4,0
2020-03-15,MG,4,0
2020-03-16,MG,6,0
2020-03-17,MG,14,0
2020-03-18,MG,19,0
2020-03-19,MG,29,0
2020-03-20,MG,38,0
2020-03-21,MG,55,0
2020-03-22,MG,83,0
2020-03-23,MG,128,0
2020-03-24,MG,130,0
2020-03-25,MG,133,0
2020-03-26,MG,153,0
2020-03-27,MG,189,0
2020-03-28,MG,205,0
2020-03-29,MG,231,0
2020-03-30,MG,261,1
2020-03-31,MG,275,2
2020-04-01,MG,314,3
2020-04-02,MG,370,4
2020-04-03,MG,397,6
2020-04-04,MG,430,6
2020-04-05,MG,498,6
2020-04-06,MG,525,9
2020-04-07,MG,559,11
2020-04-08,MG,614,14
2020-04-09,MG,655,15
2020-04-10,MG,698,17
2020-04-11,MG,750,17
2020-04-12,MG,806,20
2020-04-13,MG,815,23
2020-04-14,MG,884,27
2020-04-15,MG,903,30
2020-04-16,MG,958,33
2020-04-17,MG,1021,35
2020-04-18,MG,1077,39
2020-04-19,MG,1154,39
2020-04-20,MG,1189,41
2020-04-21,MG,1230,44
2020-04-22,MG,1283,47
2020-04-23,MG,1308,51
2020-04-24,MG,1419,54
2020-04-25,MG,1481,58
2020-04-26,MG,1548,61
2020-04-27,MG,1586,62
2020-04-28,MG,1649,71
2020-04-29,MG,1758,80
2020-04-30,MG,1827,82
2020-05-01,MG,1935,88
2020-05-02,MG,2023,88
2020-05-03,MG,2118,89
2020-05-04,MG,2347,90
2020-05-05,MG,2452,94
2020-05-06,MG,2605,97
2020-05-07,MG,2770,106
2020-05-08,MG,2943,111
2020-05-09,MG,3123,118
2020-05-10,MG,3237,119
2020-05-11,MG,3320,121
2020-05-12,MG,3435,127
2020-05-13,MG,3733,135
2020-05-14,MG,3950,139
2020-05-15,MG,4196,146
2020-05-16,MG,4474,150
2020-05-17,MG,4611,156
2020-05-18,MG,4695,161
2020-05-19,MG,4977,167
2020-05-20,MG,5286,177
2020-05-21,MG,5596,191
2020-05-22,MG,5995,201
2020-05-23,MG,6338,217
2020-05-24,MG,6668,226
2020-05-25,MG,6962,230
2020-05-26,MG,7516,234
2020-05-27,MG,8011,240
2020-05-28,MG,8686,255
2020-05-29,MG,9232,257
2020-05-30,MG,9630,263
2020-05-31,MG,10464,271
2020-06-01,MG,10670,278
2020-06-02,MG,10939,289
2020-06-03,MG,12010,306
2020-06-04,MG,13034,323
2020-06-05,MG,13995,344
2020-06-06,MG,14939,368
2020-06-07,MG,15703,376
2020-06-08,MG,15883,380
2020-06-09,MG,16102,399
2020-06-10,MG,17501,409
2020-06-11,MG,18448,431
2020-06-12,MG,20106,446
2020-06-13,MG,20614,454
2020-06-14,MG,21381,475
2020-06-15,MG,21728,481
2020-06-16,MG,22024,502
2020-06-17,MG,23347,537
2020-06-18,MG,24906,570
2020-06-19,MG,26052,600
2020-06-20,MG,27305,636
2020-06-21,MG,27641,661
2020-06-22,MG,28918,688
2020-06-23,MG,29897,720
2020-06-24,MG,31343,771
2020-06-25,MG,32769,806
2020-06-26,MG,38891,833
2020-06-27,MG,40966,882
2020-06-28,MG,42741,899
2020-06-29,MG,43864,940
2020-06-30,MG,45001,965
2020-07-01,MG,47584,1007
2020-07-02,MG,50707,1059
2020-07-03,MG,53351,1110
2020-07-04,MG,55958,1183
2020-07-05,MG,58283,1201
2020-07-06,MG,59626,1230
2020-07-07,MG,60897,1282
2020-07-08,MG,64035,1355
2020-07-09,MG,66864,1445
2020-07-10,MG,70086,1504
2020-07-11,MG,73813,1550
2020-07-12,MG,75851,1576
2020-07-13,MG,76822,1615
2020-07-14,MG,78643,1688
2020-07-15,MG,82010,1752
2020-07-16,MG,84470,1834
2020-07-17,MG,87271,1904
2020-07-18,MG,90875,1964
2020-07-19,MG,92972,1982
2020-07-20,MG,94132,2004
2020-07-21,MG,95566,2071
2020-07-22,MG,98741,2166
2020-07-23,MG,102568,2238
2020-07-24,MG,106812,2315
2020-07-25,MG,110093,2404
2020-07-26,MG,112571,2429
2020-07-27,MG,113718,2461
2020-07-28,MG,116645,2551
