date,state,city,cases,deaths
2020-03-14,MS,Campo Grande/MS,2,0
2020-03-15,MS,Campo Grande/MS,2,0
2020-03-16,MS,Campo Grande/MS,4,0
2020-03-17,MS,Campo Grande/MS,6,0
2020-03-18,MS,Campo Grande/MS,7,0
2020-03-19,MS,Campo Grande/MS,8,0
2020-03-20,MS,Campo Grande/MS,11,0
2020-03-21,MS,Campo Grande/MS,14,0
2020-03-22,MS,Campo Grande/MS,19,0
2020-03-23,MS,Campo Grande/MS,19,0
2020-03-24,MS,Campo Grande/MS,22,0
2020-03-25,MS,Campo Grande/MS,22,0
2020-03-26,MS,Campo Grande/MS,23,0
2020-03-27,MS,Campo Grande/MS,24,0
2020-03-28,MS,Campo Grande/MS,25,0
2020-03-29,MS,Campo Grande/MS,29,0
2020-03-30,MS,Campo Grande/MS,36,0
2020-03-31,MS,Campo Grande/MS,37,0
2020-04-01,MS,Campo Grande/MS,38,0
2020-04-02,MS,Campo Grande/MS,38,0
2020-04-03,MS,Campo Grande/MS,43,0
2020-04-04,MS,Campo Grande/MS,43,0
2020-04-05,MS,Campo Grande/MS,43,0
2020-04-06,MS,Campo Grande/MS,44,0
2020-04-07,MS,Campo Grande/MS,48,0
2020-04-08,MS,Campo Grande/MS,48,0
2020-04-09,MS,Campo Grande/MS,48,0
2020-04-10,MS,Campo Grande/MS,49,0
2020-04-11,MS,Campo Grande/MS,51,0
2020-04-12,MS,Campo Grande/MS,51,0
2020-04-13,MS,Campo Grande/MS,55,2
2020-04-14,MS,Campo Grande/MS,55,2
2020-04-15,MS,Campo Grande/MS,61,2
2020-04-16,MS,Campo Grande/MS,68,2
2020-04-17,MS,Campo Grande/MS,71,2
2020-04-18,MS,Campo Grande/MS,85,2
2020-04-19,MS,Campo Grande/MS,87,2
2020-04-20,MS,Campo Grande/MS,89,2
2020-04-21,MS,Campo Grande/MS,90,2
2020-04-22,MS,Campo Grande/MS,91,2
2020-04-23,MS,Campo Grande/MS,96,2
2020-04-24,MS,Campo Grande/MS,108,2
2020-04-25,MS,Campo Grande/MS,110,2
2020-04-26,MS,Campo Grande/MS,125,2
2020-04-27,MS,Campo Grande/MS,126,2
2020-04-28,MS,Campo Grande/MS,128,2
2020-04-29,MS,Campo Grande/MS,128,2
2020-04-30,MS,Campo Grande/MS,128,2
2020-05-01,MS,Campo Grande/MS,134,2
2020-05-02,MS,Campo Grande/MS,137,2
2020-05-03,MS,Campo Grande/MS,140,3
2020-05-04,MS,Campo Grande/MS,140,3
2020-05-05,MS,Campo Grande/MS,142,3
2020-05-06,MS,Campo Grande/MS,143,3
2020-05-07,MS,Campo Grande/MS,149,3
2020-05-08,MS,Campo Grande/MS,151,4
2020-05-09,MS,Campo Grande/MS,152,4
2020-05-10,MS,Campo Grande/MS,153,4
2020-05-11,MS,Campo Grande/MS,155,4
2020-05-12,MS,Campo Grande/MS,159,4
2020-05-13,MS,Campo Grande/MS,162,4
2020-05-14,MS,Campo Grande/MS,167,5
2020-05-15,MS,Campo Grande/MS,171,5
2020-05-16,MS,Campo Grande/MS,172,5
2020-05-17,MS,Campo Grande/MS,174,5
2020-05-18,MS,Campo Grande/MS,181,5
2020-05-19,MS,Campo Grande/MS,188,5
2020-05-20,MS,Campo Grande/MS,194,6
2020-05-21,MS,Campo Grande/MS,222,6
2020-05-22,MS,Campo Grande/MS,224,6
2020-05-23,MS,Campo Grande/MS,238,6
2020-05-24,MS,Campo Grande/MS,245,6
2020-05-25,MS,Campo Grande/MS,249,6
2020-05-26,MS,Campo Grande/MS,262,6
2020-05-27,MS,Campo Grande/MS,265,6
2020-05-28,MS,Campo Grande/MS,278,6
2020-05-29,MS,Campo Grande/MS,283,6
2020-05-30,MS,Campo Grande/MS,293,7
2020-05-31,MS,Campo Grande/MS,312,7
2020-06-01,MS,Campo Grande/MS,317,7
2020-06-02,MS,Campo Grande/MS,329,7
2020-06-03,MS,Campo Grande/MS,341,7
2020-06-04,MS,Campo Grande/MS,351,8
2020-06-05,MS,Campo Grande/MS,373,8
2020-06-06,MS,Campo Grande/MS,388,8
2020-06-07,MS,Campo Grande/MS,398,8
2020-06-08,MS,Campo Grande/MS,422,8
2020-06-09,MS,Campo Grande/MS,434,8
2020-06-10,MS,Campo Grande/MS,560,8
2020-06-11,MS,Campo Grande/MS,608,8
2020-06-12,MS,Campo Grande/MS,648,8
2020-06-13,MS,Campo Grande/MS,684,8
2020-06-14,MS,Campo Grande/MS,720,8
2020-06-15,MS,Campo Grande/MS,784,8
2020-06-16,MS,Campo Grande/MS,868,8
2020-06-17,MS,Campo Grande/MS,876,8
2020-06-18,MS,Campo Grande/MS,975,8
2020-06-19,MS,Campo Grande/MS,1067,8
2020-06-20,MS,Campo Grande/MS,1142,8
2020-06-21,MS,Campo Grande/MS,1212,8
2020-06-22,MS,Campo Grande/MS,1338,8
2020-06-23,MS,Campo Grande/MS,1446,8
2020-06-24,MS,Campo Grande/MS,1554,8
2020-06-25,MS,Campo Grande/MS,1704,8
2020-06-26,MS,Campo Grande/MS,1896,8
2020-06-27,MS,Campo Grande/MS,1896,8
2020-06-28,MS,Campo Grande/MS,2028,8
2020-06-29,MS,Campo Grande/MS,2168,8
2020-06-30,MS,Campo Grande/MS,2491,10
2020-07-01,MS,Campo Grande/MS,2612,13
2020-07-02,MS,Campo Grande/MS,2745,18
2020-07-03,MS,Campo Grande/MS,2745,18
2020-07-04,MS,Campo Grande/MS,3087,21
2020-07-05,MS,Campo Grande/MS,3164,22
2020-07-06,MS,Campo Grande/MS,3391,24
2020-07-07,MS,Campo Grande/MS,3579,28
2020-07-08,MS,Campo Grande/MS,3812,28
2020-07-09,MS,Campo Grande/MS,4070,30
2020-07-10,MS,Campo Grande/MS,4352,31
2020-07-11,MS,Campo Grande/MS,4470,35
2020-07-12,MS,Campo Grande/MS,4640,37
2020-07-13,MS,Campo Grande/MS,4836,43
2020-07-14,MS,Campo Grande/MS,5181,45
2020-07-15,MS,Campo Grande/MS,5497,49
2020-07-16,MS,Campo Grande/MS,5718,53
2020-07-17,MS,Campo Grande/MS,5830,59
2020-07-18,MS,Campo Grande/MS,6054,62
2020-07-19,MS,Campo Grande/MS,6216,66
2020-07-20,MS,Campo Grande/MS,6420,73
2020-07-21,MS,Campo Grande/MS,7348,79
2020-07-22,MS,Campo Grande/MS,7680,81
2020-07-23,MS,Campo Grande/MS,7919,86
2020-07-24,MS,Campo Grande/MS,8187,90
2020-07-25,MS,Campo Grande/MS,8427,95
2020-07-26,MS,Campo Grande/MS,8579,104
2020-07-27,MS,Campo Grande/MS,8881,106
2020-07-28,MS,Campo Grande/MS,9291,111
2020-07-29,MS,Campo Grande/MS,9644,119
2020-07-30,MS,Campo Grande/MS,9644,119
2020-07-31,MS,Campo Grande/MS,10262,135
2020-08-01,MS,Campo Grande/MS,10351,139
2020-08-02,MS,Campo Grande/MS,10683,147
2020-08-03,MS,Campo Grande/MS,11213,149
2020-08-04,MS,Campo Grande/MS,11458,152
2020-08-05,MS,Campo Grande/MS,11795,158
2020-08-06,MS,Campo Grande/MS,12186,170
2020-08-07,MS,Campo Grande/MS,12493,176
2020-08-08,MS,Campo Grande/MS,12934,184
2020-08-09,MS,Campo Grande/MS,13188,190
2020-08-10,MS,Campo Grande/MS,13511,200
2020-08-11,MS,Campo Grande/MS,13940,204
2020-08-12,MS,Campo Grande/MS,14600,212
2020-08-13,MS,Campo Grande/MS,14984,222
2020-08-14,MS,Campo Grande/MS,15448,226
2020-08-15,MS,Campo Grande/MS,15573,240
2020-08-16,MS,Campo Grande/MS,15953,247
2020-08-17,MS,Campo Grande/MS,16481,251
2020-08-18,MS,Campo Grande/MS,16988,254
2020-08-19,MS,Campo Grande/MS,17382,260
2020-08-20,MS,Campo Grande/MS,17633,266
2020-08-21,MS,Campo Grande/MS,18120,279
2020-08-22,MS,Campo Grande/MS,18379,287
2020-08-23,MS,Campo Grande/MS,18663,296
2020-08-24,MS,Campo Grande/MS,19336,305
2020-08-25,MS,Campo Grande/MS,19762,313
2020-08-26,MS,Campo Grande/MS,20102,324
2020-08-27,MS,Campo Grande/MS,20505,332
2020-08-28,MS,Campo Grande/MS,20801,340
2020-08-29,MS,Campo Grande/MS,21085,345
2020-08-30,MS,Campo Grande/MS,21334,355
2020-08-31,MS,Campo Grande/MS,21697,369
2020-09-01,MS,Campo Grande/MS,22053,372
2020-09-02,MS,Campo Grande/MS,22456,378
2020-09-03,MS,Campo Grande/MS,22688,385
2020-09-04,MS,Campo Grande/MS,23030,390
2020-09-05,MS,Campo Grande/MS,22980,396
2020-09-06,MS,Campo Grande/MS,23350,399
2020-09-07,MS,Campo Grande/MS,23457,405
2020-09-08,MS,Campo Grande/MS,23837,420
2020-09-09,MS,Campo Grande/MS,24158,432
2020-09-10,MS,Campo Grande/MS,25789,437
2020-09-11,MS,Campo Grande/MS,25937,440
2020-09-12,MS,Campo Grande/MS,26103,447
2020-09-13,MS,Campo Grande/MS,26277,459
2020-09-14,MS,Campo Grande/MS,26690,468
2020-09-15,MS,Campo Grande/MS,26919,475
2020-09-16,MS,Campo Grande/MS,27276,480
2020-09-17,MS,Campo Grande/MS,27790,487
2020-09-18,MS,Campo Grande/MS,28025,493
2020-09-19,MS,Campo Grande/MS,28134,498
2020-09-20,MS,Campo Grande/MS,28132,500
2020-09-21,MS,Campo Grande/MS,28595,506
2020-09-22,MS,Campo Grande/MS,28831,511
2020-09-23,MS,Campo Grande/MS,29214,518
2020-09-24,MS,Campo Grande/MS,29548,529
2020-09-25,MS,Campo Grande/MS,29830,536
2020-09-26,MS,Campo Grande/MS,29974,542
2020-09-27,MS,Campo Grande/MS,30096,548
2020-09-28,MS,Campo Grande/MS,30326,556
2020-09-29,MS,Campo Grande/MS,30584,560
2020-09-30,MS,Campo Grande/MS,30785,560
2020-10-01,MS,Campo Grande/MS,31121,572
2020-10-02,MS,Campo Grande/MS,31381,577
2020-10-03,MS,Campo Grande/MS,31579,587
2020-10-04,MS,Campo Grande/MS,31750,594
2020-10-05,MS,Campo Grande/MS,31931,597
2020-10-06,MS,Campo Grande/MS,32171,599
2020-10-07,MS,Campo Grande/MS,32383,605
2020-10-08,MS,Campo Grande/MS,32584,612
2020-10-09,MS,Campo Grande/MS,32804,621
2020-10-10,MS,Campo Grande/MS,32848,624
2020-10-11,MS,Campo Grande/MS,32920,628
2020-10-12,MS,Campo Grande/MS,33070,630
2020-10-13,MS,Campo Grande/MS,33234,634
2020-10-14,MS,Campo Grande/MS,33419,635
2020-10-15,MS,Campo Grande/MS,33639,636
2020-10-16,MS,Campo Grande/MS,33809,639
2020-10-17,MS,Campo Grande/MS,33869,641
2020-10-18,MS,Campo Grande/MS,34097,642
2020-10-19,MS,Campo Grande/MS,34227,651
2020-10-20,MS,Campo Grande/MS,34370,652
2020-10-21,MS,Campo Grande/MS,34514,654
2020-10-22,MS,Campo Grande/MS,34628,663
2020-10-23,MS,Campo Grande/MS,34836,665
2020-10-24,MS,Campo Grande/MS,35025,668
2020-10-25,MS,Campo Grande/MS,35112,668
2020-10-26,MS,Campo Grande/MS,35293,670
2020-10-27,MS,Campo Grande/MS,35475,670
2020-10-28,MS,Campo Grande/MS,35611,675
2020-10-29,MS,Campo Grande/MS,35871,678
2020-10-30,MS,Campo Grande/MS,36023,680
2020-10-31,MS,Campo Grande/MS,36199,683
2020-11-01,MS,Campo Grande/MS,36397,686
2020-11-02,MS,Campo Grande/MS,36475,686
2020-11-03,MS,Campo Grande/MS,36659,693
2020-11-04,MS,Campo Grande/MS,36719,696
2020-11-05,MS,Campo Grande/MS,36891,697
2020-11-06,MS,Campo Grande/MS,37227,697
2020-11-07,MS,Campo Grande/MS,37336,697
2020-11-08,MS,Campo Grande/MS,37460,697
2020-11-09,MS,Campo Grande/MS,37627,702
2020-11-10,MS,Campo Grande/MS,37872,702
2020-11-11,MS,Campo Grande/MS,38088,719
2020-11-12,MS,Campo Grande/MS,38506,724
2020-11-13,MS,Campo Grande/MS,38750,724
2020-11-14,MS,Campo Grande/MS,38958,725
2020-11-15,MS,Campo Grande/MS,39069,725
2020-11-16,MS,Campo Grande/MS,39607,728
2020-11-17,MS,Campo Grande/MS,40045,728
2020-11-18,MS,Campo Grande/MS,40370,729
2020-11-19,MS,Campo Grande/MS,40693,733
2020-11-20,MS,Campo Grande/MS,41217,737
2020-11-21,MS,Campo Grande/MS,41789,739
2020-11-22,MS,Campo Grande/MS,42134,741
2020-11-23,MS,Campo Grande/MS,42598,750
2020-11-24,MS,Campo Grande/MS,43051,753
2020-11-25,MS,Campo Grande/MS,43326,758
2020-11-26,MS,Campo Grande/MS,43571,760
2020-11-27,MS,Campo Grande/MS,44749,763
2020-11-28,MS,Campo Grande/MS,45163,769
2020-11-29,MS,Campo Grande/MS,45680,770
2020-11-30,MS,Campo Grande/MS,46151,776
2020-12-01,MS,Campo Grande/MS,46574,780
2020-12-02,MS,Campo Grande/MS,47018,789
2020-12-03,MS,Campo Grande/MS,47619,797
2020-12-04,MS,Campo Grande/MS,48277,801
2020-12-05,MS,Campo Grande/MS,48470,806
2020-12-06,MS,Campo Grande/MS,48474,810
2020-12-07,MS,Campo Grande/MS,49576,818
2020-12-08,MS,Campo Grande/MS,50132,831
2020-12-09,MS,Campo Grande/MS,50671,840
2020-12-10,MS,Campo Grande/MS,51476,844
2020-12-11,MS,Campo Grande/MS,52301,851
2020-12-12,MS,Campo Grande/MS,52301,851
2020-12-13,MS,Campo Grande/MS,52832,872
2020-12-14,MS,Campo Grande/MS,53093,878
2020-12-15,MS,Campo Grande/MS,53858,883
2020-12-16,MS,Campo Grande/MS,54462,892
2020-12-17,MS,Campo Grande/MS,54817,901
2020-12-18,MS,Campo Grande/MS,55414,911
2020-12-19,MS,Campo Grande/MS,55896,923
2020-12-20,MS,Campo Grande/MS,56307,938
2020-12-21,MS,Campo Grande/MS,56790,955
2020-12-22,MS,Campo Grande/MS,57391,962
2020-12-23,MS,Campo Grande/MS,58062,983
2020-12-24,MS,Campo Grande/MS,58615,993
2020-12-25,MS,Campo Grande/MS,58701,1003
2020-12-26,MS,Campo Grande/MS,59215,1012
2020-12-27,MS,Campo Grande/MS,59381,1020
2020-12-28,MS,Campo Grande/MS,59687,1031
2020-12-29,MS,Campo Grande/MS,60267,1047
2020-12-30,MS,Campo Grande/MS,60772,1063
2020-12-31,MS,Campo Grande/MS,61060,1072
2021-01-01,MS,Campo Grande/MS,61482,1079
2021-01-02,MS,Campo Grande/MS,61731,1083
2021-01-03,MS,Campo Grande/MS,61780,1095
2021-01-04,MS,Campo Grande/MS,62059,1110
2021-01-05,MS,Campo Grande/MS,62624,1125
2021-01-06,MS,Campo Grande/MS,62989,1136
2021-01-07,MS,Campo Grande/MS,63418,1144
2021-01-08,MS,Campo Grande/MS,63704,1148
2021-01-09,MS,Campo Grande/MS,63972,1157
2021-01-10,MS,Campo Grande/MS,64114,1165
2021-01-11,MS,Campo Grande/MS,64380,1174
2021-01-12,MS,Campo Grande/MS,64690,1184
2021-01-13,MS,Campo Grande/MS,64690,1184
2021-01-14,MS,Campo Grande/MS,65392,1197
2021-01-15,MS,Campo Grande/MS,65660,1203
2021-01-16,MS,Campo Grande/MS,65946,1209
