date,state,cases,deaths
2020-03-14,MS,2,0
2020-03-15,MS,2,0
2020-03-16,MS,4,0
2020-03-17,MS,6,0
2020-03-18,MS,7,0
2020-03-19,MS,9,0
2020-03-20,MS,12,0
2020-03-21,MS,16,0
2020-03-22,MS,21,0
2020-03-23,MS,21,0
2020-03-24,MS,24,0
2020-03-25,MS,24,0
2020-03-26,MS,25,0
2020-03-27,MS,28,0
2020-03-28,MS,31,0
2020-03-29,MS,36,0
2020-03-30,MS,44,0
2020-03-31,MS,48,1
2020-04-01,MS,51,1
2020-04-02,MS,53,1
2020-04-03,MS,60,1
2020-04-04,MS,62,1
2020-04-05,MS,65,1
2020-04-06,MS,66,1
2020-04-07,MS,80,2
2020-04-08,MS,85,2
2020-04-09,MS,89,2
2020-04-10,MS,97,2
2020-04-11,MS,100,2
2020-04-12,MS,101,2
2020-04-13,MS,113,4
2020-04-14,MS,115,4
2020-04-15,MS,121,4
2020-04-16,MS,131,5
2020-04-17,MS,143,5
2020-04-18,MS,161,5
2020-04-19,MS,168,5
2020-04-20,MS,171,5
2020-04-21,MS,173,6
2020-04-22,MS,175,6
2020-04-23,MS,186,7
2020-04-24,MS,213,7
2020-04-25,MS,217,7
2020-04-26,MS,234,7
2020-04-27,MS,238,9
2020-04-28,MS,240,9
2020-04-29,MS,249,9
2020-04-30,MS,255,9
2020-05-01,MS,261,9
2020-05-02,MS,266,9
2020-05-03,MS,272,10
2020-05-04,MS,274,10
2020-05-05,MS,283,10
2020-05-06,MS,288,10
2020-05-07,MS,311,10
2020-05-08,MS,326,11
2020-05-09,MS,346,11
2020-05-10,MS,362,11
2020-05-11,MS,385,11
2020-05-12,MS,405,12
2020-05-13,MS,430,13
2020-05-14,MS,452,14
2020-05-15,MS,479,14
2020-05-16,MS,508,15
2020-05-17,MS,570,15
2020-05-18,MS,613,16
2020-05-19,MS,642,16
2020-05-20,MS,693,17
2020-05-21,MS,746,17
2020-05-22,MS,805,17
2020-05-23,MS,858,17
2020-05-24,MS,1023,17
2020-05-25,MS,1100,17
2020-05-26,MS,1186,18
2020-05-27,MS,1262,18
2020-05-28,MS,1356,18
2020-05-29,MS,1418,19
2020-05-30,MS,1489,20
2020-05-31,MS,1568,20
2020-06-01,MS,1646,20
2020-06-02,MS,1802,20
2020-06-03,MS,1925,20
2020-06-04,MS,1997,21
2020-06-05,MS,2132,21
2020-06-06,MS,2253,21
2020-06-07,MS,2324,22
2020-06-08,MS,2455,22
2020-06-09,MS,2597,24
2020-06-10,MS,2853,25
2020-06-11,MS,3001,28
2020-06-12,MS,3235,28
2020-06-13,MS,3433,31
2020-06-14,MS,3551,33
2020-06-15,MS,3785,36
2020-06-16,MS,4164,36
2020-06-17,MS,4274,39
2020-06-18,MS,4666,40
2020-06-19,MS,4990,43
2020-06-20,MS,5237,45
2020-06-21,MS,5391,47
2020-06-22,MS,5784,55
2020-06-23,MS,6201,56
2020-06-24,MS,6523,61
2020-06-25,MS,6913,65
2020-06-26,MS,7307,68
2020-06-27,MS,7527,72
2020-06-28,MS,7676,75
2020-06-29,MS,7965,76
2020-06-30,MS,8676,85
2020-07-01,MS,9062,91
2020-07-02,MS,9388,107
2020-07-03,MS,9910,114
2020-07-04,MS,10089,117
2020-07-05,MS,10253,122
2020-07-06,MS,10687,128
2020-07-07,MS,11063,134
2020-07-08,MS,11671,136
2020-07-09,MS,12261,146
2020-07-10,MS,12969,153
2020-07-11,MS,13197,161
2020-07-12,MS,13461,167
2020-07-13,MS,13934,177
2020-07-14,MS,14631,183
2020-07-15,MS,15330,191
2020-07-16,MS,15805,203
2020-07-17,MS,16006,216
2020-07-18,MS,16403,222
2020-07-19,MS,16637,228
2020-07-20,MS,17386,248
2020-07-21,MS,18889,257
2020-07-22,MS,19671,266
2020-07-23,MS,20303,281
2020-07-24,MS,21015,292
2020-07-25,MS,21514,305
2020-07-26,MS,21802,319
2020-07-27,MS,22443,328
2020-07-28,MS,23411,342
2020-07-29,MS,24287,357
2020-07-30,MS,24936,376
2020-07-31,MS,25739,389
2020-08-01,MS,26003,404
2020-08-02,MS,26645,421
2020-08-03,MS,27678,432
2020-08-04,MS,28315,442
2020-08-05,MS,29101,458
2020-08-06,MS,29988,481
2020-08-07,MS,30707,492
2020-08-08,MS,31344,509
2020-08-09,MS,31739,523
2020-08-10,MS,32562,544
