date,state,cases,deaths
2020-03-19,MS,1,0
2020-03-20,MS,1,0
2020-03-21,MS,2,0
2020-03-22,MS,2,0
2020-03-23,MS,2,0
2020-03-24,MS,2,0
2020-03-25,MS,2,0
2020-03-26,MS,2,0
2020-03-27,MS,4,0
2020-03-28,MS,6,0
2020-03-29,MS,7,0
2020-03-30,MS,8,0
2020-03-31,MS,11,1
2020-04-01,MS,13,1
2020-04-02,MS,15,1
2020-04-03,MS,17,1
2020-04-04,MS,19,1
2020-04-05,MS,22,1
2020-04-06,MS,22,1
2020-04-07,MS,32,2
2020-04-08,MS,37,2
2020-04-09,MS,41,2
2020-04-10,MS,48,2
2020-04-11,MS,49,2
2020-04-12,MS,50,2
2020-04-13,MS,58,2
2020-04-14,MS,60,2
2020-04-15,MS,60,2
2020-04-16,MS,63,3
2020-04-17,MS,72,3
2020-04-18,MS,76,3
2020-04-19,MS,81,3
2020-04-20,MS,82,3
2020-04-21,MS,83,4
2020-04-22,MS,84,4
2020-04-23,MS,90,5
2020-04-24,MS,105,5
2020-04-25,MS,107,5
2020-04-26,MS,109,5
2020-04-27,MS,112,7
2020-04-28,MS,112,7
2020-04-29,MS,121,7
2020-04-30,MS,127,7
2020-05-01,MS,127,7
2020-05-02,MS,129,7
2020-05-03,MS,132,7
2020-05-04,MS,134,7
2020-05-05,MS,141,7
2020-05-06,MS,145,7
2020-05-07,MS,162,7
2020-05-08,MS,175,7
2020-05-09,MS,194,7
2020-05-10,MS,209,7
2020-05-11,MS,230,7
2020-05-12,MS,246,8
2020-05-13,MS,268,9
2020-05-14,MS,285,9
2020-05-15,MS,308,9
2020-05-16,MS,336,10
2020-05-17,MS,396,10
2020-05-18,MS,432,11
2020-05-19,MS,454,11
2020-05-20,MS,499,11
2020-05-21,MS,524,11
2020-05-22,MS,581,11
2020-05-23,MS,620,11
2020-05-24,MS,778,11
2020-05-25,MS,851,11
2020-05-26,MS,924,12
2020-05-27,MS,997,12
2020-05-28,MS,1078,12
2020-05-29,MS,1135,13
2020-05-30,MS,1196,13
2020-05-31,MS,1256,13
2020-06-01,MS,1329,13
2020-06-02,MS,1473,13
2020-06-03,MS,1584,13
2020-06-04,MS,1646,13
2020-06-05,MS,1759,13
2020-06-06,MS,1865,13
2020-06-07,MS,1926,14
2020-06-08,MS,2033,14
2020-06-09,MS,2163,16
2020-06-10,MS,2293,17
2020-06-11,MS,2393,20
2020-06-12,MS,2587,20
2020-06-13,MS,2749,23
2020-06-14,MS,2831,25
2020-06-15,MS,3001,28
2020-06-16,MS,3296,28
2020-06-17,MS,3398,31
2020-06-18,MS,3691,32
2020-06-19,MS,3923,35
2020-06-20,MS,4095,37
2020-06-21,MS,4179,39
2020-06-22,MS,4446,47
2020-06-23,MS,4755,48
2020-06-24,MS,4969,53
2020-06-25,MS,5209,57
2020-06-26,MS,5411,60
2020-06-27,MS,5631,64
2020-06-28,MS,5648,67
2020-06-29,MS,5797,68
2020-06-30,MS,6185,75
2020-07-01,MS,6450,78
2020-07-02,MS,6643,89
2020-07-03,MS,7165,96
2020-07-04,MS,7002,96
2020-07-05,MS,7089,100
2020-07-06,MS,7296,104
2020-07-07,MS,7484,106
2020-07-08,MS,7859,108
2020-07-09,MS,8191,116
2020-07-10,MS,8617,122
2020-07-11,MS,8727,126
2020-07-12,MS,8821,130
2020-07-13,MS,9098,134
2020-07-14,MS,9450,138
2020-07-15,MS,9833,142
2020-07-16,MS,10087,150
2020-07-17,MS,10176,157
2020-07-18,MS,10349,160
2020-07-19,MS,10421,162
2020-07-20,MS,10966,175
2020-07-21,MS,11541,178
2020-07-22,MS,11991,185
2020-07-23,MS,12384,195
2020-07-24,MS,12828,202
2020-07-25,MS,13087,210
2020-07-26,MS,13223,215
2020-07-27,MS,13562,222
2020-07-28,MS,14120,231
2020-07-29,MS,14643,238
2020-07-30,MS,15292,257
2020-07-31,MS,15477,254
2020-08-01,MS,15652,265
2020-08-02,MS,15962,274
2020-08-03,MS,16465,283
2020-08-04,MS,16857,290
2020-08-05,MS,17306,300
2020-08-06,MS,17802,311
2020-08-07,MS,18214,316
2020-08-08,MS,18410,325
2020-08-09,MS,18551,333
2020-08-10,MS,19051,344
2020-08-11,MS,19569,354
2020-08-12,MS,19959,358
