date,state,city,cases,deaths
2020-03-20,MT,Cuiabá/MT,1,0
2020-03-21,MT,Cuiabá/MT,1,0
2020-03-22,MT,Cuiabá/MT,1,0
2020-03-23,MT,Cuiabá/MT,5,0
2020-03-24,MT,Cuiabá/MT,5,0
2020-03-25,MT,Cuiabá/MT,6,0
2020-03-26,MT,Cuiabá/MT,8,0
2020-03-27,MT,Cuiabá/MT,8,0
2020-03-28,MT,Cuiabá/MT,8,0
2020-03-29,MT,Cuiabá/MT,8,0
2020-03-30,MT,Cuiabá/MT,12,0
2020-03-31,MT,Cuiabá/MT,18,0
2020-04-01,MT,Cuiabá/MT,19,0
2020-04-02,MT,Cuiabá/MT,25,0
2020-04-03,MT,Cuiabá/MT,25,0
2020-04-04,MT,Cuiabá/MT,38,0
2020-04-05,MT,Cuiabá/MT,38,0
2020-04-06,MT,Cuiabá/MT,43,0
2020-04-07,MT,Cuiabá/MT,43,0
2020-04-08,MT,Cuiabá/MT,50,0
2020-04-09,MT,Cuiabá/MT,58,0
2020-04-10,MT,Cuiabá/MT,60,0
2020-04-11,MT,Cuiabá/MT,64,0
2020-04-12,MT,Cuiabá/MT,64,0
2020-04-13,MT,Cuiabá/MT,72,0
2020-04-14,MT,Cuiabá/MT,75,0
2020-04-15,MT,Cuiabá/MT,79,0
2020-04-16,MT,Cuiabá/MT,83,1
2020-04-17,MT,Cuiabá/MT,88,1
2020-04-18,MT,Cuiabá/MT,91,1
2020-04-19,MT,Cuiabá/MT,92,1
2020-04-20,MT,Cuiabá/MT,96,1
2020-04-21,MT,Cuiabá/MT,96,1
2020-04-22,MT,Cuiabá/MT,102,1
2020-04-23,MT,Cuiabá/MT,108,1
2020-04-24,MT,Cuiabá/MT,119,1
2020-04-25,MT,Cuiabá/MT,124,1
2020-04-26,MT,Cuiabá/MT,127,1
2020-04-27,MT,Cuiabá/MT,126,1
2020-04-28,MT,Cuiabá/MT,127,1
2020-04-29,MT,Cuiabá/MT,129,1
2020-04-30,MT,Cuiabá/MT,134,1
2020-05-01,MT,Cuiabá/MT,138,1
2020-05-02,MT,Cuiabá/MT,141,2
2020-05-03,MT,Cuiabá/MT,144,2
2020-05-04,MT,Cuiabá/MT,145,2
2020-05-05,MT,Cuiabá/MT,148,2
2020-05-06,MT,Cuiabá/MT,155,2
2020-05-07,MT,Cuiabá/MT,162,2
2020-05-08,MT,Cuiabá/MT,171,2
2020-05-09,MT,Cuiabá/MT,183,2
2020-05-10,MT,Cuiabá/MT,185,2
2020-05-11,MT,Cuiabá/MT,192,2
2020-05-12,MT,Cuiabá/MT,211,2
