date,state,cases,deaths
2020-03-21,MT,1,0
2020-03-22,MT,1,0
2020-03-23,MT,1,0
2020-03-24,MT,2,0
2020-03-25,MT,3,0
2020-03-26,MT,3,0
2020-03-27,MT,3,0
2020-03-28,MT,5,0
2020-03-29,MT,8,0
2020-03-30,MT,6,0
2020-03-31,MT,7,0
2020-04-01,MT,9,0
2020-04-02,MT,16,0
2020-04-03,MT,19,1
2020-04-04,MT,22,1
2020-04-05,MT,22,1
2020-04-06,MT,33,1
2020-04-07,MT,35,1
2020-04-08,MT,40,1
2020-04-09,MT,50,2
2020-04-10,MT,52,2
2020-04-11,MT,57,3
2020-04-12,MT,59,3
2020-04-13,MT,62,4
2020-04-14,MT,63,4
2020-04-15,MT,72,4
2020-04-16,MT,73,4
2020-04-17,MT,74,4
2020-04-18,MT,80,4
2020-04-19,MT,82,4
2020-04-20,MT,85,5
2020-04-21,MT,85,5
2020-04-22,MT,103,5
2020-04-23,MT,113,6
2020-04-24,MT,122,7
2020-04-25,MT,123,8
2020-04-26,MT,123,8
2020-04-27,MT,131,9
2020-04-28,MT,136,10
2020-04-29,MT,163,10
2020-04-30,MT,168,10
2020-05-01,MT,182,10
2020-05-02,MT,192,10
2020-05-03,MT,193,10
2020-05-04,MT,199,11
2020-05-05,MT,218,11
2020-05-06,MT,230,11
2020-05-07,MT,257,12
2020-05-08,MT,293,13
2020-05-09,MT,319,14
2020-05-10,MT,334,16
2020-05-11,MT,353,17
2020-05-12,MT,393,18
2020-05-13,MT,446,19
2020-05-14,MT,499,22
2020-05-15,MT,540,24
2020-05-16,MT,592,25
2020-05-17,MT,627,25
2020-05-18,MT,648,25
2020-05-19,MT,696,27
2020-05-20,MT,756,27
2020-05-21,MT,807,29
2020-05-22,MT,871,32
2020-05-23,MT,938,32
2020-05-24,MT,975,33
2020-05-25,MT,1076,35
2020-05-26,MT,1180,36
2020-05-27,MT,1297,39
2020-05-28,MT,1430,46
2020-05-29,MT,1570,48
2020-05-30,MT,1690,49
2020-05-31,MT,1738,53
2020-06-01,MT,1841,56
2020-06-02,MT,1988,62
2020-06-03,MT,2141,66
2020-06-04,MT,2413,71
2020-06-05,MT,2556,75
2020-06-06,MT,2707,84
2020-06-07,MT,2821,89
2020-06-08,MT,2958,96
2020-06-09,MT,3172,103
2020-06-10,MT,3395,113
2020-06-11,MT,3629,120
2020-06-12,MT,3846,130
2020-06-13,MT,4082,141
2020-06-14,MT,4284,154
2020-06-15,MT,4533,163
2020-06-16,MT,4936,183
2020-06-17,MT,5340,201
2020-06-18,MT,6007,218
2020-06-19,MT,6484,234
2020-06-20,MT,6860,246
2020-06-21,MT,7175,267
2020-06-22,MT,7540,281
2020-06-23,MT,8103,302
2020-06-24,MT,8556,320
2020-06-25,MT,9469,340
2020-06-26,MT,10148,359
2020-06-27,MT,10734,383
2020-06-28,MT,11117,404
2020-06-29,MT,11588,420
2020-06-30,MT,12340,443
2020-07-01,MT,13211,471
2020-07-02,MT,14014,500
2020-07-03,MT,14976,526
2020-07-04,MT,15578,555
2020-07-05,MT,16132,574
2020-07-06,MT,16887,595
2020-07-07,MT,18020,624
2020-07-08,MT,19123,643
2020-07-09,MT,20476,672
2020-07-10,MT,21535,723
2020-07-11,MT,22318,734
2020-07-12,MT,22560,752
2020-07-13,MT,23048,780
2020-07-14,MT,23418,787
2020-07-15,MT,23810,822
2020-07-16,MT,24756,840
2020-07-17,MT,25404,878
2020-07-18,MT,25796,897
2020-07-19,MT,27198,921
2020-07-20,MT,27975,946
2020-07-21,MT,29335,979
2020-07-22,MT,30472,1012
2020-07-23,MT,32010,1031
2020-07-24,MT,33289,1085
2020-07-25,MT,33793,1106
