date,state,city,cases,deaths
2020-03-18,PA,Belém/PA,1,0
2020-03-19,PA,Belém/PA,1,0
2020-03-20,PA,Belém/PA,2,0
2020-03-21,PA,Belém/PA,2,0
2020-03-22,PA,Belém/PA,4,0
2020-03-23,PA,Belém/PA,4,0
2020-03-24,PA,Belém/PA,4,0
2020-03-25,PA,Belém/PA,4,0
2020-03-26,PA,Belém/PA,6,0
2020-03-27,PA,Belém/PA,9,0
2020-03-28,PA,Belém/PA,10,0
2020-03-29,PA,Belém/PA,12,0
2020-03-30,PA,Belém/PA,17,0
2020-03-31,PA,Belém/PA,21,0
2020-04-01,PA,Belém/PA,25,0
2020-04-02,PA,Belém/PA,28,0
2020-04-03,PA,Belém/PA,42,0
2020-04-04,PA,Belém/PA,45,0
2020-04-05,PA,Belém/PA,49,0
2020-04-06,PA,Belém/PA,75,3
2020-04-07,PA,Belém/PA,100,3
2020-04-08,PA,Belém/PA,111,4
2020-04-09,PA,Belém/PA,114,5
2020-04-10,PA,Belém/PA,147,7
2020-04-11,PA,Belém/PA,161,8
2020-04-12,PA,Belém/PA,180,11
2020-04-13,PA,Belém/PA,218,11
2020-04-14,PA,Belém/PA,272,16
2020-04-15,PA,Belém/PA,328,16
2020-04-16,PA,Belém/PA,389,20
2020-04-17,PA,Belém/PA,435,22
2020-04-18,PA,Belém/PA,446,22
2020-04-19,PA,Belém/PA,467,22
2020-04-20,PA,Belém/PA,610,23
2020-04-21,PA,Belém/PA,674,24
2020-04-22,PA,Belém/PA,776,26
2020-04-23,PA,Belém/PA,804,33
2020-04-24,PA,Belém/PA,981,51
2020-04-25,PA,Belém/PA,1095,59
2020-04-26,PA,Belém/PA,1243,67
2020-04-27,PA,Belém/PA,1301,67
2020-04-28,PA,Belém/PA,1344,72
2020-04-29,PA,Belém/PA,1487,89
2020-04-30,PA,Belém/PA,1658,139
2020-05-01,PA,Belém/PA,1792,156
2020-05-02,PA,Belém/PA,1980,178
2020-05-03,PA,Belém/PA,2022,180
2020-05-04,PA,Belém/PA,2192,186
2020-05-05,PA,Belém/PA,2433,200
2020-05-06,PA,Belém/PA,2898,216
2020-05-07,PA,Belém/PA,3074,267
2020-05-08,PA,Belém/PA,3282,297
2020-05-09,PA,Belém/PA,3441,317
2020-05-10,PA,Belém/PA,3512,347
2020-05-11,PA,Belém/PA,3745,427
2020-05-12,PA,Belém/PA,4138,489
2020-05-13,PA,Belém/PA,4612,552
2020-05-14,PA,Belém/PA,5055,589
2020-05-15,PA,Belém/PA,5591,623
2020-05-16,PA,Belém/PA,5843,652
2020-05-17,PA,Belém/PA,6178,660
2020-05-18,PA,Belém/PA,6607,711
2020-05-19,PA,Belém/PA,6607,711
2020-05-20,PA,Belém/PA,7485,912
2020-05-21,PA,Belém/PA,7954,965
2020-05-22,PA,Belém/PA,8627,1001
2020-05-23,PA,Belém/PA,9227,1040
2020-05-24,PA,Belém/PA,9337,1117
2020-05-25,PA,Belém/PA,9867,1155
2020-05-26,PA,Belém/PA,10233,1174
2020-05-27,PA,Belém/PA,10614,1195
2020-05-28,PA,Belém/PA,11295,1277
2020-05-29,PA,Belém/PA,11509,1311
2020-05-30,PA,Belém/PA,11587,1320
2020-05-31,PA,Belém/PA,11591,1320
2020-06-01,PA,Belém/PA,11885,1335
2020-06-02,PA,Belém/PA,12688,1381
2020-06-03,PA,Belém/PA,13032,1416
2020-06-04,PA,Belém/PA,13339,1540
2020-06-05,PA,Belém/PA,14040,1583
2020-06-06,PA,Belém/PA,14040,1583
2020-06-07,PA,Belém/PA,14091,1588
2020-06-08,PA,Belém/PA,14506,1632
2020-06-09,PA,Belém/PA,14880,1644
2020-06-10,PA,Belém/PA,15251,1658
2020-06-11,PA,Belém/PA,15313,1676
2020-06-12,PA,Belém/PA,15524,1711
2020-06-13,PA,Belém/PA,16033,1729
2020-06-14,PA,Belém/PA,16055,1729
2020-06-15,PA,Belém/PA,16255,1749
2020-06-16,PA,Belém/PA,16477,1778
2020-06-17,PA,Belém/PA,16701,1786
2020-06-18,PA,Belém/PA,17082,1804
2020-06-19,PA,Belém/PA,17339,1817
2020-06-20,PA,Belém/PA,17499,1835
2020-06-21,PA,Belém/PA,17581,1837
2020-06-22,PA,Belém/PA,17834,1852
2020-06-23,PA,Belém/PA,18110,1870
2020-06-24,PA,Belém/PA,18387,1872
2020-06-25,PA,Belém/PA,18619,1883
2020-06-26,PA,Belém/PA,18751,1889
2020-06-27,PA,Belém/PA,18908,1892
2020-06-28,PA,Belém/PA,19133,1893
2020-06-29,PA,Belém/PA,19364,1897
2020-06-30,PA,Belém/PA,19498,1905
2020-07-01,PA,Belém/PA,19621,1920
2020-07-02,PA,Belém/PA,19967,1931
2020-07-03,PA,Belém/PA,20257,1936
2020-07-04,PA,Belém/PA,20639,1943
2020-07-05,PA,Belém/PA,20724,1946
2020-07-06,PA,Belém/PA,20982,1950
2020-07-07,PA,Belém/PA,21236,1960
2020-07-08,PA,Belém/PA,21373,1972
2020-07-09,PA,Belém/PA,21507,1977
2020-07-10,PA,Belém/PA,21700,1983
2020-07-11,PA,Belém/PA,21783,1990
2020-07-12,PA,Belém/PA,21928,1990
2020-07-13,PA,Belém/PA,22147,1993
2020-07-14,PA,Belém/PA,22432,1999
2020-07-15,PA,Belém/PA,22666,2003
2020-07-16,PA,Belém/PA,22941,2018
2020-07-17,PA,Belém/PA,23187,2021
2020-07-18,PA,Belém/PA,23276,2029
2020-07-19,PA,Belém/PA,23760,2034
2020-07-20,PA,Belém/PA,24020,2036
2020-07-21,PA,Belém/PA,24178,2040
2020-07-22,PA,Belém/PA,24321,2043
2020-07-23,PA,Belém/PA,24466,2046
2020-07-24,PA,Belém/PA,24579,2053
2020-07-25,PA,Belém/PA,24669,2057
2020-07-26,PA,Belém/PA,24737,2059
2020-07-27,PA,Belém/PA,24876,2061
2020-07-28,PA,Belém/PA,24843,2023
2020-07-29,PA,Belém/PA,24988,2022
