date,state,cases,deaths
2020-03-18,PA,1,0
2020-03-19,PA,1,0
2020-03-20,PA,2,0
2020-03-21,PA,2,0
2020-03-22,PA,4,0
2020-03-23,PA,5,0
2020-03-24,PA,5,0
2020-03-25,PA,7,0
2020-03-26,PA,13,0
2020-03-27,PA,16,0
2020-03-28,PA,18,0
2020-03-29,PA,20,0
2020-03-30,PA,26,0
2020-03-31,PA,34,0
2020-04-01,PA,41,1
2020-04-02,PA,49,1
2020-04-03,PA,75,1
2020-04-04,PA,82,1
2020-04-05,PA,86,1
2020-04-06,PA,123,5
2020-04-07,PA,154,5
2020-04-08,PA,167,6
2020-04-09,PA,169,7
2020-04-10,PA,217,9
2020-04-11,PA,237,11
2020-04-12,PA,259,14
2020-04-13,PA,310,15
2020-04-14,PA,384,21
2020-04-15,PA,487,21
2020-04-16,PA,557,26
2020-04-17,PA,627,32
2020-04-18,PA,641,33
2020-04-19,PA,685,34
2020-04-20,PA,902,35
2020-04-21,PA,1026,38
2020-04-22,PA,1195,43
2020-04-23,PA,1267,53
2020-04-24,PA,1579,86
2020-04-25,PA,1745,95
2020-04-26,PA,2070,114
2020-04-27,PA,2219,122
2020-04-28,PA,2319,132
2020-04-29,PA,2586,156
2020-04-30,PA,2999,224
2020-05-01,PA,3359,263
2020-05-02,PA,3727,306
2020-05-03,PA,3920,317
2020-05-04,PA,4262,344
2020-05-05,PA,4756,375
2020-05-06,PA,5524,410
2020-05-07,PA,5935,488
2020-05-08,PA,6519,574
2020-05-09,PA,7018,610
2020-05-10,PA,7348,672
2020-05-11,PA,8069,812
2020-05-12,PA,9059,914
2020-05-13,PA,10344,1022
2020-05-14,PA,11479,1095
2020-05-15,PA,12638,1175
2020-05-16,PA,13464,1223
2020-05-17,PA,14201,1280
2020-05-18,PA,15467,1392
2020-05-19,PA,17177,1554
2020-05-20,PA,18929,1778
2020-05-21,PA,20532,1893
2020-05-22,PA,22697,2003
2020-05-23,PA,24125,2150
2020-05-24,PA,24815,2290
2020-05-25,PA,27366,2431
2020-05-26,PA,29882,2522
2020-05-27,PA,31671,2605
2020-05-28,PA,35132,2785
2020-05-29,PA,37296,2900
2020-05-30,PA,37859,2920
2020-05-31,PA,37961,2923
2020-06-01,PA,40014,3019
2020-06-02,PA,43652,3144
2020-06-03,PA,46473,3245
2020-06-04,PA,49473,3492
2020-06-05,PA,53860,3665
2020-06-06,PA,53860,3665
2020-06-07,PA,54271,3678
2020-06-08,PA,57570,3835
2020-06-09,PA,60636,3898
2020-06-10,PA,63405,3980
2020-06-11,PA,65151,4090
2020-06-12,PA,66328,4132
2020-06-13,PA,68510,4191
2020-06-14,PA,69224,4201
2020-06-15,PA,71243,4291
2020-06-16,PA,74192,4350
2020-06-17,PA,76623,4395
2020-06-18,PA,80072,4469
2020-06-19,PA,82881,4519
2020-06-20,PA,84654,4583
2020-06-21,PA,86020,4605
2020-06-22,PA,88636,4672
2020-06-23,PA,91708,4726
2020-06-24,PA,94036,4748
2020-06-25,PA,96472,4803
2020-06-26,PA,99313,4834
2020-06-27,PA,100443,4845
2020-06-28,PA,101207,4870
2020-06-29,PA,103206,4920
2020-06-30,PA,105853,4960
2020-07-01,PA,108067,5004
2020-07-02,PA,110411,5050
2020-07-03,PA,112531,5069
2020-07-04,PA,113811,5096
2020-07-05,PA,114535,5105
2020-07-06,PA,116152,5128
2020-07-07,PA,118744,5169
2020-07-08,PA,120731,5196
2020-07-09,PA,122674,5224
2020-07-10,PA,124934,5274
2020-07-11,PA,125714,5289
2020-07-12,PA,126509,5293
2020-07-13,PA,128570,5318
2020-07-14,PA,130834,5337
2020-07-15,PA,133039,5385
2020-07-16,PA,135164,5448
2020-07-17,PA,136947,5478
2020-07-18,PA,137484,5523
2020-07-19,PA,138396,5538
2020-07-20,PA,140393,5554
2020-07-21,PA,142358,5581
2020-07-22,PA,144467,5616
2020-07-23,PA,146252,5646
2020-07-24,PA,147923,5689
2020-07-25,PA,148463,5716
2020-07-26,PA,148823,5729
2020-07-27,PA,150616,5753
2020-07-28,PA,151849,5716
2020-07-29,PA,153350,5699
2020-07-30,PA,154685,5728
2020-07-31,PA,156053,5750
2020-08-01,PA,156285,5773
2020-08-02,PA,156505,5784
2020-08-03,PA,158277,5799
2020-08-04,PA,160695,5818
2020-08-05,PA,162822,5835
2020-08-06,PA,164759,5854
2020-08-07,PA,167099,5871
2020-08-08,PA,167642,5885
2020-08-09,PA,168151,5893
2020-08-10,PA,169613,5901
2020-08-11,PA,171878,5909
2020-08-12,PA,173625,5917
2020-08-13,PA,175608,5924
2020-08-14,PA,177010,5932
2020-08-15,PA,177969,5940
2020-08-16,PA,178375,5945
2020-08-17,PA,180090,5975
2020-08-18,PA,182231,6015
2020-08-19,PA,184253,6027
2020-08-20,PA,186646,6037
2020-08-21,PA,188644,6047
2020-08-22,PA,189289,6057
2020-08-23,PA,189582,6062
2020-08-24,PA,191609,6078
2020-08-25,PA,193564,6097
2020-08-26,PA,195297,6102
2020-08-27,PA,196874,6106
2020-08-28,PA,198246,6109
2020-08-29,PA,199171,6115
2020-08-30,PA,199556,6146
2020-08-31,PA,200985,6176
2020-09-01,PA,202436,6201
2020-09-02,PA,203969,6215
2020-09-03,PA,205291,6228
2020-09-04,PA,206864,6240
2020-09-05,PA,207638,6249
2020-09-06,PA,208259,6257
2020-09-07,PA,208560,6269
2020-09-08,PA,209808,6280
2020-09-09,PA,211061,6289
2020-09-10,PA,212428,6299
2020-09-11,PA,213655,6307
2020-09-12,PA,214376,6344
2020-09-13,PA,214806,6368
2020-09-14,PA,216318,6387
2020-09-15,PA,217500,6405
2020-09-16,PA,218458,6421
2020-09-17,PA,219220,6438
2020-09-18,PA,220205,6451
2020-09-19,PA,220519,6460
2020-09-20,PA,220775,6468
