date,state,cases,deaths
2020-03-23,PA,1,0
2020-03-24,PA,1,0
2020-03-25,PA,3,0
2020-03-26,PA,7,0
2020-03-27,PA,7,0
2020-03-28,PA,8,0
2020-03-29,PA,8,0
2020-03-30,PA,9,0
2020-03-31,PA,13,0
2020-04-01,PA,16,1
2020-04-02,PA,21,1
2020-04-03,PA,33,1
2020-04-04,PA,37,1
2020-04-05,PA,37,1
2020-04-06,PA,48,2
2020-04-07,PA,54,2
2020-04-08,PA,56,2
2020-04-09,PA,55,2
2020-04-10,PA,70,2
2020-04-11,PA,76,3
2020-04-12,PA,79,3
2020-04-13,PA,92,4
2020-04-14,PA,112,5
2020-04-15,PA,159,5
2020-04-16,PA,168,6
2020-04-17,PA,192,10
2020-04-18,PA,195,11
2020-04-19,PA,218,12
2020-04-20,PA,292,12
2020-04-21,PA,352,14
2020-04-22,PA,419,17
2020-04-23,PA,463,20
2020-04-24,PA,598,35
2020-04-25,PA,650,36
2020-04-26,PA,827,47
2020-04-27,PA,918,55
2020-04-28,PA,975,60
2020-04-29,PA,1099,67
2020-04-30,PA,1341,85
2020-05-01,PA,1567,107
2020-05-02,PA,1747,128
2020-05-03,PA,1898,137
2020-05-04,PA,2070,158
2020-05-05,PA,2323,175
2020-05-06,PA,2626,194
2020-05-07,PA,2861,221
2020-05-08,PA,3237,277
2020-05-09,PA,3577,293
2020-05-10,PA,3836,325
2020-05-11,PA,4324,385
2020-05-12,PA,4921,425
2020-05-13,PA,5732,470
2020-05-14,PA,6424,506
2020-05-15,PA,7047,552
2020-05-16,PA,7621,571
2020-05-17,PA,8023,620
2020-05-18,PA,8860,681
2020-05-19,PA,10570,843
2020-05-20,PA,11444,866
2020-05-21,PA,12578,928
2020-05-22,PA,14070,1002
2020-05-23,PA,14898,1110
2020-05-24,PA,15478,1173
2020-05-25,PA,17499,1276
2020-05-26,PA,19649,1348
2020-05-27,PA,21057,1410
2020-05-28,PA,23837,1508
2020-05-29,PA,25787,1589
2020-05-30,PA,26272,1600
2020-05-31,PA,26370,1603
2020-06-01,PA,28129,1684
2020-06-02,PA,30964,1763
2020-06-03,PA,33441,1829
2020-06-04,PA,36134,1952
2020-06-05,PA,39820,2082
2020-06-06,PA,39820,2082
2020-06-07,PA,40180,2090
2020-06-08,PA,43064,2203
2020-06-09,PA,45756,2254
2020-06-10,PA,48154,2322
2020-06-11,PA,49838,2414
2020-06-12,PA,50804,2421
2020-06-13,PA,52477,2462
2020-06-14,PA,53169,2472
2020-06-15,PA,54988,2542
2020-06-16,PA,57715,2572
2020-06-17,PA,59922,2609
2020-06-18,PA,62990,2665
2020-06-19,PA,65542,2702
2020-06-20,PA,67155,2748
2020-06-21,PA,68439,2768
2020-06-22,PA,70802,2820
2020-06-23,PA,73598,2856
2020-06-24,PA,75649,2876
2020-06-25,PA,77853,2920
2020-06-26,PA,80562,2945
2020-06-27,PA,81535,2953
2020-06-28,PA,82074,2977
2020-06-29,PA,83842,3023
2020-06-30,PA,86355,3055
2020-07-01,PA,88446,3084
2020-07-02,PA,90444,3119
2020-07-03,PA,92274,3133
2020-07-04,PA,93172,3153
2020-07-05,PA,93811,3159
2020-07-06,PA,95170,3178
2020-07-07,PA,97508,3209
2020-07-08,PA,99358,3224
2020-07-09,PA,101167,3247
2020-07-10,PA,103234,3291
2020-07-11,PA,103931,3299
2020-07-12,PA,104581,3303
2020-07-13,PA,106423,3325
2020-07-14,PA,108402,3338
2020-07-15,PA,110373,3382
2020-07-16,PA,112223,3430
2020-07-17,PA,113760,3457
2020-07-18,PA,114208,3494
2020-07-19,PA,114636,3504
2020-07-20,PA,116373,3518
2020-07-21,PA,118180,3541
2020-07-22,PA,120146,3573
2020-07-23,PA,121786,3600
2020-07-24,PA,123344,3636
2020-07-25,PA,123794,3659
2020-07-26,PA,124086,3670
2020-07-27,PA,125740,3692
2020-07-28,PA,127006,3693
2020-07-29,PA,128362,3677
2020-07-30,PA,129482,3702
2020-07-31,PA,130658,3720
