date,state,city,cases,deaths
2020-03-18,PB,João Pessoa/PB,1,0
2020-03-19,PB,João Pessoa/PB,1,0
2020-03-20,PB,João Pessoa/PB,1,0
2020-03-21,PB,João Pessoa/PB,1,0
2020-03-22,PB,João Pessoa/PB,1,0
2020-03-23,PB,João Pessoa/PB,1,0
2020-03-24,PB,João Pessoa/PB,2,0
2020-03-25,PB,João Pessoa/PB,4,0
2020-03-26,PB,João Pessoa/PB,5,0
2020-03-27,PB,João Pessoa/PB,7,0
2020-03-28,PB,João Pessoa/PB,10,0
2020-03-29,PB,João Pessoa/PB,10,0
2020-03-30,PB,João Pessoa/PB,12,0
2020-03-31,PB,João Pessoa/PB,13,0
2020-04-01,PB,João Pessoa/PB,15,0
2020-04-02,PB,João Pessoa/PB,23,0
2020-04-03,PB,João Pessoa/PB,24,0
2020-04-04,PB,João Pessoa/PB,26,1
2020-04-05,PB,João Pessoa/PB,26,2
2020-04-06,PB,João Pessoa/PB,27,2
2020-04-07,PB,João Pessoa/PB,30,2
2020-04-08,PB,João Pessoa/PB,40,4
2020-04-09,PB,João Pessoa/PB,59,7
2020-04-10,PB,João Pessoa/PB,64,7
2020-04-11,PB,João Pessoa/PB,78,8
2020-04-12,PB,João Pessoa/PB,86,8
2020-04-13,PB,João Pessoa/PB,103,11
2020-04-14,PB,João Pessoa/PB,115,14
2020-04-15,PB,João Pessoa/PB,124,16
2020-04-16,PB,João Pessoa/PB,142,16
2020-04-17,PB,João Pessoa/PB,148,17
2020-04-18,PB,João Pessoa/PB,163,17
2020-04-19,PB,João Pessoa/PB,172,19
2020-04-20,PB,João Pessoa/PB,185,20
2020-04-21,PB,João Pessoa/PB,205,25
2020-04-22,PB,João Pessoa/PB,230,25
2020-04-23,PB,João Pessoa/PB,254,28
2020-04-24,PB,João Pessoa/PB,286,28
2020-04-25,PB,João Pessoa/PB,313,28
2020-04-26,PB,João Pessoa/PB,349,28
2020-04-27,PB,João Pessoa/PB,410,28
2020-04-28,PB,João Pessoa/PB,436,29
2020-04-29,PB,João Pessoa/PB,499,32
2020-04-30,PB,João Pessoa/PB,563,33
2020-05-01,PB,João Pessoa/PB,614,36
2020-05-02,PB,João Pessoa/PB,701,37
2020-05-03,PB,João Pessoa/PB,711,39
2020-05-04,PB,João Pessoa/PB,802,40
2020-05-05,PB,João Pessoa/PB,865,44
2020-05-06,PB,João Pessoa/PB,907,47
2020-05-07,PB,João Pessoa/PB,982,51
2020-05-08,PB,João Pessoa/PB,1062,52
2020-05-09,PB,João Pessoa/PB,1114,54
2020-05-10,PB,João Pessoa/PB,1179,58
2020-05-11,PB,João Pessoa/PB,1230,59
2020-05-12,PB,João Pessoa/PB,1316,62
2020-05-13,PB,João Pessoa/PB,1368,63
2020-05-14,PB,João Pessoa/PB,1451,64
2020-05-15,PB,João Pessoa/PB,1478,68
2020-05-16,PB,João Pessoa/PB,1540,72
2020-05-17,PB,João Pessoa/PB,1697,75
2020-05-18,PB,João Pessoa/PB,1799,78
2020-05-19,PB,João Pessoa/PB,1889,81
2020-05-20,PB,João Pessoa/PB,2088,83
2020-05-21,PB,João Pessoa/PB,2226,89
2020-05-22,PB,João Pessoa/PB,2226,89
2020-05-23,PB,João Pessoa/PB,2454,91
2020-05-24,PB,João Pessoa/PB,2612,96
2020-05-25,PB,João Pessoa/PB,2687,98
2020-05-26,PB,João Pessoa/PB,2945,100
2020-05-27,PB,João Pessoa/PB,3232,102
2020-05-28,PB,João Pessoa/PB,3472,109
2020-05-29,PB,João Pessoa/PB,3685,114
2020-05-30,PB,João Pessoa/PB,3902,126
2020-05-31,PB,João Pessoa/PB,3959,130
2020-06-01,PB,João Pessoa/PB,4151,131
2020-06-02,PB,João Pessoa/PB,4467,131
2020-06-03,PB,João Pessoa/PB,4820,153
2020-06-04,PB,João Pessoa/PB,5319,157
2020-06-05,PB,João Pessoa/PB,5552,159
2020-06-06,PB,João Pessoa/PB,5918,167
2020-06-07,PB,João Pessoa/PB,6004,170
2020-06-08,PB,João Pessoa/PB,6246,183
2020-06-09,PB,João Pessoa/PB,6583,198
2020-06-10,PB,João Pessoa/PB,6905,199
2020-06-11,PB,João Pessoa/PB,7133,201
2020-06-12,PB,João Pessoa/PB,7394,217
2020-06-13,PB,João Pessoa/PB,7610,221
2020-06-14,PB,João Pessoa/PB,7890,223
2020-06-15,PB,João Pessoa/PB,8041,229
2020-06-16,PB,João Pessoa/PB,8464,234
2020-06-17,PB,João Pessoa/PB,8952,246
2020-06-18,PB,João Pessoa/PB,9525,250
2020-06-19,PB,João Pessoa/PB,10065,250
2020-06-20,PB,João Pessoa/PB,10402,253
2020-06-21,PB,João Pessoa/PB,10466,262
