date,state,cases,deaths
2020-03-18,PB,1,0
2020-03-19,PB,1,0
2020-03-20,PB,1,0
2020-03-21,PB,1,0
2020-03-22,PB,1,0
2020-03-23,PB,2,0
2020-03-24,PB,3,0
2020-03-25,PB,5,0
2020-03-26,PB,6,0
2020-03-27,PB,10,0
2020-03-28,PB,14,0
2020-03-29,PB,14,0
2020-03-30,PB,17,0
2020-03-31,PB,18,1
2020-04-01,PB,21,1
2020-04-02,PB,29,1
2020-04-03,PB,32,1
2020-04-04,PB,34,3
2020-04-05,PB,35,4
2020-04-06,PB,36,4
2020-04-07,PB,41,4
2020-04-08,PB,55,7
2020-04-09,PB,79,11
2020-04-10,PB,85,11
2020-04-11,PB,101,13
2020-04-12,PB,111,13
2020-04-13,PB,136,16
2020-04-14,PB,152,21
2020-04-15,PB,165,24
2020-04-16,PB,195,26
2020-04-17,PB,205,28
2020-04-18,PB,236,29
2020-04-19,PB,245,32
2020-04-20,PB,263,33
2020-04-21,PB,301,39
2020-04-22,PB,345,40
2020-04-23,PB,386,44
2020-04-24,PB,447,46
2020-04-25,PB,499,49
2020-04-26,PB,543,50
2020-04-27,PB,633,53
2020-04-28,PB,698,57
2020-04-29,PB,814,62
2020-04-30,PB,926,67
2020-05-01,PB,1034,74
2020-05-02,PB,1169,76
2020-05-03,PB,1219,79
2020-05-04,PB,1361,85
2020-05-05,PB,1493,92
2020-05-06,PB,1657,101
2020-05-07,PB,1849,111
2020-05-08,PB,2031,114
2020-05-09,PB,2156,124
2020-05-10,PB,2341,135
2020-05-11,PB,2525,139
2020-05-12,PB,2777,154
2020-05-13,PB,3045,157
2020-05-14,PB,3361,160
2020-05-15,PB,3739,170
2020-05-16,PB,4063,183
2020-05-17,PB,4347,194
2020-05-18,PB,4786,207
2020-05-19,PB,5300,219
2020-05-20,PB,5838,230
2020-05-21,PB,6238,245
2020-05-22,PB,6882,248
2020-05-23,PB,7508,258
2020-05-24,PB,7823,272
2020-05-25,PB,8016,279
2020-05-26,PB,8919,286
2020-05-27,PB,10209,298
2020-05-28,PB,11132,318
2020-05-29,PB,12011,327
2020-05-30,PB,12862,347
2020-05-31,PB,13162,360
2020-06-01,PB,13695,370
2020-06-02,PB,14859,379
2020-06-03,PB,16018,414
2020-06-04,PB,17579,438
2020-06-05,PB,18579,451
2020-06-06,PB,19787,467
2020-06-07,PB,20310,484
2020-06-08,PB,20951,507
2020-06-09,PB,22452,534
2020-06-10,PB,24032,559
2020-06-11,PB,25370,570
2020-06-12,PB,26556,610
2020-06-13,PB,27454,623
2020-06-14,PB,28013,633
2020-06-15,PB,28668,656
2020-06-16,PB,30128,671
2020-06-17,PB,31712,696
2020-06-18,PB,33382,709
2020-06-19,PB,35098,724
2020-06-20,PB,36526,743
2020-06-21,PB,36789,766
2020-06-22,PB,37258,784
2020-06-23,PB,39004,807
2020-06-24,PB,39917,828
2020-06-25,PB,40829,842
2020-06-26,PB,42837,864
2020-06-27,PB,44247,896
2020-06-28,PB,44684,911
2020-06-29,PB,45062,931
2020-06-30,PB,46962,977
2020-07-01,PB,48180,1002
2020-07-02,PB,49541,1044
2020-07-03,PB,50770,1062
2020-07-04,PB,52311,1082
