date,state,cases,deaths
2020-03-23,PB,1,0
2020-03-24,PB,1,0
2020-03-25,PB,1,0
2020-03-26,PB,1,0
2020-03-27,PB,3,0
2020-03-28,PB,4,0
2020-03-29,PB,4,0
2020-03-30,PB,5,0
2020-03-31,PB,5,1
2020-04-01,PB,6,1
2020-04-02,PB,6,1
2020-04-03,PB,8,1
2020-04-04,PB,8,2
2020-04-05,PB,9,2
2020-04-06,PB,9,2
2020-04-07,PB,11,2
2020-04-08,PB,15,3
2020-04-09,PB,20,4
2020-04-10,PB,21,4
2020-04-11,PB,23,5
2020-04-12,PB,25,5
2020-04-13,PB,33,5
2020-04-14,PB,37,7
2020-04-15,PB,41,8
2020-04-16,PB,53,10
2020-04-17,PB,57,11
2020-04-18,PB,73,12
2020-04-19,PB,73,13
2020-04-20,PB,78,13
2020-04-21,PB,96,14
2020-04-22,PB,115,15
2020-04-23,PB,132,16
2020-04-24,PB,161,18
2020-04-25,PB,186,21
2020-04-26,PB,194,22
2020-04-27,PB,223,25
2020-04-28,PB,262,28
2020-04-29,PB,315,30
2020-04-30,PB,363,34
2020-05-01,PB,420,38
2020-05-02,PB,468,39
2020-05-03,PB,508,40
2020-05-04,PB,559,45
2020-05-05,PB,628,48
2020-05-06,PB,750,54
2020-05-07,PB,867,60
2020-05-08,PB,969,62
2020-05-09,PB,1042,70
2020-05-10,PB,1162,77
2020-05-11,PB,1295,80
2020-05-12,PB,1461,92
2020-05-13,PB,1677,94
2020-05-14,PB,1910,96
2020-05-15,PB,2261,102
2020-05-16,PB,2523,111
2020-05-17,PB,2650,119
2020-05-18,PB,2987,129
2020-05-19,PB,3411,138
2020-05-20,PB,3750,147
2020-05-21,PB,4012,156
2020-05-22,PB,4656,159
2020-05-23,PB,5054,167
2020-05-24,PB,5211,176
2020-05-25,PB,5329,181
2020-05-26,PB,5974,186
2020-05-27,PB,6977,196
2020-05-28,PB,7660,209
2020-05-29,PB,8326,213
2020-05-30,PB,8960,221
2020-05-31,PB,9203,230
2020-06-01,PB,9544,239
2020-06-02,PB,10392,248
2020-06-03,PB,11198,261
2020-06-04,PB,12260,281
2020-06-05,PB,13027,292
2020-06-06,PB,13869,300
2020-06-07,PB,14306,314
2020-06-08,PB,14705,324
2020-06-09,PB,15869,336
2020-06-10,PB,17127,360
2020-06-11,PB,18237,369
2020-06-12,PB,19162,393
2020-06-13,PB,19844,402
2020-06-14,PB,20123,410
2020-06-15,PB,20627,427
2020-06-16,PB,21664,437
2020-06-17,PB,22760,450
2020-06-18,PB,23857,459
2020-06-19,PB,25033,474
2020-06-20,PB,26124,490
2020-06-21,PB,26323,504
2020-06-22,PB,26677,516
2020-06-23,PB,28011,531
2020-06-24,PB,28787,541
2020-06-25,PB,29460,554
2020-06-26,PB,30822,568
2020-06-27,PB,31798,590
2020-06-28,PB,32104,600
2020-06-29,PB,32368,613
2020-06-30,PB,33664,636
2020-07-01,PB,34592,657
2020-07-02,PB,35564,675
2020-07-03,PB,36562,690
2020-07-04,PB,37680,708
2020-07-05,PB,37956,721
2020-07-06,PB,38374,740
2020-07-07,PB,39477,759
2020-07-08,PB,40755,775
2020-07-09,PB,41802,791
2020-07-10,PB,42906,802
2020-07-11,PB,43860,807
2020-07-12,PB,44154,832
2020-07-13,PB,44411,844
2020-07-14,PB,45537,871
2020-07-15,PB,46721,898
2020-07-16,PB,48021,921
2020-07-17,PB,48773,940
2020-07-18,PB,49309,960
2020-07-19,PB,49566,968
2020-07-20,PB,49816,992
2020-07-21,PB,50842,1022
2020-07-22,PB,52473,1036
2020-07-23,PB,53938,1062
2020-07-24,PB,54891,1080
2020-07-25,PB,55815,1092
2020-07-26,PB,56028,1107
2020-07-27,PB,56448,1126
2020-07-28,PB,57757,1138
2020-07-29,PB,59209,1148
2020-07-30,PB,60108,1160
2020-07-31,PB,61464,1180
2020-08-01,PB,61910,1190
2020-08-02,PB,62145,1201
2020-08-03,PB,62333,1217
2020-08-04,PB,63653,1238
2020-08-05,PB,64687,1254
2020-08-06,PB,65192,1270
2020-08-07,PB,66378,1285
2020-08-08,PB,67014,1298
2020-08-09,PB,67153,1301
2020-08-10,PB,67354,1312
2020-08-11,PB,68521,1327
2020-08-12,PB,69193,1344
2020-08-13,PB,69831,1351
2020-08-14,PB,70478,1362
2020-08-15,PB,71247,1385
2020-08-16,PB,71437,1406
2020-08-17,PB,71626,1421
2020-08-18,PB,72582,1434
2020-08-19,PB,73441,1449
2020-08-20,PB,74146,1467
2020-08-21,PB,74701,1485
2020-08-22,PB,75202,1500
2020-08-23,PB,75341,1516
2020-08-24,PB,75484,1530
2020-08-25,PB,76099,1545
2020-08-26,PB,76862,1562
2020-08-27,PB,77567,1576
2020-08-28,PB,78166,1587
2020-08-29,PB,78698,1598
2020-08-30,PB,78813,1607
2020-08-31,PB,78893,1615
2020-09-01,PB,79670,1629
2020-09-02,PB,80295,1646
2020-09-03,PB,80913,1662
2020-09-04,PB,81450,1673
2020-09-05,PB,81988,1683
2020-09-06,PB,82116,1696
2020-09-07,PB,82141,1702
2020-09-08,PB,82277,1711
2020-09-09,PB,83004,1723
2020-09-10,PB,83643,1735
2020-09-11,PB,84057,1748
2020-09-12,PB,84586,1758
2020-09-13,PB,84662,1767
2020-09-14,PB,84849,1779
2020-09-15,PB,85418,1788
2020-09-16,PB,85970,1793
2020-09-17,PB,86594,1803
2020-09-18,PB,87122,1816
2020-09-19,PB,87588,1824
2020-09-20,PB,87695,1832
2020-09-21,PB,87811,1841
2020-09-22,PB,88377,1849
2020-09-23,PB,88903,1858
2020-09-24,PB,89323,1876
