date,state,city,cases,deaths
2020-03-12,PE,Recife/PE,2,0
2020-03-13,PE,Recife/PE,2,0
2020-03-14,PE,Recife/PE,6,0
2020-03-15,PE,Recife/PE,7,0
2020-03-16,PE,Recife/PE,7,0
2020-03-17,PE,Recife/PE,13,0
2020-03-18,PE,Recife/PE,14,0
2020-03-19,PE,Recife/PE,14,0
2020-03-20,PE,Recife/PE,14,0
2020-03-21,PE,Recife/PE,25,0
2020-03-22,PE,Recife/PE,28,0
2020-03-23,PE,Recife/PE,30,0
2020-03-24,PE,Recife/PE,30,0
2020-03-25,PE,Recife/PE,31,1
2020-03-26,PE,Recife/PE,33,2
2020-03-27,PE,Recife/PE,38,3
2020-03-28,PE,Recife/PE,46,4
2020-03-29,PE,Recife/PE,50,4
2020-03-30,PE,Recife/PE,52,4
2020-03-31,PE,Recife/PE,58,4
2020-04-01,PE,Recife/PE,64,5
2020-04-02,PE,Recife/PE,74,6
2020-04-03,PE,Recife/PE,92,6
2020-04-04,PE,Recife/PE,119,10
2020-04-05,PE,Recife/PE,139,14
2020-04-06,PE,Recife/PE,146,16
2020-04-07,PE,Recife/PE,221,18
2020-04-08,PE,Recife/PE,254,21
2020-04-09,PE,Recife/PE,340,27
2020-04-10,PE,Recife/PE,413,32
2020-04-11,PE,Recife/PE,486,34
2020-04-12,PE,Recife/PE,557,37
2020-04-13,PE,Recife/PE,672,46
2020-04-14,PE,Recife/PE,733,50
2020-04-15,PE,Recife/PE,857,62
2020-04-16,PE,Recife/PE,958,70
2020-04-17,PE,Recife/PE,1136,85
2020-04-18,PE,Recife/PE,1255,94
2020-04-19,PE,Recife/PE,1399,100
2020-04-20,PE,Recife/PE,1552,107
2020-04-21,PE,Recife/PE,1687,114
2020-04-22,PE,Recife/PE,1904,124
2020-04-23,PE,Recife/PE,2062,138
2020-04-24,PE,Recife/PE,1647,152
2020-04-25,PE,Recife/PE,1776,164
2020-04-26,PE,Recife/PE,2722,182
2020-04-27,PE,Recife/PE,2971,195
2020-04-28,PE,Recife/PE,3158,219
2020-04-29,PE,Recife/PE,3423,236
2020-04-30,PE,Recife/PE,3780,250
2020-05-01,PE,Recife/PE,4021,257
2020-05-02,PE,Recife/PE,4453,267
2020-05-03,PE,Recife/PE,4702,273
2020-05-04,PE,Recife/PE,4807,295
2020-05-05,PE,Recife/PE,4807,295
2020-05-06,PE,Recife/PE,4807,295
2020-05-07,PE,Recife/PE,5775,354
2020-05-08,PE,Recife/PE,5775,354
2020-05-09,PE,Recife/PE,6581,385
2020-05-10,PE,Recife/PE,6984,415
2020-05-11,PE,Recife/PE,7224,425
2020-05-12,PE,Recife/PE,7477,450
2020-05-13,PE,Recife/PE,7757,479
2020-05-14,PE,Recife/PE,8096,507
2020-05-15,PE,Recife/PE,8352,538
2020-05-16,PE,Recife/PE,9413,573
2020-05-17,PE,Recife/PE,9772,596
2020-05-18,PE,Recife/PE,10047,645
2020-05-19,PE,Recife/PE,10561,682
2020-05-20,PE,Recife/PE,11054,715
2020-05-21,PE,Recife/PE,11584,747
2020-05-22,PE,Recife/PE,12523,803
2020-05-23,PE,Recife/PE,12924,835
2020-05-24,PE,Recife/PE,13297,851
2020-05-25,PE,Recife/PE,13549,865
2020-05-26,PE,Recife/PE,13712,902
2020-05-27,PE,Recife/PE,14086,967
2020-05-28,PE,Recife/PE,14365,1004
2020-05-29,PE,Recife/PE,14832,1040
2020-05-30,PE,Recife/PE,15165,1064
2020-05-31,PE,Recife/PE,15474,1081
2020-06-01,PE,Recife/PE,15565,1097
2020-06-02,PE,Recife/PE,15749,1100
2020-06-03,PE,Recife/PE,15977,1120
2020-06-04,PE,Recife/PE,16250,1177
2020-06-05,PE,Recife/PE,16520,1207
2020-06-06,PE,Recife/PE,16695,1235
2020-06-07,PE,Recife/PE,16909,1242
2020-06-08,PE,Recife/PE,17037,1270
2020-06-09,PE,Recife/PE,17133,1315
2020-06-10,PE,Recife/PE,17377,1361
2020-06-11,PE,Recife/PE,17685,1402
2020-06-12,PE,Recife/PE,17866,1439
2020-06-13,PE,Recife/PE,18102,1484
2020-06-14,PE,Recife/PE,18253,1529
2020-06-15,PE,Recife/PE,18333,1538
2020-06-16,PE,Recife/PE,18515,1563
2020-06-17,PE,Recife/PE,18762,1584
2020-06-18,PE,Recife/PE,18991,1594
2020-06-19,PE,Recife/PE,19192,1608
2020-06-20,PE,Recife/PE,19379,1615
2020-06-21,PE,Recife/PE,19613,1663
2020-06-22,PE,Recife/PE,19679,1662
2020-06-23,PE,Recife/PE,19718,1685
2020-06-24,PE,Recife/PE,19975,1719
2020-06-25,PE,Recife/PE,20165,1743
2020-06-26,PE,Recife/PE,20275,1781
2020-06-27,PE,Recife/PE,20441,1803
2020-06-28,PE,Recife/PE,20578,1807
2020-06-29,PE,Recife/PE,20656,1816
2020-06-30,PE,Recife/PE,20729,1825
2020-07-01,PE,Recife/PE,20895,1851
2020-07-02,PE,Recife/PE,21103,1872
2020-07-03,PE,Recife/PE,21255,1883
2020-07-04,PE,Recife/PE,21400,1892
2020-07-05,PE,Recife/PE,21683,1898
2020-07-06,PE,Recife/PE,21739,1897
2020-07-07,PE,Recife/PE,21839,1924
2020-07-08,PE,Recife/PE,22092,1927
2020-07-09,PE,Recife/PE,22298,1946
2020-07-10,PE,Recife/PE,22513,1954
2020-07-11,PE,Recife/PE,22749,1966
