date,state,cases,deaths
2020-03-12,PE,2,0
2020-03-13,PE,2,0
2020-03-14,PE,7,0
2020-03-15,PE,8,0
2020-03-16,PE,8,0
2020-03-17,PE,18,0
2020-03-18,PE,19,0
2020-03-19,PE,28,0
2020-03-20,PE,31,0
2020-03-21,PE,33,0
2020-03-22,PE,37,0
2020-03-23,PE,42,0
2020-03-24,PE,42,0
2020-03-25,PE,46,1
2020-03-26,PE,48,3
2020-03-27,PE,57,4
2020-03-28,PE,68,5
2020-03-29,PE,73,5
2020-03-30,PE,78,6
2020-03-31,PE,87,6
2020-04-01,PE,95,8
2020-04-02,PE,106,9
2020-04-03,PE,136,10
2020-04-04,PE,176,14
2020-04-05,PE,201,21
2020-04-06,PE,223,30
2020-04-07,PE,352,34
2020-04-08,PE,401,46
2020-04-09,PE,555,56
2020-04-10,PE,684,65
2020-04-11,PE,816,72
2020-04-12,PE,960,85
2020-04-13,PE,1154,102
2020-04-14,PE,1284,115
2020-04-15,PE,1484,143
2020-04-16,PE,1683,160
2020-04-17,PE,2006,186
2020-04-18,PE,2193,205
2020-04-19,PE,2459,216
2020-04-20,PE,2690,234
2020-04-21,PE,2908,260
2020-04-22,PE,3298,282
2020-04-23,PE,3605,312
2020-04-24,PE,3999,352
2020-04-25,PE,4507,381
2020-04-26,PE,4898,415
2020-04-27,PE,5358,450
2020-04-28,PE,5724,508
2020-04-29,PE,6194,538
2020-04-30,PE,6876,565
2020-05-01,PE,7334,603
2020-05-02,PE,8145,628
2020-05-03,PE,8643,652
2020-05-04,PE,8863,691
2020-05-05,PE,9325,749
2020-05-06,PE,9881,803
2020-05-07,PE,10824,845
2020-05-08,PE,11587,927
2020-05-09,PE,12470,972
2020-05-10,PE,13275,1047
2020-05-11,PE,13768,1087
2020-05-12,PE,14309,1157
2020-05-13,PE,14901,1224
2020-05-14,PE,15588,1298
2020-05-15,PE,16209,1381
2020-05-16,PE,18488,1461
2020-05-17,PE,19452,1516
2020-05-18,PE,20094,1640
2020-05-19,PE,21242,1741
2020-05-20,PE,22560,1834
2020-05-21,PE,23911,1925
2020-05-22,PE,25760,2057
2020-05-23,PE,26786,2144
2020-05-24,PE,27759,2200
2020-05-25,PE,28366,2248
2020-05-26,PE,28854,2328
2020-05-27,PE,29919,2468
2020-05-28,PE,30713,2566
2020-05-29,PE,32255,2669
2020-05-30,PE,33427,2740
2020-05-31,PE,34450,2807
2020-06-01,PE,34900,2875
2020-06-02,PE,35508,2933
2020-06-03,PE,36463,3012
2020-06-04,PE,37507,3134
2020-06-05,PE,38511,3205
2020-06-06,PE,39361,3270
2020-06-07,PE,40242,3305
2020-06-08,PE,40705,3350
2020-06-09,PE,41010,3453
2020-06-10,PE,41935,3531
2020-06-11,PE,42994,3633
2020-06-12,PE,43872,3694
2020-06-13,PE,44671,3784
2020-06-14,PE,45261,3855
2020-06-15,PE,45507,3886
2020-06-16,PE,46427,3959
2020-06-17,PE,47446,4009
2020-06-18,PE,48626,4057
2020-06-19,PE,49720,4102
2020-06-20,PE,51118,4148
2020-06-21,PE,52113,4234
2020-06-22,PE,52494,4252
2020-06-23,PE,52831,4339
2020-06-24,PE,54022,4425
2020-06-25,PE,55136,4488
2020-06-26,PE,55804,4610
2020-06-27,PE,57089,4708
2020-06-28,PE,58107,4751
2020-06-29,PE,58476,4782
2020-06-30,PE,58858,4829
2020-07-01,PE,59705,4894
2020-07-02,PE,61119,4968
2020-07-03,PE,62362,5068
2020-07-04,PE,63457,5116
2020-07-05,PE,65129,5143
2020-07-06,PE,65642,5163
2020-07-07,PE,66151,5234
2020-07-08,PE,67604,5323
2020-07-09,PE,68767,5409
2020-07-10,PE,70100,5482
2020-07-11,PE,71370,5556
2020-07-12,PE,72470,5595
2020-07-13,PE,72901,5652
2020-07-14,PE,73576,5715
2020-07-15,PE,74960,5772
2020-07-16,PE,76091,5836
2020-07-17,PE,77423,5869
2020-07-18,PE,78509,5928
2020-07-19,PE,79452,5984
2020-07-20,PE,80115,6036
2020-07-21,PE,80441,6089
2020-07-22,PE,81382,6152
2020-07-23,PE,83240,6211
2020-07-24,PE,85042,6237
2020-07-25,PE,86752,6299
2020-07-26,PE,88466,6352
2020-07-27,PE,89132,6376
2020-07-28,PE,89678,6421
2020-07-29,PE,91536,6484
2020-07-30,PE,93373,6526
2020-07-31,PE,95005,6557
2020-08-01,PE,96746,6597
2020-08-02,PE,97970,6634
2020-08-03,PE,98401,6669
2020-08-04,PE,98833,6717
2020-08-05,PE,100321,6758
2020-08-06,PE,101395,6828
2020-08-07,PE,102872,6867
2020-08-08,PE,104113,6920
2020-08-09,PE,105381,6970
2020-08-10,PE,105381,6970
2020-08-11,PE,105982,7008
2020-08-12,PE,107375,7049
2020-08-13,PE,108842,7084
2020-08-14,PE,110409,7111
2020-08-15,PE,111773,7156
2020-08-16,PE,112958,7188
2020-08-17,PE,113183,7210
2020-08-18,PE,113788,7252
2020-08-19,PE,115217,7280
2020-08-20,PE,116359,7303
2020-08-21,PE,117431,7335
2020-08-22,PE,118027,7364
2020-08-23,PE,119140,7390
2020-08-24,PE,119357,7399
2020-08-25,PE,119958,7425
2020-08-26,PE,121078,7460
2020-08-27,PE,122147,7480
2020-08-28,PE,123146,7512
2020-08-29,PE,124151,7547
2020-08-30,PE,125094,7574
2020-08-31,PE,125539,7593
2020-09-01,PE,127287,7614
2020-09-02,PE,128724,7656
2020-09-03,PE,130199,7619
2020-09-04,PE,131230,7645
2020-09-05,PE,131961,7670
2020-09-06,PE,132152,7702
2020-09-07,PE,132420,7721
2020-09-08,PE,132590,7741
2020-09-09,PE,133579,7764
2020-09-10,PE,134619,7792
2020-09-11,PE,135643,7817
2020-09-12,PE,136413,7852
2020-09-13,PE,136672,7874
2020-09-14,PE,136853,7888
2020-09-15,PE,137869,7914
2020-09-16,PE,138568,7933
2020-09-17,PE,139325,7954
2020-09-18,PE,140235,7971
2020-09-19,PE,141042,8004
2020-09-20,PE,141517,8016
2020-09-21,PE,141777,8025
2020-09-22,PE,142488,8055
2020-09-23,PE,143165,8085
2020-09-24,PE,143703,8110
2020-09-25,PE,144268,8129
2020-09-26,PE,144940,8156
2020-09-27,PE,145016,8174
2020-09-28,PE,145096,8190
2020-09-29,PE,146325,8222
2020-09-30,PE,147171,8251
2020-10-01,PE,147872,8279
2020-10-02,PE,148737,8299
2020-10-03,PE,149349,8318
2020-10-04,PE,149417,8333
2020-10-05,PE,149454,8340
2020-10-06,PE,150217,8356
2020-10-07,PE,151139,8379
2020-10-08,PE,151736,8387
2020-10-09,PE,152414,8397
2020-10-10,PE,152998,8408
2020-10-11,PE,153144,8411
2020-10-12,PE,153222,8414
2020-10-13,PE,153299,8417
2020-10-14,PE,154041,8438
2020-10-15,PE,154866,8456
2020-10-16,PE,155520,8469
2020-10-17,PE,155923,8480
2020-10-18,PE,156029,8487
2020-10-19,PE,156130,8490
2020-10-20,PE,156794,8505
2020-10-21,PE,157418,8519
2020-10-22,PE,157777,8527
2020-10-23,PE,158496,8531
2020-10-24,PE,159220,8542
2020-10-25,PE,159377,8552
2020-10-26,PE,159476,8564
2020-10-27,PE,160354,8575
2020-10-28,PE,161161,8587
2020-10-29,PE,161740,8599
2020-10-30,PE,162402,8609
2020-10-31,PE,162893,8627
2020-11-01,PE,162977,8632
2020-11-02,PE,163039,8638
2020-11-03,PE,163156,8643
2020-11-04,PE,163642,8667
2020-11-05,PE,164222,8687
2020-11-06,PE,165273,8711
2020-11-07,PE,165922,8724
2020-11-08,PE,166333,8732
2020-11-09,PE,166540,8740
2020-11-10,PE,167233,8763
2020-11-11,PE,168093,8773
2020-11-12,PE,168880,8794
2020-11-13,PE,169710,8805
2020-11-14,PE,170553,8815
2020-11-15,PE,170860,8827
2020-11-16,PE,171216,8838
2020-11-17,PE,171890,8854
2020-11-18,PE,172716,8873
2020-11-19,PE,173624,8890
2020-11-20,PE,174312,8899
2020-11-21,PE,175258,8920
2020-11-22,PE,175730,8923
2020-11-23,PE,176158,8926
2020-11-24,PE,176939,8951
2020-11-25,PE,178086,8971
2020-11-26,PE,178639,8987
2020-11-27,PE,179308,8999
2020-11-28,PE,181392,9019
2020-11-29,PE,181841,9030
2020-11-30,PE,182406,9037
2020-12-01,PE,184259,9056
2020-12-02,PE,185607,9082
2020-12-03,PE,187038,9098
2020-12-04,PE,188132,9119
2020-12-05,PE,189650,9140
2020-12-06,PE,190415,9148
2020-12-07,PE,191161,9170
2020-12-08,PE,192397,9186
2020-12-09,PE,193530,9200
2020-12-10,PE,195118,9229
2020-12-11,PE,197063,9244
2020-12-12,PE,198426,9271
2020-12-13,PE,198684,9284
2020-12-14,PE,199046,9299
2020-12-15,PE,199780,9324
2020-12-16,PE,201851,9339
2020-12-17,PE,203497,9361
2020-12-18,PE,205262,9383
2020-12-19,PE,207008,9418
2020-12-20,PE,207426,9435
2020-12-21,PE,208135,9443
2020-12-22,PE,210081,9459
2020-12-23,PE,211996,9487
2020-12-24,PE,213453,9523
2020-12-25,PE,214562,9544
2020-12-26,PE,214949,9560
2020-12-27,PE,215552,9571
2020-12-28,PE,215994,9588
2020-12-29,PE,217772,9612
2020-12-30,PE,220284,9632
2020-12-31,PE,222166,9654
2021-01-01,PE,222993,9666
2021-01-02,PE,223325,9674
2021-01-03,PE,223540,9679
2021-01-04,PE,223845,9691
2021-01-05,PE,225336,9709
2021-01-06,PE,226940,9731
2021-01-07,PE,228451,9763
2021-01-08,PE,229701,9789
2021-01-09,PE,230891,9826
2021-01-10,PE,232037,9840
2021-01-11,PE,232756,9851
2021-01-12,PE,234238,9889
2021-01-13,PE,236041,9919
2021-01-14,PE,237453,9946
2021-01-15,PE,239155,9964
2021-01-16,PE,240605,9993
2021-01-17,PE,241087,10020
2021-01-18,PE,241409,10031
2021-01-19,PE,243044,10059
2021-01-20,PE,244814,10098
2021-01-21,PE,246799,10133
2021-01-22,PE,248513,10152
2021-01-23,PE,250165,10177
2021-01-24,PE,250702,10193
2021-01-25,PE,251291,10200
2021-01-26,PE,253415,10222
2021-01-27,PE,255483,10251
2021-01-28,PE,255483,10251
