date,state,cases,deaths
2020-03-14,PE,1,0
2020-03-15,PE,1,0
2020-03-16,PE,1,0
2020-03-17,PE,5,0
2020-03-18,PE,5,0
2020-03-19,PE,14,0
2020-03-20,PE,17,0
2020-03-21,PE,8,0
2020-03-22,PE,9,0
2020-03-23,PE,12,0
2020-03-24,PE,12,0
2020-03-25,PE,15,0
2020-03-26,PE,15,1
2020-03-27,PE,19,1
2020-03-28,PE,22,1
2020-03-29,PE,23,1
2020-03-30,PE,26,2
2020-03-31,PE,29,2
2020-04-01,PE,31,3
2020-04-02,PE,32,3
2020-04-03,PE,44,4
2020-04-04,PE,57,4
2020-04-05,PE,62,7
2020-04-06,PE,77,14
2020-04-07,PE,131,16
2020-04-08,PE,147,25
2020-04-09,PE,215,29
2020-04-10,PE,271,33
2020-04-11,PE,330,38
2020-04-12,PE,403,48
2020-04-13,PE,482,56
2020-04-14,PE,551,65
2020-04-15,PE,627,81
2020-04-16,PE,725,90
2020-04-17,PE,870,101
2020-04-18,PE,938,111
2020-04-19,PE,1060,116
2020-04-20,PE,1138,127
2020-04-21,PE,1221,146
2020-04-22,PE,1394,158
2020-04-23,PE,1543,174
2020-04-24,PE,2352,200
2020-04-25,PE,2731,217
2020-04-26,PE,2176,233
2020-04-27,PE,2387,255
2020-04-28,PE,2566,289
2020-04-29,PE,2771,302
2020-04-30,PE,3096,315
2020-05-01,PE,3313,346
2020-05-02,PE,3692,361
2020-05-03,PE,3941,379
2020-05-04,PE,4056,396
2020-05-05,PE,4518,454
2020-05-06,PE,5074,508
2020-05-07,PE,5049,491
2020-05-08,PE,5812,573
2020-05-09,PE,5889,587
2020-05-10,PE,6291,632
2020-05-11,PE,6544,662
2020-05-12,PE,6832,707
2020-05-13,PE,7144,745
2020-05-14,PE,7492,791
2020-05-15,PE,7857,843
2020-05-16,PE,9075,888
2020-05-17,PE,9680,920
2020-05-18,PE,10047,995
2020-05-19,PE,10681,1059
2020-05-20,PE,11506,1119
2020-05-21,PE,12327,1178
2020-05-22,PE,13237,1254
2020-05-23,PE,13862,1309
2020-05-24,PE,14462,1349
2020-05-25,PE,14817,1383
2020-05-26,PE,15142,1426
2020-05-27,PE,15833,1501
2020-05-28,PE,16348,1562
2020-05-29,PE,17423,1629
2020-05-30,PE,18262,1676
2020-05-31,PE,18976,1726
2020-06-01,PE,19335,1778
2020-06-02,PE,19759,1833
2020-06-03,PE,20486,1892
2020-06-04,PE,21257,1957
2020-06-05,PE,21991,1998
2020-06-06,PE,22666,2035
2020-06-07,PE,23333,2063
2020-06-08,PE,23668,2080
2020-06-09,PE,23877,2138
2020-06-10,PE,24558,2170
2020-06-11,PE,25309,2231
2020-06-12,PE,26006,2255
2020-06-13,PE,26569,2300
2020-06-14,PE,27008,2326
2020-06-15,PE,27174,2348
2020-06-16,PE,27912,2396
2020-06-17,PE,28684,2425
2020-06-18,PE,29635,2463
2020-06-19,PE,30528,2494
2020-06-20,PE,31739,2533
2020-06-21,PE,32500,2571
2020-06-22,PE,32815,2590
2020-06-23,PE,33113,2654
2020-06-24,PE,34047,2706
2020-06-25,PE,34971,2745
2020-06-26,PE,35529,2829
2020-06-27,PE,36648,2905
2020-06-28,PE,37529,2944
2020-06-29,PE,37820,2966
2020-06-30,PE,38129,3004
2020-07-01,PE,38810,3043
