date,state,city,cases,deaths
2020-03-19,PI,Teresina/PI,3,0
2020-03-20,PI,Teresina/PI,4,0
2020-03-21,PI,Teresina/PI,4,0
2020-03-22,PI,Teresina/PI,6,0
2020-03-23,PI,Teresina/PI,6,0
2020-03-24,PI,Teresina/PI,8,0
2020-03-25,PI,Teresina/PI,9,0
2020-03-26,PI,Teresina/PI,9,0
2020-03-27,PI,Teresina/PI,9,0
2020-03-28,PI,Teresina/PI,9,0
2020-03-29,PI,Teresina/PI,14,2
2020-03-30,PI,Teresina/PI,16,2
2020-03-31,PI,Teresina/PI,16,2
2020-04-01,PI,Teresina/PI,17,2
2020-04-02,PI,Teresina/PI,17,2
2020-04-03,PI,Teresina/PI,19,2
2020-04-04,PI,Teresina/PI,21,2
2020-04-05,PI,Teresina/PI,21,2
2020-04-06,PI,Teresina/PI,22,2
2020-04-07,PI,Teresina/PI,24,3
2020-04-08,PI,Teresina/PI,31,4
2020-04-09,PI,Teresina/PI,32,5
2020-04-10,PI,Teresina/PI,33,5
2020-04-11,PI,Teresina/PI,36,5
2020-04-12,PI,Teresina/PI,42,5
2020-04-13,PI,Teresina/PI,47,5
2020-04-14,PI,Teresina/PI,63,5
2020-04-15,PI,Teresina/PI,77,5
2020-04-16,PI,Teresina/PI,86,5
2020-04-17,PI,Teresina/PI,94,5
2020-04-18,PI,Teresina/PI,111,5
2020-04-19,PI,Teresina/PI,122,5
2020-04-20,PI,Teresina/PI,136,7
2020-04-21,PI,Teresina/PI,150,7
2020-04-22,PI,Teresina/PI,156,7
2020-04-23,PI,Teresina/PI,179,7
2020-04-24,PI,Teresina/PI,204,8
2020-04-25,PI,Teresina/PI,223,8
2020-04-26,PI,Teresina/PI,237,8
2020-04-27,PI,Teresina/PI,271,9
2020-04-28,PI,Teresina/PI,284,11
2020-04-29,PI,Teresina/PI,321,11
2020-04-30,PI,Teresina/PI,383,11
2020-05-01,PI,Teresina/PI,420,13
2020-05-02,PI,Teresina/PI,458,14
2020-05-03,PI,Teresina/PI,485,14
2020-05-04,PI,Teresina/PI,540,14
2020-05-05,PI,Teresina/PI,580,14
2020-05-06,PI,Teresina/PI,653,17
2020-05-07,PI,Teresina/PI,697,18
2020-05-08,PI,Teresina/PI,733,19
2020-05-09,PI,Teresina/PI,755,22
2020-05-10,PI,Teresina/PI,786,22
2020-05-11,PI,Teresina/PI,847,23
2020-05-12,PI,Teresina/PI,937,26
2020-05-13,PI,Teresina/PI,1033,26
2020-05-14,PI,Teresina/PI,1089,26
2020-05-15,PI,Teresina/PI,1146,29
2020-05-16,PI,Teresina/PI,1245,34
2020-05-17,PI,Teresina/PI,1260,39
2020-05-18,PI,Teresina/PI,1327,40
2020-05-19,PI,Teresina/PI,1385,42
2020-05-20,PI,Teresina/PI,1504,45
2020-05-21,PI,Teresina/PI,1577,46
2020-05-22,PI,Teresina/PI,1626,47
2020-05-23,PI,Teresina/PI,1708,49
2020-05-24,PI,Teresina/PI,1771,50
2020-05-25,PI,Teresina/PI,1821,57
2020-05-26,PI,Teresina/PI,1890,66
2020-05-27,PI,Teresina/PI,1982,69
2020-05-28,PI,Teresina/PI,2067,75
2020-05-29,PI,Teresina/PI,2157,83
2020-05-30,PI,Teresina/PI,2248,85
2020-05-31,PI,Teresina/PI,2304,90
2020-06-01,PI,Teresina/PI,2432,95
2020-06-02,PI,Teresina/PI,2531,101
2020-06-03,PI,Teresina/PI,2650,107
2020-06-04,PI,Teresina/PI,2965,116
2020-06-05,PI,Teresina/PI,3137,119
2020-06-06,PI,Teresina/PI,3226,128
2020-06-07,PI,Teresina/PI,3309,137
2020-06-08,PI,Teresina/PI,3457,142
2020-06-09,PI,Teresina/PI,3630,151
2020-06-10,PI,Teresina/PI,3773,163
2020-06-11,PI,Teresina/PI,4049,173
2020-06-12,PI,Teresina/PI,4227,185
2020-06-13,PI,Teresina/PI,4336,196
2020-06-14,PI,Teresina/PI,4420,207
2020-06-15,PI,Teresina/PI,4624,217
2020-06-16,PI,Teresina/PI,4877,222
2020-06-17,PI,Teresina/PI,5054,239
2020-06-18,PI,Teresina/PI,5237,246
2020-06-19,PI,Teresina/PI,5621,257
2020-06-20,PI,Teresina/PI,5794,271
2020-06-21,PI,Teresina/PI,5856,282
2020-06-22,PI,Teresina/PI,6065,291
2020-06-23,PI,Teresina/PI,6305,301
2020-06-24,PI,Teresina/PI,6618,307
2020-06-25,PI,Teresina/PI,6899,324
2020-06-26,PI,Teresina/PI,7098,335
2020-06-27,PI,Teresina/PI,7265,346
2020-06-28,PI,Teresina/PI,7466,360
2020-06-29,PI,Teresina/PI,7668,369
2020-06-30,PI,Teresina/PI,8294,387
2020-07-01,PI,Teresina/PI,8801,396
2020-07-02,PI,Teresina/PI,9183,414
2020-07-03,PI,Teresina/PI,9568,433
2020-07-04,PI,Teresina/PI,9742,447
2020-07-05,PI,Teresina/PI,9881,459
2020-07-06,PI,Teresina/PI,10186,473
2020-07-07,PI,Teresina/PI,10446,485
2020-07-08,PI,Teresina/PI,10885,495
2020-07-09,PI,Teresina/PI,11414,500
2020-07-10,PI,Teresina/PI,11886,506
2020-07-11,PI,Teresina/PI,11997,513
2020-07-12,PI,Teresina/PI,12120,527
2020-07-13,PI,Teresina/PI,12326,540
2020-07-14,PI,Teresina/PI,12634,555
2020-07-15,PI,Teresina/PI,12890,567
2020-07-16,PI,Teresina/PI,12992,574
2020-07-17,PI,Teresina/PI,13346,585
2020-07-18,PI,Teresina/PI,13489,593
2020-07-19,PI,Teresina/PI,13568,607
2020-07-20,PI,Teresina/PI,13684,612
2020-07-21,PI,Teresina/PI,14164,625
2020-07-22,PI,Teresina/PI,14595,630
2020-07-23,PI,Teresina/PI,14920,644
2020-07-24,PI,Teresina/PI,15250,651
2020-07-25,PI,Teresina/PI,15395,658
2020-07-26,PI,Teresina/PI,15502,666
2020-07-27,PI,Teresina/PI,15821,674
2020-07-28,PI,Teresina/PI,16336,680
2020-07-29,PI,Teresina/PI,16777,688
2020-07-30,PI,Teresina/PI,17105,698
2020-07-31,PI,Teresina/PI,17522,709
2020-08-01,PI,Teresina/PI,17593,718
2020-08-02,PI,Teresina/PI,17630,727
2020-08-03,PI,Teresina/PI,18047,731
2020-08-04,PI,Teresina/PI,18439,739
2020-08-05,PI,Teresina/PI,18922,746
2020-08-06,PI,Teresina/PI,19349,753
2020-08-07,PI,Teresina/PI,19712,760
2020-08-08,PI,Teresina/PI,19790,765
2020-08-09,PI,Teresina/PI,19816,779
2020-08-10,PI,Teresina/PI,20059,782
2020-08-11,PI,Teresina/PI,20516,793
2020-08-12,PI,Teresina/PI,20929,803
2020-08-13,PI,Teresina/PI,21218,809
2020-08-14,PI,Teresina/PI,21669,815
2020-08-15,PI,Teresina/PI,21772,821
2020-08-16,PI,Teresina/PI,21803,826
2020-08-17,PI,Teresina/PI,22102,833
2020-08-18,PI,Teresina/PI,22511,839
2020-08-19,PI,Teresina/PI,22923,845
2020-08-20,PI,Teresina/PI,23147,848
2020-08-21,PI,Teresina/PI,23333,861
2020-08-22,PI,Teresina/PI,23380,866
2020-08-23,PI,Teresina/PI,23424,868
2020-08-24,PI,Teresina/PI,23650,873
2020-08-25,PI,Teresina/PI,24017,880
2020-08-26,PI,Teresina/PI,24380,884
2020-08-27,PI,Teresina/PI,24724,894
2020-08-28,PI,Teresina/PI,25044,900
2020-08-29,PI,Teresina/PI,25070,905
2020-08-30,PI,Teresina/PI,25115,908
2020-08-31,PI,Teresina/PI,25243,912
2020-09-01,PI,Teresina/PI,25546,913
2020-09-02,PI,Teresina/PI,25784,915
2020-09-03,PI,Teresina/PI,26039,922
2020-09-04,PI,Teresina/PI,26437,929
2020-09-05,PI,Teresina/PI,26649,932
2020-09-06,PI,Teresina/PI,26801,934
2020-09-07,PI,Teresina/PI,26908,939
2020-09-08,PI,Teresina/PI,27199,940
2020-09-09,PI,Teresina/PI,27629,945
2020-09-10,PI,Teresina/PI,27926,951
2020-09-11,PI,Teresina/PI,28188,954
2020-09-12,PI,Teresina/PI,28282,958
2020-09-13,PI,Teresina/PI,28332,958
2020-09-14,PI,Teresina/PI,28635,963
2020-09-15,PI,Teresina/PI,28942,965
2020-09-16,PI,Teresina/PI,29201,969
2020-09-17,PI,Teresina/PI,29533,971
2020-09-18,PI,Teresina/PI,29750,975
2020-09-19,PI,Teresina/PI,29855,981
2020-09-20,PI,Teresina/PI,29966,981
2020-09-21,PI,Teresina/PI,30185,984
2020-09-22,PI,Teresina/PI,30438,986
2020-09-23,PI,Teresina/PI,30795,989
2020-09-24,PI,Teresina/PI,31004,995
2020-09-25,PI,Teresina/PI,31322,996
2020-09-26,PI,Teresina/PI,31495,999
2020-09-27,PI,Teresina/PI,31564,1001
2020-09-28,PI,Teresina/PI,31719,1003
2020-09-29,PI,Teresina/PI,32080,1011
2020-09-30,PI,Teresina/PI,32370,1015
2020-10-01,PI,Teresina/PI,32652,1018
2020-10-02,PI,Teresina/PI,32887,1021
2020-10-03,PI,Teresina/PI,33013,1022
2020-10-04,PI,Teresina/PI,33143,1025
2020-10-05,PI,Teresina/PI,33380,1031
2020-10-06,PI,Teresina/PI,33626,1037
2020-10-07,PI,Teresina/PI,33825,1040
2020-10-08,PI,Teresina/PI,34017,1042
2020-10-09,PI,Teresina/PI,34342,1046
2020-10-10,PI,Teresina/PI,34514,1052
2020-10-11,PI,Teresina/PI,34609,1055
2020-10-12,PI,Teresina/PI,34715,1057
2020-10-13,PI,Teresina/PI,34963,1060
2020-10-14,PI,Teresina/PI,35215,1067
2020-10-15,PI,Teresina/PI,35539,1072
2020-10-16,PI,Teresina/PI,35812,1075
2020-10-17,PI,Teresina/PI,36000,1076
2020-10-18,PI,Teresina/PI,36107,1082
2020-10-19,PI,Teresina/PI,36223,1086
2020-10-20,PI,Teresina/PI,36468,1087
