date,state,cases,deaths
2020-03-19,PI,3,0
2020-03-20,PI,4,0
2020-03-21,PI,4,0
2020-03-22,PI,6,0
2020-03-23,PI,6,0
2020-03-24,PI,8,0
2020-03-25,PI,9,0
2020-03-26,PI,9,0
2020-03-27,PI,10,1
2020-03-28,PI,11,1
2020-03-29,PI,16,3
2020-03-30,PI,18,4
2020-03-31,PI,18,4
2020-04-01,PI,19,4
2020-04-02,PI,19,4
2020-04-03,PI,22,4
2020-04-04,PI,24,4
2020-04-05,PI,24,4
2020-04-06,PI,26,4
2020-04-07,PI,31,5
2020-04-08,PI,38,6
2020-04-09,PI,40,7
2020-04-10,PI,41,7
2020-04-11,PI,44,7
2020-04-12,PI,51,7
2020-04-13,PI,58,8
2020-04-14,PI,75,8
2020-04-15,PI,91,8
2020-04-16,PI,102,8
2020-04-17,PI,123,9
2020-04-18,PI,144,10
2020-04-19,PI,158,12
2020-04-20,PI,186,14
2020-04-21,PI,206,15
2020-04-22,PI,217,15
2020-04-23,PI,256,16
2020-04-24,PI,297,17
2020-04-25,PI,331,18
2020-04-26,PI,364,20
2020-04-27,PI,408,21
2020-04-28,PI,454,24
2020-04-29,PI,513,24
2020-04-30,PI,600,24
2020-05-01,PI,665,26
2020-05-02,PI,742,28
2020-05-03,PI,784,28
2020-05-04,PI,875,29
2020-05-05,PI,949,30
2020-05-06,PI,1051,35
2020-05-07,PI,1131,37
2020-05-08,PI,1233,38
2020-05-09,PI,1278,42
2020-05-10,PI,1332,45
2020-05-11,PI,1443,49
2020-05-12,PI,1612,57
2020-05-13,PI,1784,60
2020-05-14,PI,1905,60
2020-05-15,PI,2085,65
2020-05-16,PI,2252,72
2020-05-17,PI,2287,80
2020-05-18,PI,2440,85
2020-05-19,PI,2637,87
2020-05-20,PI,2852,91
2020-05-21,PI,3074,93
2020-05-22,PI,3258,99
2020-05-23,PI,3390,107
2020-05-24,PI,3550,110
2020-05-25,PI,3720,119
2020-05-26,PI,3966,134
2020-05-27,PI,4243,138
2020-05-28,PI,4503,146
2020-05-29,PI,4745,157
2020-05-30,PI,4931,161
2020-05-31,PI,5119,168
2020-06-01,PI,5506,180
2020-06-02,PI,5828,192
2020-06-03,PI,6064,202
2020-06-04,PI,6717,217
2020-06-05,PI,7105,224
2020-06-06,PI,7478,239
2020-06-07,PI,7621,254
2020-06-08,PI,7927,265
2020-06-09,PI,8359,283
2020-06-10,PI,8823,299
2020-06-11,PI,9337,317
2020-06-12,PI,9825,335
2020-06-13,PI,10153,360
2020-06-14,PI,10357,374
2020-06-15,PI,10881,393
2020-06-16,PI,11559,398
2020-06-17,PI,12099,421
2020-06-18,PI,12567,435
2020-06-19,PI,13813,459
2020-06-20,PI,14264,485
2020-06-21,PI,14476,502
2020-06-22,PI,15269,517
2020-06-23,PI,16227,534
2020-06-24,PI,17080,546
2020-06-25,PI,18023,574
2020-06-26,PI,18665,592
2020-06-27,PI,19158,615
2020-06-28,PI,19753,643
2020-06-29,PI,20422,663
2020-06-30,PI,22059,686
2020-07-01,PI,23307,697
2020-07-02,PI,24376,726
2020-07-03,PI,25561,762
2020-07-04,PI,26079,784
2020-07-05,PI,26511,809
2020-07-06,PI,27514,834
2020-07-07,PI,28411,858
2020-07-08,PI,29745,884
2020-07-09,PI,31269,896
2020-07-10,PI,32465,914
2020-07-11,PI,32963,936
2020-07-12,PI,33359,960
2020-07-13,PI,34156,992
2020-07-14,PI,35445,1019
2020-07-15,PI,36542,1043
2020-07-16,PI,37057,1065
2020-07-17,PI,38568,1083
2020-07-18,PI,39296,1100
2020-07-19,PI,39606,1118
2020-07-20,PI,40276,1140
2020-07-21,PI,41815,1158
2020-07-22,PI,43179,1184
2020-07-23,PI,44349,1215
2020-07-24,PI,45389,1228
2020-07-25,PI,46044,1243
2020-07-26,PI,46584,1259
2020-07-27,PI,47551,1278
2020-07-28,PI,48962,1292
2020-07-29,PI,50198,1304
2020-07-30,PI,51477,1329
2020-07-31,PI,52458,1354
2020-08-01,PI,52993,1369
2020-08-02,PI,53224,1385
2020-08-03,PI,54443,1401
2020-08-04,PI,55718,1416
2020-08-05,PI,57100,1436
2020-08-06,PI,58390,1452
2020-08-07,PI,59571,1469
2020-08-08,PI,59982,1480
2020-08-09,PI,60178,1503
2020-08-10,PI,61144,1526
2020-08-11,PI,62465,1548
2020-08-12,PI,63662,1566
