date,state,cases,deaths
2020-03-27,PI,1,1
2020-03-28,PI,2,1
2020-03-29,PI,2,1
2020-03-30,PI,2,2
2020-03-31,PI,2,2
2020-04-01,PI,2,2
2020-04-02,PI,2,2
2020-04-03,PI,3,2
2020-04-04,PI,3,2
2020-04-05,PI,3,2
2020-04-06,PI,4,2
2020-04-07,PI,7,2
2020-04-08,PI,7,2
2020-04-09,PI,8,2
2020-04-10,PI,8,2
2020-04-11,PI,8,2
2020-04-12,PI,9,2
2020-04-13,PI,11,3
2020-04-14,PI,12,3
2020-04-15,PI,14,3
2020-04-16,PI,16,3
2020-04-17,PI,29,4
2020-04-18,PI,33,5
2020-04-19,PI,36,7
2020-04-20,PI,50,7
2020-04-21,PI,56,8
2020-04-22,PI,61,8
2020-04-23,PI,77,9
2020-04-24,PI,93,9
2020-04-25,PI,108,10
2020-04-26,PI,127,12
2020-04-27,PI,137,12
2020-04-28,PI,170,13
2020-04-29,PI,192,13
2020-04-30,PI,217,13
2020-05-01,PI,245,13
2020-05-02,PI,284,14
2020-05-03,PI,299,14
2020-05-04,PI,335,15
2020-05-05,PI,369,16
2020-05-06,PI,398,18
2020-05-07,PI,434,19
2020-05-08,PI,500,19
2020-05-09,PI,523,20
2020-05-10,PI,546,23
2020-05-11,PI,596,26
2020-05-12,PI,675,31
2020-05-13,PI,751,34
2020-05-14,PI,816,34
2020-05-15,PI,939,36
2020-05-16,PI,1007,38
2020-05-17,PI,1027,41
2020-05-18,PI,1113,45
2020-05-19,PI,1252,45
2020-05-20,PI,1348,46
2020-05-21,PI,1497,47
2020-05-22,PI,1632,52
2020-05-23,PI,1682,58
2020-05-24,PI,1779,60
2020-05-25,PI,1899,62
2020-05-26,PI,2076,68
2020-05-27,PI,2261,69
2020-05-28,PI,2436,71
2020-05-29,PI,2588,74
2020-05-30,PI,2683,76
2020-05-31,PI,2815,78
2020-06-01,PI,3074,85
2020-06-02,PI,3297,91
2020-06-03,PI,3414,95
2020-06-04,PI,3752,101
2020-06-05,PI,3968,105
2020-06-06,PI,4252,111
2020-06-07,PI,4312,117
2020-06-08,PI,4470,123
2020-06-09,PI,4729,132
2020-06-10,PI,5050,136
2020-06-11,PI,5288,144
2020-06-12,PI,5598,150
2020-06-13,PI,5817,164
2020-06-14,PI,5937,167
2020-06-15,PI,6257,176
2020-06-16,PI,6682,176
2020-06-17,PI,7045,182
2020-06-18,PI,7330,189
2020-06-19,PI,8192,202
2020-06-20,PI,8470,214
2020-06-21,PI,8620,220
2020-06-22,PI,9204,226
2020-06-23,PI,9922,233
2020-06-24,PI,10462,239
2020-06-25,PI,11124,250
2020-06-26,PI,11567,257
2020-06-27,PI,11893,269
2020-06-28,PI,12287,283
2020-06-29,PI,12754,294
2020-06-30,PI,13765,299
2020-07-01,PI,14506,301
2020-07-02,PI,15193,312
2020-07-03,PI,15993,329
2020-07-04,PI,16337,337
2020-07-05,PI,16630,350
2020-07-06,PI,17328,361
2020-07-07,PI,17965,373
2020-07-08,PI,18860,389
2020-07-09,PI,19855,396
2020-07-10,PI,20579,408
2020-07-11,PI,20966,423
2020-07-12,PI,21239,433
2020-07-13,PI,21830,452
2020-07-14,PI,22811,464
2020-07-15,PI,23652,476
2020-07-16,PI,24065,491
2020-07-17,PI,25222,498
2020-07-18,PI,25807,507
2020-07-19,PI,26038,511
2020-07-20,PI,26592,528
2020-07-21,PI,27651,533
2020-07-22,PI,28584,554
2020-07-23,PI,29429,571
2020-07-24,PI,30139,577
2020-07-25,PI,30649,585
2020-07-26,PI,31082,593
2020-07-27,PI,31730,604
2020-07-28,PI,32626,612
2020-07-29,PI,33421,616
2020-07-30,PI,34372,631
2020-07-31,PI,34936,645
2020-08-01,PI,35400,651
2020-08-02,PI,35594,658
2020-08-03,PI,36396,670
2020-08-04,PI,37279,677
2020-08-05,PI,38178,690
2020-08-06,PI,39041,699
2020-08-07,PI,39859,709
2020-08-08,PI,40192,715
2020-08-09,PI,40362,724
