date,state,city,cases,deaths
2020-03-12,PR,Curitiba/PR,5,0
2020-03-13,PR,Curitiba/PR,5,0
2020-03-14,PR,Curitiba/PR,5,0
2020-03-15,PR,Curitiba/PR,5,0
2020-03-16,PR,Curitiba/PR,5,0
2020-03-17,PR,Curitiba/PR,7,0
2020-03-18,PR,Curitiba/PR,8,0
2020-03-19,PR,Curitiba/PR,17,0
2020-03-20,PR,Curitiba/PR,27,0
2020-03-21,PR,Curitiba/PR,31,0
2020-03-22,PR,Curitiba/PR,31,0
2020-03-23,PR,Curitiba/PR,34,0
2020-03-24,PR,Curitiba/PR,40,0
2020-03-25,PR,Curitiba/PR,60,0
2020-03-26,PR,Curitiba/PR,66,0
2020-03-27,PR,Curitiba/PR,71,0
2020-03-28,PR,Curitiba/PR,74,0
2020-03-29,PR,Curitiba/PR,73,0
2020-03-30,PR,Curitiba/PR,77,0
2020-03-31,PR,Curitiba/PR,87,0
2020-04-01,PR,Curitiba/PR,97,0
2020-04-02,PR,Curitiba/PR,99,0
2020-04-03,PR,Curitiba/PR,114,0
2020-04-04,PR,Curitiba/PR,153,0
2020-04-05,PR,Curitiba/PR,172,0
2020-04-06,PR,Curitiba/PR,175,3
2020-04-07,PR,Curitiba/PR,194,3
2020-04-08,PR,Curitiba/PR,205,3
2020-04-09,PR,Curitiba/PR,237,5
2020-04-10,PR,Curitiba/PR,251,5
2020-04-11,PR,Curitiba/PR,279,5
2020-04-12,PR,Curitiba/PR,302,6
2020-04-13,PR,Curitiba/PR,299,6
2020-04-14,PR,Curitiba/PR,302,7
2020-04-15,PR,Curitiba/PR,306,8
2020-04-16,PR,Curitiba/PR,320,8
2020-04-17,PR,Curitiba/PR,335,8
2020-04-18,PR,Curitiba/PR,346,9
2020-04-19,PR,Curitiba/PR,360,9
2020-04-20,PR,Curitiba/PR,369,9
2020-04-21,PR,Curitiba/PR,373,11
2020-04-22,PR,Curitiba/PR,380,14
2020-04-23,PR,Curitiba/PR,389,14
2020-04-24,PR,Curitiba/PR,397,14
2020-04-25,PR,Curitiba/PR,401,14
2020-04-26,PR,Curitiba/PR,404,16
2020-04-27,PR,Curitiba/PR,414,16
2020-04-28,PR,Curitiba/PR,426,17
2020-04-29,PR,Curitiba/PR,434,17
2020-04-30,PR,Curitiba/PR,444,20
2020-05-01,PR,Curitiba/PR,453,23
2020-05-02,PR,Curitiba/PR,467,23
2020-05-03,PR,Curitiba/PR,470,23
2020-05-04,PR,Curitiba/PR,485,23
2020-05-05,PR,Curitiba/PR,491,26
2020-05-06,PR,Curitiba/PR,500,26
2020-05-07,PR,Curitiba/PR,506,27
2020-05-08,PR,Curitiba/PR,514,28
2020-05-09,PR,Curitiba/PR,541,29
2020-05-10,PR,Curitiba/PR,553,29
2020-05-11,PR,Curitiba/PR,554,29
2020-05-12,PR,Curitiba/PR,557,29
2020-05-13,PR,Curitiba/PR,571,30
2020-05-14,PR,Curitiba/PR,582,31
2020-05-15,PR,Curitiba/PR,607,32
2020-05-16,PR,Curitiba/PR,629,33
2020-05-17,PR,Curitiba/PR,639,33
2020-05-18,PR,Curitiba/PR,642,34
2020-05-19,PR,Curitiba/PR,648,34
2020-05-20,PR,Curitiba/PR,677,34
2020-05-21,PR,Curitiba/PR,711,35
2020-05-22,PR,Curitiba/PR,728,35
2020-05-23,PR,Curitiba/PR,751,36
2020-05-24,PR,Curitiba/PR,778,36
2020-05-25,PR,Curitiba/PR,790,36
2020-05-26,PR,Curitiba/PR,816,37
2020-05-27,PR,Curitiba/PR,852,37
2020-05-28,PR,Curitiba/PR,904,39
2020-05-29,PR,Curitiba/PR,921,42
2020-05-30,PR,Curitiba/PR,945,47
2020-05-31,PR,Curitiba/PR,984,47
2020-06-01,PR,Curitiba/PR,1005,49
2020-06-02,PR,Curitiba/PR,1028,51
2020-06-03,PR,Curitiba/PR,1099,53
2020-06-04,PR,Curitiba/PR,1143,53
2020-06-05,PR,Curitiba/PR,1230,55
2020-06-06,PR,Curitiba/PR,1264,54
2020-06-07,PR,Curitiba/PR,1312,57
2020-06-08,PR,Curitiba/PR,1322,58
2020-06-09,PR,Curitiba/PR,1357,62
2020-06-10,PR,Curitiba/PR,1420,67
2020-06-11,PR,Curitiba/PR,1541,67
2020-06-12,PR,Curitiba/PR,1579,75
2020-06-13,PR,Curitiba/PR,1676,76
2020-06-14,PR,Curitiba/PR,1736,78
2020-06-15,PR,Curitiba/PR,1770,79
2020-06-16,PR,Curitiba/PR,1898,83
