date,state,cases,deaths
2020-03-12,PR,6,0
2020-03-13,PR,6,0
2020-03-14,PR,6,0
2020-03-15,PR,6,0
2020-03-16,PR,6,0
2020-03-17,PR,12,0
2020-03-18,PR,15,0
2020-03-19,PR,24,0
2020-03-20,PR,37,0
2020-03-21,PR,44,0
2020-03-22,PR,54,0
2020-03-23,PR,60,0
2020-03-24,PR,70,0
2020-03-25,PR,97,0
2020-03-26,PR,106,0
2020-03-27,PR,125,2
2020-03-28,PR,137,2
2020-03-29,PR,152,2
2020-03-30,PR,160,3
2020-03-31,PR,185,3
2020-04-01,PR,229,3
2020-04-02,PR,258,4
2020-04-03,PR,307,5
2020-04-04,PR,401,7
2020-04-05,PR,445,10
2020-04-06,PR,466,14
2020-04-07,PR,511,15
2020-04-08,PR,550,17
2020-04-09,PR,621,24
2020-04-10,PR,655,26
2020-04-11,PR,688,27
2020-04-12,PR,750,31
2020-04-13,PR,768,33
2020-04-14,PR,803,39
2020-04-15,PR,816,41
2020-04-16,PR,845,43
2020-04-17,PR,887,44
2020-04-18,PR,960,49
2020-04-19,PR,1002,52
2020-04-20,PR,1022,53
2020-04-21,PR,1039,55
2020-04-22,PR,1077,60
2020-04-23,PR,1096,62
2020-04-24,PR,1133,67
2020-04-25,PR,1155,71
2020-04-26,PR,1171,75
2020-04-27,PR,1201,77
2020-04-28,PR,1286,79
2020-04-29,PR,1364,84
2020-04-30,PR,1423,88
2020-05-01,PR,1464,92
2020-05-02,PR,1510,93
2020-05-03,PR,1533,96
2020-05-04,PR,1581,97
2020-05-05,PR,1608,102
2020-05-06,PR,1647,104
2020-05-07,PR,1678,107
2020-05-08,PR,1734,109
2020-05-09,PR,1809,110
2020-05-10,PR,1859,112
2020-05-11,PR,1873,114
2020-05-12,PR,1930,116
2020-05-13,PR,2023,120
2020-05-14,PR,2091,122
2020-05-15,PR,2167,124
2020-05-16,PR,2272,126
2020-05-17,PR,2316,127
2020-05-18,PR,2390,130
2020-05-19,PR,2519,133
2020-05-20,PR,2656,140
2020-05-21,PR,2855,144
2020-05-22,PR,2985,149
2020-05-23,PR,3147,153
2020-05-24,PR,3260,156
2020-05-25,PR,3384,160
2020-05-26,PR,3567,164
2020-05-27,PR,3768,167
2020-05-28,PR,4041,174
2020-05-29,PR,4300,178
2020-05-30,PR,4538,186
2020-05-31,PR,4752,187
2020-06-01,PR,4900,195
2020-06-02,PR,5235,204
2020-06-03,PR,5567,210
2020-06-04,PR,5895,220
2020-06-05,PR,6434,233
2020-06-06,PR,6693,239
2020-06-07,PR,6987,244
2020-06-08,PR,7121,250
2020-06-09,PR,7410,260
2020-06-10,PR,7934,282
2020-06-11,PR,8569,288
2020-06-12,PR,8818,302
2020-06-13,PR,9353,320
2020-06-14,PR,9706,334
2020-06-15,PR,9839,342
2020-06-16,PR,10690,372
2020-06-17,PR,11225,394
2020-06-18,PR,12059,415
2020-06-19,PR,12932,428
2020-06-20,PR,13821,437
2020-06-21,PR,14501,451
2020-06-22,PR,15124,469
2020-06-23,PR,15853,498
2020-06-24,PR,16963,521
2020-06-25,PR,17822,539
2020-06-26,PR,18672,564
2020-06-27,PR,19819,575
