date,state,cases,deaths
2020-03-12,PR,1,0
2020-03-13,PR,1,0
2020-03-14,PR,1,0
2020-03-15,PR,1,0
2020-03-16,PR,1,0
2020-03-17,PR,5,0
2020-03-18,PR,7,0
2020-03-19,PR,7,0
2020-03-20,PR,10,0
2020-03-21,PR,13,0
2020-03-22,PR,23,0
2020-03-23,PR,26,0
2020-03-24,PR,30,0
2020-03-25,PR,37,0
2020-03-26,PR,40,0
2020-03-27,PR,54,2
2020-03-28,PR,63,2
2020-03-29,PR,79,2
2020-03-30,PR,83,3
2020-03-31,PR,98,3
2020-04-01,PR,132,3
2020-04-02,PR,159,4
2020-04-03,PR,193,5
2020-04-04,PR,248,7
2020-04-05,PR,273,10
2020-04-06,PR,291,11
2020-04-07,PR,317,12
2020-04-08,PR,345,14
2020-04-09,PR,384,19
2020-04-10,PR,404,21
2020-04-11,PR,409,22
2020-04-12,PR,448,25
2020-04-13,PR,469,27
2020-04-14,PR,501,32
2020-04-15,PR,510,33
2020-04-16,PR,525,35
2020-04-17,PR,552,36
2020-04-18,PR,614,40
2020-04-19,PR,642,43
2020-04-20,PR,653,44
2020-04-21,PR,666,44
2020-04-22,PR,697,46
2020-04-23,PR,707,48
2020-04-24,PR,736,53
2020-04-25,PR,754,57
2020-04-26,PR,767,59
2020-04-27,PR,787,61
2020-04-28,PR,860,62
2020-04-29,PR,930,67
2020-04-30,PR,979,68
2020-05-01,PR,1011,69
2020-05-02,PR,1043,70
2020-05-03,PR,1063,73
2020-05-04,PR,1096,74
2020-05-05,PR,1117,76
2020-05-06,PR,1147,78
2020-05-07,PR,1172,80
2020-05-08,PR,1220,81
2020-05-09,PR,1268,81
2020-05-10,PR,1306,83
2020-05-11,PR,1319,85
2020-05-12,PR,1373,87
2020-05-13,PR,1452,90
2020-05-14,PR,1509,91
2020-05-15,PR,1560,92
2020-05-16,PR,1643,93
2020-05-17,PR,1677,94
2020-05-18,PR,1748,96
2020-05-19,PR,1871,99
2020-05-20,PR,1979,106
2020-05-21,PR,2144,109
2020-05-22,PR,2257,114
2020-05-23,PR,2396,117
2020-05-24,PR,2482,120
2020-05-25,PR,2594,124
2020-05-26,PR,2751,127
2020-05-27,PR,2916,130
2020-05-28,PR,3137,135
2020-05-29,PR,3379,136
2020-05-30,PR,3593,139
2020-05-31,PR,3768,140
2020-06-01,PR,3895,146
2020-06-02,PR,4207,153
2020-06-03,PR,4468,157
2020-06-04,PR,4752,167
2020-06-05,PR,5204,178
2020-06-06,PR,5429,185
2020-06-07,PR,5675,187
2020-06-08,PR,5799,192
2020-06-09,PR,6053,198
2020-06-10,PR,6514,215
