date,state,city,cases,deaths
2020-03-06,RJ,Rio de Janeiro/RJ,1,0
2020-03-07,RJ,Rio de Janeiro/RJ,1,0
2020-03-08,RJ,Rio de Janeiro/RJ,2,0
2020-03-09,RJ,Rio de Janeiro/RJ,2,0
2020-03-10,RJ,Rio de Janeiro/RJ,2,0
2020-03-11,RJ,Rio de Janeiro/RJ,2,0
2020-03-12,RJ,Rio de Janeiro/RJ,13,0
2020-03-13,RJ,Rio de Janeiro/RJ,13,0
2020-03-14,RJ,Rio de Janeiro/RJ,13,0
2020-03-15,RJ,Rio de Janeiro/RJ,22,0
2020-03-16,RJ,Rio de Janeiro/RJ,23,0
2020-03-17,RJ,Rio de Janeiro/RJ,23,0
2020-03-18,RJ,Rio de Janeiro/RJ,55,0
2020-03-19,RJ,Rio de Janeiro/RJ,56,0
2020-03-20,RJ,Rio de Janeiro/RJ,56,0
2020-03-21,RJ,Rio de Janeiro/RJ,99,0
2020-03-22,RJ,Rio de Janeiro/RJ,168,0
2020-03-23,RJ,Rio de Janeiro/RJ,212,1
2020-03-24,RJ,Rio de Janeiro/RJ,276,3
2020-03-25,RJ,Rio de Janeiro/RJ,331,5
2020-03-26,RJ,Rio de Janeiro/RJ,368,6
2020-03-27,RJ,Rio de Janeiro/RJ,431,6
2020-03-28,RJ,Rio de Janeiro/RJ,489,9
2020-03-29,RJ,Rio de Janeiro/RJ,516,13
2020-03-30,RJ,Rio de Janeiro/RJ,553,13
2020-03-31,RJ,Rio de Janeiro/RJ,586,18
2020-04-01,RJ,Rio de Janeiro/RJ,697,20
2020-04-02,RJ,Rio de Janeiro/RJ,798,31
2020-04-03,RJ,Rio de Janeiro/RJ,867,36
2020-04-04,RJ,Rio de Janeiro/RJ,982,38
2020-04-05,RJ,Rio de Janeiro/RJ,1068,42
2020-04-06,RJ,Rio de Janeiro/RJ,1110,47
2020-04-07,RJ,Rio de Janeiro/RJ,1251,59
2020-04-08,RJ,Rio de Janeiro/RJ,1449,73
2020-04-09,RJ,Rio de Janeiro/RJ,1633,82
2020-04-10,RJ,Rio de Janeiro/RJ,1808,92
2020-04-11,RJ,Rio de Janeiro/RJ,1905,98
2020-04-12,RJ,Rio de Janeiro/RJ,1996,106
2020-04-13,RJ,Rio de Janeiro/RJ,2322,115
2020-04-14,RJ,Rio de Janeiro/RJ,2393,140
2020-04-15,RJ,Rio de Janeiro/RJ,2519,167
2020-04-16,RJ,Rio de Janeiro/RJ,2659,195
2020-04-17,RJ,Rio de Janeiro/RJ,2946,219
2020-04-18,RJ,Rio de Janeiro/RJ,3059,237
2020-04-19,RJ,Rio de Janeiro/RJ,3126,245
2020-04-20,RJ,Rio de Janeiro/RJ,3243,257
2020-04-21,RJ,Rio de Janeiro/RJ,3587,283
2020-04-22,RJ,Rio de Janeiro/RJ,3656,303
2020-04-23,RJ,Rio de Janeiro/RJ,4027,322
2020-04-24,RJ,Rio de Janeiro/RJ,4091,347
2020-04-25,RJ,Rio de Janeiro/RJ,4481,367
2020-04-26,RJ,Rio de Janeiro/RJ,4498,382
2020-04-27,RJ,Rio de Janeiro/RJ,5261,405
2020-04-28,RJ,Rio de Janeiro/RJ,5554,456
2020-04-29,RJ,Rio de Janeiro/RJ,5689,496
2020-04-30,RJ,Rio de Janeiro/RJ,5903,535
2020-05-01,RJ,Rio de Janeiro/RJ,6189,574
2020-05-02,RJ,Rio de Janeiro/RJ,6448,603
2020-05-03,RJ,Rio de Janeiro/RJ,6750,631
2020-05-04,RJ,Rio de Janeiro/RJ,7283,670
2020-05-05,RJ,Rio de Janeiro/RJ,7832,713
2020-05-06,RJ,Rio de Janeiro/RJ,8577,764
2020-05-07,RJ,Rio de Janeiro/RJ,9051,919
2020-05-08,RJ,Rio de Janeiro/RJ,9672,1002
2020-05-09,RJ,Rio de Janeiro/RJ,10479,1092
2020-05-10,RJ,Rio de Janeiro/RJ,10520,1126
2020-05-11,RJ,Rio de Janeiro/RJ,10619,1172
2020-05-12,RJ,Rio de Janeiro/RJ,10816,1279
2020-05-13,RJ,Rio de Janeiro/RJ,11026,1363
2020-05-14,RJ,Rio de Janeiro/RJ,11264,1509
2020-05-15,RJ,Rio de Janeiro/RJ,11715,1631
