date,state,cases,deaths
2020-03-05,RJ,1,0
2020-03-06,RJ,1,0
2020-03-07,RJ,1,0
2020-03-08,RJ,1,0
2020-03-09,RJ,1,0
2020-03-10,RJ,6,0
2020-03-11,RJ,11,0
2020-03-12,RJ,3,0
2020-03-13,RJ,3,0
2020-03-14,RJ,9,0
2020-03-15,RJ,2,0
2020-03-16,RJ,8,0
2020-03-17,RJ,10,0
2020-03-18,RJ,8,0
2020-03-19,RJ,10,2
2020-03-20,RJ,53,2
2020-03-21,RJ,20,3
2020-03-22,RJ,18,3
2020-03-23,RJ,21,3
2020-03-24,RJ,29,3
2020-03-25,RJ,39,3
2020-03-26,RJ,53,3
2020-03-27,RJ,62,4
2020-03-28,RJ,69,4
2020-03-29,RJ,84,4
2020-03-30,RJ,104,5
2020-03-31,RJ,122,5
2020-04-01,RJ,135,8
2020-04-02,RJ,194,10
2020-04-03,RJ,207,11
2020-04-04,RJ,264,20
2020-04-05,RJ,326,22
2020-04-06,RJ,351,24
2020-04-07,RJ,437,30
2020-04-08,RJ,489,33
2020-04-09,RJ,583,40
2020-04-10,RJ,656,55
2020-04-11,RJ,702,57
2020-04-12,RJ,859,64
2020-04-13,RJ,909,73
2020-04-14,RJ,1017,84
2020-04-15,RJ,1224,98
2020-04-16,RJ,1285,106
2020-04-17,RJ,1403,122
2020-04-18,RJ,1484,150
2020-04-19,RJ,1639,157
2020-04-20,RJ,1656,165
2020-04-21,RJ,1719,178
2020-04-22,RJ,1896,187
2020-04-23,RJ,2145,208
2020-04-24,RJ,2191,223
2020-04-25,RJ,2347,248
2020-04-26,RJ,2613,263
2020-04-27,RJ,2683,272
2020-04-28,RJ,2950,282
2020-04-29,RJ,3180,298
2020-04-30,RJ,3550,319
2020-05-01,RJ,3977,347
2020-05-02,RJ,4098,368
2020-05-03,RJ,4389,388
2020-05-04,RJ,4438,395
2020-05-05,RJ,4559,410
2020-05-06,RJ,4718,441
2020-05-07,RJ,5105,475
2020-05-08,RJ,6069,501
2020-05-09,RJ,6450,561
2020-05-10,RJ,6542,588
2020-05-11,RJ,7320,598
2020-05-12,RJ,7670,649
2020-05-13,RJ,7702,687
2020-05-14,RJ,8203,738
2020-05-15,RJ,8272,807
2020-05-16,RJ,9306,863
2020-05-17,RJ,9317,874
2020-05-18,RJ,13222,892
2020-05-19,RJ,13274,944
2020-05-20,RJ,13306,988
2020-05-21,RJ,13346,1036
2020-05-22,RJ,13428,1137
2020-05-23,RJ,13490,1203
2020-05-24,RJ,16137,1238
2020-05-25,RJ,16832,1274
2020-05-26,RJ,16734,1383
2020-05-27,RJ,17648,1470
2020-05-28,RJ,18912,1563
2020-05-29,RJ,20642,1649
2020-05-30,RJ,23939,1752
2020-05-31,RJ,24231,1766
2020-06-01,RJ,24516,1791
2020-06-02,RJ,25528,1858
2020-06-03,RJ,26289,1955
2020-06-04,RJ,27237,2096
2020-06-05,RJ,28023,2164
2020-06-06,RJ,28830,2238
2020-06-07,RJ,31641,2245
2020-06-08,RJ,32606,2265
2020-06-09,RJ,35076,2329
2020-06-10,RJ,35413,2422
2020-06-11,RJ,35758,2513
2020-06-12,RJ,37280,2540
2020-06-13,RJ,37425,2599
2020-06-14,RJ,37804,2629
2020-06-15,RJ,38561,2638
2020-06-16,RJ,39469,2728
2020-06-17,RJ,40985,2795
2020-06-18,RJ,41062,2904
2020-06-19,RJ,44625,2963
2020-06-20,RJ,45408,3033
2020-06-21,RJ,45703,3043
2020-06-22,RJ,46650,3058
2020-06-23,RJ,48544,3153
2020-06-24,RJ,50186,3208
2020-06-25,RJ,51728,3289
2020-06-26,RJ,53345,3323
2020-06-27,RJ,53517,3423
2020-06-28,RJ,55238,3426
2020-06-29,RJ,55532,3431
2020-06-30,RJ,55675,3530
2020-07-01,RJ,57399,3580
2020-07-02,RJ,58208,3643
2020-07-03,RJ,59508,3709
2020-07-04,RJ,60407,3755
2020-07-05,RJ,61059,3769
2020-07-06,RJ,61283,3774
2020-07-07,RJ,62428,3826
2020-07-08,RJ,63866,3869
2020-07-09,RJ,64928,3937
2020-07-10,RJ,65416,4026
2020-07-11,RJ,65573,4104
2020-07-12,RJ,65574,4105
2020-07-13,RJ,67409,4119
2020-07-14,RJ,67701,4192
2020-07-15,RJ,68960,4257
2020-07-16,RJ,69002,4299
2020-07-17,RJ,69534,4298
2020-07-18,RJ,69534,4298
2020-07-19,RJ,71615,4411
2020-07-20,RJ,73969,4428
2020-07-21,RJ,78000,4497
2020-07-22,RJ,80289,4556
2020-07-23,RJ,83039,4622
2020-07-24,RJ,85423,4713
2020-07-25,RJ,86747,4804
2020-07-26,RJ,86755,4812
2020-07-27,RJ,87464,4823
2020-07-28,RJ,89199,4909
2020-07-29,RJ,90955,4978
2020-07-30,RJ,92653,5078
2020-07-31,RJ,94173,5167
2020-08-01,RJ,95421,5212
