date,state,city,cases,deaths
2020-03-12,RN,Natal/RN,1,0
2020-03-13,RN,Natal/RN,1,0
2020-03-14,RN,Natal/RN,1,0
2020-03-15,RN,Natal/RN,1,0
2020-03-16,RN,Natal/RN,1,0
2020-03-17,RN,Natal/RN,1,0
2020-03-18,RN,Natal/RN,1,0
2020-03-19,RN,Natal/RN,1,0
2020-03-20,RN,Natal/RN,5,0
2020-03-21,RN,Natal/RN,6,0
2020-03-22,RN,Natal/RN,9,0
2020-03-23,RN,Natal/RN,9,0
2020-03-24,RN,Natal/RN,9,0
2020-03-25,RN,Natal/RN,9,0
2020-03-26,RN,Natal/RN,13,0
2020-03-27,RN,Natal/RN,19,0
2020-03-28,RN,Natal/RN,34,0
2020-03-29,RN,Natal/RN,34,0
2020-03-30,RN,Natal/RN,36,0
2020-03-31,RN,Natal/RN,42,0
2020-04-01,RN,Natal/RN,48,1
2020-04-02,RN,Natal/RN,56,1
2020-04-03,RN,Natal/RN,77,1
2020-04-04,RN,Natal/RN,77,1
2020-04-05,RN,Natal/RN,113,2
2020-04-06,RN,Natal/RN,113,2
2020-04-07,RN,Natal/RN,116,2
2020-04-08,RN,Natal/RN,116,3
2020-04-09,RN,Natal/RN,116,3
2020-04-10,RN,Natal/RN,117,3
2020-04-11,RN,Natal/RN,131,3
2020-04-12,RN,Natal/RN,145,4
2020-04-13,RN,Natal/RN,159,5
2020-04-14,RN,Natal/RN,171,5
2020-04-15,RN,Natal/RN,172,5
2020-04-16,RN,Natal/RN,204,5
2020-04-17,RN,Natal/RN,236,5
2020-04-18,RN,Natal/RN,259,5
2020-04-19,RN,Natal/RN,279,6
2020-04-20,RN,Natal/RN,283,6
2020-04-21,RN,Natal/RN,304,7
2020-04-22,RN,Natal/RN,335,8
2020-04-23,RN,Natal/RN,359,9
2020-04-24,RN,Natal/RN,370,9
2020-04-25,RN,Natal/RN,397,9
2020-04-26,RN,Natal/RN,396,10
2020-04-27,RN,Natal/RN,402,11
2020-04-28,RN,Natal/RN,519,12
2020-04-29,RN,Natal/RN,567,12
2020-04-30,RN,Natal/RN,631,12
2020-05-01,RN,Natal/RN,667,12
2020-05-02,RN,Natal/RN,677,12
2020-05-03,RN,Natal/RN,686,13
2020-05-04,RN,Natal/RN,710,16
2020-05-05,RN,Natal/RN,767,15
2020-05-06,RN,Natal/RN,802,16
2020-05-07,RN,Natal/RN,802,16
2020-05-08,RN,Natal/RN,872,19
2020-05-09,RN,Natal/RN,872,19
2020-05-10,RN,Natal/RN,873,19
2020-05-11,RN,Natal/RN,908,22
2020-05-12,RN,Natal/RN,1025,22
2020-05-13,RN,Natal/RN,1083,33
2020-05-14,RN,Natal/RN,1185,35
2020-05-15,RN,Natal/RN,1185,35
2020-05-16,RN,Natal/RN,1288,36
2020-05-17,RN,Natal/RN,1360,36
2020-05-18,RN,Natal/RN,1451,43
2020-05-19,RN,Natal/RN,1583,46
2020-05-20,RN,Natal/RN,1668,49
2020-05-21,RN,Natal/RN,1727,49
2020-05-22,RN,Natal/RN,1865,50
2020-05-23,RN,Natal/RN,1865,50
2020-05-24,RN,Natal/RN,1895,64
2020-05-25,RN,Natal/RN,2169,66
2020-05-26,RN,Natal/RN,2221,76
2020-05-27,RN,Natal/RN,2221,76
2020-05-28,RN,Natal/RN,2576,85
2020-05-29,RN,Natal/RN,2908,100
2020-05-30,RN,Natal/RN,2908,100
2020-05-31,RN,Natal/RN,3120,105
2020-06-01,RN,Natal/RN,3209,113
2020-06-02,RN,Natal/RN,3496,126
2020-06-03,RN,Natal/RN,3538,127
2020-06-04,RN,Natal/RN,3610,131
2020-06-05,RN,Natal/RN,3614,140
2020-06-06,RN,Natal/RN,3614,140
2020-06-07,RN,Natal/RN,4139,145
2020-06-08,RN,Natal/RN,4208,163
2020-06-09,RN,Natal/RN,4367,168
2020-06-10,RN,Natal/RN,4969,171
2020-06-11,RN,Natal/RN,5117,177
2020-06-12,RN,Natal/RN,5235,183
2020-06-13,RN,Natal/RN,5235,183
2020-06-14,RN,Natal/RN,5387,189
2020-06-15,RN,Natal/RN,5804,204
2020-06-16,RN,Natal/RN,5957,229
2020-06-17,RN,Natal/RN,6029,242
2020-06-18,RN,Natal/RN,6091,259
2020-06-19,RN,Natal/RN,7488,262
2020-06-20,RN,Natal/RN,7488,262
2020-06-21,RN,Natal/RN,7638,276
2020-06-22,RN,Natal/RN,7673,287
2020-06-23,RN,Natal/RN,8351,310
2020-06-24,RN,Natal/RN,8773,328
2020-06-25,RN,Natal/RN,9234,343
2020-06-26,RN,Natal/RN,9234,343
2020-06-27,RN,Natal/RN,9234,343
2020-06-28,RN,Natal/RN,11357,416
2020-06-29,RN,Natal/RN,11603,442
2020-06-30,RN,Natal/RN,12112,464
2020-07-01,RN,Natal/RN,12556,478
2020-07-02,RN,Natal/RN,12781,500
2020-07-03,RN,Natal/RN,13099,506
2020-07-04,RN,Natal/RN,13099,506
2020-07-05,RN,Natal/RN,13348,526
2020-07-06,RN,Natal/RN,13664,544
2020-07-07,RN,Natal/RN,13996,568
2020-07-08,RN,Natal/RN,14214,571
2020-07-09,RN,Natal/RN,14676,574
2020-07-10,RN,Natal/RN,14800,589
2020-07-11,RN,Natal/RN,14800,589
2020-07-12,RN,Natal/RN,15150,596
2020-07-13,RN,Natal/RN,15392,610
2020-07-14,RN,Natal/RN,15503,626
2020-07-15,RN,Natal/RN,15646,634
2020-07-16,RN,Natal/RN,15715,641
2020-07-17,RN,Natal/RN,16721,663
2020-07-18,RN,Natal/RN,16721,663
2020-07-19,RN,Natal/RN,16881,666
2020-07-20,RN,Natal/RN,17009,686
2020-07-21,RN,Natal/RN,17359,688
2020-07-22,RN,Natal/RN,17631,695
2020-07-23,RN,Natal/RN,17863,703
2020-07-24,RN,Natal/RN,17926,707
2020-07-25,RN,Natal/RN,17926,707
2020-07-26,RN,Natal/RN,17999,722
2020-07-27,RN,Natal/RN,18383,729
2020-07-28,RN,Natal/RN,18630,734
2020-07-29,RN,Natal/RN,18850,740
2020-07-30,RN,Natal/RN,19100,749
2020-07-31,RN,Natal/RN,19666,829
2020-08-01,RN,Natal/RN,19666,829
2020-08-02,RN,Natal/RN,19788,832
2020-08-03,RN,Natal/RN,19903,839
2020-08-04,RN,Natal/RN,20297,844
2020-08-05,RN,Natal/RN,20489,851
