date,state,cases,deaths
2020-03-12,RN,1,0
2020-03-13,RN,1,0
2020-03-14,RN,1,0
2020-03-15,RN,1,0
2020-03-16,RN,1,0
2020-03-17,RN,1,0
2020-03-18,RN,1,0
2020-03-19,RN,1,0
2020-03-20,RN,6,0
2020-03-21,RN,9,0
2020-03-22,RN,13,0
2020-03-23,RN,13,0
2020-03-24,RN,14,0
2020-03-25,RN,14,0
2020-03-26,RN,19,0
2020-03-27,RN,28,0
2020-03-28,RN,68,1
2020-03-29,RN,68,1
2020-03-30,RN,77,1
2020-03-31,RN,82,1
2020-04-01,RN,92,2
2020-04-02,RN,106,2
2020-04-03,RN,176,4
2020-04-04,RN,215,6
2020-04-05,RN,246,7
2020-04-06,RN,246,7
2020-04-07,RN,254,8
2020-04-08,RN,262,11
2020-04-09,RN,262,11
2020-04-10,RN,263,11
2020-04-11,RN,289,13
2020-04-12,RN,339,17
2020-04-13,RN,376,18
2020-04-14,RN,399,19
2020-04-15,RN,400,20
2020-04-16,RN,463,23
2020-04-17,RN,516,24
2020-04-18,RN,561,26
2020-04-19,RN,595,27
2020-04-20,RN,608,28
2020-04-21,RN,646,29
2020-04-22,RN,708,34
2020-04-23,RN,754,38
2020-04-24,RN,781,40
2020-04-25,RN,825,44
2020-04-26,RN,832,45
2020-04-27,RN,857,48
2020-04-28,RN,1086,54
2020-04-29,RN,1177,56
2020-04-30,RN,1297,56
2020-05-01,RN,1366,59
2020-05-02,RN,1392,61
2020-05-03,RN,1421,62
2020-05-04,RN,1536,68
2020-05-05,RN,1644,72
2020-05-06,RN,1739,76
2020-05-07,RN,1821,81
2020-05-08,RN,1919,87
2020-05-09,RN,1919,87
2020-05-10,RN,1930,88
2020-05-11,RN,2033,93
2020-05-12,RN,2367,105
2020-05-13,RN,2537,117
2020-05-14,RN,2786,122
2020-05-15,RN,2786,122
2020-05-16,RN,3004,136
2020-05-17,RN,3138,139
2020-05-18,RN,3483,160
2020-05-19,RN,3796,170
2020-05-20,RN,4060,178
2020-05-21,RN,4251,181
2020-05-22,RN,4599,184
2020-05-23,RN,4599,184
2020-05-24,RN,4774,212
2020-05-25,RN,5472,220
2020-05-26,RN,5630,242
2020-05-27,RN,5630,242
2020-05-28,RN,6463,268
2020-05-29,RN,7402,305
2020-05-30,RN,7402,305
2020-05-31,RN,8051,323
2020-06-01,RN,8233,341
2020-06-02,RN,9149,367
2020-06-03,RN,9282,378
2020-06-04,RN,9433,387
2020-06-05,RN,9449,410
2020-06-06,RN,9449,410
2020-06-07,RN,10888,431
2020-06-08,RN,11027,459
2020-06-09,RN,11568,487
2020-06-10,RN,13234,496
2020-06-11,RN,13544,515
2020-06-12,RN,13789,533
2020-06-13,RN,14171,534
2020-06-14,RN,14214,553
2020-06-15,RN,15212,585
2020-06-16,RN,15690,626
2020-06-17,RN,15889,655
2020-06-18,RN,16039,693
2020-06-19,RN,19206,697
2020-06-20,RN,19290,697
2020-06-21,RN,19957,730
2020-06-22,RN,20075,750
2020-06-23,RN,21844,814
2020-06-24,RN,22738,865
2020-06-25,RN,23806,896
2020-06-26,RN,24253,909
2020-06-27,RN,24301,937
2020-06-28,RN,29784,999
2020-06-29,RN,30352,1039
2020-06-30,RN,31964,1072
2020-07-01,RN,32962,1108
2020-07-02,RN,33487,1177
2020-07-03,RN,34322,1205
2020-07-04,RN,34645,1213
2020-07-05,RN,35056,1254
2020-07-06,RN,35897,1297
2020-07-07,RN,36587,1332
2020-07-08,RN,37137,1351
2020-07-09,RN,38342,1362
2020-07-10,RN,38704,1386
2020-07-11,RN,39421,1394
2020-07-12,RN,39908,1410
2020-07-13,RN,40455,1449
2020-07-14,RN,40767,1479
2020-07-15,RN,41096,1507
2020-07-16,RN,41424,1532
2020-07-17,RN,43573,1577
2020-07-18,RN,43766,1577
2020-07-19,RN,44083,1590
2020-07-20,RN,44340,1628
2020-07-21,RN,45313,1642
2020-07-22,RN,46187,1656
2020-07-23,RN,46814,1672
2020-07-24,RN,47061,1678
2020-07-25,RN,47099,1678
2020-07-26,RN,47430,1703
2020-07-27,RN,48515,1720
2020-07-28,RN,49194,1741
2020-07-29,RN,49812,1757
2020-07-30,RN,50563,1783
2020-07-31,RN,51700,1885
2020-08-01,RN,51988,1889
2020-08-02,RN,52184,1900
2020-08-03,RN,52724,1932
2020-08-04,RN,53649,1939
2020-08-05,RN,54268,1960
2020-08-06,RN,54881,1971
2020-08-07,RN,55315,1976
2020-08-08,RN,55315,1976
2020-08-09,RN,55617,1983
2020-08-10,RN,58132,2019
2020-08-11,RN,57921,2025
2020-08-12,RN,57272,2042
2020-08-13,RN,57664,2047
2020-08-14,RN,57860,2068
2020-08-15,RN,57860,2068
2020-08-16,RN,58095,2087
2020-08-17,RN,58504,2108
2020-08-18,RN,58864,2132
2020-08-19,RN,59335,2139
2020-08-20,RN,59388,2160
2020-08-21,RN,59590,2171
2020-08-22,RN,59590,2171
2020-08-23,RN,59846,2179
2020-08-24,RN,60358,2198
2020-08-25,RN,60639,2221
2020-08-26,RN,61090,2225
2020-08-27,RN,61416,2240
2020-08-28,RN,61704,2248
2020-08-29,RN,61704,2248
2020-08-30,RN,61961,2264
2020-08-31,RN,62204,2273
2020-09-01,RN,62645,2283
2020-09-02,RN,63071,2286
2020-09-03,RN,63507,2289
2020-09-04,RN,63912,2293
2020-09-05,RN,63912,2293
2020-09-06,RN,64029,2302
2020-09-07,RN,64097,2304
2020-09-08,RN,64354,2304
2020-09-09,RN,64740,2310
2020-09-10,RN,65099,2316
2020-09-11,RN,65266,2321
2020-09-12,RN,65521,2323
2020-09-13,RN,65584,2325
2020-09-14,RN,65873,2334
2020-09-15,RN,66159,2338
2020-09-16,RN,66551,2341
2020-09-17,RN,66884,2349
2020-09-18,RN,67193,2356
2020-09-19,RN,67193,2356
2020-09-20,RN,67447,2360
2020-09-21,RN,67689,2363
2020-09-22,RN,68000,2364
2020-09-23,RN,68298,2374
2020-09-24,RN,68572,2376
2020-09-25,RN,68743,2380
2020-09-26,RN,68743,2380
2020-09-27,RN,69015,2385
2020-09-28,RN,69263,2392
2020-09-29,RN,69683,2400
2020-09-30,RN,69965,2403
2020-10-01,RN,70356,2406
2020-10-02,RN,70808,2410
2020-10-03,RN,70808,2410
2020-10-04,RN,71045,2411
2020-10-05,RN,71299,2415
2020-10-06,RN,72154,2421
2020-10-07,RN,72604,2422
2020-10-08,RN,72706,2425
2020-10-09,RN,72900,2425
2020-10-10,RN,72900,2425
2020-10-11,RN,73350,2427
2020-10-12,RN,73423,2430
2020-10-13,RN,73981,2435
2020-10-14,RN,74642,2443
2020-10-15,RN,76966,2556
2020-10-16,RN,77155,2560
2020-10-17,RN,77155,2560
2020-10-18,RN,78860,2561
2020-10-19,RN,79025,2562
2020-10-20,RN,79649,2565
2020-10-21,RN,79704,2567
2020-10-22,RN,79827,2567
2020-10-23,RN,80031,2571
2020-10-24,RN,80031,2571
2020-10-25,RN,80241,2572
2020-10-26,RN,80403,2573
2020-10-27,RN,81014,2578
2020-10-28,RN,81295,2582
2020-10-29,RN,81423,2584
2020-10-30,RN,81518,2586
2020-10-31,RN,81518,2586
2020-11-01,RN,81836,2591
2020-11-02,RN,81901,2592
2020-11-03,RN,82220,2597
2020-11-04,RN,82420,2603
2020-11-05,RN,82549,2607
2020-11-06,RN,82719,2607
2020-11-07,RN,82719,2607
2020-11-08,RN,82939,2610
2020-11-09,RN,83220,2616
2020-11-10,RN,83309,2620
2020-11-11,RN,83463,2622
2020-11-12,RN,83632,2647
2020-11-13,RN,83762,2649
2020-11-14,RN,83762,2649
2020-11-15,RN,84021,2652
2020-11-16,RN,84522,2652
2020-11-17,RN,84758,2658
2020-11-18,RN,84909,2661
2020-11-19,RN,85244,2667
2020-11-20,RN,86164,2668
2020-11-21,RN,86164,2668
2020-11-22,RN,87158,2670
2020-11-23,RN,87366,2674
2020-11-24,RN,88462,2675
2020-11-25,RN,89170,2676
2020-11-26,RN,93048,2688
2020-11-27,RN,93481,2695
2020-11-28,RN,94482,2695
2020-11-29,RN,95556,2699
2020-11-30,RN,96096,2706
2020-12-01,RN,97132,2715
2020-12-02,RN,97302,2722
2020-12-03,RN,97547,2726
2020-12-04,RN,98035,2736
2020-12-05,RN,98035,2736
2020-12-06,RN,99023,2752
2020-12-07,RN,99304,2764
2020-12-08,RN,100318,2770
2020-12-09,RN,101692,2781
2020-12-10,RN,102836,2798
2020-12-11,RN,103355,2803
2020-12-12,RN,103916,2803
2020-12-13,RN,104829,2819
2020-12-14,RN,105388,2835
2020-12-15,RN,106643,2842
2020-12-16,RN,106920,2853
2020-12-17,RN,107476,2869
2020-12-18,RN,108223,2878
2020-12-19,RN,108934,2878
2020-12-20,RN,110319,2888
2020-12-21,RN,111090,2900
2020-12-22,RN,112578,2927
2020-12-23,RN,113490,2932
2020-12-24,RN,114548,2935
2020-12-25,RN,114822,2937
2020-12-26,RN,114822,2937
2020-12-27,RN,115422,2947
2020-12-28,RN,116377,2984
2020-12-29,RN,117542,2998
2020-12-30,RN,118728,3007
2020-12-31,RN,118999,3007
2021-01-01,RN,119338,3009
2021-01-02,RN,119338,3009
2021-01-03,RN,119835,3025
2021-01-04,RN,120676,3060
2021-01-05,RN,121495,3073
2021-01-06,RN,122099,3081
2021-01-07,RN,123257,3092
2021-01-08,RN,124467,3100
2021-01-09,RN,124467,3100
2021-01-10,RN,125215,3112
2021-01-11,RN,126049,3130
2021-01-12,RN,126261,3140
2021-01-13,RN,127627,3154
2021-01-14,RN,128601,3166
2021-01-15,RN,130335,3190
2021-01-16,RN,130350,3190
2021-01-17,RN,131375,3196
2021-01-18,RN,131770,3205
2021-01-19,RN,133099,3209
2021-01-20,RN,133998,3220
2021-01-21,RN,134844,3240
2021-01-22,RN,134881,3240
2021-01-23,RN,135774,3247
2021-01-24,RN,137024,3257
2021-01-25,RN,137640,3273
2021-01-26,RN,138471,3276
2021-01-27,RN,138471,3276
2021-01-28,RN,138471,3276
