date,state,cases,deaths
2020-03-20,RN,1,0
2020-03-21,RN,3,0
2020-03-22,RN,4,0
2020-03-23,RN,4,0
2020-03-24,RN,5,0
2020-03-25,RN,5,0
2020-03-26,RN,6,0
2020-03-27,RN,9,0
2020-03-28,RN,34,1
2020-03-29,RN,34,1
2020-03-30,RN,41,1
2020-03-31,RN,40,1
2020-04-01,RN,44,1
2020-04-02,RN,50,1
2020-04-03,RN,99,3
2020-04-04,RN,138,5
2020-04-05,RN,133,5
2020-04-06,RN,133,5
2020-04-07,RN,138,6
2020-04-08,RN,146,8
2020-04-09,RN,146,8
2020-04-10,RN,146,8
2020-04-11,RN,158,10
2020-04-12,RN,194,13
2020-04-13,RN,217,13
2020-04-14,RN,228,14
2020-04-15,RN,228,15
2020-04-16,RN,259,18
2020-04-17,RN,280,19
2020-04-18,RN,302,21
2020-04-19,RN,316,21
2020-04-20,RN,325,22
2020-04-21,RN,342,22
2020-04-22,RN,373,26
2020-04-23,RN,395,29
2020-04-24,RN,411,31
2020-04-25,RN,428,35
2020-04-26,RN,436,35
2020-04-27,RN,455,37
2020-04-28,RN,567,42
2020-04-29,RN,610,44
2020-04-30,RN,666,44
2020-05-01,RN,699,47
2020-05-02,RN,715,49
2020-05-03,RN,735,49
2020-05-04,RN,826,52
2020-05-05,RN,877,57
2020-05-06,RN,937,60
2020-05-07,RN,1019,65
2020-05-08,RN,1047,68
2020-05-09,RN,1047,68
2020-05-10,RN,1057,69
2020-05-11,RN,1125,71
2020-05-12,RN,1342,83
2020-05-13,RN,1454,84
2020-05-14,RN,1601,87
2020-05-15,RN,1601,87
2020-05-16,RN,1716,100
2020-05-17,RN,1778,103
2020-05-18,RN,2032,117
2020-05-19,RN,2213,124
2020-05-20,RN,2392,129
2020-05-21,RN,2524,132
2020-05-22,RN,2734,134
2020-05-23,RN,2734,134
2020-05-24,RN,2879,148
2020-05-25,RN,3303,154
2020-05-26,RN,3409,166
2020-05-27,RN,3409,166
2020-05-28,RN,3887,183
2020-05-29,RN,4494,205
2020-05-30,RN,4494,205
2020-05-31,RN,4931,218
2020-06-01,RN,5024,228
2020-06-02,RN,5653,241
2020-06-03,RN,5744,251
2020-06-04,RN,5823,256
2020-06-05,RN,5835,270
2020-06-06,RN,5835,270
2020-06-07,RN,6749,286
2020-06-08,RN,6819,296
2020-06-09,RN,7201,319
2020-06-10,RN,8265,325
2020-06-11,RN,8427,338
2020-06-12,RN,8554,350
2020-06-13,RN,8936,351
2020-06-14,RN,8827,364
2020-06-15,RN,9408,381
2020-06-16,RN,9733,397
2020-06-17,RN,9860,413
2020-06-18,RN,9948,434
2020-06-19,RN,11718,435
2020-06-20,RN,11802,435
2020-06-21,RN,12319,454
2020-06-22,RN,12402,463
2020-06-23,RN,13493,504
2020-06-24,RN,13965,537
2020-06-25,RN,14572,553
2020-06-26,RN,15019,566
2020-06-27,RN,15067,594
2020-06-28,RN,18427,583
2020-06-29,RN,18749,597
2020-06-30,RN,19852,608
2020-07-01,RN,20406,630
2020-07-02,RN,20706,677
2020-07-03,RN,21223,699
2020-07-04,RN,21546,707
2020-07-05,RN,21708,728
2020-07-06,RN,22233,753
2020-07-07,RN,22591,764
2020-07-08,RN,22923,780
2020-07-09,RN,23666,788
2020-07-10,RN,23904,797
2020-07-11,RN,24621,805
2020-07-12,RN,24758,814
2020-07-13,RN,25063,839
2020-07-14,RN,25264,853
2020-07-15,RN,25450,873
2020-07-16,RN,25709,891
2020-07-17,RN,26852,914
2020-07-18,RN,27045,914
2020-07-19,RN,27202,924
2020-07-20,RN,27331,942
2020-07-21,RN,27954,954
2020-07-22,RN,28556,961
2020-07-23,RN,28951,969
2020-07-24,RN,29135,971
2020-07-25,RN,29173,971
2020-07-26,RN,29431,981
2020-07-27,RN,30132,991
2020-07-28,RN,30564,1007
2020-07-29,RN,30962,1017
2020-07-30,RN,31463,1034
2020-07-31,RN,32034,1056
2020-08-01,RN,32322,1060
2020-08-02,RN,32396,1068
2020-08-03,RN,32821,1093
2020-08-04,RN,33352,1095
2020-08-05,RN,33779,1109
2020-08-06,RN,34234,1118
2020-08-07,RN,34587,1123
2020-08-08,RN,34587,1123
2020-08-09,RN,34830,1129
2020-08-10,RN,36086,1148
2020-08-11,RN,36781,1147
2020-08-12,RN,36005,1160
2020-08-13,RN,36308,1167
2020-08-14,RN,36444,1181
2020-08-15,RN,36444,1181
2020-08-16,RN,36637,1194
2020-08-17,RN,36953,1210
2020-08-18,RN,37202,1222
2020-08-19,RN,37560,1228
2020-08-20,RN,37585,1234
2020-08-21,RN,37718,1241
2020-08-22,RN,37718,1241
2020-08-23,RN,37943,1247
2020-08-24,RN,38282,1261
2020-08-25,RN,38514,1271
2020-08-26,RN,38836,1275
2020-08-27,RN,39162,1290
2020-08-28,RN,39331,1286
2020-08-29,RN,39331,1286
2020-08-30,RN,39557,1299
2020-08-31,RN,39727,1306
2020-09-01,RN,40053,1315
2020-09-02,RN,40363,1318
2020-09-03,RN,40668,1321
2020-09-04,RN,41009,1322
2020-09-05,RN,41009,1322
2020-09-06,RN,41145,1328
2020-09-07,RN,41208,1330
2020-09-08,RN,41413,1329
2020-09-09,RN,41739,1335
2020-09-10,RN,42041,1340
2020-09-11,RN,42162,1345
2020-09-12,RN,42417,1347
2020-09-13,RN,42436,1349
2020-09-14,RN,42666,1358
2020-09-15,RN,42867,1361
2020-09-16,RN,43163,1362
2020-09-17,RN,43431,1368
2020-09-18,RN,43666,1371
2020-09-19,RN,43666,1371
2020-09-20,RN,43870,1374
2020-09-21,RN,44044,1375
2020-09-22,RN,44268,1376
2020-09-23,RN,44499,1386
2020-09-24,RN,44707,1388
2020-09-25,RN,44836,1392
2020-09-26,RN,44836,1392
2020-09-27,RN,45069,1396
2020-09-28,RN,45266,1402
2020-09-29,RN,45619,1409
2020-09-30,RN,45870,1411
2020-10-01,RN,46202,1413
2020-10-02,RN,46531,1416
2020-10-03,RN,46531,1416
2020-10-04,RN,46700,1417
2020-10-05,RN,46879,1421
2020-10-06,RN,47515,1426
2020-10-07,RN,47869,1427
2020-10-08,RN,47956,1429
2020-10-09,RN,48102,1429
2020-10-10,RN,48102,1429
2020-10-11,RN,48471,1429
2020-10-12,RN,48534,1432
2020-10-13,RN,49025,1436
2020-10-14,RN,49592,1443
2020-10-15,RN,51272,1498
2020-10-16,RN,51418,1499
2020-10-17,RN,51418,1499
2020-10-18,RN,52671,1500
2020-10-19,RN,52782,1501
2020-10-20,RN,53293,1504
2020-10-21,RN,53354,1506
2020-10-22,RN,53612,1499
2020-10-23,RN,53769,1501
2020-10-24,RN,53769,1501
2020-10-25,RN,54009,1502
2020-10-26,RN,54125,1503
2020-10-27,RN,54639,1507
2020-10-28,RN,54839,1507
2020-10-29,RN,54944,1509
2020-10-30,RN,55179,1511
2020-10-31,RN,55179,1511
2020-11-01,RN,55467,1515
2020-11-02,RN,55530,1516
2020-11-03,RN,55747,1519
2020-11-04,RN,55795,1524
2020-11-05,RN,55924,1528
2020-11-06,RN,56031,1529
