date,state,city,cases,deaths
2020-03-21,RO,Porto Velho/RO,2,0
2020-03-22,RO,Porto Velho/RO,2,0
2020-03-23,RO,Porto Velho/RO,2,0
2020-03-24,RO,Porto Velho/RO,4,0
2020-03-25,RO,Porto Velho/RO,4,0
2020-03-26,RO,Porto Velho/RO,5,0
2020-03-27,RO,Porto Velho/RO,5,0
2020-03-28,RO,Porto Velho/RO,5,0
2020-03-29,RO,Porto Velho/RO,5,0
2020-03-30,RO,Porto Velho/RO,6,1
2020-03-31,RO,Porto Velho/RO,7,1
2020-04-01,RO,Porto Velho/RO,7,1
2020-04-02,RO,Porto Velho/RO,8,1
2020-04-03,RO,Porto Velho/RO,8,1
2020-04-04,RO,Porto Velho/RO,9,1
2020-04-05,RO,Porto Velho/RO,10,1
2020-04-06,RO,Porto Velho/RO,14,1
2020-04-07,RO,Porto Velho/RO,19,1
2020-04-08,RO,Porto Velho/RO,21,1
2020-04-09,RO,Porto Velho/RO,23,2
2020-04-10,RO,Porto Velho/RO,23,2
2020-04-11,RO,Porto Velho/RO,25,2
2020-04-12,RO,Porto Velho/RO,27,2
2020-04-13,RO,Porto Velho/RO,27,2
2020-04-14,RO,Porto Velho/RO,49,2
2020-04-15,RO,Porto Velho/RO,52,2
2020-04-16,RO,Porto Velho/RO,58,2
2020-04-17,RO,Porto Velho/RO,71,2
2020-04-18,RO,Porto Velho/RO,88,3
2020-04-19,RO,Porto Velho/RO,110,3
2020-04-20,RO,Porto Velho/RO,135,3
2020-04-21,RO,Porto Velho/RO,163,3
2020-04-22,RO,Porto Velho/RO,163,3
2020-04-23,RO,Porto Velho/RO,180,3
2020-04-24,RO,Porto Velho/RO,207,3
2020-04-25,RO,Porto Velho/RO,239,4
2020-04-26,RO,Porto Velho/RO,260,6
2020-04-27,RO,Porto Velho/RO,285,6
2020-04-28,RO,Porto Velho/RO,301,7
2020-04-29,RO,Porto Velho/RO,313,10
2020-04-30,RO,Porto Velho/RO,364,10
2020-05-01,RO,Porto Velho/RO,421,13
2020-05-02,RO,Porto Velho/RO,473,16
2020-05-03,RO,Porto Velho/RO,508,16
2020-05-04,RO,Porto Velho/RO,546,17
2020-05-05,RO,Porto Velho/RO,642,20
2020-05-06,RO,Porto Velho/RO,710,24
2020-05-07,RO,Porto Velho/RO,829,27
2020-05-08,RO,Porto Velho/RO,932,29
2020-05-09,RO,Porto Velho/RO,968,31
2020-05-10,RO,Porto Velho/RO,991,33
2020-05-11,RO,Porto Velho/RO,1077,35
2020-05-12,RO,Porto Velho/RO,1109,36
2020-05-13,RO,Porto Velho/RO,1238,36
2020-05-14,RO,Porto Velho/RO,1295,40
2020-05-15,RO,Porto Velho/RO,1375,44
2020-05-16,RO,Porto Velho/RO,1474,49
2020-05-17,RO,Porto Velho/RO,1509,51
2020-05-18,RO,Porto Velho/RO,1580,55
