date,state,cases,deaths
2020-03-20,RO,1,0
2020-03-21,RO,1,0
2020-03-22,RO,1,0
2020-03-23,RO,1,0
2020-03-24,RO,1,0
2020-03-25,RO,1,0
2020-03-26,RO,1,0
2020-03-27,RO,1,0
2020-03-28,RO,1,0
2020-03-29,RO,1,0
2020-03-30,RO,2,0
2020-03-31,RO,2,0
2020-04-01,RO,2,0
2020-04-02,RO,2,0
2020-04-03,RO,2,0
2020-04-04,RO,2,0
2020-04-05,RO,4,0
2020-04-06,RO,4,0
2020-04-07,RO,4,0
2020-04-08,RO,5,0
2020-04-09,RO,5,0
2020-04-10,RO,9,0
2020-04-11,RO,9,0
2020-04-12,RO,15,0
2020-04-13,RO,15,0
2020-04-14,RO,20,0
2020-04-15,RO,21,0
2020-04-16,RO,34,1
2020-04-17,RO,39,1
2020-04-18,RO,40,1
2020-04-19,RO,50,1
2020-04-20,RO,64,1
2020-04-21,RO,60,2
2020-04-22,RO,60,2
2020-04-23,RO,70,2
2020-04-24,RO,83,3
2020-04-25,RO,89,3
2020-04-26,RO,104,4
2020-04-27,RO,108,4
2020-04-28,RO,112,4
2020-04-29,RO,120,5
2020-04-30,RO,138,6
2020-05-01,RO,164,5
2020-05-02,RO,181,7
2020-05-03,RO,197,8
2020-05-04,RO,210,8
2020-05-05,RO,219,9
2020-05-06,RO,233,9
2020-05-07,RO,269,10
2020-05-08,RO,290,10
2020-05-09,RO,295,10
2020-05-10,RO,311,10
2020-05-11,RO,321,12
2020-05-12,RO,351,14
2020-05-13,RO,374,14
2020-05-14,RO,391,16
2020-05-15,RO,419,18
2020-05-16,RO,445,20
2020-05-17,RO,454,23
2020-05-18,RO,463,28
2020-05-19,RO,528,31
2020-05-20,RO,575,31
2020-05-21,RO,735,42
2020-05-22,RO,680,37
2020-05-23,RO,774,39
2020-05-24,RO,787,42
2020-05-25,RO,824,42
2020-05-26,RO,899,45
2020-05-27,RO,1021,46
2020-05-28,RO,1147,47
2020-05-29,RO,1257,46
2020-05-30,RO,1382,46
2020-05-31,RO,1447,47
2020-06-01,RO,1677,50
2020-06-02,RO,1623,53
2020-06-03,RO,1797,54
2020-06-04,RO,2116,55
2020-06-05,RO,2317,59
2020-06-06,RO,2614,61
2020-06-07,RO,2949,64
2020-06-08,RO,3131,65
2020-06-09,RO,3725,75
2020-06-10,RO,3768,74
2020-06-11,RO,3981,81
2020-06-12,RO,4130,81
2020-06-13,RO,4404,87
2020-06-14,RO,4427,93
2020-06-15,RO,4537,94
2020-06-16,RO,4874,101
2020-06-17,RO,5098,107
2020-06-18,RO,5172,109
2020-06-19,RO,5405,113
2020-06-20,RO,5646,113
2020-06-21,RO,5741,119
2020-06-22,RO,5919,125
2020-06-23,RO,6155,127
2020-06-24,RO,6531,131
2020-06-25,RO,6738,133
2020-06-26,RO,7230,138
2020-06-27,RO,7385,140
2020-06-28,RO,7414,142
2020-06-29,RO,7611,146
2020-06-30,RO,8118,153
2020-07-01,RO,8282,158
2020-07-02,RO,8638,164
2020-07-03,RO,8868,167
2020-07-04,RO,9584,182
