date,state,city,cases,deaths
2020-03-21,RR,Boa Vista/RR,2,0
2020-03-22,RR,Boa Vista/RR,2,0
2020-03-23,RR,Boa Vista/RR,2,0
2020-03-24,RR,Boa Vista/RR,7,0
2020-03-25,RR,Boa Vista/RR,7,0
2020-03-26,RR,Boa Vista/RR,9,0
2020-03-27,RR,Boa Vista/RR,9,0
2020-03-28,RR,Boa Vista/RR,13,0
2020-03-29,RR,Boa Vista/RR,13,0
2020-03-30,RR,Boa Vista/RR,13,0
2020-03-31,RR,Boa Vista/RR,13,0
2020-04-01,RR,Boa Vista/RR,23,0
2020-04-02,RR,Boa Vista/RR,24,0
2020-04-03,RR,Boa Vista/RR,31,1
2020-04-04,RR,Boa Vista/RR,36,1
2020-04-05,RR,Boa Vista/RR,36,1
2020-04-06,RR,Boa Vista/RR,36,1
2020-04-07,RR,Boa Vista/RR,42,1
2020-04-08,RR,Boa Vista/RR,45,1
2020-04-09,RR,Boa Vista/RR,56,2
2020-04-10,RR,Boa Vista/RR,68,2
2020-04-11,RR,Boa Vista/RR,70,2
2020-04-12,RR,Boa Vista/RR,74,2
2020-04-13,RR,Boa Vista/RR,104,2
2020-04-14,RR,Boa Vista/RR,105,2
2020-04-15,RR,Boa Vista/RR,131,2
2020-04-16,RR,Boa Vista/RR,147,2
2020-04-17,RR,Boa Vista/RR,183,2
2020-04-18,RR,Boa Vista/RR,200,2
2020-04-19,RR,Boa Vista/RR,222,2
2020-04-20,RR,Boa Vista/RR,225,2
2020-04-21,RR,Boa Vista/RR,252,2
2020-04-22,RR,Boa Vista/RR,262,2
2020-04-23,RR,Boa Vista/RR,268,2
2020-04-24,RR,Boa Vista/RR,307,2
2020-04-25,RR,Boa Vista/RR,356,3
2020-04-26,RR,Boa Vista/RR,362,3
2020-04-27,RR,Boa Vista/RR,383,3
2020-04-28,RR,Boa Vista/RR,383,3
2020-04-29,RR,Boa Vista/RR,384,3
2020-04-30,RR,Boa Vista/RR,462,6
2020-05-01,RR,Boa Vista/RR,462,6
2020-05-02,RR,Boa Vista/RR,577,8
2020-05-03,RR,Boa Vista/RR,475,6
2020-05-04,RR,Boa Vista/RR,513,10
2020-05-05,RR,Boa Vista/RR,714,10
2020-05-06,RR,Boa Vista/RR,771,12
2020-05-07,RR,Boa Vista/RR,840,13
2020-05-08,RR,Boa Vista/RR,917,15
2020-05-09,RR,Boa Vista/RR,970,17
2020-05-10,RR,Boa Vista/RR,1049,20
2020-05-11,RR,Boa Vista/RR,1054,21
2020-05-12,RR,Boa Vista/RR,1171,26
2020-05-13,RR,Boa Vista/RR,1135,25
2020-05-14,RR,Boa Vista/RR,1189,31
2020-05-15,RR,Boa Vista/RR,1254,33
2020-05-16,RR,Boa Vista/RR,1336,41
2020-05-17,RR,Boa Vista/RR,1384,42
2020-05-18,RR,Boa Vista/RR,1461,50
2020-05-19,RR,Boa Vista/RR,1533,54
2020-05-20,RR,Boa Vista/RR,1533,54
2020-05-21,RR,Boa Vista/RR,1533,54
2020-05-22,RR,Boa Vista/RR,1807,62
2020-05-23,RR,Boa Vista/RR,1915,62
2020-05-24,RR,Boa Vista/RR,1914,71
2020-05-25,RR,Boa Vista/RR,1996,73
2020-05-26,RR,Boa Vista/RR,1997,83
2020-05-27,RR,Boa Vista/RR,2237,83
2020-05-28,RR,Boa Vista/RR,2357,86
2020-05-29,RR,Boa Vista/RR,2512,90
2020-05-30,RR,Boa Vista/RR,2615,96
2020-05-31,RR,Boa Vista/RR,2761,96
2020-06-01,RR,Boa Vista/RR,2885,98
2020-06-02,RR,Boa Vista/RR,3133,102
2020-06-03,RR,Boa Vista/RR,3133,102
2020-06-04,RR,Boa Vista/RR,3705,116
2020-06-05,RR,Boa Vista/RR,4000,116
2020-06-06,RR,Boa Vista/RR,4210,119
2020-06-07,RR,Boa Vista/RR,4423,122
2020-06-08,RR,Boa Vista/RR,4628,144
2020-06-09,RR,Boa Vista/RR,4846,149
2020-06-10,RR,Boa Vista/RR,5061,152
2020-06-11,RR,Boa Vista/RR,5155,154
2020-06-12,RR,Boa Vista/RR,5204,158
2020-06-13,RR,Boa Vista/RR,5206,161
2020-06-14,RR,Boa Vista/RR,5207,164
2020-06-15,RR,Boa Vista/RR,5243,168
2020-06-16,RR,Boa Vista/RR,5421,173
2020-06-17,RR,Boa Vista/RR,5578,173
2020-06-18,RR,Boa Vista/RR,5625,187
2020-06-19,RR,Boa Vista/RR,5905,192
2020-06-20,RR,Boa Vista/RR,5956,196
2020-06-21,RR,Boa Vista/RR,5994,196
2020-06-22,RR,Boa Vista/RR,7606,198
2020-06-23,RR,Boa Vista/RR,7953,207
2020-06-24,RR,Boa Vista/RR,8823,215
2020-06-25,RR,Boa Vista/RR,9705,217
2020-06-26,RR,Boa Vista/RR,9789,225
2020-06-27,RR,Boa Vista/RR,10883,225
2020-06-28,RR,Boa Vista/RR,10942,225
2020-06-29,RR,Boa Vista/RR,10986,227
2020-06-30,RR,Boa Vista/RR,11443,255
2020-07-01,RR,Boa Vista/RR,13523,281
2020-07-02,RR,Boa Vista/RR,14132,285
2020-07-03,RR,Boa Vista/RR,14444,291
2020-07-04,RR,Boa Vista/RR,14567,293
2020-07-05,RR,Boa Vista/RR,14580,296
2020-07-06,RR,Boa Vista/RR,14785,301
2020-07-07,RR,Boa Vista/RR,14915,308
2020-07-08,RR,Boa Vista/RR,15338,314
2020-07-09,RR,Boa Vista/RR,16012,314
2020-07-10,RR,Boa Vista/RR,16449,318
2020-07-11,RR,Boa Vista/RR,16568,318
2020-07-12,RR,Boa Vista/RR,16820,319
2020-07-13,RR,Boa Vista/RR,17045,320
2020-07-14,RR,Boa Vista/RR,17581,324
2020-07-15,RR,Boa Vista/RR,18195,335
2020-07-16,RR,Boa Vista/RR,18721,341
2020-07-17,RR,Boa Vista/RR,18996,343
2020-07-18,RR,Boa Vista/RR,19061,343
2020-07-19,RR,Boa Vista/RR,19131,345
2020-07-20,RR,Boa Vista/RR,19214,348
2020-07-21,RR,Boa Vista/RR,19955,361
2020-07-22,RR,Boa Vista/RR,20724,368
2020-07-23,RR,Boa Vista/RR,21403,374
2020-07-24,RR,Boa Vista/RR,21834,381
2020-07-25,RR,Boa Vista/RR,22212,381
2020-07-26,RR,Boa Vista/RR,22253,382
2020-07-27,RR,Boa Vista/RR,22584,385
2020-07-28,RR,Boa Vista/RR,23132,398
2020-07-29,RR,Boa Vista/RR,23520,402
2020-07-30,RR,Boa Vista/RR,23932,405
2020-07-31,RR,Boa Vista/RR,24376,410
2020-08-01,RR,Boa Vista/RR,24744,410
2020-08-02,RR,Boa Vista/RR,24772,410
2020-08-03,RR,Boa Vista/RR,24773,421
2020-08-04,RR,Boa Vista/RR,25597,424
2020-08-05,RR,Boa Vista/RR,26112,424
2020-08-06,RR,Boa Vista/RR,26659,428
2020-08-07,RR,Boa Vista/RR,26987,431
2020-08-08,RR,Boa Vista/RR,27334,431
2020-08-09,RR,Boa Vista/RR,27363,431
2020-08-10,RR,Boa Vista/RR,27753,434
2020-08-11,RR,Boa Vista/RR,27753,434
2020-08-12,RR,Boa Vista/RR,28625,436
2020-08-13,RR,Boa Vista/RR,29020,438
2020-08-14,RR,Boa Vista/RR,29357,439
2020-08-15,RR,Boa Vista/RR,29560,439
2020-08-16,RR,Boa Vista/RR,29570,439
2020-08-17,RR,Boa Vista/RR,29978,444
2020-08-18,RR,Boa Vista/RR,30214,445
2020-08-19,RR,Boa Vista/RR,30552,446
2020-08-20,RR,Boa Vista/RR,30710,446
2020-08-21,RR,Boa Vista/RR,30956,447
2020-08-22,RR,Boa Vista/RR,31084,447
2020-08-23,RR,Boa Vista/RR,31106,447
2020-08-24,RR,Boa Vista/RR,31286,450
2020-08-25,RR,Boa Vista/RR,31539,450
2020-08-26,RR,Boa Vista/RR,31793,453
2020-08-27,RR,Boa Vista/RR,31970,454
2020-08-28,RR,Boa Vista/RR,32219,454
2020-08-29,RR,Boa Vista/RR,32364,454
2020-08-30,RR,Boa Vista/RR,32385,454
2020-08-31,RR,Boa Vista/RR,32528,458
2020-09-01,RR,Boa Vista/RR,32771,460
2020-09-02,RR,Boa Vista/RR,33007,461
2020-09-03,RR,Boa Vista/RR,33244,463
2020-09-04,RR,Boa Vista/RR,33496,463
2020-09-05,RR,Boa Vista/RR,33631,463
2020-09-06,RR,Boa Vista/RR,33638,463
2020-09-07,RR,Boa Vista/RR,33680,463
2020-09-08,RR,Boa Vista/RR,33829,466
2020-09-09,RR,Boa Vista/RR,34074,472
2020-09-10,RR,Boa Vista/RR,34257,474
2020-09-11,RR,Boa Vista/RR,34430,474
