date,state,cases,deaths
2020-03-21,RR,2,0
2020-03-22,RR,2,0
2020-03-23,RR,2,0
2020-03-24,RR,8,0
2020-03-25,RR,8,0
2020-03-26,RR,10,0
2020-03-27,RR,12,0
2020-03-28,RR,16,0
2020-03-29,RR,16,0
2020-03-30,RR,16,0
2020-03-31,RR,16,0
2020-04-01,RR,26,0
2020-04-02,RR,30,0
2020-04-03,RR,37,1
2020-04-04,RR,42,1
2020-04-05,RR,42,1
2020-04-06,RR,42,1
2020-04-07,RR,49,1
2020-04-08,RR,52,1
2020-04-09,RR,63,2
2020-04-10,RR,75,3
2020-04-11,RR,79,3
2020-04-12,RR,83,3
2020-04-13,RR,113,3
2020-04-14,RR,114,3
2020-04-15,RR,142,3
2020-04-16,RR,164,3
2020-04-17,RR,201,3
2020-04-18,RR,222,3
2020-04-19,RR,244,3
2020-04-20,RR,247,3
2020-04-21,RR,280,3
2020-04-22,RR,297,3
2020-04-23,RR,304,3
2020-04-24,RR,345,3
2020-04-25,RR,401,4
2020-04-26,RR,407,4
2020-04-27,RR,425,4
2020-04-28,RR,425,6
2020-04-29,RR,452,6
2020-04-30,RR,519,7
2020-05-01,RR,602,8
2020-05-02,RR,668,9
2020-05-03,RR,740,11
2020-05-04,RR,806,11
2020-05-05,RR,869,11
2020-05-06,RR,932,13
2020-05-07,RR,1020,14
2020-05-08,RR,1124,16
2020-05-09,RR,1202,18
2020-05-10,RR,1290,21
2020-05-11,RR,1295,24
2020-05-12,RR,1411,28
2020-05-13,RR,1411,29
2020-05-14,RR,1500,37
2020-05-15,RR,1589,40
2020-05-16,RR,1706,49
2020-05-17,RR,1791,51
2020-05-18,RR,1882,60
2020-05-19,RR,1988,64
2020-05-20,RR,2067,64
2020-05-21,RR,2146,72
2020-05-22,RR,2306,83
2020-05-23,RR,2439,81
2020-05-24,RR,2439,84
2020-05-25,RR,2564,86
2020-05-26,RR,2682,102
2020-05-27,RR,2959,102
2020-05-28,RR,3098,108
2020-05-29,RR,3299,110
2020-05-30,RR,3475,116
2020-05-31,RR,3692,116
2020-06-01,RR,3850,120
2020-06-02,RR,4143,124
2020-06-03,RR,4143,124
2020-06-04,RR,4831,139
2020-06-05,RR,5238,139
2020-06-06,RR,5529,142
2020-06-07,RR,5768,145
2020-06-08,RR,6056,168
2020-06-09,RR,6347,182
2020-06-10,RR,6594,188
2020-06-11,RR,6712,192
2020-06-12,RR,6842,197
2020-06-13,RR,6875,200
2020-06-14,RR,6881,203
2020-06-15,RR,6935,216
2020-06-16,RR,7150,224
2020-06-17,RR,7421,224
2020-06-18,RR,7650,239
2020-06-19,RR,8037,245
2020-06-20,RR,8120,251
2020-06-21,RR,8188,251
2020-06-22,RR,10340,251
2020-06-23,RR,10803,259
2020-06-24,RR,11872,271
2020-06-25,RR,12911,273
2020-06-26,RR,13078,281
2020-06-27,RR,14341,281
2020-06-28,RR,14459,281
2020-06-29,RR,14641,283
2020-06-30,RR,15153,314
2020-07-01,RR,17583,354
2020-07-02,RR,18323,358
2020-07-03,RR,18769,364
2020-07-04,RR,18922,368
2020-07-05,RR,18948,371
2020-07-06,RR,19088,376
2020-07-07,RR,19284,386
2020-07-08,RR,20154,393
2020-07-09,RR,21220,393
2020-07-10,RR,21849,396
2020-07-11,RR,22225,396
2020-07-12,RR,22627,397
2020-07-13,RR,22968,398
2020-07-14,RR,23681,403
2020-07-15,RR,24397,415
2020-07-16,RR,25007,425
2020-07-17,RR,25373,429
2020-07-18,RR,25467,429
2020-07-19,RR,25686,431
2020-07-20,RR,25985,435
2020-07-21,RR,26954,451
2020-07-22,RR,27932,458
2020-07-23,RR,28874,465
2020-07-24,RR,29394,473
2020-07-25,RR,29829,473
2020-07-26,RR,29902,474
2020-07-27,RR,30316,479
2020-07-28,RR,30996,493
2020-07-29,RR,31455,501
2020-07-30,RR,32016,505
2020-07-31,RR,32723,513
2020-08-01,RR,33151,513
2020-08-02,RR,33188,513
2020-08-03,RR,33194,528
2020-08-04,RR,34296,532
2020-08-05,RR,34929,538
