date,state,cases,deaths
2020-03-24,RR,1,0
2020-03-25,RR,1,0
2020-03-26,RR,1,0
2020-03-27,RR,3,0
2020-03-28,RR,3,0
2020-03-29,RR,3,0
2020-03-30,RR,3,0
2020-03-31,RR,3,0
2020-04-01,RR,3,0
2020-04-02,RR,6,0
2020-04-03,RR,6,0
2020-04-04,RR,6,0
2020-04-05,RR,6,0
2020-04-06,RR,6,0
2020-04-07,RR,7,0
2020-04-08,RR,7,0
2020-04-09,RR,7,0
2020-04-10,RR,7,1
2020-04-11,RR,9,1
2020-04-12,RR,9,1
2020-04-13,RR,9,1
2020-04-14,RR,9,1
2020-04-15,RR,11,1
2020-04-16,RR,17,1
2020-04-17,RR,18,1
2020-04-18,RR,22,1
2020-04-19,RR,22,1
2020-04-20,RR,22,1
2020-04-21,RR,28,1
2020-04-22,RR,35,1
2020-04-23,RR,36,1
2020-04-24,RR,38,1
2020-04-25,RR,45,1
2020-04-26,RR,45,1
2020-04-27,RR,42,1
2020-04-28,RR,42,3
2020-04-29,RR,68,3
2020-04-30,RR,57,1
2020-05-01,RR,140,2
2020-05-02,RR,91,1
2020-05-03,RR,265,5
2020-05-04,RR,293,1
2020-05-05,RR,155,1
2020-05-06,RR,161,1
2020-05-07,RR,180,1
2020-05-08,RR,207,1
2020-05-09,RR,232,1
2020-05-10,RR,241,1
2020-05-11,RR,241,3
2020-05-12,RR,240,2
2020-05-13,RR,276,4
2020-05-14,RR,311,6
2020-05-15,RR,335,7
2020-05-16,RR,370,8
2020-05-17,RR,407,9
2020-05-18,RR,421,10
2020-05-19,RR,455,10
2020-05-20,RR,534,10
2020-05-21,RR,613,18
2020-05-22,RR,499,21
2020-05-23,RR,524,19
2020-05-24,RR,525,13
2020-05-25,RR,568,13
2020-05-26,RR,685,19
2020-05-27,RR,722,19
2020-05-28,RR,741,22
2020-05-29,RR,787,20
2020-05-30,RR,860,20
2020-05-31,RR,931,20
2020-06-01,RR,965,22
2020-06-02,RR,1010,22
2020-06-03,RR,1010,22
2020-06-04,RR,1126,23
2020-06-05,RR,1238,23
2020-06-06,RR,1319,23
2020-06-07,RR,1345,23
2020-06-08,RR,1428,24
2020-06-09,RR,1501,33
2020-06-10,RR,1533,36
2020-06-11,RR,1557,38
2020-06-12,RR,1638,39
2020-06-13,RR,1669,39
2020-06-14,RR,1674,39
2020-06-15,RR,1692,48
2020-06-16,RR,1729,51
2020-06-17,RR,1843,51
2020-06-18,RR,2025,52
2020-06-19,RR,2132,53
2020-06-20,RR,2164,55
2020-06-21,RR,2194,55
2020-06-22,RR,2734,53
2020-06-23,RR,2850,52
2020-06-24,RR,3049,56
2020-06-25,RR,3206,56
2020-06-26,RR,3289,56
2020-06-27,RR,3458,56
2020-06-28,RR,3517,56
2020-06-29,RR,3655,56
2020-06-30,RR,3710,59
2020-07-01,RR,4060,73
2020-07-02,RR,4191,73
2020-07-03,RR,4325,73
2020-07-04,RR,4355,75
2020-07-05,RR,4368,75
2020-07-06,RR,4303,75
2020-07-07,RR,4369,78
2020-07-08,RR,4816,79
2020-07-09,RR,5208,79
2020-07-10,RR,5400,78
2020-07-11,RR,5657,78
2020-07-12,RR,5807,78
2020-07-13,RR,5923,78
2020-07-14,RR,6100,79
2020-07-15,RR,6202,80
2020-07-16,RR,6286,84
2020-07-17,RR,6377,86
2020-07-18,RR,6406,86
2020-07-19,RR,6555,86
2020-07-20,RR,6771,87
2020-07-21,RR,6999,90
2020-07-22,RR,7208,90
2020-07-23,RR,7471,91
2020-07-24,RR,7560,92
2020-07-25,RR,7617,92
2020-07-26,RR,7649,92
2020-07-27,RR,7732,94
2020-07-28,RR,7864,95
2020-07-29,RR,7935,99
2020-07-30,RR,8084,100
2020-07-31,RR,8347,103
2020-08-01,RR,8407,103
2020-08-02,RR,8416,103
2020-08-03,RR,8421,107
2020-08-04,RR,8699,108
2020-08-05,RR,8817,114
2020-08-06,RR,8881,116
2020-08-07,RR,8946,116
2020-08-08,RR,9053,116
2020-08-09,RR,9086,116
2020-08-10,RR,9253,117
2020-08-11,RR,9826,121
2020-08-12,RR,9645,125
2020-08-13,RR,9877,127
2020-08-14,RR,10040,129
2020-08-15,RR,10063,129
2020-08-16,RR,10095,129
2020-08-17,RR,10205,130
2020-08-18,RR,10287,130
2020-08-19,RR,10437,130
2020-08-20,RR,10481,130
2020-08-21,RR,10571,132
2020-08-22,RR,10646,132
2020-08-23,RR,10664,132
2020-08-24,RR,10758,132
2020-08-25,RR,10820,132
2020-08-26,RR,10897,133
2020-08-27,RR,11027,133
2020-08-28,RR,11080,133
2020-08-29,RR,11106,133
2020-08-30,RR,11133,133
2020-08-31,RR,11179,135
2020-09-01,RR,11265,135
2020-09-02,RR,11327,135
2020-09-03,RR,11421,135
2020-09-04,RR,11479,135
2020-09-05,RR,11506,135
2020-09-06,RR,11615,135
2020-09-07,RR,11622,135
2020-09-08,RR,11676,139
2020-09-09,RR,11781,135
2020-09-10,RR,11845,135
2020-09-11,RR,11918,136
2020-09-12,RR,11924,136
2020-09-13,RR,11982,136
2020-09-14,RR,12100,136
2020-09-15,RR,12200,136
2020-09-16,RR,12274,136
2020-09-17,RR,12332,136
2020-09-18,RR,12435,136
2020-09-19,RR,12472,136
2020-09-20,RR,12481,136
2020-09-21,RR,12544,138
2020-09-22,RR,12633,138
2020-09-23,RR,12682,155
2020-09-24,RR,12743,157
2020-09-25,RR,12771,157
2020-09-26,RR,12808,157
2020-09-27,RR,12825,157
2020-09-28,RR,12908,157
2020-09-29,RR,12957,164
2020-09-30,RR,13021,169
2020-10-01,RR,13148,174
2020-10-02,RR,13214,176
2020-10-03,RR,13223,176
2020-10-04,RR,13223,176
2020-10-05,RR,13229,176
2020-10-06,RR,13287,180
2020-10-07,RR,13349,180
2020-10-08,RR,13418,183
2020-10-09,RR,13465,183
2020-10-10,RR,13517,183
2020-10-11,RR,13529,183
2020-10-12,RR,13538,183
2020-10-13,RR,13570,185
2020-10-14,RR,13684,186
2020-10-15,RR,13830,187
2020-10-16,RR,13927,188
2020-10-17,RR,13957,188
