date,state,city,cases,deaths
2020-03-11,RS,Porto Alegre/RS,1,0
2020-03-12,RS,Porto Alegre/RS,2,0
2020-03-13,RS,Porto Alegre/RS,2,0
2020-03-14,RS,Porto Alegre/RS,2,0
2020-03-15,RS,Porto Alegre/RS,2,0
2020-03-16,RS,Porto Alegre/RS,6,0
2020-03-17,RS,Porto Alegre/RS,6,0
2020-03-18,RS,Porto Alegre/RS,15,0
2020-03-19,RS,Porto Alegre/RS,20,0
2020-03-20,RS,Porto Alegre/RS,25,0
2020-03-21,RS,Porto Alegre/RS,35,0
2020-03-22,RS,Porto Alegre/RS,38,0
2020-03-23,RS,Porto Alegre/RS,41,0
2020-03-24,RS,Porto Alegre/RS,47,0
2020-03-25,RS,Porto Alegre/RS,87,1
2020-03-26,RS,Porto Alegre/RS,103,1
2020-03-27,RS,Porto Alegre/RS,107,2
2020-03-28,RS,Porto Alegre/RS,107,2
2020-03-29,RS,Porto Alegre/RS,135,2
2020-03-30,RS,Porto Alegre/RS,143,2
2020-03-31,RS,Porto Alegre/RS,190,2
2020-04-01,RS,Porto Alegre/RS,190,3
2020-04-02,RS,Porto Alegre/RS,232,3
2020-04-03,RS,Porto Alegre/RS,233,4
2020-04-04,RS,Porto Alegre/RS,241,4
2020-04-05,RS,Porto Alegre/RS,254,5
2020-04-06,RS,Porto Alegre/RS,253,5
2020-04-07,RS,Porto Alegre/RS,272,5
2020-04-08,RS,Porto Alegre/RS,279,6
2020-04-09,RS,Porto Alegre/RS,303,6
2020-04-10,RS,Porto Alegre/RS,303,6
2020-04-11,RS,Porto Alegre/RS,311,6
2020-04-12,RS,Porto Alegre/RS,314,6
2020-04-13,RS,Porto Alegre/RS,315,7
2020-04-14,RS,Porto Alegre/RS,327,8
2020-04-15,RS,Porto Alegre/RS,350,8
2020-04-16,RS,Porto Alegre/RS,361,8
2020-04-17,RS,Porto Alegre/RS,369,9
2020-04-18,RS,Porto Alegre/RS,374,9
2020-04-19,RS,Porto Alegre/RS,374,9
2020-04-20,RS,Porto Alegre/RS,390,10
2020-04-21,RS,Porto Alegre/RS,393,10
2020-04-22,RS,Porto Alegre/RS,401,10
2020-04-23,RS,Porto Alegre/RS,413,10
2020-04-24,RS,Porto Alegre/RS,420,11
2020-04-25,RS,Porto Alegre/RS,425,12
2020-04-26,RS,Porto Alegre/RS,427,12
2020-04-27,RS,Porto Alegre/RS,430,14
2020-04-28,RS,Porto Alegre/RS,441,14
2020-04-29,RS,Porto Alegre/RS,447,14
2020-04-30,RS,Porto Alegre/RS,451,15
2020-05-01,RS,Porto Alegre/RS,455,15
2020-05-02,RS,Porto Alegre/RS,454,16
2020-05-03,RS,Porto Alegre/RS,460,16
2020-05-04,RS,Porto Alegre/RS,464,16
2020-05-05,RS,Porto Alegre/RS,467,17
2020-05-06,RS,Porto Alegre/RS,477,17
2020-05-07,RS,Porto Alegre/RS,479,17
2020-05-08,RS,Porto Alegre/RS,498,17
2020-05-09,RS,Porto Alegre/RS,507,17
2020-05-10,RS,Porto Alegre/RS,508,17
2020-05-11,RS,Porto Alegre/RS,529,18
2020-05-12,RS,Porto Alegre/RS,546,19
2020-05-13,RS,Porto Alegre/RS,564,21
2020-05-14,RS,Porto Alegre/RS,574,21
2020-05-15,RS,Porto Alegre/RS,597,21
2020-05-16,RS,Porto Alegre/RS,597,21
2020-05-17,RS,Porto Alegre/RS,602,21
2020-05-18,RS,Porto Alegre/RS,603,24
2020-05-19,RS,Porto Alegre/RS,603,25
2020-05-20,RS,Porto Alegre/RS,601,25
2020-05-21,RS,Porto Alegre/RS,601,26
2020-05-22,RS,Porto Alegre/RS,601,26
2020-05-23,RS,Porto Alegre/RS,601,27
2020-05-24,RS,Porto Alegre/RS,602,28
2020-05-25,RS,Porto Alegre/RS,603,32
2020-05-26,RS,Porto Alegre/RS,603,32
2020-05-27,RS,Porto Alegre/RS,603,32
2020-05-28,RS,Porto Alegre/RS,605,35
2020-05-29,RS,Porto Alegre/RS,637,34
2020-05-30,RS,Porto Alegre/RS,731,34
2020-05-31,RS,Porto Alegre/RS,743,35
2020-06-01,RS,Porto Alegre/RS,744,37
2020-06-02,RS,Porto Alegre/RS,747,39
2020-06-03,RS,Porto Alegre/RS,778,41
2020-06-04,RS,Porto Alegre/RS,949,42
2020-06-05,RS,Porto Alegre/RS,1077,43
2020-06-06,RS,Porto Alegre/RS,1131,44
2020-06-07,RS,Porto Alegre/RS,1139,44
2020-06-08,RS,Porto Alegre/RS,1141,44
2020-06-09,RS,Porto Alegre/RS,1153,46
2020-06-10,RS,Porto Alegre/RS,1245,48
2020-06-11,RS,Porto Alegre/RS,1297,51
2020-06-12,RS,Porto Alegre/RS,1304,51
2020-06-13,RS,Porto Alegre/RS,1346,52
2020-06-14,RS,Porto Alegre/RS,1353,53
2020-06-15,RS,Porto Alegre/RS,1398,55
2020-06-16,RS,Porto Alegre/RS,1568,57
2020-06-17,RS,Porto Alegre/RS,1611,58
2020-06-18,RS,Porto Alegre/RS,1632,60
2020-06-19,RS,Porto Alegre/RS,1648,63
2020-06-20,RS,Porto Alegre/RS,1669,64
2020-06-21,RS,Porto Alegre/RS,1673,65
2020-06-22,RS,Porto Alegre/RS,1694,66
2020-06-23,RS,Porto Alegre/RS,1868,67
2020-06-24,RS,Porto Alegre/RS,2123,69
2020-06-25,RS,Porto Alegre/RS,2265,69
2020-06-26,RS,Porto Alegre/RS,2383,76
2020-06-27,RS,Porto Alegre/RS,2456,79
2020-06-28,RS,Porto Alegre/RS,2464,80
2020-06-29,RS,Porto Alegre/RS,2484,84
2020-06-30,RS,Porto Alegre/RS,2589,89
2020-07-01,RS,Porto Alegre/RS,2700,92
2020-07-02,RS,Porto Alegre/RS,2779,95
2020-07-03,RS,Porto Alegre/RS,2884,100
2020-07-04,RS,Porto Alegre/RS,3007,109
2020-07-05,RS,Porto Alegre/RS,3111,113
2020-07-06,RS,Porto Alegre/RS,3158,118
2020-07-07,RS,Porto Alegre/RS,3395,127
2020-07-08,RS,Porto Alegre/RS,3639,134
2020-07-09,RS,Porto Alegre/RS,3726,145
2020-07-10,RS,Porto Alegre/RS,3788,151
2020-07-11,RS,Porto Alegre/RS,3912,152
2020-07-12,RS,Porto Alegre/RS,3928,157
2020-07-13,RS,Porto Alegre/RS,3980,166
2020-07-14,RS,Porto Alegre/RS,4159,179
2020-07-15,RS,Porto Alegre/RS,4241,184
2020-07-16,RS,Porto Alegre/RS,5860,189
2020-07-17,RS,Porto Alegre/RS,6148,192
2020-07-18,RS,Porto Alegre/RS,6180,200
2020-07-19,RS,Porto Alegre/RS,6337,204
2020-07-20,RS,Porto Alegre/RS,6545,216
2020-07-21,RS,Porto Alegre/RS,6728,229
2020-07-22,RS,Porto Alegre/RS,6844,238
2020-07-23,RS,Porto Alegre/RS,7033,252
2020-07-24,RS,Porto Alegre/RS,7288,257
2020-07-25,RS,Porto Alegre/RS,7617,264
2020-07-26,RS,Porto Alegre/RS,7652,266
2020-07-27,RS,Porto Alegre/RS,7668,273
2020-07-28,RS,Porto Alegre/RS,7757,294
2020-07-29,RS,Porto Alegre/RS,8045,307
2020-07-30,RS,Porto Alegre/RS,8212,323
2020-07-31,RS,Porto Alegre/RS,8256,334
2020-08-01,RS,Porto Alegre/RS,8627,345
2020-08-02,RS,Porto Alegre/RS,8622,354
2020-08-03,RS,Porto Alegre/RS,8672,365
2020-08-04,RS,Porto Alegre/RS,8778,387
2020-08-05,RS,Porto Alegre/RS,9220,399
2020-08-06,RS,Porto Alegre/RS,9532,411
2020-08-07,RS,Porto Alegre/RS,9573,425
2020-08-08,RS,Porto Alegre/RS,9927,433
2020-08-09,RS,Porto Alegre/RS,9945,438
2020-08-10,RS,Porto Alegre/RS,9944,453
2020-08-11,RS,Porto Alegre/RS,10148,467
2020-08-12,RS,Porto Alegre/RS,10272,488
2020-08-13,RS,Porto Alegre/RS,10387,501
2020-08-14,RS,Porto Alegre/RS,10503,510
2020-08-15,RS,Porto Alegre/RS,10666,514
2020-08-16,RS,Porto Alegre/RS,10696,518
2020-08-17,RS,Porto Alegre/RS,10753,526
2020-08-18,RS,Porto Alegre/RS,10903,542
2020-08-19,RS,Porto Alegre/RS,11167,554
2020-08-20,RS,Porto Alegre/RS,11205,565
2020-08-21,RS,Porto Alegre/RS,11270,577
2020-08-22,RS,Porto Alegre/RS,11592,588
2020-08-23,RS,Porto Alegre/RS,11609,593
2020-08-24,RS,Porto Alegre/RS,11625,601
2020-08-25,RS,Porto Alegre/RS,11727,616
2020-08-26,RS,Porto Alegre/RS,11860,635
2020-08-27,RS,Porto Alegre/RS,11860,635
2020-08-28,RS,Porto Alegre/RS,12215,663
2020-08-29,RS,Porto Alegre/RS,13062,676
2020-08-30,RS,Porto Alegre/RS,13067,676
2020-08-31,RS,Porto Alegre/RS,13675,687
2020-09-01,RS,Porto Alegre/RS,13726,709
2020-09-02,RS,Porto Alegre/RS,14298,716
2020-09-03,RS,Porto Alegre/RS,14791,721
2020-09-04,RS,Porto Alegre/RS,15124,741
2020-09-05,RS,Porto Alegre/RS,18804,756
2020-09-06,RS,Porto Alegre/RS,18827,761
2020-09-07,RS,Porto Alegre/RS,18832,765
2020-09-08,RS,Porto Alegre/RS,18853,776
2020-09-09,RS,Porto Alegre/RS,18918,797
2020-09-10,RS,Porto Alegre/RS,20001,808
2020-09-11,RS,Porto Alegre/RS,20150,825
2020-09-12,RS,Porto Alegre/RS,20579,839
2020-09-13,RS,Porto Alegre/RS,20913,844
2020-09-14,RS,Porto Alegre/RS,21651,851
2020-09-15,RS,Porto Alegre/RS,21933,882
2020-09-16,RS,Porto Alegre/RS,22181,889
2020-09-17,RS,Porto Alegre/RS,22820,901
2020-09-18,RS,Porto Alegre/RS,23202,908
2020-09-19,RS,Porto Alegre/RS,23674,921
2020-09-20,RS,Porto Alegre/RS,24104,925
2020-09-21,RS,Porto Alegre/RS,24446,926
2020-09-22,RS,Porto Alegre/RS,24616,946
2020-09-23,RS,Porto Alegre/RS,24784,958
2020-09-24,RS,Porto Alegre/RS,25156,960
2020-09-25,RS,Porto Alegre/RS,25454,967
2020-09-26,RS,Porto Alegre/RS,25773,982
2020-09-27,RS,Porto Alegre/RS,26013,988
2020-09-28,RS,Porto Alegre/RS,26046,990
2020-09-29,RS,Porto Alegre/RS,26363,1019
2020-09-30,RS,Porto Alegre/RS,26561,1030
2020-10-01,RS,Porto Alegre/RS,30635,1031
2020-10-02,RS,Porto Alegre/RS,31771,1036
2020-10-03,RS,Porto Alegre/RS,32342,1055
2020-10-04,RS,Porto Alegre/RS,32362,1057
2020-10-05,RS,Porto Alegre/RS,32804,1066
2020-10-06,RS,Porto Alegre/RS,33046,1074
2020-10-07,RS,Porto Alegre/RS,33418,1088
