date,state,cases,deaths
2020-03-10,RS,1,0
2020-03-11,RS,2,0
2020-03-12,RS,4,0
2020-03-13,RS,4,0
2020-03-14,RS,6,0
2020-03-15,RS,6,0
2020-03-16,RS,8,0
2020-03-17,RS,10,0
2020-03-18,RS,19,0
2020-03-19,RS,31,0
2020-03-20,RS,43,0
2020-03-21,RS,69,0
2020-03-22,RS,77,0
2020-03-23,RS,96,0
2020-03-24,RS,112,0
2020-03-25,RS,162,1
2020-03-26,RS,190,1
2020-03-27,RS,197,2
2020-03-28,RS,200,2
2020-03-29,RS,230,2
2020-03-30,RS,254,4
2020-03-31,RS,305,4
2020-04-01,RS,316,5
2020-04-02,RS,386,5
2020-04-03,RS,410,6
2020-04-04,RS,418,7
2020-04-05,RS,468,7
2020-04-06,RS,501,8
2020-04-07,RS,555,8
2020-04-08,RS,581,10
2020-04-09,RS,636,14
2020-04-10,RS,640,15
2020-04-11,RS,653,16
2020-04-12,RS,664,16
2020-04-13,RS,685,17
2020-04-14,RS,720,18
2020-04-15,RS,762,19
2020-04-16,RS,792,21
2020-04-17,RS,831,24
2020-04-18,RS,854,24
2020-04-19,RS,869,26
2020-04-20,RS,904,27
2020-04-21,RS,918,27
2020-04-22,RS,970,28
2020-04-23,RS,1039,29
2020-04-24,RS,1096,34
2020-04-25,RS,1166,35
2020-04-26,RS,1208,38
2020-04-27,RS,1256,45
2020-04-28,RS,1350,49
2020-04-29,RS,1420,51
2020-04-30,RS,1529,58
2020-05-01,RS,1619,62
2020-05-02,RS,1666,65
2020-05-03,RS,1690,67
2020-05-04,RS,1768,76
2020-05-05,RS,2019,83
2020-05-06,RS,2100,90
2020-05-07,RS,2182,91
2020-05-08,RS,2493,95
2020-05-09,RS,2542,97
2020-05-10,RS,2576,100
2020-05-11,RS,2808,105
2020-05-12,RS,2917,111
2020-05-13,RS,2997,120
2020-05-14,RS,3101,126
2020-05-15,RS,3695,132
2020-05-16,RS,3734,138
2020-05-17,RS,3735,144
2020-05-18,RS,3750,151
2020-05-19,RS,3798,160
2020-05-20,RS,4973,161
2020-05-21,RS,5473,166
2020-05-22,RS,5918,172
2020-05-23,RS,6336,176
2020-05-24,RS,6470,180
2020-05-25,RS,6559,197
2020-05-26,RS,6785,203
2020-05-27,RS,7048,209
2020-05-28,RS,8234,213
2020-05-29,RS,8843,216
2020-05-30,RS,9242,218
2020-05-31,RS,9332,224
2020-06-01,RS,9496,232
2020-06-02,RS,9919,245
2020-06-03,RS,10398,258
2020-06-04,RS,11010,265
2020-06-05,RS,11583,276
2020-06-06,RS,12037,283
