date,state,cases,deaths
2020-03-10,RS,1,0
2020-03-11,RS,1,0
2020-03-12,RS,2,0
2020-03-13,RS,2,0
2020-03-14,RS,4,0
2020-03-15,RS,4,0
2020-03-16,RS,2,0
2020-03-17,RS,4,0
2020-03-18,RS,4,0
2020-03-19,RS,11,0
2020-03-20,RS,18,0
2020-03-21,RS,34,0
2020-03-22,RS,39,0
2020-03-23,RS,55,0
2020-03-24,RS,65,0
2020-03-25,RS,75,0
2020-03-26,RS,87,0
2020-03-27,RS,90,0
2020-03-28,RS,93,0
2020-03-29,RS,95,0
2020-03-30,RS,111,2
2020-03-31,RS,115,2
2020-04-01,RS,126,2
2020-04-02,RS,154,2
2020-04-03,RS,177,2
2020-04-04,RS,177,3
2020-04-05,RS,214,2
2020-04-06,RS,248,3
2020-04-07,RS,283,3
2020-04-08,RS,302,4
2020-04-09,RS,333,8
2020-04-10,RS,337,9
2020-04-11,RS,342,10
2020-04-12,RS,350,10
2020-04-13,RS,370,10
2020-04-14,RS,393,10
2020-04-15,RS,412,11
2020-04-16,RS,431,13
2020-04-17,RS,462,15
2020-04-18,RS,480,15
2020-04-19,RS,495,17
2020-04-20,RS,514,17
2020-04-21,RS,525,17
2020-04-22,RS,569,18
2020-04-23,RS,626,19
2020-04-24,RS,676,23
2020-04-25,RS,741,23
2020-04-26,RS,781,26
2020-04-27,RS,826,31
2020-04-28,RS,909,35
2020-04-29,RS,973,37
2020-04-30,RS,1078,43
2020-05-01,RS,1164,47
2020-05-02,RS,1212,49
2020-05-03,RS,1230,51
2020-05-04,RS,1304,60
2020-05-05,RS,1552,66
2020-05-06,RS,1623,73
2020-05-07,RS,1703,74
2020-05-08,RS,1995,78
2020-05-09,RS,2035,80
2020-05-10,RS,2068,83
2020-05-11,RS,2279,87
2020-05-12,RS,2371,92
2020-05-13,RS,2433,99
2020-05-14,RS,2527,105
2020-05-15,RS,3098,111
2020-05-16,RS,3137,117
2020-05-17,RS,3133,123
2020-05-18,RS,3147,127
2020-05-19,RS,3195,135
2020-05-20,RS,4372,136
2020-05-21,RS,4872,140
2020-05-22,RS,5317,146
2020-05-23,RS,5735,149
2020-05-24,RS,5868,152
2020-05-25,RS,5956,165
2020-05-26,RS,6182,171
2020-05-27,RS,6445,177
2020-05-28,RS,7629,178
2020-05-29,RS,8206,182
2020-05-30,RS,8511,184
2020-05-31,RS,8589,189
2020-06-01,RS,8752,195
2020-06-02,RS,9172,206
2020-06-03,RS,9620,217
2020-06-04,RS,10061,223
2020-06-05,RS,10506,233
2020-06-06,RS,10906,239
2020-06-07,RS,10996,242
2020-06-08,RS,11109,247
2020-06-09,RS,11649,256
2020-06-10,RS,12374,268
2020-06-11,RS,12871,272
2020-06-12,RS,13080,286
2020-06-13,RS,13281,292
2020-06-14,RS,13308,297
2020-06-15,RS,14040,305
2020-06-16,RS,14903,317
2020-06-17,RS,15517,329
2020-06-18,RS,16190,346
2020-06-19,RS,16939,360
2020-06-20,RS,17469,366
2020-06-21,RS,17675,369
2020-06-22,RS,18016,392
2020-06-23,RS,18996,410
2020-06-24,RS,19886,431
2020-06-25,RS,20795,431
2020-06-26,RS,21731,464
2020-06-27,RS,22544,475
2020-06-28,RS,22779,479
2020-06-29,RS,23175,498
2020-06-30,RS,24352,525
2020-07-01,RS,25471,544
2020-07-02,RS,26416,568
2020-07-03,RS,27487,590
2020-07-04,RS,28612,606
2020-07-05,RS,28844,614
2020-07-06,RS,29243,641
2020-07-07,RS,30405,666
2020-07-08,RS,31918,691
2020-07-09,RS,32708,725
2020-07-10,RS,33702,768
2020-07-11,RS,34808,791
2020-07-12,RS,35312,805
2020-07-13,RS,35676,829
2020-07-14,RS,36834,881
2020-07-15,RS,37998,917
2020-07-16,RS,39484,952
2020-07-17,RS,40562,982
2020-07-18,RS,40667,1029
2020-07-19,RS,40776,1048
2020-07-20,RS,40904,1069
2020-07-21,RS,43112,1120
2020-07-22,RS,46229,1159
2020-07-23,RS,47808,1204
2020-07-24,RS,49719,1237
2020-07-25,RS,51501,1290
2020-07-26,RS,52127,1305
2020-07-27,RS,52376,1338
2020-07-28,RS,54590,1386
2020-07-29,RS,56451,1443
2020-07-30,RS,58261,1502
2020-07-31,RS,58436,1542
2020-08-01,RS,61829,1602
2020-08-02,RS,62418,1620
2020-08-03,RS,62807,1651
2020-08-04,RS,64840,1712
2020-08-05,RS,67343,1764
2020-08-06,RS,69305,1820
2020-08-07,RS,69453,1857
2020-08-08,RS,73668,1913
2020-08-09,RS,74046,1922
2020-08-10,RS,74090,1964
2020-08-11,RS,77267,2005
2020-08-12,RS,79777,2052
2020-08-13,RS,82173,2083
2020-08-14,RS,84639,2121
