date,state,city,cases,deaths
2020-03-12,SC,Florianópolis/SC,2,0
2020-03-13,SC,Florianópolis/SC,2,0
2020-03-14,SC,Florianópolis/SC,2,0
2020-03-15,SC,Florianópolis/SC,2,0
2020-03-16,SC,Florianópolis/SC,3,0
2020-03-17,SC,Florianópolis/SC,3,0
2020-03-18,SC,Florianópolis/SC,5,0
2020-03-19,SC,Florianópolis/SC,6,0
2020-03-20,SC,Florianópolis/SC,10,0
2020-03-21,SC,Florianópolis/SC,10,0
2020-03-22,SC,Florianópolis/SC,10,0
2020-03-23,SC,Florianópolis/SC,15,0
2020-03-24,SC,Florianópolis/SC,20,0
2020-03-25,SC,Florianópolis/SC,16,0
2020-03-26,SC,Florianópolis/SC,20,0
2020-03-27,SC,Florianópolis/SC,27,0
2020-03-28,SC,Florianópolis/SC,30,0
2020-03-29,SC,Florianópolis/SC,40,0
2020-03-30,SC,Florianópolis/SC,50,0
2020-03-31,SC,Florianópolis/SC,58,0
2020-04-01,SC,Florianópolis/SC,60,0
2020-04-02,SC,Florianópolis/SC,71,1
2020-04-03,SC,Florianópolis/SC,78,1
2020-04-04,SC,Florianópolis/SC,91,2
2020-04-05,SC,Florianópolis/SC,94,2
2020-04-06,SC,Florianópolis/SC,99,2
2020-04-07,SC,Florianópolis/SC,114,3
2020-04-08,SC,Florianópolis/SC,123,3
2020-04-09,SC,Florianópolis/SC,166,3
2020-04-10,SC,Florianópolis/SC,167,3
2020-04-11,SC,Florianópolis/SC,173,3
2020-04-12,SC,Florianópolis/SC,177,3
2020-04-13,SC,Florianópolis/SC,199,3
2020-04-14,SC,Florianópolis/SC,207,3
2020-04-15,SC,Florianópolis/SC,214,3
2020-04-16,SC,Florianópolis/SC,219,3
2020-04-17,SC,Florianópolis/SC,221,3
2020-04-18,SC,Florianópolis/SC,224,3
2020-04-19,SC,Florianópolis/SC,232,3
2020-04-20,SC,Florianópolis/SC,238,3
2020-04-21,SC,Florianópolis/SC,240,4
2020-04-22,SC,Florianópolis/SC,244,4
2020-04-23,SC,Florianópolis/SC,249,4
2020-04-24,SC,Florianópolis/SC,251,4
2020-04-25,SC,Florianópolis/SC,252,4
2020-04-26,SC,Florianópolis/SC,258,4
2020-04-27,SC,Florianópolis/SC,263,5
2020-04-28,SC,Florianópolis/SC,334,5
2020-04-29,SC,Florianópolis/SC,336,5
2020-04-30,SC,Florianópolis/SC,414,5
2020-05-01,SC,Florianópolis/SC,320,5
2020-05-02,SC,Florianópolis/SC,326,5
2020-05-03,SC,Florianópolis/SC,347,5
2020-05-04,SC,Florianópolis/SC,353,6
2020-05-05,SC,Florianópolis/SC,369,6
2020-05-06,SC,Florianópolis/SC,375,6
2020-05-07,SC,Florianópolis/SC,371,6
2020-05-08,SC,Florianópolis/SC,373,6
2020-05-09,SC,Florianópolis/SC,387,6
2020-05-10,SC,Florianópolis/SC,386,6
2020-05-11,SC,Florianópolis/SC,392,6
2020-05-12,SC,Florianópolis/SC,398,6
2020-05-13,SC,Florianópolis/SC,407,6
2020-05-14,SC,Florianópolis/SC,452,6
2020-05-15,SC,Florianópolis/SC,466,6
2020-05-16,SC,Florianópolis/SC,473,6
2020-05-17,SC,Florianópolis/SC,473,6
2020-05-18,SC,Florianópolis/SC,495,6
2020-05-19,SC,Florianópolis/SC,519,6
2020-05-20,SC,Florianópolis/SC,524,6
2020-05-21,SC,Florianópolis/SC,525,6
2020-05-22,SC,Florianópolis/SC,705,6
2020-05-23,SC,Florianópolis/SC,634,7
2020-05-24,SC,Florianópolis/SC,644,7
2020-05-25,SC,Florianópolis/SC,628,7
2020-05-26,SC,Florianópolis/SC,622,7
2020-05-27,SC,Florianópolis/SC,628,7
2020-05-28,SC,Florianópolis/SC,641,7
2020-05-29,SC,Florianópolis/SC,644,7
2020-05-30,SC,Florianópolis/SC,657,7
2020-05-31,SC,Florianópolis/SC,679,7
2020-06-01,SC,Florianópolis/SC,687,7
2020-06-02,SC,Florianópolis/SC,697,7
2020-06-03,SC,Florianópolis/SC,710,7
2020-06-04,SC,Florianópolis/SC,727,7
2020-06-05,SC,Florianópolis/SC,759,7
2020-06-06,SC,Florianópolis/SC,783,8
2020-06-07,SC,Florianópolis/SC,792,8
2020-06-08,SC,Florianópolis/SC,807,8
2020-06-09,SC,Florianópolis/SC,840,8
2020-06-10,SC,Florianópolis/SC,866,8
2020-06-11,SC,Florianópolis/SC,880,9
2020-06-12,SC,Florianópolis/SC,900,9
2020-06-13,SC,Florianópolis/SC,910,9
2020-06-14,SC,Florianópolis/SC,911,9
2020-06-15,SC,Florianópolis/SC,943,9
2020-06-16,SC,Florianópolis/SC,960,9
2020-06-17,SC,Florianópolis/SC,1000,9
2020-06-18,SC,Florianópolis/SC,1014,9
2020-06-19,SC,Florianópolis/SC,1052,10
2020-06-20,SC,Florianópolis/SC,1094,10
2020-06-21,SC,Florianópolis/SC,1108,10
2020-06-22,SC,Florianópolis/SC,1122,10
