date,state,cases,deaths
2020-03-13,SC,1,0
2020-03-14,SC,3,0
2020-03-15,SC,4,0
2020-03-16,SC,4,0
2020-03-17,SC,4,0
2020-03-18,SC,9,0
2020-03-19,SC,15,0
2020-03-20,SC,30,0
2020-03-21,SC,47,0
2020-03-22,SC,58,0
2020-03-23,SC,71,0
2020-03-24,SC,89,0
2020-03-25,SC,106,0
2020-03-26,SC,129,1
2020-03-27,SC,136,1
2020-03-28,SC,154,1
2020-03-29,SC,157,1
2020-03-30,SC,169,2
2020-03-31,SC,177,2
2020-04-01,SC,187,2
2020-04-02,SC,210,4
2020-04-03,SC,223,4
2020-04-04,SC,265,8
2020-04-05,SC,285,8
2020-04-06,SC,318,9
2020-04-07,SC,343,12
2020-04-08,SC,378,14
2020-04-09,SC,527,15
2020-04-10,SC,550,15
2020-04-11,SC,559,18
2020-04-12,SC,599,21
2020-04-13,SC,627,23
2020-04-14,SC,646,25
2020-04-15,SC,670,26
2020-04-16,SC,707,27
2020-04-17,SC,741,28
2020-04-18,SC,751,29
2020-04-19,SC,793,32
2020-04-20,SC,825,32
2020-04-21,SC,851,33
2020-04-22,SC,871,35
2020-04-23,SC,921,38
2020-04-24,SC,958,38
2020-04-25,SC,983,38
2020-04-26,SC,1079,39
2020-04-27,SC,1213,39
2020-04-28,SC,1661,39
2020-04-29,SC,1749,41
2020-04-30,SC,1980,43
2020-05-01,SC,1784,45
2020-05-02,SC,2020,47
2020-05-03,SC,2172,47
2020-05-04,SC,2270,49
2020-05-05,SC,2426,52
2020-05-06,SC,2542,53
2020-05-07,SC,2711,57
2020-05-08,SC,2832,57
2020-05-09,SC,2985,58
2020-05-10,SC,3043,59
2020-05-11,SC,3137,63
2020-05-12,SC,3335,67
2020-05-13,SC,3421,67
2020-05-14,SC,3880,72
2020-05-15,SC,4096,73
2020-05-16,SC,4205,75
2020-05-17,SC,4303,77
2020-05-18,SC,4680,79
2020-05-19,SC,4894,85
2020-05-20,SC,4975,88
2020-05-21,SC,5085,92
2020-05-22,SC,5753,94
2020-05-23,SC,5973,96
2020-05-24,SC,6052,98
2020-05-25,SC,6247,102
2020-05-26,SC,6394,114
2020-05-27,SC,6744,119
2020-05-28,SC,7359,124
2020-05-29,SC,7886,127
2020-05-30,SC,8123,129
2020-05-31,SC,8358,136
2020-06-01,SC,8811,139
2020-06-02,SC,8963,141
2020-06-03,SC,9324,145
2020-06-04,SC,9806,149
2020-06-05,SC,10087,152
2020-06-06,SC,10502,158
2020-06-07,SC,10773,163
2020-06-08,SC,10935,169
2020-06-09,SC,11352,171
2020-06-10,SC,11728,176
2020-06-11,SC,12073,177
2020-06-12,SC,12265,182
2020-06-13,SC,12386,184
2020-06-14,SC,12449,186
2020-06-15,SC,13017,190
2020-06-16,SC,13442,203
2020-06-17,SC,14015,207
2020-06-18,SC,14559,213
2020-06-19,SC,15280,224
2020-06-20,SC,16014,227
2020-06-21,SC,16474,236
2020-06-22,SC,16815,246
2020-06-23,SC,18063,250
2020-06-24,SC,19713,266
2020-06-25,SC,20701,276
2020-06-26,SC,21668,285
2020-06-27,SC,22483,291
2020-06-28,SC,23019,299
2020-06-29,SC,23677,311
2020-06-30,SC,24916,327
2020-07-01,SC,25811,333
2020-07-02,SC,27074,345
2020-07-03,SC,28705,358
2020-07-04,SC,30329,365
2020-07-05,SC,31309,375
2020-07-06,SC,32091,386
2020-07-07,SC,33562,400
2020-07-08,SC,34954,412
2020-07-09,SC,36503,425
2020-07-10,SC,38126,436
2020-07-11,SC,39985,459
2020-07-12,SC,40967,471
2020-07-13,SC,41713,489
2020-07-14,SC,43842,504
2020-07-15,SC,45683,539
2020-07-16,SC,47460,558
2020-07-17,SC,49159,611
2020-07-18,SC,50107,625
2020-07-19,SC,50841,647
2020-07-20,SC,51897,656
2020-07-21,SC,53897,700
2020-07-22,SC,56896,726
2020-07-23,SC,59528,771
2020-07-24,SC,62170,803
