date,state,city,cases,deaths
2020-03-14,SE,Aracaju/SE,1,0
2020-03-15,SE,Aracaju/SE,1,0
2020-03-16,SE,Aracaju/SE,5,0
2020-03-17,SE,Aracaju/SE,5,0
2020-03-18,SE,Aracaju/SE,5,0
2020-03-19,SE,Aracaju/SE,5,0
2020-03-20,SE,Aracaju/SE,5,0
2020-03-21,SE,Aracaju/SE,7,0
2020-03-22,SE,Aracaju/SE,7,0
2020-03-23,SE,Aracaju/SE,7,0
2020-03-24,SE,Aracaju/SE,12,0
2020-03-25,SE,Aracaju/SE,13,0
2020-03-26,SE,Aracaju/SE,13,0
2020-03-27,SE,Aracaju/SE,13,0
2020-03-28,SE,Aracaju/SE,13,0
2020-03-29,SE,Aracaju/SE,13,0
2020-03-30,SE,Aracaju/SE,15,0
2020-03-31,SE,Aracaju/SE,16,0
2020-04-01,SE,Aracaju/SE,19,0
2020-04-02,SE,Aracaju/SE,20,2
2020-04-03,SE,Aracaju/SE,23,2
2020-04-04,SE,Aracaju/SE,27,3
2020-04-05,SE,Aracaju/SE,27,3
2020-04-06,SE,Aracaju/SE,27,4
2020-04-07,SE,Aracaju/SE,30,4
2020-04-08,SE,Aracaju/SE,32,4
2020-04-09,SE,Aracaju/SE,32,4
2020-04-10,SE,Aracaju/SE,33,4
2020-04-11,SE,Aracaju/SE,35,4
2020-04-12,SE,Aracaju/SE,35,4
2020-04-13,SE,Aracaju/SE,36,4
2020-04-14,SE,Aracaju/SE,37,4
2020-04-15,SE,Aracaju/SE,37,4
2020-04-16,SE,Aracaju/SE,40,4
2020-04-17,SE,Aracaju/SE,44,4
2020-04-18,SE,Aracaju/SE,52,4
2020-04-19,SE,Aracaju/SE,59,4
2020-04-20,SE,Aracaju/SE,60,4
2020-04-21,SE,Aracaju/SE,74,5
2020-04-22,SE,Aracaju/SE,74,5
2020-04-23,SE,Aracaju/SE,86,5
2020-04-24,SE,Aracaju/SE,95,5
2020-04-25,SE,Aracaju/SE,99,6
2020-04-26,SE,Aracaju/SE,115,6
2020-04-27,SE,Aracaju/SE,138,7
2020-04-28,SE,Aracaju/SE,189,7
2020-04-29,SE,Aracaju/SE,189,7
2020-04-30,SE,Aracaju/SE,297,7
2020-05-01,SE,Aracaju/SE,339,7
2020-05-02,SE,Aracaju/SE,386,7
2020-05-03,SE,Aracaju/SE,467,7
2020-05-04,SE,Aracaju/SE,503,8
2020-05-05,SE,Aracaju/SE,599,8
2020-05-06,SE,Aracaju/SE,670,10
2020-05-07,SE,Aracaju/SE,832,10
2020-05-08,SE,Aracaju/SE,1010,11
2020-05-09,SE,Aracaju/SE,1112,13
2020-05-10,SE,Aracaju/SE,1237,13
2020-05-11,SE,Aracaju/SE,1252,13
2020-05-12,SE,Aracaju/SE,1413,13
2020-05-13,SE,Aracaju/SE,1564,15
2020-05-14,SE,Aracaju/SE,1717,18
2020-05-15,SE,Aracaju/SE,1862,19
2020-05-16,SE,Aracaju/SE,2032,20
2020-05-17,SE,Aracaju/SE,2108,23
2020-05-18,SE,Aracaju/SE,2245,24
2020-05-19,SE,Aracaju/SE,2473,27
2020-05-20,SE,Aracaju/SE,2662,29
2020-05-21,SE,Aracaju/SE,2843,33
2020-05-22,SE,Aracaju/SE,2940,38
2020-05-23,SE,Aracaju/SE,3066,41
2020-05-24,SE,Aracaju/SE,3166,44
2020-05-25,SE,Aracaju/SE,3239,48
2020-05-26,SE,Aracaju/SE,3406,54
2020-05-27,SE,Aracaju/SE,3492,57
2020-05-28,SE,Aracaju/SE,3623,59
2020-05-29,SE,Aracaju/SE,3784,65
2020-05-30,SE,Aracaju/SE,3944,68
2020-05-31,SE,Aracaju/SE,4061,71
2020-06-01,SE,Aracaju/SE,4190,75
2020-06-02,SE,Aracaju/SE,4400,79
2020-06-03,SE,Aracaju/SE,4582,83
2020-06-04,SE,Aracaju/SE,4691,85
2020-06-05,SE,Aracaju/SE,4940,90
2020-06-06,SE,Aracaju/SE,5123,94
2020-06-07,SE,Aracaju/SE,5296,98
2020-06-08,SE,Aracaju/SE,5572,107
2020-06-09,SE,Aracaju/SE,5815,113
2020-06-10,SE,Aracaju/SE,6079,119
2020-06-11,SE,Aracaju/SE,6322,128
2020-06-12,SE,Aracaju/SE,6693,134
2020-06-13,SE,Aracaju/SE,7481,142
2020-06-14,SE,Aracaju/SE,8193,149
2020-06-15,SE,Aracaju/SE,9387,154
2020-06-16,SE,Aracaju/SE,9849,160
2020-06-17,SE,Aracaju/SE,10094,165
2020-06-18,SE,Aracaju/SE,10423,173
2020-06-19,SE,Aracaju/SE,10699,181
2020-06-20,SE,Aracaju/SE,10992,195
2020-06-21,SE,Aracaju/SE,11270,201
2020-06-22,SE,Aracaju/SE,11476,211
2020-06-23,SE,Aracaju/SE,11782,216
2020-06-24,SE,Aracaju/SE,11962,223
2020-06-25,SE,Aracaju/SE,12362,236
2020-06-26,SE,Aracaju/SE,12849,247
2020-06-27,SE,Aracaju/SE,13615,256
2020-06-28,SE,Aracaju/SE,14251,261
2020-06-29,SE,Aracaju/SE,14486,272
2020-06-30,SE,Aracaju/SE,14814,286
2020-07-01,SE,Aracaju/SE,15117,301
2020-07-02,SE,Aracaju/SE,15381,315
2020-07-03,SE,Aracaju/SE,16035,327
2020-07-04,SE,Aracaju/SE,16855,336
2020-07-05,SE,Aracaju/SE,17099,342
2020-07-06,SE,Aracaju/SE,17396,356
2020-07-07,SE,Aracaju/SE,17709,364
2020-07-08,SE,Aracaju/SE,18039,373
2020-07-09,SE,Aracaju/SE,18369,380
2020-07-10,SE,Aracaju/SE,18890,390
2020-07-11,SE,Aracaju/SE,19638,398
2020-07-12,SE,Aracaju/SE,20560,410
2020-07-13,SE,Aracaju/SE,20884,421
2020-07-14,SE,Aracaju/SE,21207,429
2020-07-15,SE,Aracaju/SE,21549,433
2020-07-16,SE,Aracaju/SE,21916,437
2020-07-17,SE,Aracaju/SE,22149,443
2020-07-18,SE,Aracaju/SE,22715,449
2020-07-19,SE,Aracaju/SE,24000,454
2020-07-20,SE,Aracaju/SE,24352,465
2020-07-21,SE,Aracaju/SE,24741,477
2020-07-22,SE,Aracaju/SE,25091,485
2020-07-23,SE,Aracaju/SE,25489,500
2020-07-24,SE,Aracaju/SE,25489,500
2020-07-25,SE,Aracaju/SE,26571,507
2020-07-26,SE,Aracaju/SE,26819,510
2020-07-27,SE,Aracaju/SE,27190,522
2020-07-28,SE,Aracaju/SE,27474,525
2020-07-29,SE,Aracaju/SE,27888,534
2020-07-30,SE,Aracaju/SE,28375,537
2020-07-31,SE,Aracaju/SE,28774,544
2020-08-01,SE,Aracaju/SE,29163,548
2020-08-02,SE,Aracaju/SE,29330,553
2020-08-03,SE,Aracaju/SE,29603,564
2020-08-04,SE,Aracaju/SE,29734,574
2020-08-05,SE,Aracaju/SE,29889,579
2020-08-06,SE,Aracaju/SE,30136,584
2020-08-07,SE,Aracaju/SE,30310,589
2020-08-08,SE,Aracaju/SE,30429,594
2020-08-09,SE,Aracaju/SE,30553,601
2020-08-10,SE,Aracaju/SE,30717,611
2020-08-11,SE,Aracaju/SE,30795,618
2020-08-12,SE,Aracaju/SE,30901,626
2020-08-13,SE,Aracaju/SE,31139,630
2020-08-14,SE,Aracaju/SE,31272,632
